realization_cell_id	frame_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	state_requirement	composed_state_default	composed_working_phrase_de	evidence_status	display_phrase_de	display_phrase_provenance	observed_event_count	observed_clause_form_count	selected_observed_phrase_carrier_count	observed_pages	observed_event_ids	all_observed_clause_forms_de	observed_inherited_argument_roots	composed_phrase_observed_in_exact_cell	selected_phrase_equals_composed_phrase	display_phrase_is_observed_clause	display_phrase_is_composed_working	composed_working_label_visible	all_recipe_value_cells_observed	new_slot_value_required
G493-C018	G493-F02	@ACTION+AIIN	R	R+AIIN	BIOLOGICAL	MARKIEREN · WERT	R=STATION MARKIEREN · AIIN=STATIONSWERT	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Stationswert.	OBSERVED_CLAUSE	Markiere den Stationswert.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	7	1	7	f76r|f77r|f82r	G407-E2340|G407-E2603|G407-E2676|G407-E2694|G407-E3370|G407-E3374|G407-E3423	Markiere den Stationswert.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C023	G493-F03	@ACTION+AIN	T	T+AIN	BIOLOGICAL	EINSTELLEN · ANTEIL	T=STATIONSWERT EINSTELLEN · AIN=STATIONSANTEIL	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Stationsanteil ein.	OBSERVED_CLAUSE	Stelle den Stationsanteil ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f77r	G407-E2709	Stelle den Stationsanteil ein.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C025	G493-F03	@ACTION+AIN	T	T+AIN	PHARMA	EINSTELLEN · ANTEIL	T=ANSATZWERT EINSTELLEN · AIN=DROGENANTEIL	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Drogenanteil ein.	OBSERVED_CLAUSE	Stelle den Drogenanteil ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f89r	G407-E4098	Stelle den Drogenanteil ein.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C028	G493-F03	@ACTION+AIN	R	R+AIN	BIOLOGICAL	MARKIEREN · ANTEIL	R=STATION MARKIEREN · AIN=STATIONSANTEIL	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Stationsanteil.	OBSERVED_CLAUSE	Markiere den Stationsanteil.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	3	1	3	f76r|f81r|f82r	G407-E2137|G407-E2837|G407-E3448	Markiere den Stationsanteil.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C033	G493-F04	@ACTION+AL	T	T+AL	BIOLOGICAL	EINSTELLEN · ZIELORT	T=STATIONSWERT EINSTELLEN · AL=ZIELSTATION	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	OBSERVED_CLAUSE	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	1	2	f77r|f83r	G407-E2698|G407-E3592	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C034	G493-F04	@ACTION+AL	T	T+AL	CELESTIAL	EINSTELLEN · ZIELORT	T=WERT EINSTELLEN · AL=ZIELPOSITION	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	OBSERVED_CLAUSE	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f71v	G407-E1108	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C038	G493-F04	@ACTION+AL	R	R+AL	BIOLOGICAL	MARKIEREN · ZIELORT	R=STATION MARKIEREN · AL=ZIELSTATION	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	OBSERVED_CLAUSE	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f81v	G407-E3084	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C040	G493-F04	@ACTION+AL	R	R+AL	PHARMA	MARKIEREN · ZIELORT	R=POSTEN MARKIEREN · AL=ZIELGEFÄSS	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Markiere den Drogenposten [wie zuvor]; zum Zielgefäß.	OBSERVED_CLAUSE	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f88r	G407-E3804	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	OR	NO	NO	YES	NO	NOT_APPLICABLE	YES	NO
G493-C044	G493-F05	@ACTION+AL+Y	T	T+AL+Y	CELESTIAL	EINSTELLEN · ZIELORT · POSTEN	T=WERT EINSTELLEN · AL=ZIELPOSITION · Y=POSITIONSPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Positionsposten ein; zur Zielposition.	OBSERVED_CLAUSE	Stelle den Positionsposten ein; zur Zielposition.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f72r	G407-E1295	Stelle den Positionsposten ein; zur Zielposition.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C048	G493-F05	@ACTION+AL+Y	R	R+AL+Y	BIOLOGICAL	MARKIEREN · ZIELORT · POSTEN	R=STATION MARKIEREN · AL=ZIELSTATION · Y=STATIONSPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Stationsposten; zur Zielstation.	OBSERVED_CLAUSE	Markiere den Stationsposten; zur Zielstation.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f83r	G407-E3782	Markiere den Stationsposten; zur Zielstation.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C051	G493-F06	@ACTION+CH+E+Y	T	T+CH+E+Y	SOURCE_SECTION_T	EINSTELLEN · NEHMEN · GRAD I · POSTEN	T=FESTLEGEN · CH=ENTNEHMEN · E=GRAD I · Y=LAUFENDER EINTRAG	SELF_CONTAINED_ARGUMENT	NONE	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	OBSERVED_CLAUSE	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f1r	G407-E0129	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C058	G493-F06	@ACTION+CH+E+Y	R	R+CH+E+Y	BIOLOGICAL	MARKIEREN · NEHMEN · GRAD I · POSTEN	R=STATION MARKIEREN · CH=POSTEN ENTNEHMEN · E=GRAD I · Y=STATIONSPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	OBSERVED_CLAUSE	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f82r	G407-E3246	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C062	G493-F07	@ACTION+CHD+Y	T	T+CHD+Y	HERBAL	EINSTELLEN · BEARBEITEN · POSTEN	T=ARBEITSSTUFE EINSTELLEN · CHD=MATERIAL BEARBEITEN · Y=PFLANZENPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	OBSERVED_CLAUSE	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f95v	G407-E4490	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C063	G493-F07	@ACTION+CHD+Y	T	T+CHD+Y	BIOLOGICAL	EINSTELLEN · BEARBEITEN · POSTEN	T=STATIONSWERT EINSTELLEN · CHD=POSTEN BEARBEITEN · Y=STATIONSPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Stationsposten ein und bearbeite den Stationsposten.	OBSERVED_CLAUSE	Stelle den Stationsposten ein und bearbeite den Stationsposten.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	4	1	4	f75r|f83r	G407-E1665|G407-E3455|G407-E3597|G407-E3659	Stelle den Stationsposten ein und bearbeite den Stationsposten.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C068	G493-F07	@ACTION+CHD+Y	R	R+CHD+Y	BIOLOGICAL	MARKIEREN · BEARBEITEN · POSTEN	R=STATION MARKIEREN · CHD=POSTEN BEARBEITEN · Y=STATIONSPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Stationsposten und bearbeite den Stationsposten.	OBSERVED_CLAUSE	Markiere den Stationsposten und bearbeite den Stationsposten.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	1	2	f82r|f83r	G407-E3417|G407-E3499	Markiere den Stationsposten und bearbeite den Stationsposten.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C071	G493-F08	@ACTION+OL	T	T+OL	SOURCE_SECTION_T	EINSTELLEN · FORTSETZEN	T=FESTLEGEN · OL=WEITERFÜHREN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Weiter lege den laufenden Eintrag [wie zuvor] fest.	OBSERVED_CLAUSE	Weiter lege den laufenden Eintrag [wie zuvor] fest.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f1r	G407-E0150	Weiter lege den laufenden Eintrag [wie zuvor] fest.	Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C072	G493-F08	@ACTION+OL	T	T+OL	HERBAL	EINSTELLEN · FORTSETZEN	T=ARBEITSSTUFE EINSTELLEN · OL=PFLANZENBEHANDLUNG FORTSETZEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Weiter stelle den Pflanzenposten [wie zuvor] ein.	OBSERVED_CLAUSE	Weiter stelle den Pflanzenposten [wie zuvor] ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	3	2	2	f11r|f56r	G407-E0339|G407-E0852|G407-E0880	Weiter stelle den Arbeitswert [wie zuvor] ein. || Weiter stelle den Pflanzenposten [wie zuvor] ein.	AIIN|Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C073	G493-F08	@ACTION+OL	T	T+OL	BIOLOGICAL	EINSTELLEN · FORTSETZEN	T=STATIONSWERT EINSTELLEN · OL=STATION WEITERFÜHREN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Weiter stelle den Stationsposten [wie zuvor] ein.	OBSERVED_CLAUSE	Weiter stelle den Stationsposten [wie zuvor] ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f83r	G407-E3683	Weiter stelle den Stationsposten [wie zuvor] ein.	Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C075	G493-F08	@ACTION+OL	T	T+OL	PHARMA	EINSTELLEN · FORTSETZEN	T=ANSATZWERT EINSTELLEN · OL=ANSATZ FORTSETZEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Weiter stelle den Drogenposten [wie zuvor] ein.	OBSERVED_CLAUSE	Weiter stelle den Drogenanteil [wie zuvor] ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	2	1	f88v|f89r	G407-E4032|G407-E4218	Weiter stelle den Drogenanteil [wie zuvor] ein. || Weiter stelle den Drogenposten [wie zuvor] ein.	AIN|Y	YES	NO	YES	NO	NOT_APPLICABLE	YES	NO
G493-C078	G493-F08	@ACTION+OL	R	R+OL	BIOLOGICAL	MARKIEREN · FORTSETZEN	R=STATION MARKIEREN · OL=STATION WEITERFÜHREN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Weiter markiere den Stationsposten [wie zuvor].	OBSERVED_CLAUSE	Weiter markiere den Stationsposten [wie zuvor].	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	4	2	3	f75r|f76r|f81v	G407-E1664|G407-E1887|G407-E2945|G407-E3137	Weiter markiere den Stationsanteil [wie zuvor]. || Weiter markiere den Stationsposten [wie zuvor].	AIN|Y	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C082	G493-F09	@ACTION+OR+Y	T	T+OR+Y	HERBAL	EINSTELLEN · EINHEIT · POSTEN	T=ARBEITSSTUFE EINSTELLEN · OR=ARBEITSEINHEIT · Y=PFLANZENPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Stelle die Arbeitseinheit und den Pflanzenposten ein.	OBSERVED_CLAUSE	Stelle die Arbeitseinheit und den Pflanzenposten ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f13r	G407-E0428	Stelle die Arbeitseinheit und den Pflanzenposten ein.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C088	G493-F09	@ACTION+OR+Y	R	R+OR+Y	BIOLOGICAL	MARKIEREN · EINHEIT · POSTEN	R=STATION MARKIEREN · OR=STATIONSEINHEIT · Y=STATIONSPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Markiere die Stationseinheit und den Stationsposten.	OBSERVED_CLAUSE	Markiere die Stationseinheit und den Stationsposten.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f76r	G407-E2334	Markiere die Stationseinheit und den Stationsposten.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C092	G493-F10	@ACTION+Y	T	T+Y	HERBAL	EINSTELLEN · POSTEN	T=ARBEITSSTUFE EINSTELLEN · Y=PFLANZENPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Pflanzenposten ein.	OBSERVED_CLAUSE	Stelle den Pflanzenposten ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	1	2	f10r|f13r	G407-E0235|G407-E0402	Stelle den Pflanzenposten ein.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C093	G493-F10	@ACTION+Y	T	T+Y	BIOLOGICAL	EINSTELLEN · POSTEN	T=STATIONSWERT EINSTELLEN · Y=STATIONSPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Stelle den Stationsposten ein.	OBSERVED_CLAUSE	Stelle den Stationsposten ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f83r	G407-E3670	Stelle den Stationsposten ein.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C098	G493-F10	@ACTION+Y	R	R+Y	BIOLOGICAL	MARKIEREN · POSTEN	R=STATION MARKIEREN · Y=STATIONSPOSTEN	SELF_CONTAINED_ARGUMENT	NONE	Markiere den Stationsposten.	OBSERVED_CLAUSE	Markiere den Stationsposten.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	1	2	f75r|f82r	G407-E1598|G407-E3385	Markiere den Stationsposten.	NONE	YES	YES	YES	NO	NOT_APPLICABLE	YES	NO
G493-C102	G493-F11	CH+@ACTION	T	CH+T	HERBAL	NEHMEN · EINSTELLEN	CH=PFLANZENTEIL NEHMEN · T=ARBEITSSTUFE EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Nimm den Pflanzenposten [wie zuvor] und stelle den Pflanzenposten [wie zuvor] ein.	OBSERVED_CLAUSE	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f10r	G407-E0273	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	AIIN	NO	NO	YES	NO	NOT_APPLICABLE	YES	NO
G493-C108	G493-F11	CH+@ACTION	R	CH+R	BIOLOGICAL	NEHMEN · MARKIEREN	CH=POSTEN ENTNEHMEN · R=STATION MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Y=POSTEN [wie zuvor]	Entnimm den Stationsposten [wie zuvor] und markiere den Stationsposten [wie zuvor].	OBSERVED_CLAUSE	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	1	f77r	G407-E2689	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	AIIN	NO	NO	YES	NO	NOT_APPLICABLE	YES	NO
