repeated_event_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	duplicate_group_ids	duplicate_full_phrases_de	duplicate_topologies	duplicate_group_count	extra_mention_count	working_clause_de	guard
11	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	GDT575-D011	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Nimm denselben Pflanzenposten und stelle ihn ein; auf Grad I und auf Grad I; mit der lokalen Variante.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
12	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	GDT575-D012	an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED	1	1	Im laufenden Gang markiere; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
13	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	GDT575-D013	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Setze denselben Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
14	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	GDT575-D014	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Setze denselben Pflanzenposten ein und halte ihn; als Ausführung und als Ausführung; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
15	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	GDT575-D015	auf Grad I	SAME_ROOT_INTERRUPTED	1	2	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der lokalen Variante.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
16	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	GDT575-D016|GDT575-D017	als Ausführung|an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED|DIFFERENT_ROOTS_INTERRUPTED	2	2	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
17	G407-E0681	G407-S032	f24v	HERBAL	cheeodam	CH+EE+O+D_ADDR+AM_ADDR	GDT575-D018	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Nimm dieselbe Arbeitseinheit; auf Grad II und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
18	G407-E0690	G407-S032	f24v	HERBAL	odaiim	O+D_ADDR+AIIN+M_LOCAL	GDT575-D019	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Im laufenden Gang nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
19	G407-E0695	G407-S033	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	GDT575-D020	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Im laufenden Gang: Gib denselben Arbeitswert zu; an der bezeichneten Stelle; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
20	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	GDT575-D021	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte den Pflanzenposten und setze ihn im Arbeitsgang an; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
21	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	GDT575-D022	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Wähle denselben Pflanzenposten; auf Grad I und auf Grad I; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
22	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	GDT575-D023	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Weiter: setze ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
23	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	GDT575-D024|GDT575-D025	als Ausführung|auf Grad I	SAME_ROOT_INTERRUPTED|SAME_ROOT_INTERRUPTED	2	2	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; als Ausführung, auf Grad I, als Ausführung und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
24	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	GDT575-D026	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Wähle denselben Positionsposten und halte ihn; als Ausführung und als Ausführung.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
25	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	GDT575-D027	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Wähle denselben Positionsposten; als Ausführung, auf Grad II und als Ausführung.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
26	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	GDT575-D028	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Stelle denselben Positionsposten ein, nimm ihn auf und wähle ihn; als Ausführung und als Ausführung.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
27	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	GDT575-D029	auf Grad II	SAME_ROOT_INTERRUPTED	1	1	Nimm den Positionsposten auf und stelle ihn ein; auf Grad II und auf Grad II.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
28	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	GDT575-D030	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Nimm die Positionseinheit und den Positionsposten auf, ordne sie und ihn zu und nimm sie und ihn auf; auf Grad I, als Ausführung und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
29	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	GDT575-D031	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Nimm dieselbe Positionseinheit auf und ordne sie zu; von der Ausgangsposition; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
30	G407-E1053	G407-S054	f68r1	CELESTIAL	daram	DA+R+A_ADDR+AM_ADDR	GDT575-D032	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Markiere dieselbe Positionseinheit; auf der zweiten Stufe; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
31	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	GDT575-D033	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Halte; als Ausführung, auf Grad I und als Ausführung.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
32	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	GDT575-D034	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Halte dieselbe Positionseinheit, setze sie ein und nimm sie auf; als Ausführung und als Ausführung.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
33	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	GDT575-D035	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Weiter: halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
34	G407-E1182	G407-S064	f72r	CELESTIAL	shetey	SH+E+T+E+Y	GDT575-D036	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
35	G407-E1188	G407-S064	f72r	CELESTIAL	chetey	CH+E+T+E+Y	GDT575-D037	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Nimm den Positionsposten auf und stelle ihn ein; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
36	G407-E1730	G407-S143	f75r	BIOLOGICAL	darom	D_ADDR+AR+O+AM_ADDR	GDT575-D038	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Im laufenden Gang stelle denselben Stationsanteil ein; von der Ausgangsstation; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
37	G407-E1755	G407-S149	f75r	BIOLOGICAL	dardardy	D_ADDR+AR+D_ADDR+AR+DY	GDT575-D039|GDT575-D040	an der bezeichneten Stelle|von der Ausgangsstation	SAME_ROOT_INTERRUPTED|SAME_ROOT_INTERRUPTED	2	2	Im laufenden Gang: Setze denselben Stationsposten im Stationsgang an; an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; von der Ausgangsstation; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
38	G407-E1846	G407-S194	f76r	BIOLOGICAL	qotddyar	OT+D_ADDR+D_ADDR+Y+AR	GDT575-D041	an der bezeichneten Stelle	SAME_ROOT_RAW_ADJACENT	1	1	Danach im laufenden Gang: halte den Stationsposten; an der bezeichneten Stelle und an der bezeichneten Stelle; von der Ausgangsstation.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
39	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	GDT575-D042	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Danach: halte; auf Grad I; an der bezeichneten Stelle; auf Grad I; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
40	G407-E1955	G407-S218	f76r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	GDT575-D043	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
41	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	GDT575-D044	an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED	1	1	Entnimm den Stationsposten; auf Grad II; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
42	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	GDT575-D045	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Weiter: entnimm den Stationsposten und entnimm ihn; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
43	G407-E2385	G407-S309	f76r	BIOLOGICAL	checkhey	CH+E+CH+K+E+Y	GDT575-D046	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
44	G407-E2393	G407-S311	f77r	BIOLOGICAL	poldarais	P+OL+D_ADDR+AR+A_ADDR+IIN+S	GDT575-D047	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Weiter: setze ein und wähle; an der bezeichneten Stelle; von der Ausgangsstation; an der bezeichneten Stelle; auf der bezeichneten Stufe.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
45	G407-E2410	G407-S313	f77r	BIOLOGICAL	chetey	CH+E+T+E+Y	GDT575-D048	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
46	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	GDT575-D049	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte dieselbe Stationseinheit und entnimm sie und führe sie zu; auf Grad I und auf Grad I; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
47	G407-E2638	G407-S382	f77r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	GDT575-D050	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
48	G407-E2719	G407-S396	f81r	BIOLOGICAL	ofshdy	O+LOCAL_CHAR_F+SH+D_ADDR+Y	GDT575-D051	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Halte den Stationsposten; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
49	G407-E2755	G407-S397	f81r	BIOLOGICAL	eses	E+S+E+S	GDT575-D052	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Wähle denselben Stationsanteil und wähle ihn; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
50	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	GDT575-D053	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte denselben Stationsposten und entnimm ihn und führe ihn zu; auf Grad I und auf Grad I; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
51	G407-E2934	G407-S443	f81v	BIOLOGICAL	ofalsheky	O+LOCAL_CHAR_F+A_ADDR+L+SH+E+K+Y	GDT575-D054	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Halte den Stationsposten und führe ihn zu; über die sichtbare Verbindung; als Ausführung und auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
52	G407-E3013	G407-S455	f81v	BIOLOGICAL	ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	GDT575-D055	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Halte den Stationsposten und stelle ihn ein; auf Grad II; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
53	G407-E3019	G407-S458	f81v	BIOLOGICAL	dairam	D_ADDR+AIR+A_ADDR+AM_ADDR	GDT575-D056	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	2	Im laufenden Gang halte denselben Stationsposten; entlang der Stationsbahn; an der bezeichneten Stelle, an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
54	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	GDT575-D057	an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED	1	1	Weiter: halte den Stationsposten; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
55	G407-E3037	G407-S461	f81v	BIOLOGICAL	chetedy	CH+E+T+E+D_ADDR+Y	GDT575-D058	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
56	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	GDT575-D059	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Führe den Stationsposten zu; über die sichtbare Verbindung; auf Grad I und auf Grad I; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
57	G407-E3040	G407-S462	f81v	BIOLOGICAL	ykeshey	Y+K+E+SH+E+Y	GDT575-D060	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Führe den äußeren Stationsposten und den inneren Stationsposten zu und halte den äußeren Stationsposten und den inneren Stationsposten; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
58	G407-E3041	G407-S462	f81v	BIOLOGICAL	dchsed	D_ADDR+CH+S+E+D_ADDR	GDT575-D061	an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED	1	1	Entnimm denselben Stationsposten und wähle ihn; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
59	G407-E3061	G407-S468	f81v	BIOLOGICAL	salshcthdy	S+A_ADDR+L+SH+CH+T+D_ADDR+Y	GDT575-D062	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Wähle den Stationsposten, halte ihn, entnimm ihn und stelle ihn ein; über die sichtbare Verbindung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
60	G407-E3278	G407-S513	f82r	BIOLOGICAL	deeedy	D_ADDR+EEE+D_ADDR+Y	GDT575-D063	an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED	1	1	Im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad III; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
61	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	GDT575-D064	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Wähle denselben Stationsposten; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
62	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	GDT575-D065	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Entnimm dieselbe Stationseinheit und entnimm sie und setze sie ein; auf Grad I und auf Grad I; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
63	G407-E3533	G407-S579	f83r	BIOLOGICAL	shedkedy	SH+E+K+E+D_ADDR+Y	GDT575-D066	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte den Stationsposten und führe ihn zu; auf Grad I und auf Grad I; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
64	G407-E3605	G407-S597	f83r	BIOLOGICAL	dcheokedy	D_ADDR+CH+E+O+K+E+D_ADDR+Y	GDT575-D067|GDT575-D068	auf Grad I|an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED|SAME_ROOT_INTERRUPTED	2	2	Entnimm den Stationsposten und führe ihn zu; auf Grad I, als Ausführung und auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
65	G407-E3664	G407-S616	f83r	BIOLOGICAL	shecthedy	SH+E+CH+T+E+D_ADDR+Y	GDT575-D069	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I und auf Grad I; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
66	G407-E3700	G407-S628	f83r	BIOLOGICAL	kesd	K+E+S_ADDR+D_ADDR	GDT575-D070	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Führe denselben Stationsposten zu; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
67	G407-E3781	G407-S647	f83r	BIOLOGICAL	qekey	E+K+E+Y	GDT575-D071	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Führe den Stationsposten zu; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
68	G407-E3835	G407-S648	f88r	PHARMA	cheojam	CH+E+O+LOCAL_CHAR_J+A_ADDR+AM_ADDR	GDT575-D072	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Nimm dieselbe Ansatzeinheit; auf Grad I und als Ausführung; mit der lokalen Variante, an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
69	G407-E3870	G407-S650	f88r	PHARMA	olsheody	O+L+SH+E+O+D_ADDR+Y	GDT575-D073	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Halte den Drogenposten; über die Gefäßverbindung; als Ausführung, auf Grad I und als Ausführung; an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
70	G407-E3919	G407-S652	f88r	PHARMA	cheotey	CH+E+O+T+E+Y	GDT575-D074	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Nimm den Drogenposten und stelle ihn ein; auf Grad I, als Ausführung und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
71	G407-E3928	G407-S652	f88r	PHARMA	qoekeor	CARRIER_Q+O+E+K+E+OR	GDT575-D075	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Gib die Ansatzeinheit zu; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
72	G407-E3950	G407-S654	f88v	PHARMA	qoekeol	O+E+K+E+OL	GDT575-D076	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Weiter: gib denselben Drogenposten zu; als Ausführung, auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
73	G407-E3962	G407-S654	f88v	PHARMA	okearcheol	OK+E+AR+CH+E+O+L	GDT575-D077	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Setze denselben Drogenposten als Ansatz an und nimm ihn; vom Ausgangsgefäß und über die Gefäßverbindung; auf Grad I, auf Grad I und als Ausführung.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
74	G407-E4023	G407-S662	f88v	PHARMA	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	GDT575-D078	an der bezeichneten Stelle	SAME_ROOT_INTERRUPTED	1	1	Im laufenden Gang gib den Drogenanteil zu; entlang der Transferbahn; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
