card_order	master_card_id	canonical_surface	canonical_value_de	final_recipe	ordered_slots	slot_count	production_mechanic	production_instruction_de	event_support	event_count_crosscheck	contextual_renderer_override	choice_context	writer_rule
32	MC142	dchol	vom vorigen Arbeitsgang nehmen	D_PREVIOUS	D_PREVIOUS	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
33	MC032	cheeky	länger bearbeiten	E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=GENERAL_LONG_ADJUSTMENT]	E_GRADE>Y>CHK	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
34	MC073	qcthey	kurz vorbereiten	E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=VISIBLE_BOUNDED_STATION]	E_GRADE>Y>CTH	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	2	2	YES	OWNER=VISIBLE_BOUNDED_STATION	WRITE_SHORT_STATION_CARD
35	MC033	oiiin	Arbeitsstufe	IIN[SUBTYPE=WORKING_STAGE]	IIN	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
36	MC004	ldy	abziehen; Schluss	L+DY	L>DY	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
37	MC005	okchedy	vorigen Posten überführen; Schluss	OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]	OK>DY>CHED_TRANSFER	3	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
38	MC007	okey	KURZ_SETZEN	OK+E_GRADE+Y[GRADE=E_SHORT]	OK>E_GRADE>Y	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
39	MC097	olkain	weiterer Anteil	OL+AIN	OL>AIN	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
40	MC019	oldy	fertig	OL+DY	OL>DY	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
41	MC157	cholor	derselbe Ansatz	OL+OR	OL>OR	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
42	MC057	otchedy	Folgetransfer; Schluss	OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]	OT>DY>CHED_TRANSFER	3	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	2	2	YES	DOCUMENT=MAIN_OPERATING_RECORD	WRITE_EXPANDED_CHED_FORM
43	MC173	qoteedy	lange Folgestufe; Schluss	OT+E_GRADE+DY[GRADE=EE_LONG]	OT>E_GRADE>DY	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
44	MC135	otedy	Kurzfolge; Schluss	OT+E_GRADE+DY[GRADE=E_SHORT]	OT>E_GRADE>DY	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
45	MC063	oteey	Langfolge	OT+E_GRADE+Y[GRADE=EE_LONG]	OT>E_GRADE>Y	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
46	MC013	otchor	Folgeansatz	OT+OR	OT>OR	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
47	MC171	otchey	das nächste	OT+Y[SUBTYPE=NEXT_ITEM]	OT>Y	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
48	MC086	chety	Teil	TY	TY	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	2	2	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
49	MC087	chodaiin	Zugabemaß	AIIN+CHO_INPUT	AIIN>CHO_INPUT	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
50	MC169	cthaiin	die Sollvorbereitung setzen	AIIN+CTH	AIIN>CTH	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
51	MC111	shfydaiin	eine vorgeschriebene Stehzeit einhalten	AIIN+SHFY_DURATION	AIIN>SHFY_DURATION	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
52	MC036	solkaiin	Sollsammlung	AIIN+SOLK	AIIN>SOLK	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
53	MC170	ykaiin	Sollportion	AIIN[SUBTYPE=EXTRACT_PORTION_MEASURE]	AIIN	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
54	MC144	chldaiin	Sollabsetzung	AIIN[SUBTYPE=SETTLING_MEASURE]	AIIN	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
55	MC145	chedain	Anteilstransfer	AIN+CHED_TRANSFER	AIN>CHED_TRANSFER	2	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
56	MC047	ykain	erste Portion	AIN[SUBTYPE=FIRST_PORTION]	AIN	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
57	MC072	orain	Bereitungsanteil	AIN[SUBTYPE=PREPARATION_SHARE]	AIN	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
58	MC116	schedair	Weiterlauf	AIR	AIR	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
59	MC014	chair	laufendes Medium zugießen	AIR+CH_POUR	AIR>CH_POUR	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
60	MC023	kair	Beckenlauf	AIR+K_BINDER	AIR>K_BINDER	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
61	MC001	chdal	Zieltransfer	AL+CHED_TRANSFER	AL>CHED_TRANSFER	2	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
62	MC022	chckhal	Zielpassage	AL+CKH	AL>CKH	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
63	MC079	daldy	Zielschluss	AL+DY	AL>DY	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
64	MC031	dalchdy	Zieltransfer; Schluss	AL+DY+CHED_TRANSFER	AL>DY>CHED_TRANSFER	3	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
65	MC058	sheckhal	Kurze Zielpassage	AL+E_GRADE+CKH[GRADE=E_SHORT]	AL>E_GRADE>CKH	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
66	MC102	rsheal	Kurzhalt am Ziel	AL+E_GRADE[GRADE=E_SHORT]	AL>E_GRADE	2	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
67	MC101	ldalor	Endziel	AL+L	AL>L	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
68	MC051	lchedal	Zielabführung	AL+L+CHED_TRANSFER	AL>L>CHED_TRANSFER	3	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
69	MC146	chealror	Zielbereitung	AL+OR	AL>OR	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
70	MC126	pchedal	Zielzuführung	AL+P+CHED_TRANSFER	AL>P>CHED_TRANSFER	3	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
71	MC046	raly	Endposten	AL+Y[SUBTYPE=END_TARGET]	AL>Y	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
72	MC078	olsaly	Zwischenziel	AL+Y[SUBTYPE=INTERMEDIATE_TARGET]	AL>Y	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
73	MC056	ral	Zielmarke	AL[SUBTYPE=TARGET_MARK]	AL	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
74	MC148	ykan	zweite Portion	AN	AN	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
75	MC042	cheedar	Quelltransfer	AR+CHED_TRANSFER	AR>CHED_TRANSFER	2	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
76	MC029	lar	Quellabzug	AR+L	AR>L	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
77	MC011	lchedar	Quellabführung	AR+L+CHED_TRANSFER	AR>L>CHED_TRANSFER	3	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
78	MC009	chary	Quellposten	AR+Y	AR>Y	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
79	MC089	skar	Quellausguss	AR[SUBTYPE=SOURCE_OUTFLOW]	AR	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
80	MC085	cheoar	Auszug aus der Quelle	CHEO	CHEO	1	REGISTERED_BASE_FAMILY_CARD	Wähle die gelernte Grundkarte oder ihre registrierte Unterform.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
81	MC139	dchdy	Transfer; Schluss	DY+CHED_TRANSFER	DY>CHED_TRANSFER	2	SHARED_TRANSFER_CORE_OVERLAY	Lege die beteiligten Karten am gemeinsamen CHD/CHED-Transferkörper übereinander und behalte ihre freien Slots.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
82	MC100	ody	ZURUECKNEHMEN__SCHLUSS	DY+O_WITHDRAW	DY>O_WITHDRAW	2	ORDERED_SLOT_FRAME_ASSEMBLY	Setze Selektor, Adresse, Menge, Posten und Handlung in der im Rezept angegebenen Reihenfolge zusammen.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
83	MC110	chkeedy	Langwärmen; Schluss	E_GRADE+DY+CHK[GRADE=EE_LONG]	E_GRADE>DY>CHK	3	GRADE_INSERTION_OR_LENGTHENING	Halte den Kartenrahmen fest und setze E, EE oder EEE an den lizenzierten Gradplatz.	1	1	NO	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
