card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	source_component_parse	expanded_semantic_parts	semantic_part_count	morphological_class	literal_pocket_reading_de	apprentice_rule_de
PROC011	9ad66e67803a12e745de	chokchy|okchy|qokchy	3	E011|E091|E095	HERBAL	H1|H5	OK+Y	OK+Y	2	FULL_COMPONENT_COMPOSITION	ansetzen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC012	e8a6105b5c3a6220b440	qotchol	1	E012	HERBAL	H1	OT+CH+OL	OT+CH+OL	3	FULL_COMPONENT_COMPOSITION	danach · abziehen · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC013	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	E013|E027|E029|E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	BIOLOGICAL|HERBAL	B1|B3|B4|B5|B6|H1|H2	OL	OL	1	ATOMIC_CORE_CARD	fortsetzen	Kernwert direkt lesen.
PROC014	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	E014|E016|E054|E271|E279|E289|E310	BIOLOGICAL|HERBAL	B3|H1|H2|H3	CTH+Y	CTH+Y	2	FULL_COMPONENT_COMPOSITION	bereit · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC015	7249edc4df3419c26999	ycheor	1	E015	HERBAL	H2	Y+CH+E+OR	Y+CH+E+OR	4	FULL_COMPONENT_COMPOSITION	dies · abziehen · kurz · Ansatz	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC016	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	E017|E025|E033|E034|E071|E254|E348	BIOLOGICAL|HERBAL	B3|B4|H2|H4	OR	OR	1	ATOMIC_CORE_CARD	Ansatz	Kernwert direkt lesen.
PROC017	f3c23f42baf625639e1e	cthaiin	1	E018	HERBAL	H2	CTH+AIIN	CTH+AIIN	2	FULL_COMPONENT_COMPOSITION	bereit · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC018	af816c04e65874a0f2fa	qoctholy	1	E019	HERBAL	H2	O+CTH+OL+Y	O+CTH+OL+Y	4	FULL_COMPONENT_COMPOSITION	Arbeitsgang · bereit · fortsetzen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC019	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	E020|E021|E023|E035|E037|E048|E050|E055|E072|E132|E170|E208|E232|E234|E273|E277|E349|E380	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B6|H2|H3|H4	Y	Y	1	ATOMIC_CORE_CARD	dies	Kernwert direkt lesen.
PROC020	10488b911aae52b3b334	otchor|qotchor	2	E024|E080	HERBAL	H2|H5	OT+CH+OR	OT+CH+OR	3	FULL_COMPONENT_COMPOSITION	danach · abziehen · Ansatz	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC021	497cbd9c7401810ff56b	otol	1	E026	HERBAL	H2	OT+OL	OT+OL	2	FULL_COMPONENT_COMPOSITION	danach · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC022	dec401773c1f0347793d	cholor|olor	2	E028|E113	BIOLOGICAL|HERBAL	B1|H2	OL+OR	OL+OR	2	FULL_COMPONENT_COMPOSITION	fortsetzen · Ansatz	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC023	27d97af8c96eb056c2e6	oykchor	1	E032	HERBAL	H2	O+Y+K+OR	O+Y+K+OR	4	FULL_COMPONENT_COMPOSITION	Arbeitsgang · dies · zuführen · Ansatz	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC024	409de02322e7b2ca0c62	kaiiin	1	E036	HERBAL	H2	K+IIN	K+IIN	2	FULL_COMPONENT_COMPOSITION	zuführen · Sollstufe	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC025	834825c61d048a6b5628	chodaiin	1	E038	HERBAL	H2	CH+O+AIIN	CH+O+AIIN	3	FULL_COMPONENT_COMPOSITION	abziehen · Arbeitsgang · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC026	953ad19b79517fc8a211	tshol	1	E039	HERBAL	H3	T+SH+OL	T+SH+OL	3	FULL_COMPONENT_COMPOSITION	eintragen · halten · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC027	428a5e3662aa57b4b256	schoal	1	E040	HERBAL	H3	SH+O+AL	SH+O+AL	3	FULL_COMPONENT_COMPOSITION	halten · Arbeitsgang · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC028	bdad9f9ea8b80f141496	cfhy	1	E041	HERBAL	H3	CFHY	PROC028	1	MEMORIZED_WHOLE_SIGN	auswringen	Ganzzeichen als einen kurzen Werkstattwert lernen.
PROC029	a8af08e69edab8e54f15	shfydaiin	1	E042	HERBAL	H3	SH+Y+AIIN	SH+Y+AIIN	3	FULL_COMPONENT_COMPOSITION	halten · dies · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC030	deb377381ceaf55ea310	cphy	1	E043	HERBAL	H3	P+Y	P+Y	2	FULL_COMPONENT_COMPOSITION	hinein · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC031	b5df9126607030b95175	cheey|shey	4	E044|E197|E203|E353	BIOLOGICAL|HERBAL	B2|B4|H3	WHOLE[cheey|shey]	PROC031	1	MEMORIZED_WHOLE_SIGN	Empfangsbestand	Ganzzeichen als einen kurzen Werkstattwert lernen.
PROC032	2e2027b1951d79911e24	tchody	1	E045	HERBAL	H3	T+CH+O+DY	T+CH+O+DY	4	FULL_COMPONENT_COMPOSITION	eintragen · abziehen · Arbeitsgang · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC033	577c03a928d674d420d7	shoyty	1	E046	HERBAL	H3	SH+O+Y+T+Y	SH+O+Y+T+Y	5	FULL_COMPONENT_COMPOSITION	halten · Arbeitsgang · dies · eintragen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC034	d665560c8ff80799a82c	dchol|schol	2	E047|E083	HERBAL	H3|H5	OL	OL	1	ATOMIC_CORE_CARD	fortsetzen	Kernwert direkt lesen.
PROC035	b2812c8283c3a62438bd	kchy	1	E049	HERBAL	H3	K+Y	K+Y	2	FULL_COMPONENT_COMPOSITION	zuführen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC036	a48efd6c4491a046ba78	qotchy	1	E052	HERBAL	H3	OT+Y	OT+Y	2	FULL_COMPONENT_COMPOSITION	danach · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC037	322281bd391aa621f568	okchol	1	E053	HERBAL	H3	OK+OL	OK+OL	2	FULL_COMPONENT_COMPOSITION	ansetzen · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC038	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	E056|E102|E180|E181|E219|E236|E243|E256|E270	BIOLOGICAL|HERBAL	B1|B2|B3|H4	OK+AIIN	OK+AIIN	2	FULL_COMPONENT_COMPOSITION	ansetzen · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC039	403c1592f918c8f23b88	ykain	1	E058	HERBAL	H4	Y+K+AIN	Y+K+AIN	3	FULL_COMPONENT_COMPOSITION	dies · zuführen · Portion	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC040	d929a14ec45749b2e805	ykan	1	E059	HERBAL	H4	Y+K+AIN	Y+K+AIN	3	FULL_COMPONENT_COMPOSITION	dies · zuführen · Portion	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC041	97cc9ac109148723c472	ody	1	E060	HERBAL	H4	O+DY	O+DY	2	FULL_COMPONENT_COMPOSITION	Arbeitsgang · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC042	6f7ff8287eddf4da9fdb	chdy|chedy	11	E062|E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	BIOLOGICAL|HERBAL	B1|B3|B4|B5|H4	CHD+Y	CHD+Y	2	FULL_COMPONENT_COMPOSITION	umsetzen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC043	e026af581c99322fbd46	talam	1	E063	HERBAL	H4	TALAM	PROC043	1	MEMORIZED_WHOLE_SIGN	verwahren	Ganzzeichen als einen kurzen Werkstattwert lernen.
PROC044	f7dc90b2c31fd341f0a4	ykaiin	1	E064	HERBAL	H4	Y+K+AIIN	Y+K+AIIN	3	FULL_COMPONENT_COMPOSITION	dies · zuführen · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC045	807591efc3d3f7ddbfab	cheoar	1	E065	HERBAL	H4	CHEO+AR	CH+E+O+AR	4	FULL_COMPONENT_COMPOSITION	abziehen · kurz · Arbeitsgang · von dort	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC046	2c1a5fd92b9e3c762242	cheeky	2	E066|E333	BIOLOGICAL|HERBAL	B4|H4	CHK+EE+Y	CHK+EE+Y	3	FULL_COMPONENT_COMPOSITION	wärmen · länger · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC047	1b1ffdd869fb1429ad03	oldy	2	E067|E337	BIOLOGICAL|HERBAL	B4|H4	OL+DY	OL+DY	2	FULL_COMPONENT_COMPOSITION	fortsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC048	308e8ea2d5d190c498e8	okal|qokal	6	E069|E104|E152|E172|E186|E241	BIOLOGICAL|HERBAL	B1|B2|B3|H4	OK+AL	OK+AL	2	FULL_COMPONENT_COMPOSITION	ansetzen · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC049	204b04837409088c48f9	oltchy	1	E070	HERBAL	H4	OL+T+Y	OL+T+Y	3	FULL_COMPONENT_COMPOSITION	fortsetzen · eintragen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC050	6afeb5c9ab9f6cbdea0d	orain	1	E073	HERBAL	H4	OR+AIN	OR+AIN	2	FULL_COMPONENT_COMPOSITION	Ansatz · Portion	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC051	b9d7b6d68209a9019e7a	chochor	1	E074	HERBAL	H5	HO+CH+OR	HO+CH+OR	3	FULL_COMPONENT_COMPOSITION	Gabe · abziehen · Ansatz	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC052	2cc054357a929df85f64	cho|sho	4	E075|E078|E088|E094	HERBAL	H5	HO	HO	1	ATOMIC_CORE_CARD	Gabe	Kernwert direkt lesen.
PROC053	0ec6a45e2950e8e7061d	chodaly	1	E076	HERBAL	H5	HO+AL+Y	HO+AL+Y	3	FULL_COMPONENT_COMPOSITION	Gabe · Zielstelle · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC054	893c570f3fa3fce99711	kchol	1	E079	HERBAL	H5	K+OL	K+OL	2	FULL_COMPONENT_COMPOSITION	zuführen · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC055	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	E082|E109|E156|E166|E214|E268|E272|E278|E359|E365	BIOLOGICAL|HERBAL	B1|B2|B3|B4|B5|H5	AL	AL	1	ATOMIC_CORE_CARD	Zielstelle	Kernwert direkt lesen.
PROC056	c10aec6d4dd877ec8bd8	choy	1	E084	HERBAL	H5	HO+Y	HO+Y	2	FULL_COMPONENT_COMPOSITION	Gabe · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC057	95987d6f198d6d247511	cheeckhody	1	E086	HERBAL	H5	CH+EE+CKH+O+DY	CH+EE+CKH+O+DY	5	FULL_COMPONENT_COMPOSITION	abziehen · länger · Durchlass · Arbeitsgang · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC058	ad3581d3144f69a5912d	sh	1	E087	HERBAL	H5	SH	SH	1	ATOMIC_CORE_CARD	halten	Kernwert direkt lesen.
PROC059	b74e9e65637b7c8538dd	kchey	1	E089	HERBAL	H5	K+E+Y	K+E+Y	3	FULL_COMPONENT_COMPOSITION	zuführen · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC060	1322bc176443fc2a8a86	qokokchy	1	E090	HERBAL	H5	OK+OK+Y	OK+OK+Y	3	FULL_COMPONENT_COMPOSITION	ansetzen · ansetzen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC061	087a47b5423438cd6b6a	chokcheo	1	E092	HERBAL	H5	OK+CHEO	OK+CH+E+O	4	FULL_COMPONENT_COMPOSITION	ansetzen · abziehen · kurz · Arbeitsgang	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC062	75a523fcf039b006f97b	kchal	1	E093	HERBAL	H5	K+AL	K+AL	2	FULL_COMPONENT_COMPOSITION	zuführen · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC063	c71c72da4e09e0833392	kchoar	1	E096	HERBAL	H5	K+HO+AR	K+HO+AR	3	FULL_COMPONENT_COMPOSITION	zuführen · Gabe · von dort	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC064	61a075bc54793c1c781f	sotodan	1	E097	HERBAL	H5	OT+O+AIN	OT+O+AIN	3	FULL_COMPONENT_COMPOSITION	danach · Arbeitsgang · Portion	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC065	faf321940aed922846a9	otchey	2	E098|E321	BIOLOGICAL|HERBAL	B4|H5	OT+Y	OT+Y	2	FULL_COMPONENT_COMPOSITION	danach · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC066	9bb7122b386ebbc6138f	keol	1	E099	HERBAL	H5	K+E+OL	K+E+OL	3	FULL_COMPONENT_COMPOSITION	zuführen · kurz · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC067	7db18b2f0fb7ed0fcfd3	qokedy	8	E101|E137|E138|E259|E294|E297|E318|E335	BIOLOGICAL	B1|B3|B4	OK+E+DY	OK+E+DY	3	FULL_COMPONENT_COMPOSITION	ansetzen · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC068	22fb87a5a83e5c3fb510	kair	1	E103	BIOLOGICAL	B1	K+AIR	K+AIR	2	FULL_COMPONENT_COMPOSITION	zuführen · Lauf	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC069	9da1b6ac2c929daea697	chkain|kain	3	E107|E257|E354	BIOLOGICAL	B1|B3|B4	K+AIN	K+AIN	2	FULL_COMPONENT_COMPOSITION	zuführen · Portion	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC070	94df4847b7b16c98394a	olkain|qolkain	2	E108|E358	BIOLOGICAL	B1|B4	OL+K+AIN	OL+K+AIN	3	FULL_COMPONENT_COMPOSITION	fortsetzen · zuführen · Portion	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC071	1496a731803a9f48d2e1	rol	1	E111	BIOLOGICAL	B1	R+OL	R+OL	2	FULL_COMPONENT_COMPOSITION	abkühlen · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC072	0f18de177ed7c878bf95	dl	2	E112|E129	BIOLOGICAL	B1	L	L	1	ATOMIC_CORE_CARD	führen	Kernwert direkt lesen.
PROC073	4eab1841ed655c20a348	sheckhal	1	E115	BIOLOGICAL	B1	SH+E+CKH+AL	SH+E+CKH+AL	4	FULL_COMPONENT_COMPOSITION	halten · kurz · Durchlass · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC074	93f69c38fdedee1598e9	qokeedal	1	E117	BIOLOGICAL	B1	OK+EE+AL	OK+EE+AL	3	FULL_COMPONENT_COMPOSITION	ansetzen · länger · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC075	2cc8bb3c2af19607888f	chckhy|shckhy	4	E119|E128|E139|E179	BIOLOGICAL	B1|B2	CKH+Y	CKH+Y	2	FULL_COMPONENT_COMPOSITION	Durchlass · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC076	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	E120|E167|E239|E283	BIOLOGICAL	B1|B2|B3	CHD+DY	CHD+DY	2	FULL_COMPONENT_COMPOSITION	umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC077	54e32e9c1414b20640e9	sshkchdy	1	E122	BIOLOGICAL	B1	SH+K+CHD+DY	SH+K+CHD+DY	4	FULL_COMPONENT_COMPOSITION	halten · zuführen · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC078	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	BIOLOGICAL	B1|B2|B3|B4	SHED+DY	SHED+DY	2	FULL_COMPONENT_COMPOSITION	absetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC079	28ffbc88b97772a75f1e	olchedy|qolchedy	3	E126|E168|E242	BIOLOGICAL	B1|B2|B3	OL+CHD+DY	OL+CHD+DY	3	FULL_COMPONENT_COMPOSITION	fortsetzen · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC080	1645e612504fcef59ced	okain|qokain	7	E127|E169|E198|E200|E288|E341|E352	BIOLOGICAL	B1|B2|B3|B4	OK+AIN	OK+AIN	2	FULL_COMPONENT_COMPOSITION	ansetzen · Portion	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC081	4da0f0f7b5fc7ac20067	ral	1	E130	BIOLOGICAL	B1	R+AL	R+AL	2	FULL_COMPONENT_COMPOSITION	abkühlen · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC082	87411f84689b4f93a303	qokchdy	3	E131|E284|E363	BIOLOGICAL	B1|B3|B5	OK+CHD+DY	OK+CHD+DY	3	FULL_COMPONENT_COMPOSITION	ansetzen · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC083	d904bf7b044dd3922781	cheky	3	E134|E164|E339	BIOLOGICAL	B1|B4	CHK+E+Y	CHK+E+Y	3	FULL_COMPONENT_COMPOSITION	wärmen · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC084	be0974b366c981dc1eef	lsho	1	E141	BIOLOGICAL	B1	LSH+O	LSH+O	2	FULL_COMPONENT_COMPOSITION	Waschgang · Arbeitsgang	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC085	08bd5ca0c2ad137a056d	okey|qokey	2	E142|E220	BIOLOGICAL	B1|B2	OK+E+Y	OK+E+Y	3	FULL_COMPONENT_COMPOSITION	ansetzen · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC086	2e7e89e0bd12b999c280	lshedy	2	E143|E144	BIOLOGICAL	B1	LSH+E+DY	LSH+E+DY	3	FULL_COMPONENT_COMPOSITION	Waschgang · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC087	c205570c49d4d93c23d3	qolky	1	E146	BIOLOGICAL	B1	SOLK+Y	SOLK+Y	2	FULL_COMPONENT_COMPOSITION	auffangen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC088	433713294b25b0a12f66	lchedal	1	E147	BIOLOGICAL	B1	L+CHD+AL	L+CHD+AL	3	FULL_COMPONENT_COMPOSITION	führen · umsetzen · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC089	b6b654722e55729cc947	otar	1	E149	BIOLOGICAL	B1	OT+AR	OT+AR	2	FULL_COMPONENT_COMPOSITION	danach · von dort	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC090	a7af89ab31ce5e247395	ytey	1	E150	BIOLOGICAL	B1	T+E+Y	T+E+Y	3	FULL_COMPONENT_COMPOSITION	eintragen · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC091	07913ef9b1fb773cd325	okchedy|qokchedy	2	E151|E264	BIOLOGICAL	B1|B3	OK+CHD+DY	OK+CHD+DY	3	FULL_COMPONENT_COMPOSITION	ansetzen · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC092	0275fbf14e07935b0a45	okeey|qokeey	7	E153|E175|E194|E205|E293|E317|E322	BIOLOGICAL	B1|B2|B3|B4	OK+EE+Y	OK+EE+Y	3	FULL_COMPONENT_COMPOSITION	ansetzen · länger · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC093	a06244ef1f2b37ca44c1	teol	1	E157	BIOLOGICAL	B1	E+OL	E+OL	2	FULL_COMPONENT_COMPOSITION	kurz · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC094	d225b7a7b95da7aee437	dchdy	1	E158	BIOLOGICAL	B1	CHD+DY	CHD+DY	2	FULL_COMPONENT_COMPOSITION	umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC095	b38d70daefd663d74625	ly	1	E159	BIOLOGICAL	B1	L+Y	L+Y	2	FULL_COMPONENT_COMPOSITION	führen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC096	74c76d589d44120f647b	dsheol	1	E160	BIOLOGICAL	B1	SH+E+OL	SH+E+OL	3	FULL_COMPONENT_COMPOSITION	halten · kurz · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC097	2c82523794dcb7d2b343	oiiin|soiiin	2	E161|E309	BIOLOGICAL	B1|B3	O+IIN	O+IIN	2	FULL_COMPONENT_COMPOSITION	Arbeitsgang · Sollstufe	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC098	3b70942557b3a40e8030	olkeedy|solkeedy	3	E162|E229|E291	BIOLOGICAL	B1|B3	SOLK+EE+DY	SOLK+EE+DY	3	FULL_COMPONENT_COMPOSITION	auffangen · länger · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC099	d68bc8de3bcee09db23c	shckhedy	3	E165|E330|E331	BIOLOGICAL	B1|B4	SH+CKHE+DY	SH+CKH+E+DY	4	FULL_COMPONENT_COMPOSITION	halten · Durchlass · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC100	7d25241b0e56c836372a	qokeedy	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	BIOLOGICAL	B2|B3|B4	OK+EE+DY	OK+EE+DY	3	FULL_COMPONENT_COMPOSITION	ansetzen · länger · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
