occurrence_no	clause_id	instruction_id	record	page	action_component	frame_code	frame_conditioned_verb_de	trigger	narrowed_from_base	member_card_nos	source_position_ids	component_values_changed
46	I043-C01	I043	B2	f82r	R	COMMIT_COOL	auskühlen lassen	R plus Schluss	YES	PROC128	SRC_E225	NO
47	I048-C01	I048	B3	f83r	CHK	TARGET_WARM	anwärmen	CHK plus Ziel	YES	PROC131|PROC132	SRC_E230|SRC_E231	NO
48	I055-C01	I055	B3	f83r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC136	SRC_E250	NO
49	I055-C04	I055	B3	f83r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC137|PROC016|PROC078	SRC_E253|SRC_E254|SRC_E255	NO
50	I057-C02	I057	B3	f83r	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	YES	PROC139	SRC_E261	NO
51	I061-C01	I061	B3	f83r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC078	SRC_E266	NO
52	I062-C01	I062	B3	f83r	SH	TIMED_REST	ruhen lassen	SH plus Grad und Schluss	YES	PROC141	SRC_E267	NO
53	I064-C02	I064	B3	f83r	SHED	TARGET_DEPOSIT	ablagern	SHED plus Ziel	YES	PROC014|PROC055|PROC019|PROC009|PROC142	SRC_E271|SRC_E272|SRC_E273|SRC_E274|SRC_E275	NO
54	I064-C03	I064	B3	f83r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC143	SRC_E276	NO
55	I069-C04	I069	B3	f83r	R	TARGET_COOL	abkühlen lassen	R plus Ziel	YES	PROC014|PROC148	SRC_E289|SRC_E290	NO
56	I077-C02	I077	B3	f83r	SHED	TARGET_DEPOSIT	ablagern	SHED plus Ziel	YES	PROC112|PROC153|PROC078	SRC_E312|SRC_E313|SRC_E314	NO
57	I080-C04	I080	B4	f83r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC013|PROC078	SRC_E324|SRC_E325	NO
58	I083-C01	I083	B4	f83r	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	YES	PROC099	SRC_E330	NO
59	I084-C01	I084	B4	f83r	SH	PATH_HOLD	zurückhalten	SH plus Lauf/Durchlass	YES	PROC099	SRC_E331	NO
60	I085-C01	I085	B4	f83r	CHK	HOLD_WARM	warm halten	CHK plus Grad	YES	PROC009|PROC046	SRC_E332|SRC_E333	NO
61	I085-C02	I085	B4	f83r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC157	SRC_E334	NO
62	I086-C01	I086	B4	f83r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC078	SRC_E336	NO
63	I088-C01	I088	B4	f83r	CHK	HOLD_WARM	warm halten	CHK plus Grad	YES	PROC009|PROC083	SRC_E338|SRC_E339	NO
64	I090-C02	I090	B4	f83r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC078	SRC_E347	NO
65	I092-C02	I092	B4	f83r	SH	TIMED_HOLD	halten	SH plus Grad ohne Schluss	NO	PROC031	SRC_E353	NO
66	I092-C04	I092	B4	f83r	CH	PATH_DRAW	ablaufen lassen	CH plus Lauf/Durchlass	YES	PROC163	SRC_E355	NO
67	I093-C03	I093	B4	f83r	SHED	COMMIT_SETTLE	absetzen lassen	SHED plus Schluss	YES	PROC078	SRC_E361	NO
68	I096-C01	I096	B5	f83r	SHED	TARGET_DEPOSIT	ablagern	SHED plus Ziel	YES	PROC142	SRC_E364	NO
69	I097-C03	I097	B6	f83r	R	TARGET_COOL	abkühlen lassen	R plus Ziel	YES	PROC172	SRC_E375	NO
