teaching_order	symbol	layer	atomic_value_de	owner_expansion_de	status	surface_type_count	visible_group_count	registers	pages	example_surfaces	minimal_pair_ids	caution_de
11	Y	BOUND	DIESER_POSTEN	aktuell gemeinter Posten	PORTABEL_GEBUNDEN	105	154	ASTRO|PROSE	f10r|f11r|f55v|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	amy|ay|cfhy|chary|chckhy|chdy|checthy|chedchy|chedy|cheeky|chekody|cheky	G01|G05|G07|G08|O04|P01|P02|P03|P04|Q04|X01|X02|X03|X04|X06	Referent, nicht automatisch offen
12	E	BOUND	KURZ	kurze oder erste Stufe	GEBUNDEN	39	62	ASTRO|PROSE	f10r|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	cheedy|cheky|dshedy|dsheol|etyd|eykeody|kchey|keol|lkedy|okeal|okear|okeod	G01|G02|G04|G05|G06|G07|G08|G09|X02	nur in lizenzierten Gradfamilien
13	EE	BOUND	LAENGER	längere oder zweite Stufe	GEBUNDEN	42	61	ASTRO|PROSE	f55v|f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	cheeckhody|cheeky|chees|cheeteey|cheteeser|chkeedy|chkeey|choeea|choteey|chteey|cpheey|eesydy	G01|G02|G03|G04|G05|G06|G07|G08|G09|X03|X04	nur in lizenzierten Gradfamilien
14	EEE	BOUND	VOLL	volle oder dritte Stufe	DÜNN_GEBUNDEN	4	4	ASTRO|PROSE	f68r1|f69v|f82r|f83r	cheeety|choctheeey|otokeeey|qokeeedy	G03	sauber, aber nur zwei Gruppen
15	CLOSE	BOUND	SCHLUSS	lokalen Arbeitsschritt schließen	KARTENGEBUNDEN	43	87	PROSE	f11r|f55v|f56r|f81v|f82r|f83r	cheeckhody|cheedy|chkeedy|dairydy|dalchdy|daldy|dchdy|dchedy|dshedy|lcheckhedy|lchedy|ldy	G02|G03|G04|G06|O05|X01|X02|X03|X04|X05|X06	kein freies sichtbares dy-Morphem
16	CHD	PROCESS	UMSETZEN	von einem Posten in den nächsten führen	AKTIVER_KERN	33	55	ASTRO|PROSE	f55v|f67r2|f68r1|f69v|f81v|f82r|f83r	chda|chdal|chdy|chedaiin|chedain|chedchy|chedy|cheedar|dalchdy|dchdar|dchdy|dchedy	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
17	CTH	PROCESS	BEREIT	Arbeitszustand ist bereit	AKTIVER_KERN	18	22	ASTRO|PROSE	f10r|f11r|f55v|f67r2|f68r1|f82r|f83r	checthy|choctheeey|cphocthy|cthaiin|cthoor|cthy|octheol|octhey|octhole|octhys|odchecthy|oltchy	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
18	CKH	PROCESS	DURCHLAUF	durch einen Gang führen	AKTIVER_KERN	10	14	ASTRO|PROSE	f56r|f67r2|f68r1|f69v|f81v|f82r|f83r	chckhal|chckhy|cheeckhody|lcheckhy|ockhy|qockhey|qockhy|shckhy|sheckhal|sheckhy	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
19	CKHE	PROCESS	TRENNEN	seihen oder Stoffe trennen	AKTIVER_KERN	3	5	ASTRO|PROSE	f68r1|f81v|f82r|f83r	eckhear|lcheckhedy|shckhedy	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
20	CHK	PROCESS	WAERMEN	wärmen oder warm halten	AKTIVER_KERN	5	8	ASTRO|PROSE	f55v|f67r2|f81v|f82r|f83r	cheeky|chekody|cheky|chkeedy|chkeey	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
21	SHED	PROCESS	ABSETZEN	stehen und absetzen lassen	AKTIVER_KERN	9	19	PROSE	f81v|f82r|f83r	cheedy|chldaiin|dshedy|qokshedy|shedal|shedy|sheedy|solshedy|tedy	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
22	SOLK	PROCESS	SAMMELN	an einer Sammelstelle auffangen	AKTIVER_KERN	5	6	PROSE	f81v|f82r|f83r	olkeedy|solkaiin|solkeedy|solkeey|solkey	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
23	HO	PROCESS	EINGANGSPOSTEN	Zutat oder Tafeleingang	BESITZER_EXPANDIERT	33	45	ASTRO|PROSE	f10r|f11r|f56r|f67r2|f68r1|f69v	cheeckhody|cho|choaiin|chocfhy|chochor|choctheeey|chod|chodaiin|chodaly|choeea|choer|chokal	P03	Zutat oder Tabelleneingabe
24	CHEO	PROCESS	AUSGABE_AUSZUG	gewonnener Auszug oder Tabellenwert	AKTIVER_KERN	12	13	ASTRO|PROSE	f10r|f55v|f56r|f67r2|f68r1|f69v	cheo|cheoar|cheody|cheokorchey|cheor|cheos|chokcheo|kchoar|ofcheor|otcheody|ycheody|ycheor	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
25	KCH	PROCESS	BEARBEITEN	lokalen Arbeitsgang ausführen	AKTIVER_KERN	21	25	ASTRO|PROSE	f10r|f11r|f56r|f67r2|f68r1|f69v|f81v|f83r	chkchdar|chkchykoly|chykchs|kchal|kchey|kchol|kchy|okchdy|okcheys|okchoal|okchy|otykchs	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
26	TY	PROCESS	TEIL	Teil oder abgetrennter Posten	AKTIVER_KERN	8	8	ASTRO|PROSE	f10r|f11r|f69v|f81v|f83r	cheeety|chety|chty|etyd|otytchol|shoyty|ytey|ytyd	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
27	SH	PROCESS	HALTEN	Posten oder Tabellenwert halten	AKTIVER_KERN	11	11	ASTRO|PROSE	f11r|f56r|f67r2|f69v|f81v|f82r|f83r	dsheol|lkshy|okoirsh|rsheal|sh|shees|sheey|shekchy|shfydaiin|shs|sshkchdy	NONE	konkretes Nomen weiterhin vom Besitzer beziehen
28	CHEEY	PROCESS	SICHTBARES_ERGEBNIS	Klarauszug oder Ablesewert	BESITZER_EXPANDIERT	10	15	ASTRO|PROSE	f11r|f67r2|f68r1|f69v|f82r|f83r	cheey|cheyky|lcheey|otshey|qocheey|shey|sshey|tshey|ychey|yshey	P04	Klarauszug oder Tabellenablesung
29	YK	TABLE_LOCAL	KLASSE_HAUS	bezeichnete Tabellenklasse	TAFELLOKAL	24	29	ASTRO	f67r2|f68r1|f69v	cheyky|eykeody|sykos|yka|ykady|ykaly|ykar|ykchdy|ykchey|ykchos|ykchy|ykchys	NONE	nicht in Prosa oder eine andere Tafel exportieren
30	YT	TABLE_LOCAL	PLATZ_PHASE	bezeichneter Platz oder Phase	TAFELLOKAL	15	17	ASTRO	f67r2|f68r1|f69v	ytalchos|ytchodly|ytchody|yteody|yteoor|yteos|yto|ytoaiin|ytodal|ytody|ytoeopchey|ytokar	NONE	nicht in Prosa oder eine andere Tafel exportieren
31	OD	TABLE_LOCAL	MARKIERT	Wert eintragen oder markieren	TAFELLOKAL	30	38	ASTRO	f67r2|f68r1|f69v	chekody|chetody|eykeody|odaeiin|odaiiin|odain|odair|odal|odas|odchecthy|ody|oeeody	NONE	nicht in Prosa oder eine andere Tafel exportieren
32	YD	TABLE_LOCAL	AKTIVE_ZEILE	aktive oder notierte Tabellenzeile	TAFELLOKAL	4	5	ASTRO	f67r2	ydaiin|ydam|ydchos|ydoly	NONE	nicht in Prosa oder eine andere Tafel exportieren
33	AM	TABLE_LOCAL	ASPEKT	Aspekt des sichtbaren Platzes	TAFELLOKAL	6	9	ASTRO|PROSE	f55v|f67r2|f68r1|f69v	am|amy|aram|daram|oaram|talam|ydam	NONE	nicht in Prosa oder eine andere Tafel exportieren
34	G	TABLE_LOCAL	GRAD	Grad des sichtbaren Platzes	TAFELLOKAL	5	5	ASTRO	f67r2|f68r1	g|giin|og|oygy|qsg	NONE	nicht in Prosa oder eine andere Tafel exportieren
35	OS	TABLE_LOCAL	FELD	sichtbares Feld oder Rahmen	TAFELLOKAL	7	9	ASTRO|PROSE	f10r|f67r2|f68r1|f69v	oeeos|okeeos|os|osar|osdaiin|sosho|sykos	NONE	nicht in Prosa oder eine andere Tafel exportieren
36	A	TABLE_LOCAL	HAUPTWERT	Hauptwert der lokalen Tafel	TAFELLOKAL	4	5	ASTRO	f67r2|f69v	a|ay|dchetay|saiir	NONE	nicht in Prosa oder eine andere Tafel exportieren
37	S	TABLE_LOCAL	NEBENWERT	Nebenwert der lokalen Tafel	TAFELLOKAL	6	9	ASTRO	f67r2|f68r1|f69v	chsdy|es|s|saiir|shs|tochso	NONE	nicht in Prosa oder eine andere Tafel exportieren
38	O	TABLE_LOCAL	GRUNDWERT	Grundwert der lokalen Tafel	TAFELLOKAL	7	8	ASTRO	f67r2|f68r1|f69v	doiir|o|ocphy|ofydy|oygy|qkoy|tochso	NONE	nicht in Prosa oder eine andere Tafel exportieren
39	D	TABLE_LOCAL	FESTWERT	festgesetzter Tabellenwert	TAFELLOKAL	4	4	ASTRO	f67r2|f69v	d|dchetay|dchy|doiir	NONE	nicht in Prosa oder eine andere Tafel exportieren
40	R	TABLE_LOCAL	BEZUGSWERT	lokaler Bezugswert	TAFELLOKAL	1	1	ASTRO	f67r2	r	NONE	nicht in Prosa oder eine andere Tafel exportieren
41	CH	TABLE_LOCAL	ZUSTAND	lokaler Tabellenzustand	TAFELLOKAL	8	8	ASTRO	f67r2|f68r1|f69v	ch|chetody|chky|chsdy|dchetay|dchy|qopchy|tochso	NONE	nicht in Prosa oder eine andere Tafel exportieren
42	T	TABLE_LOCAL	PHASENFOLGE	Phase oder Platzfolge	TAFELLOKAL	5	5	ASTRO	f67r2|f68r1|f69v	chetody|dchetay|tey|tochso|yetey	NONE	nicht in Prosa oder eine andere Tafel exportieren
43	IIR	TABLE_LOCAL	INDEX	lokaler Index	TAFELLOKAL	2	2	ASTRO	f69v	doiir|saiir	NONE	nicht in Prosa oder eine andere Tafel exportieren
44	OP	TABLE_LOCAL	PAARFELD	Paar- oder Gegenfeld	TAFELLOKAL	5	5	ASTRO	f67r2|f68r1	oparchy|opcheeol|opcholdy|opodchol|qopchy	NONE	nicht in Prosa oder eine andere Tafel exportieren
45	K	TABLE_LOCAL	KLASSE	lokale Klasse	TAFELLOKAL	2	2	ASTRO	f67r2	chky|qkoy	NONE	nicht in Prosa oder eine andere Tafel exportieren
46	SEL	TABLE_LOCAL	AUSGEWAEHLT	gebundener Auswahlhaken	TAFELLOKAL	3	3	ASTRO	f67r2|f69v	es|ey|yetey	NONE	nicht in Prosa oder eine andere Tafel exportieren
47	CFH	LEARNED_BODY	AUSWRINGEN	gelerntes Werkstattzeichen	GELERNTER_FACHKÖRPER	1	1	PROSE	f11r	cfhy	NONE	nicht weiter in Einzelbuchstaben zerlegen
48	CPH	LEARNED_BODY	NACHSEIHEN	gelerntes Werkstattzeichen	GELERNTER_FACHKÖRPER	1	1	PROSE	f11r	cphy	NONE	nicht weiter in Einzelbuchstaben zerlegen
49	PARTITION	LEARNED_BODY	ABTRENNEN	gelerntes Werkstattzeichen	GELERNTER_FACHKÖRPER	3	3	PROSE	f10r|f82r|f83r	ches|chety|chty	NONE	nicht weiter in Einzelbuchstaben zerlegen
50	WASH	LEARNED_BODY	WASCHEN	gelerntes Werkstattzeichen	GELERNTER_FACHKÖRPER	3	4	PROSE	f81v|f82r	lshedy|lsho|rshedy	NONE	nicht weiter in Einzelbuchstaben zerlegen
51	LDDY	LEARNED_BODY	FESTMACHEN_SCHLUSS	gelerntes Werkstattzeichen	GELERNTER_FACHKÖRPER	1	1	PROSE	f83r	qokylddy	NONE	nicht weiter in Einzelbuchstaben zerlegen
52	DCHE	LEARNED_BODY	WURZEL	gelerntes Bildregisterzeichen	GELERNTER_FACHKÖRPER	1	1	PROSE	f10r	dchey	NONE	nicht weiter in Einzelbuchstaben zerlegen
53	DAN	LEARNED_BODY	ANWENDEN	gelerntes Werkstattzeichen	GELERNTER_FACHKÖRPER	1	1	PROSE	f56r	sotodan	NONE	nicht weiter in Einzelbuchstaben zerlegen
54	SK	LEARNED_BODY	AUSGIESSEN	gelerntes Werkstattzeichen	GELERNTER_FACHKÖRPER	1	1	PROSE	f83r	skar	NONE	nicht weiter in Einzelbuchstaben zerlegen
55	DL	WHOLE_CARD	ZUSATZ	unzerlegte Fachkarte	GANZKARTE	1	2	PROSE	f81v	dl	NONE	nur als vollständige Karte lernen
56	TALAM	WHOLE_CARD	AM_ZIEL_VERWAHREN	unzerlegter Werkstattbefehl	GANZKARTE	1	1	PROSE	f55v	talam	NONE	nur als vollständige Karte lernen
