surface_id	visible_surface	register_status	observed_groups	pages	atom_sequence	teaching_class	short_spoken_value_de	owner_rule_de	apprentice_action_de	memorized_body_or_residue	example_group	example_owner	example_value_de	original_classification
SF0012	amy	ASTRO_ONLY	1	f67r2	AM+Y	TABLE_LOCAL_CODE	aktueller Aspekt	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A1:G050	A1_LEFT_LOCAL_FIELD_19	aktueller Aspekt	ASTRO_LOCAL_PRODUCTIVE_CONTENT_ROOT
SF0013	ar	ASTRO_ONLY	9	f67r2|f69v	AR	PRODUCTIVE_COMMON_COMPOSITION	Ausgangssektor, Ursprung oder Bezugswert	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	A1:G049	A1_LEFT_LOCAL_FIELD_19	Ausgangssektor, Ursprung oder Bezugswert	PRODUCTIVE_CORE_SIGN
SF0014	aram	ASTRO_ONLY	1	f67r2	AR+AM	TABLE_LOCAL_CODE	Quellaspekt	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A1:G003	A1_RIGHT_SECTOR_SLOT_01	Quellaspekt	ASTRO_LOCAL_PRODUCTIVE_CONTENT_ROOT
SF0015	ay	ASTRO_ONLY	2	f67r2	A+Y	TABLE_LOCAL_CODE	aktueller Hauptwert	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A1:G152	A1_RIGHT_PHASE_STATION_06	aktueller Hauptwert	ASTRO_LOCAL_PRIMITIVE_MICROCODE
SF0016	cfhy	PROSE_ONLY	1	f11r	CFH+Y	LEARNED_TECHNICAL_BODY	aktuellen Posten auswringen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	Fachkörper als Einheit lernen und Argumente anhängen	CFH=AUSWRINGEN	E041	H3	aktuellen Posten auswringen	COMPOSED_LEARNED_PROSE_BODY
SF0017	ch	ASTRO_ONLY	1	f69v	CH	TABLE_LOCAL_CODE	Zustand	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A3:G064	A3_MIDDLE_WHEEL_RING_TEXT	Zustand	ASTRO_LOCAL_PRIMITIVE_MICROCODE
SF0018	chaiin	PROSE_ONLY	1	f55v	AIIN	REGISTERED_RENDERER_ALLOGRAPH	Sollmaß	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	Schreiberrahmen normalisieren und Kern lesen	NONE	E057	H4	Sollmaß	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
SF0019	chair	PROSE_ONLY	1	f10r	AIR	PRODUCTIVE_COMMON_COMPOSITION	Wasserzulauf	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E006	H1	Wasserzulauf	PRODUCTIVE_BREVIGRAPH
SF0020	chal	PROSE_ONLY	1	f81v	AL	REGISTERED_RENDERER_ALLOGRAPH	dorthin	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	Schreiberrahmen normalisieren und Kern lesen	NONE	E166	B1	dorthin	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
SF0021	char	PROSE_AND_ASTRO	3	f10r|f69v|f82r	AR	REGISTERED_RENDERER_ALLOGRAPH	Quelle	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	E003	H1	aus dem Ansatz	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
SF0022	chary	PROSE_ONLY	1	f83r	AR+Y	PRODUCTIVE_COMMON_COMPOSITION	aus diesem Posten	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E253	B3	aus diesem Posten	PRODUCTIVE_BREVIGRAPH
SF0023	chckhal	PROSE_ONLY	1	f83r	CKH+AL	PRODUCTIVE_COMMON_COMPOSITION	zur Zielstelle durchleiten	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E355	B4	zur Zielstelle durchleiten	PRODUCTIVE_CORE_PLUS_EDGE
SF0024	chckhy	PROSE_ONLY	3	f81v|f82r	CKH+Y	PRODUCTIVE_COMMON_COMPOSITION	durchleiten	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E119	B1	durchleiten	PRODUCTIVE_CORE_PLUS_EDGE
SF0025	chda	ASTRO_ONLY	1	f69v	CHD	REGISTERED_RENDERER_ALLOGRAPH	Wert oder Platzbezug uebertragen	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A3:G089	A3_RIGHT_WHEEL_RING_TEXT	Wert oder Platzbezug uebertragen	REGISTERED_ASTRO_OPERATION_ALLOGRAPH
SF0026	chdal	PROSE_ONLY	1	f83r	CHD+AL	PRODUCTIVE_COMMON_COMPOSITION	dort umsetzen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E368	B5	dort umsetzen	PRODUCTIVE_CORE_PLUS_EDGE
SF0027	chdy	PROSE_AND_ASTRO	2	f69v|f83r	CHD+Y	PRODUCTIVE_COMMON_COMPOSITION	laufenden Posten umsetzen	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	E342	B4	laufenden Posten umsetzen	PRODUCTIVE_CORE_PLUS_EDGE
SF0028	cheal	PROSE_AND_ASTRO	2	f69v|f82r	AL	REGISTERED_RENDERER_ALLOGRAPH	Ziel	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	E214	B2	dorthin	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
SF0029	chealror	PROSE_ONLY	1	f83r	AL+OR	PRODUCTIVE_COMMON_COMPOSITION	Ansatz von dort zur Zielstelle	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E290	B3	Ansatz von dort zur Zielstelle	PRODUCTIVE_BREVIGRAPH
SF0030	chear	ASTRO_ONLY	1	f69v	AR	REGISTERED_RENDERER_ALLOGRAPH	Quelle	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A3:G060	A3_MIDDLE_WHEEL_RING_TEXT	Quelle	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
SF0031	checthy	PROSE_ONLY	2	f83r	CTH+Y	PRODUCTIVE_COMMON_COMPOSITION	bereit	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E289	B3	bereit	PRODUCTIVE_CORE_PLUS_EDGE
SF0032	chedaiin	ASTRO_ONLY	1	f67r2	CHD+AIIN	PRODUCTIVE_COMMON_COMPOSITION	ZUM SOLLWERT UMSETZEN	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	A1:G096	A1_LEFT_LOCAL_FIELD_39	ZUM SOLLWERT UMSETZEN	PRODUCTIVE_ASTRO_COMPOSITION
SF0033	chedain	PROSE_ONLY	1	f83r	CHD+AIN	PRODUCTIVE_COMMON_COMPOSITION	Portion umsetzen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E303	B3	Portion umsetzen	PRODUCTIVE_CORE_PLUS_EDGE
SF0034	chedchy	PROSE_ONLY	1	f83r	CHD+Y	PRODUCTIVE_COMMON_COMPOSITION	diesen Posten überführen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E240	B3	diesen Posten überführen	PRODUCTIVE_CORE_PLUS_EDGE
SF0035	chedy	PROSE_ONLY	10	f55v|f81v|f83r	CHD+Y	PRODUCTIVE_COMMON_COMPOSITION	laufenden Posten umsetzen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E062	H4	laufenden Posten umsetzen	PRODUCTIVE_CORE_PLUS_EDGE
SF0036	cheeckhody	PROSE_ONLY	1	f56r	EE+CKH+HO+CLOSE	PRODUCTIVE_COMMON_COMPOSITION	länger auftragen; Schluss	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	HO	E086	H5	länger auftragen; Schluss	PRODUCTIVE_CORE_PLUS_EDGE
SF0037	cheedar	PROSE_ONLY	1	f83r	CHD+AR	PRODUCTIVE_COMMON_COMPOSITION	von dort umsetzen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	CHD	E285	B3	von dort umsetzen	PRODUCTIVE_CORE_PLUS_EDGE
SF0038	cheedy	PROSE_ONLY	1	f81v	SHED+E+CLOSE	PRODUCTIVE_COMMON_COMPOSITION	kurz absetzen lassen; Schluss	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E155	B1	kurz absetzen lassen; Schluss	PRODUCTIVE_CORE_PLUS_EDGE
SF0039	cheeety	PROSE_ONLY	1	f83r	EEE+TY	PRODUCTIVE_COMMON_COMPOSITION	ganzen Teilposten	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E296	B3	ganzen Teilposten	PRODUCTIVE_BREVIGRAPH
SF0040	cheeky	PROSE_ONLY	2	f55v|f83r	CHK+EE+Y	PRODUCTIVE_COMMON_COMPOSITION	länger erwärmen und offen halten	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E066	H4	länger erwärmen und offen halten	PRODUCTIVE_CORE_PLUS_EDGE
SF0041	chees	ASTRO_ONLY	1	f69v	EE	BOUND_MODIFIER_COMPOSITION	lange Tabellenstufe	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	nur innerhalb der lizenzierten Familie auswerten	NONE	A3:G031	A3_LEFT_WHEEL_RING_TEXT	lange Tabellenstufe	ASTRO_PRODUCTIVE_BOUND_EE_GRADE
SF0042	cheeteey	ASTRO_ONLY	1	f68r1	EE+EE	BOUND_MODIFIER_COMPOSITION	zwei lange Tabellenstufen	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	nur innerhalb der lizenzierten Familie auswerten	NONE	A2:G014	A2_MIDDLE_PANEL_HEADER	zwei lange Tabellenstufen	ASTRO_PRODUCTIVE_BOUND_EE_GRADE
SF0043	cheey	PROSE_AND_ASTRO	4	f68r1|f69v|f82r	CHEEY	PRODUCTIVE_COMMON_COMPOSITION	sichtbares Ergebnis / Ablesewert	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	E197	B2	klarer Auszug	CROSS_REGISTER_PRODUCTIVE_CHEEY_RESULT
SF0044	chekody	ASTRO_ONLY	1	f67r2	CHK+OD+Y	TABLE_LOCAL_CODE	erwärmten/gehaltenen Posten markieren	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A1:G102	A1_LEFT_LOCAL_FIELD_41	erwärmten/gehaltenen Posten markieren	ASTRO_OD_PRODUCTIVE_MODIFIER
SF0045	cheky	PROSE_ONLY	3	f81v|f83r	CHK+E+Y	PRODUCTIVE_COMMON_COMPOSITION	kurz wärmen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E134	B1	kurz wärmen	PRODUCTIVE_CORE_PLUS_EDGE
SF0046	cheo	ASTRO_ONLY	1	f69v	CHEO	PRODUCTIVE_COMMON_COMPOSITION	Ablesewert	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	A3:G050	A3_MIDDLE_WHEEL_RING_TEXT	Ablesewert	PRODUCTIVE_CORE_SIGN
SF0047	cheoar	PROSE_ONLY	1	f55v	CHEO+AR	PRODUCTIVE_COMMON_COMPOSITION	Auszug entnehmen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E065	H4	Auszug entnehmen	PRODUCTIVE_CORE_PLUS_EDGE
SF0048	cheody	ASTRO_ONLY	1	f69v	CHEO	REGISTERED_RENDERER_ALLOGRAPH	Ablesewert fest	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A3:G057	A3_MIDDLE_WHEEL_RING_TEXT	Ablesewert fest	REGISTERED_ASTRO_OPERATION_ALLOGRAPH
SF0049	cheokorchey	ASTRO_ONLY	1	f68r1	CHEO+OR	REGISTERED_RENDERER_ALLOGRAPH	Auszug/Ausgabe + Ansatz/Satz	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A2:G017	A2_MIDDLE_PANEL_HEADER	Auszug/Ausgabe + Ansatz/Satz	REGISTERED_RELATIONAL_CORE_ALLOGRAPH
SF0050	cheol	PROSE_ONLY	1	f83r	OL	PRODUCTIVE_COMMON_COMPOSITION	fortsetzen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E366	B5	fortsetzen	PRODUCTIVE_BREVIGRAPH
SF0051	cheor	ASTRO_ONLY	2	f68r1|f69v	CHEO	REGISTERED_RENDERER_ALLOGRAPH	Bedingungs-, Tabellen- oder Wahlansatz	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A2:G005	A2_LEFT_PANEL_HEADER	Bedingungs-, Tabellen- oder Wahlansatz	REGISTERED_ASTRO_OPERATION_ALLOGRAPH
SF0052	cheos	ASTRO_ONLY	1	f67r2	CHEO	REGISTERED_RENDERER_ALLOGRAPH	Ausgabe/Auszug	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A1:G180	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	Ausgabe/Auszug	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
SF0053	ches	PROSE_ONLY	1	f82r	PARTITION	LEARNED_TECHNICAL_BODY	teilen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	Fachkörper als Einheit lernen und Argumente anhängen	NONE	E216	B2	teilen	FINAL_PRODUCTIVE_BODY_OR_REGISTER_SPLIT
SF0054	cheteeser	ASTRO_ONLY	1	f69v	EE	BOUND_MODIFIER_COMPOSITION	lange Tabellenstufe	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	nur innerhalb der lizenzierten Familie auswerten	NONE	A3:G101	A3_RIGHT_WHEEL_RING_TEXT	lange Tabellenstufe	ASTRO_PRODUCTIVE_BOUND_EE_GRADE
SF0055	chetody	ASTRO_ONLY	1	f69v	CH+T+OD+Y	TABLE_LOCAL_CODE	aktuellen Phasen-Zustand eintragen	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A3:G009	A3_LEFT_WHEEL_RING_TEXT	aktuellen Phasen-Zustand eintragen	ASTRO_LOCAL_PHASE_SELECTION_MICROCODE
SF0056	chety	PROSE_ONLY	1	f83r	PARTITION+TY	LEARNED_TECHNICAL_BODY	Teil abtrennen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	Fachkörper als Einheit lernen und Argumente anhängen	PARTITION=ABTRENNEN	E311	B3	Teil abtrennen	COMPOSED_LEARNED_PROSE_BODY
SF0057	chey	PROSE_AND_ASTRO	11	f69v|f81v|f82r|f83r	Y	PRODUCTIVE_COMMON_COMPOSITION	dieser Posten	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	E132	B1	dieser Posten	PRODUCTIVE_BREVIGRAPH
SF0058	cheyky	ASTRO_ONLY	1	f69v	CHEEY+YK	PRODUCTIVE_COMMON_COMPOSITION	sichtbares Ergebnis / Ablesewert	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	gemeinsame Kerne in Reihenfolge lesen	NONE	A3:G002	A3_LEFT_WHEEL_RING_TEXT	Ablesewert der Klasse/des Hauses	CROSS_REGISTER_PRODUCTIVE_CHEEY_RESULT
SF0059	chkain	PROSE_ONLY	1	f83r	AIN	PRODUCTIVE_COMMON_COMPOSITION	eine Portion	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E257	B3	eine Portion	PRODUCTIVE_BREVIGRAPH
SF0060	chkchdar	ASTRO_ONLY	1	f67r2	KCH+AR	REGISTERED_RENDERER_ALLOGRAPH	Bearbeiten + Quelle	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A1:G018	A1_RIGHT_SECTOR_SLOT_08	Bearbeiten + Quelle	REGISTERED_RELATIONAL_CORE_ALLOGRAPH
SF0061	chkchykoly	ASTRO_ONLY	1	f68r1	KCH+OL	REGISTERED_RENDERER_ALLOGRAPH	Bearbeiten + Fortsetzen	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A2:G031	A2_MULTIPANEL_HEADER_FRAGMENT_07	Bearbeiten + Fortsetzen	REGISTERED_RELATIONAL_CORE_ALLOGRAPH
SF0062	chkeedy	PROSE_ONLY	1	f83r	CHK+EE+CLOSE	PRODUCTIVE_COMMON_COMPOSITION	länger wärmen; Schluss	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E231	B3	länger wärmen; Schluss	PRODUCTIVE_CORE_PLUS_EDGE
SF0063	chkeey	PROSE_ONLY	1	f82r	CHK+EE+Y	PRODUCTIVE_COMMON_COMPOSITION	diesen Posten länger warm halten	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E183	B2	diesen Posten länger warm halten	PRODUCTIVE_CORE_PLUS_EDGE
SF0064	chky	ASTRO_ONLY	1	f67r2	CH+K+Y	TABLE_LOCAL_CODE	aktuellen Klassenzustand setzen	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	lokalen Tafelwert am sichtbaren Besitzer nachschlagen	NONE	A1:G024	A1_RIGHT_SECTOR_SLOT_11	aktuellen Klassenzustand setzen	ASTRO_LOCAL_INDEX_PAIR_CLASS_MICROCODE
SF0065	chldaiin	PROSE_ONLY	1	f83r	SHED+AIIN	PRODUCTIVE_COMMON_COMPOSITION	Absetzmaß	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	SHED	E286	B3	Absetzmaß	PRODUCTIVE_CORE_PLUS_EDGE
SF0066	cho	PROSE_AND_ASTRO	4	f56r|f67r2|f69v	HO	LEARNED_TECHNICAL_BODY	Eingangsposten oder Zutat	gemeinsamer Kern bleibt; Bild oder Diagramm konkretisiert den Gegenstand	Fachkörper als Einheit lernen und Argumente anhängen	NONE	E075	H5	Eingangsposten oder Zutat	FINAL_PRODUCTIVE_BODY_OR_REGISTER_SPLIT
SF0067	choaiin	ASTRO_ONLY	1	f69v	HO+AIIN	REGISTERED_RENDERER_ALLOGRAPH	Eingangsposten mit Sollwert	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A3:G027	A3_LEFT_WHEEL_RING_TEXT	Eingangsposten mit Sollwert	REGISTERED_IIN_AIIN_ALLOGRAPH
SF0068	chocfhy	ASTRO_ONLY	2	f67r2|f68r1	HO	REGISTERED_RENDERER_ALLOGRAPH	Himmelsobjekt oder Eingangsbedingung	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A1:G051	A1_LEFT_LOCAL_FIELD_20	Himmelsobjekt oder Eingangsbedingung	REGISTERED_ASTRO_OPERATION_ALLOGRAPH
SF0069	chochor	PROSE_ONLY	1	f56r	HO+OR	PRODUCTIVE_COMMON_COMPOSITION	Zutatenansatz	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E074	H5	Zutatenansatz	PRODUCTIVE_CORE_PLUS_EDGE
SF0070	choctheeey	ASTRO_ONLY	1	f68r1	HO+CTH+EEE	BOUND_MODIFIER_COMPOSITION	Eingangsposten vollständig bereit	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	nur innerhalb der lizenzierten Familie auswerten	NONE	A2:G008	A2_LEFT_PANEL_HEADER	Eingangsposten vollständig bereit	ASTRO_PRODUCTIVE_BOUND_EE_GRADE
SF0071	chod	ASTRO_ONLY	1	f68r1	HO	REGISTERED_RENDERER_ALLOGRAPH	Eingangsposten	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A2:G018	A2_MIDDLE_PANEL_HEADER	Eingangsposten	RENDERER_ALLOGRAPH_OF_PRODUCTIVE
SF0072	chodaiin	PROSE_ONLY	1	f10r	HO+AIIN	PRODUCTIVE_COMMON_COMPOSITION	Zutatenmaß	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E038	H2	Zutatenmaß	PRODUCTIVE_CORE_PLUS_EDGE
SF0073	chodaly	PROSE_ONLY	1	f56r	HO+AL+Y	PRODUCTIVE_COMMON_COMPOSITION	diese Zutat zur Stelle bringen	Bildbesitzer und laufender Record liefern Stoff, Gerät oder Stelle	gemeinsame Kerne in Reihenfolge lesen	NONE	E076	H5	diese Zutat zur Stelle bringen	PRODUCTIVE_CORE_PLUS_EDGE
SF0074	choeea	ASTRO_ONLY	1	f67r2	HO+EE	BOUND_MODIFIER_COMPOSITION	Eingangsposten länger halten	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	nur innerhalb der lizenzierten Familie auswerten	NONE	A1:G125	A1_LEFT_LOCAL_FIELD_50	Eingangsposten länger halten	ASTRO_PRODUCTIVE_BOUND_EE_GRADE
SF0075	choer	ASTRO_ONLY	1	f67r2	HO	REGISTERED_RENDERER_ALLOGRAPH	Himmelsobjekt oder Eingangsbedingung	sichtbare Diagrammadresse liefert den konkreten Tabellengegenstand	Schreiberrahmen normalisieren und Kern lesen	NONE	A1:G123	A1_LEFT_LOCAL_FIELD_49	Himmelsobjekt oder Eingangsbedingung	REGISTERED_ASTRO_OPERATION_ALLOGRAPH
