rule_id	historical_system	date	witness_or_page	historical_rule	attested_example	target_family	proposed_concrete_reading	prediction_on_fixed_pages	main_limit	source_id
CW13	Recipe application topology	14th c.	UAB Tractatus 21r	Operation links medium to a body target and a repetition count	wet canvas thoroughly wrap from foot to knee three times daily	AIR AL AIN	Flüssigkeit + Ziel + Portion/Wiederholung	AL-marked cards should occur near body/site images or application operations rather than arbitrary objects	The source uses separate words and spatial knowledge	S04
CW14	Pseudo-Lullian alphabet wheel	14th-c. work; 15th-c. witnesses	Codicillus alphabet wheel	Letters denote transformed substances while quadrants denote solve wash reduce fix and color phases	B/G/M/R extrema with four operation quadrants	OK- OKE DY AIR	material/operation/phase code	Co-occurring target atoms could encode orthogonal dimensions even without phonetic roots	Combination is diagrammatic; several letter values remain disputed	S06
CW15	Holy-Trinity letter symbolism	ca.1420	GNM Hs.80061 p.158	Alphabet letters designate metals and alchemical operations	letter table for metals and operations	LCHED and opaque cards	compact operation IDs beside whole emblems	A small learned inventory can include both compositional identifiers and atomic iconic cards	Published caption does not expose every mapping	S05
CW16	Holy-Trinity three-letter IDs	ca.1430	alphabet table	Three letters chosen from a 21-letter inventory label each of seven metal/planet correspondences	seven fixed triads	opaque whole cards	learned three-atom technical ID	Short opaque cards need not split into material action and duration even when built from recurring atoms	Triad positions are not demonstrated as semantic slots	S07
CW17	Holy-Trinity Decknamen	1416-1430	Wellcome MS.164 and related recension	One term or emblem deliberately overlays metal planet color virtue and religious figure	Rebis and seven-spoke correspondence diagram	opaque whole cards	polysemous workshop whole card	A card may have one practical referent in recipes and wider associations in image labels	This tradition is unusually mystical and may overpredict polysemy	S08
CW18	Medical astrology	1434+	Michael of Rhodes 103b	Zodiac sign plus lunar position selects body site and permissible treatment time	Pisces=feet; lunar sign governs unbinding	AL	Körperstelle/Ziel	AL should be strongest near body/site references and treatment timing not a universal suffix	Spatial table relation is not inline morphology	S10
CW19	Folding almanac	1415-1420	Wellcome Zodiac Man	Placed signs jointly encode body region and medically risky time	zodiac glyphs located on body parts	AL and astronomical whole cards	Stelle/Zeit-Korrespondenz	Astro cards can be learned labels whose meaning comes partly from placement in the figure	No medicine or material is encoded inside the sign	S11
CW20	Alchemical sign lexicon	13th-15th-c. manuscripts summarized 1893	Sloane 976 and 830	Sign inventories mix planetary inheritances written-name contractions and arbitrary marks	multiple variants for gold silver copper vitriol etc.	AIR LCHED opaque cards	mixed compositional and atomic lexicon	Some target families may be abbreviatory while others are conventional whole signs	The old sign survey itself warns its chronology is imperfect	S12
P01	Prediction for whole card	working theory	fixed ten-page corpus	Treat contained measure-like substring as accidental unless substitution supports it	solkaiin	solkaiin	Filtertuch/Seihtuch	Should follow a liquid-solid preparation and cluster with straining rather than quantity slots	Exploratory meaning not a historical derivation	S03
P02	Prediction for whole card	working theory	fixed ten-page corpus	Body target can be a learned whole card even if it visually contains AIIN	chodaiin	chodaiin	Geschwür/wunde Schwellung	Should accept washing salve or covering and permit a separate true quantity card nearby	Could instead be a compositional material plus measure	S10
P03	Prediction for whole card	working theory	fixed ten-page corpus	A productive operation stem may combine with a batch measure	shfydaiin	shfydaiin	Auszug/Presssaft; possible SHFY+AIIN	Should occur after crushing or soaking and before filter or application; parallel SHFY+measure forms would favor the split	May simply be an atomic product name	S03
P04	Prediction for whole card	working theory	fixed ten-page corpus	A body site word may remain whole despite nested AIN/AIIN-like sequence	ykaiin	ykaiin	Wunde/Öffnung	Should be a treatment target concentrated in biological-medical contexts	Image association may be misleading	S10
P05	Prediction for whole card	working theory	fixed ten-page corpus	Common solvent may have an opaque learned card	schoal	schoal	Wein	Should substitute for water or oil in otherwise similar preparations; internal AL should not behave as target	Could name another liquid carrier	S03
P06	Prediction for whole card	working theory	fixed ten-page corpus	A frequent prepared medium may be memorized as one whole expression	rsheal	rsheal	warmes Wasser	Should introduce washing bathing or extraction without an adjacent heat modifier	Could be productive SHE+AL and not atomic	S03
P07	Prediction for whole card	working theory	fixed ten-page corpus	Observable completion can have a learned endpoint card	chealror	chealror	klar/abgeklärt	Should follow resting settling or straining and close a work phase	Could describe the liquid rather than endpoint status	S03
P08	Prediction for whole card	working theory	fixed ten-page corpus	A finished infusion can be a learned product noun	talam	talam	Auszug/Aufguss	Should follow plant plus water/wine and precede dose or application; internal AL need not mark site	Could be vessel or action instead	S03
