row_id	row_kind	historical_system	date_or_witness	base_or_target	modifier_or_comparison	attested_result_or_prediction	formation_mechanism	source_id	fixed_ten_page_crosswalk	fit_grade	fatal_mismatch_or_limit	testable_consequence
H11	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	APTUS	AD-/IN-/SUB- and noun ending	ADEPTUS; INEPTUS; INEPTIAE; SUBAPTAE	principal plus prefix/termination	S01	short base plus attached modifiers	MEDIUM	Some historical derivation is suppletive or opaque	Substring inheritance needs family evidence
H12	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	CRIMEN	-OSUS; -ALIS; DIS-	CRIMINOSUS; CRIMINALIS; DISCRIMEN	word note with productive endings and compound	S01	whole card plus related derived cards	STRONG_MECHANISM	Not every whole note is atomically semantic	Allow a learned base sign with productive relatives
H13	HISTORICAL_RULE	TIRONIAN_CNT	Carolingian witness; Schmitz Tab.32	PRIMUS	IN-; -GENITUS; -ITIVUS; -ORDIUM	INPRIMIS; PRIMOGENITUS; PRIMITIVUS; PRIMORDIUM	principal family plus compounds	S01	one root across nonidentical surface forms	MEDIUM	Family may be lexicographic rather than fully regular	Allography is possible but must not erase meaning consistency
H14	HISTORICAL_RULE	TIRONIAN_CNT	8th/9th-century CNT tradition	DIVES	-ITIAE; -INUS; PRAE-...-AT	DIVITIAE; DIVINUS; PRAEDIVINAT	basic element family explicitly described by Dionisotti	S04	AIIN/AIN/AL family organization	STRONG_MECHANISM	Basic element is often but not always etymological	Family grouping alone does not choose a gloss
H15	HISTORICAL_RULE	TIRONIAN_CNT	CNT digital lexicon	TINCTUM	-ILE; -URA; -URIUM	TINCTILE; TINCTURA; TINCTURIUM	word/root note with derivational endings	S02	technical treatment vocabulary can form compact families	STRONG_MECHANISM	Early-medieval lexicon not a 1420 technical code	A treatment root may name process and products without sentence-sized macros
C01	HISTORICAL_RULE	NUREMBERG_CHANCERY	1408-1423	vnſ-	-er/-ern/-erm	vnſ→vnſer; vnſn→vnſern; vnſm→vnſerm	contracted frequent base with inflection retained or restored	S12	AIIN/AIN as possible parallel inflection or grade	STRONG_PERIOD	Natural-language spelling remains recoverable	Minimal pairs can differ by grammar rather than substance
C02	HISTORICAL_RULE	NUREMBERG_CHANCERY	1408-1423	hab-	omitted e	habn→haben	productive medial vowel omission	S12	shortening inside a recurrent family	STRONG_PERIOD	Orthographic abbreviation not semantic composition	A missing atom need not change the semantic root
C03	HISTORICAL_RULE	NUREMBERG_CHANCERY	1408-1423	hr-/hren	-er-	hn→hern; hren→herren	common title contracted with reusable er expansion	S12	memorized frequent cards plus rule	STRONG_PERIOD	Expansion is context-dependent	Whole signs can be ambiguous yet learnable
C04	HISTORICAL_RULE	NUREMBERG_CHANCERY	1408-1423	Dat/dat	-um	Datum/datum	conventional suspension with case ending supplied	S12	short whole function card	STRONG_PERIOD	Latin formula abbreviation only	A short card may carry a complete frequent word
C05	HISTORICAL_RULE	NUREMBERG_CHANCERY	1408-1423	verſchr-	-iben	verſchr→verſchriben	stem suspension	S12	long card with stable kernel	STRONG_PERIOD	Visible natural-language stem remains	Do not treat every long form as multiple semantic atoms
C06	HISTORICAL_RULE	NUREMBERG_CHANCERY	1408-1423	Ro	memorized completion	Rogamus	learned whole formula sign	S12	CHES or other short function whole card	STRONG_PERIOD	No productive internal semantics	Retain some frequent whole cards
C07	HISTORICAL_RULE	NUREMBERG_CHANCERY	1408-1423	L	contextual whole completion	Lieber or Lieben	ambiguous learned whole sign resolved by grammar	S12	whole-card exceptions	STRONG_PERIOD	Depends on known German syntax	A whole card may need local scope rather than a dictionary noun
C08	HISTORICAL_RULE	NUREMBERG_CHANCERY	1408-1423	B	memorized completion	Burger/burger	learned technical or social whole sign	S12	technical category card	STRONG_PERIOD	Not an opaque autonomous script	Frequency can motivate memorization
C09	HISTORICAL_RULE	COREMA_STE1	1400-1425	vn	-d	vnd	learned high-frequency whole abbreviation	S13	short whole card such as CHES	STRONG_PERIOD	Ordinary vernacular abbreviation	A tiny whole-sign list is workshop-plausible
C10	HISTORICAL_RULE	COREMA_STE1	1400-1425	wass/siedn/werdn	-er/-e-	wasser; sieden; werden	productive omission in technical recipe prose	S13	process roots with light endings	STRONG_PERIOD	Underlying German remains legible	A few reusable rules can support several scribes
J01	HISTORICAL_COUNTEREXAMPLE	ARS_NOTORIA_SCRIBENDI	R: second half 13th c.; O ca.1300; A 14th c.	19 minim-derived shapes	left/right/down/up short stroke positions	claimed alphabet and two-to-three-stroke word signs	engineered base-shape grid	S08	looks superficially like compact workshop code	FATAL	Same sign reused for letter g, a verb form, and a passive imperative value; method withheld	Do not use this treatise as evidence that our forms have fixed compositional values
V01	VMANUS_CROSSWALK	FIXED_TEN_PAGE_WORKING_DATA	existing 173 cards / 381 events	AIIN versus AIN	parallel shells OK-/YK-/D-	AIIN 12 cards/41 events; AIN 7/17	parallel grade or inflection candidates	LOCAL01	measure versus portion	PROMISING	Meaning not supplied by history	Keep distinct until a better common nucleus explains OKAIN/OKAIIN YKAIN/YKAIIN DAIN/DAIIN
V02	VMANUS_CROSSWALK	FIXED_TEN_PAGE_WORKING_DATA	existing 173 cards / 381 events	AL	free and attached forms	19 cards/36 events	independent locus/target candidate	LOCAL01	AL site/target	PROMISING	Internal AL can be accidental	Require local placement compatibility before inheriting AL inside a longer card
V03	VMANUS_CROSSWALK	FIXED_TEN_PAGE_WORKING_DATA	existing 173 cards / 381 events	AIR	CH-/K-/OK-/SCHED-/D- shells	5 cards/5 events	moving-liquid nucleus candidate	LOCAL01	AIR flow	PROMISING_FRAGILE	Every type is singleton	Any contradictory non-flow occurrence should demote AIR quickly
V04	VMANUS_CROSSWALK	FIXED_TEN_PAGE_WORKING_DATA	existing 173 cards / 381 events	OK-	many following kernels	23 cards/79 events	productive initial operator shell	LOCAL01	insert/apply/immerse	STRONG_FORM	Specific immerse gloss is too narrow	Use generic apply/bring-in until following kernel fixes the medium
V05	VMANUS_CROSSWALK	FIXED_TEN_PAGE_WORKING_DATA	existing 173 cards / 381 events	CHED	L-/D-/S-/T-/P-/OT-/OL- shells	20 cards/34 events in current LCH/CHED family	stable transfer/drain nucleus with outer modifiers	LOCAL01	LCHED transfer family	PROMISING	L value unresolved; could be allograph	Split CHED core from optional L modifier in future translations
V06	VMANUS_CROSSWALK	FIXED_TEN_PAGE_WORKING_DATA	existing 173 cards / 381 events	OKEDY	one/two/three E atoms	QOKEDY 8; QOKEEDY 10; QOKEEEDY 1 events	formal grade/aspect ladder	LOCAL01	rinse/bathe/saturate	STRONG_FORM_WEAK_GLOSS	Repeated E need not encode wetness intensity	Preserve ordered grade but allow duration iteration or aspect
V07	VMANUS_CROSSWALK	FIXED_TEN_PAGE_WORKING_DATA	existing 173 cards / 381 events	MEMORIZED_WHOLE_CARD	16 of 173 cards	9.2 percent exception inventory	rote whole signs within productive system	S05	whole-card exceptions	PLAUSIBLE	Current glosses may be context macros	Keep only short recurrent meanings; forbid sentence-sized glosses
P01	PREDICTION	FIXED_TEN_PAGE_WORKING_DATA	current memorized card	OIIIN/SOIIIN	compare AIIN/IIN family	reclassify as measure or dose, not clear liquid	family absorption plus S allograph/modifier	LOCAL01	B1-S018 and B3-S034	HIGH	Only two occurrences	Both passages should remain coherent when OIIIN is translated as one measure
P02	PREDICTION	FIXED_TEN_PAGE_WORKING_DATA	current memorized card	YKAN	compare adjacent YKAIN on H4-S001	reclassify as KAIN-family portion or shortened grade, not white wine	contraction or near-grade	LOCAL01	H4-S001	HIGH	Single YKAN occurrence	Translate YKAIN YKAN as portion plus another/related portion
P03	PREDICTION	FIXED_TEN_PAGE_WORKING_DATA	current memorized card	TALAM	parse AL only if placement context holds	storage or endpoint locus, not lexical vessel	root plus T-/AM auxiliaries	LOCAL01	H4-S002	MEDIUM	Single occurrence and internal substring may be accidental	Reading daiin chedy talam should prefer measure-process-place
P04	PREDICTION	FIXED_TEN_PAGE_WORKING_DATA	current memorized card	CHTY/CHETY	compare CTH/TCH family	generic cut/work process across plant and biological pages	allograph or contracted root	LOCAL01	H1-S001 and B3-S034	HIGH	Exact segmentation uncertain	Both occurrences must keep the same processing nucleus
P05	PREDICTION	FIXED_TEN_PAGE_WORKING_DATA	current memorized card	DCHEY	compare KCHEY and CHEY-bearing forms	D-modified CHEY unit or treatment, not specifically root	prefix plus shared nucleus	LOCAL01	H1-S001	MEDIUM	CHEY nucleus remains semantically underspecified	Remove root-part gloss unless another independent anchor supports it
P06	PREDICTION	FIXED_TEN_PAGE_WORKING_DATA	current memorized card	KCHEY	compare DCHEY and following QOKOKCHY	pressure/crushing treatment sharing CHEY nucleus	prefix plus shared nucleus	LOCAL01	H5-S003	MEDIUM_HIGH	Singleton	SH CHO KCHEY QOKOKCHY should read as material then treatment then dose handling
P07	PREDICTION	FIXED_TEN_PAGE_WORKING_DATA	current memorized card	ETYD	compare widespread DY/EDY treatment endings	prepared wet dose or terminal treatment state, not body remedy	ending-family absorption candidate	LOCAL01	end of H1-S001	LOW_MEDIUM	Letter order differs and occurrence is singleton	No body referent may be introduced solely by ETYD
P08	PREDICTION	FIXED_TEN_PAGE_WORKING_DATA	current memorized card	CHES	immediately scopes AIIN in B2-S016	learned quantifier each/equal, not substance	true memorized whole function sign	LOCAL01	B2-S016	MEDIUM_HIGH	Singleton	Read CHES AIIN as equal/each one measure and keep scope local
