profile_ordinal	base_source_surface	base_source_families	q_complete_surface	q_event_count	q_host_contact_count	q_page_count	running_event_count	local_event_count	figure_station_hosts	plant_drug_hosts	text_other_hosts	domain_counts	host_purity	observed_q_complete_whole	q_component_export
35	okyd	AQAB	qokyd	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
36	okydy	AQABA	qokydy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
37	opysam	APACAB	qopysam	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
38	orary	ACACA	qorary	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
39	oshodady	ALABABA	qoshodady	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
40	otaiin	AQAG	qotaiin	12	9	5	12	0	5	4	0	FIGURE_STATION_SYSTEM:5|PLANT_DRUG_MATERIAL:4	0.555556	YES	NONE
41	otainy	AQAFA	qotainy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
42	otakaizan	AQAQAEBAE	qotakaizan	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
43	otal	AQAB	qotal	10	9	6	10	0	7	0	2	FIGURE_STATION_SYSTEM:7|TEXT_OR_OTHER:2	0.777778	YES	NONE
44	otalaiin	AQABAG	qotalaiin	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
45	otalalg	AQABABB	qotalalg	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
46	otalam	AQABAB	qotalam	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
47	otalar	AQABAC	qotalar	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
48	otald	AQABB	qotald	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
49	otaldar	AQABBAC	qotaldar	1	1	1	1	0	1	0	0	FIGURE_STATION_SYSTEM:1	1.000000	YES	NONE
50	otaldy	AQABBA	qotaldy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
51	otalody	AQABABA	qotalody	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
52	otalshy	AQABLA	qotalshy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
53	otaly	AQABA	qotaly	1	1	1	1	0	0	0	1	TEXT_OR_OTHER:1	1.000000	YES	NONE
54	otam	AQAB	qotam	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
55	otar	AQACL|AQACZ	qotar	6	5	4	6	0	3	1	1	FIGURE_STATION_SYSTEM:3|PLANT_DRUG_MATERIAL:1|TEXT_OR_OTHER:1	0.600000	YES	NONE
56	otaraldy	AQACABBA	qotaraldy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
57	otchdal	AQKBAB	qotchdal	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
58	otchodals	AQKABABC	qotchodals	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
59	otchody	AQKABA	qotchody	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
60	otchoshy	AQKALA	qotchoshy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
61	oteeary	AQKACA	qoteeary	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
62	oteosal	AQJACAB	qoteosal	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
63	otody	AQABA	qotody	2	1	1	2	0	0	1	0	PLANT_DRUG_MATERIAL:1	1.000000	YES	NONE
64	otolam	AQABAB	qotolam	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
65	oty	AQA	qoty	17	14	12	17	0	5	6	3	FIGURE_STATION_SYSTEM:5|PLANT_DRUG_MATERIAL:6|TEXT_OR_OTHER:3	0.428571	YES	NONE
66	ralal	CABAB	qralal	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
67	salols	CABABC	qsalols	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
68	sholshdy	LABLBA	qsholshdy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
69	ykary	AQACA	qykary	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
70	ykolaiin	AQABAG	qykolaiin	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
71	ytalshdy	AQABLBA	qytalshdy	0	0	0	0	0	0	0	0	NONE	NA	NO	NONE
