contact_ordinal	q_surface	base_source_surface	base_source_families	host_id	physical_page	occurrence_kind	topology_families	independent_domain	event_count	loci	q_component_export
44	qotal	otal	AQAB	f82r:P1	f82r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f82r.8	NONE
45	qotal	otal	AQAB	f82r:P2	f82r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f82r.11	NONE
46	qotal	otal	AQAB	f83r:P1	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	2	f83r.3	NONE
47	qotal	otal	AQAB	f83r:P5	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f83r.43	NONE
48	qotaldar	otaldar	AQABBAC	f81r:P2	f81r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f81r.24	NONE
49	qotaly	otaly	AQABA	f76r:P1	f76r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f76r.21	NONE
50	qotar	otar	AQACL|AQACZ	f31r:P1	f31r	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f31r.4	NONE
51	qotar	otar	AQACL|AQACZ	f66r:P4	f66r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f66r.63	NONE
52	qotar	otar	AQACL|AQACZ	f75r:P1	f75r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	2	f75r.1|f75r.10	NONE
53	qotar	otar	AQACL|AQACZ	f75r:P3	f75r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f75r.32	NONE
54	qotar	otar	AQACL|AQACZ	f83r:P7	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f83r.53	NONE
55	qotody	otody	AQABA	f88v:P3	f88v	RUNNING_EVENT	MATERIAL_REGISTER	PLANT_DRUG_MATERIAL	2	f88v.15|f88v.18	NONE
56	qoty	oty	AQA	f10r:P2	f10r	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f10r.11	NONE
57	qoty	oty	AQA	f11r:P1	f11r	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f11r.3	NONE
58	qoty	oty	AQA	f13r:P1	f13r	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f13r.2	NONE
59	qoty	oty	AQA	f20v:P1	f20v	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f20v.3	NONE
60	qoty	oty	AQA	f20v:P2	f20v	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f20v.9	NONE
61	qoty	oty	AQA	f4r:P2	f4r	RUNNING_EVENT	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	1	f4r.11	NONE
62	qoty	oty	AQA	f66r:P3	f66r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f66r.60	NONE
63	qoty	oty	AQA	f75r:P2	f75r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f75r.27	NONE
64	qoty	oty	AQA	f76r:P1	f76r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f76r.3	NONE
65	qoty	oty	AQA	f76r:P3	f76r	RUNNING_EVENT	TEXT_BLOCK	TEXT_OR_OTHER	1	f76r.44	NONE
66	qoty	oty	AQA	f77r:P4	f77r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f77r.40	NONE
67	qoty	oty	AQA	f81v:P2	f81v	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	2	f81v.10|f81v.13	NONE
68	qoty	oty	AQA	f82r:P3	f82r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	3	f82r.29|f82r.31	NONE
69	qoty	oty	AQA	f83r:P1	f83r	RUNNING_EVENT	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	1	f83r.5	NONE
