bath_episode_ordinal	bath_segment_key	statement_id	physical_page	paragraph_key	paragraph_locus_range	bath_action_count	action_slot_sequence	primary_governor_sequence	source_event_sequence	surface_sequence	object_class_sequence	object_lemma_sequence_de	selection_route_sequence	patch_count	carry_count	local_handoff_count	cold_start_route	guard
46	G407-S324:BSEG01	G407-S324	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2435@2	ACTION:G407-E2435@2:SH	G407-E2435	lsheedy	STATION	Stationsansatz	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
47	G407-S326:BSEG01	G407-S326	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2444@1	ACTION:G407-E2444@1:SH	G407-E2444	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
48	G407-S330:BSEG01	G407-S330	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2448@1	ACTION:G407-E2448@1:SH	G407-E2448	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
49	G407-S331:BSEG02	G407-S331	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2450@1	ACTION:G407-E2450@1:SH	G407-E2450	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
50	G407-S332:BSEG01	G407-S332	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2452@1	ACTION:G407-E2452@1:SH	G407-E2452	sheety	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
51	G407-S333:BSEG01	G407-S333	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2457@2	ACTION:G407-E2457@2:SH	G407-E2457	sshedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
52	G407-S334:BSEG02	G407-S334	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2461@1	ACTION:G407-E2461@1:SH	G407-E2461	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
53	G407-S340:BSEG01	G407-S340	f77r	f77r:P1	f77r.9–.24	2	RUNNING:G407-E2468@1|RUNNING:G407-E2471@1	ACTION:G407-E2468@1:SH|ACTION:G407-E2471@1:SH	G407-E2468|G407-E2471	sheed|sheety	STATION→STATION	Stationsansatz→Stationsansatz	WRITTEN_Y_GDT590→EPISODE_CARRY	1	1	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
54	G407-S341:BSEG01	G407-S341	f77r	f77r:P1	f77r.9–.24	3	RUNNING:G407-E2476@2|RUNNING:G407-E2480@1|RUNNING:G407-E2481@1	ACTION:G407-E2476@2:SH|ACTION:G407-E2480@1:SH|ACTION:G407-E2481@1:SH	G407-E2476|G407-E2480|G407-E2481	lshey|chees|sheckhedy	STATION→STATION→STATION	Stationsansatz→Stationsansatz→Stationsansatz	WRITTEN_Y_GDT590→BODY_BLOCKER_STATION→EPISODE_CARRY	2	1	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
55	G407-S343:BSEG01	G407-S343	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2487@2	ACTION:G407-E2487@2:SH	G407-E2487	lsheey	STATION	Stationsansatz	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
56	G407-S345:BSEG02	G407-S345	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2495@1	ACTION:G407-E2495@1:SH	G407-E2495	sheal	STATION	Stationsansatz	BODY_BLOCKER_STATION	1	0	0	BODY_BLOCKER_STATION	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
57	G407-S346:BSEG02	G407-S346	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2499@1	ACTION:G407-E2499@1:SH	G407-E2499	sheey	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
58	G407-S348:BSEG01	G407-S348	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2503@1	ACTION:G407-E2503@1:SH	G407-E2503	shedy	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
59	G407-S351:BSEG01	G407-S351	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2508@1	ACTION:G407-E2508@1:SH	G407-E2508	shear	STATION	Stationsansatz	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
60	G407-S353:BSEG01	G407-S353	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2517@1	ACTION:G407-E2517@1:SH	G407-E2517	cheey	BODY	Körper	WRITTEN_Y_GDT590	0	0	0	WRITTEN_Y_GDT590	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
61	G407-S354:BSEG01	G407-S354	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2520@1	ACTION:G407-E2520@1:SH	G407-E2520	sheoky	BATH_OBJECT	Badegut	COLD_BATH_OBJECT_DEFAULT	1	0	0	COLD_BATH_OBJECT_DEFAULT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
62	G407-S357:BSEG01	G407-S357	f77r	f77r:P1	f77r.9–.24	1	RUNNING:G407-E2530@1	ACTION:G407-E2530@1:SH	G407-E2530	shor	BATH_UNIT	Badeinheit	WRITTEN_OR_UNIT	0	0	0	WRITTEN_OR_UNIT	ONE_STATEMENT_AND_ONE_READER_PHYSICAL_SEGMENT__NO_BOUNDARY_CARRY
