patched_statement_ordinal	statement_id	physical_page	bath_action_count	object_patch_count	patched_event_ids	patched_host_keys	selected_object_sequence_de	gdt590_primary_reader_de	gdt592_primary_reader_de	guard
11	G407-S116	f75r	1	1	G407-E1582	ACTION:G407-E1582@1:SH	Badegut	Beschicke oder bereite an der Stations-Nebenstelle vor. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Beschicke oder bereite an der Stations-Nebenstelle vor. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
12	G407-S117	f75r	1	1	G407-E1584	ACTION:G407-E1584@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
13	G407-S118	f75r	1	1	G407-E1590	ACTION:G407-E1590@2:SH	Badegut	"Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt die Anwendungsportion und von der Ausgangsstation oder aus dem Ausgangsbecken. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Fahre im selben Arbeitsgang fort. Beschicke oder bereite vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt die Anwendungsportion und von der Ausgangsstation oder aus dem Ausgangsbecken. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Fahre im selben Arbeitsgang fort. Beschicke oder bereite vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
14	G407-S122	f75r	3	1	G407-E1658	ACTION:G407-E1658@1:SH	Badegut	"Kennzeichne oder prüfe die Anwendungsportion an der Stations-Nebenstelle. Fahre im selben Arbeitsgang fort. Halte die Anwendungsportion und den Stationsansatz im Bad an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Wende an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken an. Halte die Badeinheit im Bad. Halte den Zustand. Lass den Körper anschließend abkühlen. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Wende an. Halte den Zustand von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E1648@1:SH: AIN+Y+Y → Anwendungsportion|Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2; Anwendungsportion ×1)."	"Kennzeichne oder prüfe die Anwendungsportion an der Stations-Nebenstelle. Fahre im selben Arbeitsgang fort. Halte die Anwendungsportion und den Stationsansatz im Bad an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Wende an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken an. Halte die Badeinheit im Bad. Halte den Zustand. Lass den Körper anschließend abkühlen. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Wende an. Halte den Zustand von der Ausgangsstation oder aus dem Ausgangsbecken. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E1648@1:SH: AIN+Y+Y → Anwendungsportion|Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2; Anwendungsportion ×1)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
15	G407-S126	f75r	2	2	G407-E1670|G407-E1673	ACTION:G407-E1670@1:SH|ACTION:G407-E1673@1:SH	Badegut→Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad II und entlang des Stationswegs oder Kanals vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Halte im Bad auf Grad I. Entnimm oder lass ab. Reguliere den Stationsansatz über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz auf Grad II und entlang des Stationswegs oder Kanals vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Reguliere den Stationsansatz über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Halte denselben Stationsansatz im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
16	G407-S130	f75r	1	1	G407-E1699	ACTION:G407-E1699@1:SH	Badegut	"Behandle den Körperteil. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt in der bezeichneten Stationsart. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Entnimm oder lass ab. Führe den Stationsansatz auf Grad II zu. Beschicke oder bereite den Stationsansatz auf Grad I vor. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Beschicke oder bereite die Anwendungsportion zur Zielstation oder ins Zielbecken vor. Behandle den Stationsansatz. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Führe zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Behandle den Körperteil. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt in der bezeichneten Stationsart. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Entnimm oder lass ab. Führe den Stationsansatz auf Grad II zu. Beschicke oder bereite den Stationsansatz auf Grad I vor. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Beschicke oder bereite die Anwendungsportion zur Zielstation oder ins Zielbecken vor. Behandle den Stationsansatz. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Führe zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
17	G407-S131	f75r	1	1	G407-E1702	ACTION:G407-E1702@1:SH	Badegut	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform und an der Stations-Nebenstelle. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform und an der Stations-Nebenstelle. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
18	G407-S132	f75r	1	1	G407-E1706	ACTION:G407-E1706@1:SH	Badegut	Beschicke oder bereite den Stationsansatz auf Grad I vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz auf Grad I vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
19	G407-S135	f75r	2	1	G407-E1713	ACTION:G407-E1713@1:SH	Stationsansatz	Wende an. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Wende an. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
20	G407-S137	f75r	1	1	G407-E1717	ACTION:G407-E1717@1:SH	Badegut	Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
21	G407-S138	f75r	1	1	G407-E1719	ACTION:G407-E1719@1:SH	Stationsansatz	"Beginne danach den nächsten Arbeitsgang.

Halte im Bad auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Halte den Stationsansatz im Bad auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
22	G407-S140	f75r	1	1	G407-E1723	ACTION:G407-E1723@1:SH	Badegut	Beschicke oder bereite den Stationsansatz auf Grad II und über den Stationskontakt oder die Leitung vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz auf Grad II und über den Stationskontakt oder die Leitung vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
23	G407-S145	f75r	2	2	G407-E1742|G407-E1746	ACTION:G407-E1742@1:SH|ACTION:G407-E1746@1:SH	Badegut→Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor. Halte im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite die Anwendungsportion an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite die Anwendungsportion vor. Halte das zu badende Gut im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite die Anwendungsportion an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte dieselbe Anwendungsportion im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
24	G407-S165	f75r	1	1	G407-E1776	ACTION:G407-E1776@1:SH	Badegut	Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
25	G407-S166	f75r	1	1	G407-E1778	ACTION:G407-E1778@1:SH	Badegut	Beschicke oder bereite die Anwendungsportion vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite die Anwendungsportion vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
26	G407-S168	f75r	1	1	G407-E1781	ACTION:G407-E1781@2:SH	Badegut	Kennzeichne oder prüfe. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Kennzeichne oder prüfe. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
27	G407-S184	f75r	1	1	G407-E1814	ACTION:G407-E1814@2:SH	Badegut	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt an der Stations-Nebenstelle. Fahre im selben Arbeitsgang fort. Entnimm oder lass das Stations- oder Badmaß und den Stationsansatz an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken ab. Wähle die Einheit aus. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt an der Stations-Nebenstelle. Fahre im selben Arbeitsgang fort. Entnimm oder lass das Stations- oder Badmaß und den Stationsansatz an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken ab. Wähle die Einheit aus. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
28	G407-S314	f77r	1	1	G407-E2414	ACTION:G407-E2414@1:SH	Badegut	Beschicke oder bereite das Stations- oder Badmaß vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite das Stations- oder Badmaß vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
29	G407-S315	f77r	1	1	G407-E2416	ACTION:G407-E2416@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
30	G407-S321	f77r	1	1	G407-E2426	ACTION:G407-E2426@1:SH	Badegut	Behandle das Stationsmaß. Behandle den Stationsansatz. Halte die Badfüllung auf Grad I. Halte den Zustand zur Zielstation oder ins Zielbecken. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Behandle den Ansatz. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	Behandle das Stationsmaß. Behandle den Stationsansatz. Halte das zu badende Gut im Bad bei der angegebenen Füllung auf Grad I. Halte den Zustand zur Zielstation oder ins Zielbecken. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Behandle den Ansatz. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
31	G407-S322	f77r	1	1	G407-E2431	ACTION:G407-E2431@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
32	G407-S326	f77r	1	1	G407-E2444	ACTION:G407-E2444@1:SH	Badegut	Beschicke oder bereite das Stations- oder Badmaß vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite das Stations- oder Badmaß vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
33	G407-S330	f77r	1	1	G407-E2448	ACTION:G407-E2448@1:SH	Badegut	Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
