within_event_carrier_id	global_running_event_id	global_statement_id	card_ordinal_in_statement	physical_page	register	owner_class	owner_de	surface	component_recipe	explicit_action_roots	chch_action_pair_ordinal	left_component_position	right_component_position	between_component_atoms	extra_action_roots	extra_action_count	nonaction_frame_atoms	nonaction_frame_atom_count	explicit_argument_roots	inherited_argument_root	argument_mode	context_compatible	stream_active_argument_before	stream_active_argument_after	stream_state_matches_reference	stream_clause_matches_reference	factorized_action_replay_status	imperative_clause_de	guard
G507-W11	G407-E0714	G407-S034	16	f55v	HERBAL	BLÜTEN_UND_GANZPFLANZE	große aromatische Doldenpflanze	chckhdy	CH+CH+K+D_ADDR+Y	CH|CH|K	1	1	2	NONE	K	1	D_ADDR+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten, nimm den Pflanzenposten und gib den Pflanzenposten zu; an der bezeichneten Stelle.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W12	G407-E0799	G407-S038	3	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	chchs	CH+CH+S	CH|CH|S	1	1	2	NONE	S	1	NONE	0	NONE	NONE	ARGUMENT_FREE	YES	NONE	NONE	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm, nimm und wähle.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W13	G407-E0804	G407-S039	2	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	ychocphy	Y+CH+O+CH+P+Y	CH|CH|P	1	2	4	O	P	1	Y+O+Y	3	Y|Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten [außen] und den Pflanzenposten [innen], nimm den Pflanzenposten [außen] und den Pflanzenposten [innen] und setze den Pflanzenposten [außen] und den Pflanzenposten [innen] ein; als Ausführung.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W14	G407-E0805	G407-S039	3	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	chorchy	CH+OR+CH+Y	CH|CH	1	1	3	OR	NONE	0	OR+Y	2	OR|Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W15	G407-E0847	G407-S039	45	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	cheeckhody	CH+EE+CH+K+O+DY	CH|CH|K	1	1	3	EE	K	1	EE+O+DY	3	NONE	Y	INHERITED_ARGUMENT	YES	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Pflanzenposten [wie zuvor], nimm den Pflanzenposten [wie zuvor] und gib den Pflanzenposten [wie zuvor] zu; auf Grad II und als Ausführung; schließe den Schritt.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W16	G407-E0851	G407-S040	4	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	chotchey	CH+OT+CH+E+Y	CH|CH	1	1	3	OT	NONE	0	OT+E+Y	3	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Danach nimm den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W17	G407-E0923	G407-S042	15	f67r2	CELESTIAL	HIMMELSRAD_UND_TABELLE	zwei getrennte Himmelsräder und Tabelle	chocfhy	CH+O+CH+LOCAL_CHAR_F+Y	CH|CH	1	1	3	O	NONE	0	O+LOCAL_CHAR_F+Y	3	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Positionsposten auf und nimm den Positionsposten auf; als Ausführung; an der bezeichneten Stelle.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W18	G407-E1035	G407-S052	8	f68r1	CELESTIAL	STERNTAFEL_ODER_STERNRING	mehrteilige Sternstellentafel	choctheeey	CH+O+CH+T+EEE+Y	CH|CH|T	1	1	3	O	T	1	O+EEE+Y	3	Y	NONE	EXPLICIT_ARGUMENTS	NO	OR	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Positionsposten auf, nimm den Positionsposten auf und stelle den Positionsposten ein; als Ausführung und auf Grad III.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W19	G407-E1292	G407-S071	7	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe F	chchs	CH+CH+S	CH|CH|S	1	1	2	NONE	S	1	NONE	0	NONE	AIIN	INHERITED_ARGUMENT	YES	AIIN	AIIN	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Positionswert [wie zuvor] auf, nimm den Positionswert [wie zuvor] auf und wähle den Positionswert [wie zuvor].	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W20	G407-E1308	G407-S072	8	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe G	chocthar	CH+O+CH+T+AR	CH|CH|T	1	1	3	O	T	1	O+AR	2	NONE	OR	INHERITED_ARGUMENT	YES	OR	OR	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm die Positionseinheit [wie zuvor] auf, nimm die Positionseinheit [wie zuvor] auf und stelle die Positionseinheit [wie zuvor] ein; von der Ausgangsposition; als Ausführung.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W21	G407-E1328	G407-S073	17	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe G	chekackhy	CH+E+CH+K+Y	CH|CH|K	1	1	3	E	K	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Nimm den Positionsposten auf, nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W22	G407-E1474	G407-S087	8	f75r	BIOLOGICAL	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W23	G407-E1495	G407-S094	1	f75r	BIOLOGICAL	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W24	G407-E1499	G407-S095	2	f75r	BIOLOGICAL	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	checkhy	CH+E+CH+K+Y	CH|CH|K	1	1	3	E	K	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W25	G407-E1728	G407-S141	5	f75r	BIOLOGICAL	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	chcthedy	CH+CH+T+E+DY	CH|CH|T	1	1	2	NONE	T	1	E+DY	2	NONE	AIN	INHERITED_ARGUMENT	YES	AIN	AIN	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsanteil [wie zuvor], entnimm den Stationsanteil [wie zuvor] und stelle den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W26	G407-E1834	G407-S193	2	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A0	chcfhdy	CH+O+CH+LOCAL_CHAR_F+Y	CH|CH	1	1	3	O	NONE	0	O+LOCAL_CHAR_F+Y	3	Y	NONE	EXPLICIT_ARGUMENTS	NO	OR	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten und entnimm den Stationsposten; als Ausführung; an der bezeichneten Stelle.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W27	G407-E1837	G407-S193	5	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A0	chcphy	CH+CH+P+Y	CH|CH|P	1	1	2	NONE	P	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W28	G407-E1838	G407-S193	6	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A0	chcphdy	CH+CH+P+Y	CH|CH|P	1	1	2	NONE	P	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W29	G407-E1914	G407-S210	5	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A2	chcphedy	CH+CH+P+E+DY	CH|CH|P	1	1	2	NONE	P	1	E+DY	2	NONE	AIN	INHERITED_ARGUMENT	YES	AIN	AIN	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsanteil [wie zuvor], entnimm den Stationsanteil [wie zuvor] und setze den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W30	G407-E1952	G407-S218	2	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A3	chckhey	CH+CH+K+E+Y	CH|CH|K	1	1	2	NONE	K	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W31	G407-E1971	G407-S221	8	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A4	chckheed	CH+CH+K+E+Y	CH|CH|K	1	1	2	NONE	K	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W32	G407-E1982	G407-S223	9	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A4	checkhy	CH+E+CH+K+Y	CH|CH|K	1	1	3	E	K	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W33	G407-E2115	G407-S253	11	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A7	cheolchey	CH+E+OL+CH+E+Y	CH|CH	1	1	4	E+OL	NONE	0	E+OL+E+Y	4	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Weiter entnimm den Stationsposten und entnimm den Stationsposten; auf Grad I und auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W34	G407-E2172	G407-S263	3	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A8	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W35	G407-E2178	G407-S263	9	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A8	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W36	G407-E2385	G407-S309	2	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt D	checkhey	CH+E+CH+K+E+Y	CH|CH|K	1	1	3	E	K	1	E+E+Y	3	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I und auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W37	G407-E2546	G407-S361	2	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W38	G407-E2567	G407-S368	3	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chckhey	CH+CH+K+E+Y	CH|CH|K	1	1	2	NONE	K	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W39	G407-E2602	G407-S374	3	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	checkhy	CH+E+CH+K+Y	CH|CH|K	1	1	3	E	K	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W40	G407-E2631	G407-S381	3	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chcphey	CH+CH+P+E+Y	CH|CH|P	1	1	2	NONE	P	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W41	G407-E2697	G407-S392	22	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chlchpsheey	CH+L+CH+P+SH+EE+Y	CH|CH|P|SH	1	1	3	L	P+SH	2	L+EE+Y	3	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten, setze den Stationsposten ein und halte den Stationsposten; über die sichtbare Verbindung; auf Grad II.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W42	G407-E2741	G407-S397	5	f81r	BIOLOGICAL	BAD_ODER_BECKENFELD	F81R_UPPER_POOL	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W43	G407-E2762	G407-S397	26	f81r	BIOLOGICAL	BAD_ODER_BECKENFELD	F81R_UPPER_POOL	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W44	G407-E2774	G407-S400	1	f81r	BIOLOGICAL	BAD_ODER_BECKENFELD	F81R_UPPER_POOL	chcphey	CH+CH+P+E+Y	CH|CH|P	1	1	2	NONE	P	1	E+Y	2	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W45	G407-E2901	G407-S434	4	f81r	BIOLOGICAL	BAD_ODER_BECKENFELD	F81R_LOWER_POOL	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	Y	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
G507-W46	G407-E2965	G407-S447	10	f81v	BIOLOGICAL	BAD_ODER_BECKENFELD	gemeinsames zweireihiges Badfeld	chcthy	CH+CH+T+Y	CH|CH|T	1	1	2	NONE	T	1	Y	1	Y	NONE	EXPLICIT_ARGUMENTS	NO	AIIN	Y	YES	YES	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_CONTEXT_BRIDGE_ONLY__TARGETS_REMAIN_COMPOSED_AND_UNOBSERVED
