component_recipe	compact_reading_de	events	records_used	records	recipe_tier
CTH+AIIN	BEREIT · MASS	1	1	H2	SPECIALIST_1_TO_4
CTH+E+Y	BEREIT · KURZ · DIES	2	2	B2|B3	SPECIALIST_1_TO_4
CTH+O+OR	BEREIT · GANG · ANSATZ	1	1	H1	SPECIALIST_1_TO_4
CTH+Y	BEREIT · DIES	7	4	H1|H2|H3|B3	SPECIALIST_1_TO_4
DA+IIN	ZWEIT · STUFE	1	1	B5	SPECIALIST_1_TO_4
E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	1	1	B6	SPECIALIST_1_TO_4
E+OL	KURZ · FORTSETZEN	1	1	B1	SPECIALIST_1_TO_4
E+T+Y	KURZ · EINTRAGEN · DIES	1	1	H1	SPECIALIST_1_TO_4
EE+AR	LANG · QUELLE	1	1	B3	SPECIALIST_1_TO_4
EEE+T+Y	VOLL · EINTRAGEN · DIES	1	1	B3	SPECIALIST_1_TO_4
HO	ZUTAT	4	1	H5	SPECIALIST_1_TO_4
HO+AL+Y	ZUTAT · ZIEL · DIES	1	1	H5	SPECIALIST_1_TO_4
HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	1	1	H5	SPECIALIST_1_TO_4
HO+Y	ZUTAT · DIES	1	1	H5	SPECIALIST_1_TO_4
K+AIN	ZUDOSIEREN · PORTION	3	3	B1|B3|B4	SPECIALIST_1_TO_4
K+AIR	ZUDOSIEREN · LAUF	1	1	B1	SPECIALIST_1_TO_4
K+AL	ZUDOSIEREN · ZIEL	1	1	H5	SPECIALIST_1_TO_4
K+AR	ZUDOSIEREN · QUELLE	1	1	B4	SPECIALIST_1_TO_4
K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	1	1	H5	SPECIALIST_1_TO_4
K+E+Y	ZUDOSIEREN · KURZ · DIES	1	1	H5	SPECIALIST_1_TO_4
K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	1	1	H5	SPECIALIST_1_TO_4
K+IIN	ZUDOSIEREN · STUFE	1	1	H2	SPECIALIST_1_TO_4
K+OL	ZUDOSIEREN · FORTSETZEN	1	1	H5	SPECIALIST_1_TO_4
K+Y	ZUDOSIEREN · DIES	1	1	H3	SPECIALIST_1_TO_4
L	WEITERLEITEN	2	1	B1	SPECIALIST_1_TO_4
L+AIIN	WEITERLEITEN · MASS	1	1	B3	SPECIALIST_1_TO_4
L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	1	1	B6	SPECIALIST_1_TO_4
L+AR	WEITERLEITEN · QUELLE	1	1	B2	SPECIALIST_1_TO_4
L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	1	1	B2	SPECIALIST_1_TO_4
L+CHD	WEITERLEITEN · UMSETZEN	1	1	B2	SPECIALIST_1_TO_4
L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	1	1	B1	SPECIALIST_1_TO_4
L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	1	1	B2	SPECIALIST_1_TO_4
L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	8	3	B2|B3|B4	SPECIALIST_1_TO_4
L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	1	1	B2	SPECIALIST_1_TO_4
L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	1	1	B2	SPECIALIST_1_TO_4
L+DY	WEITERLEITEN · SCHLUSS	2	2	B2|B3	SPECIALIST_1_TO_4
L+EE+Y	WEITERLEITEN · LANG · DIES	1	1	B2	SPECIALIST_1_TO_4
L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	1	1	B4	SPECIALIST_1_TO_4
L+O	WEITERLEITEN · GANG	1	1	B3	SPECIALIST_1_TO_4
L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	1	1	B2	SPECIALIST_1_TO_4
L+OL	WEITERLEITEN · FORTSETZEN	1	1	B5	SPECIALIST_1_TO_4
L+Y	WEITERLEITEN · DIES	1	1	B1	SPECIALIST_1_TO_4
LSH+E+DY	WASCHEN · KURZ · SCHLUSS	2	1	B1	SPECIALIST_1_TO_4
LSH+O	WASCHEN · GANG	1	1	B1	SPECIALIST_1_TO_4
O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	1	1	B4	SPECIALIST_1_TO_4
O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	1	1	B2	SPECIALIST_1_TO_4
O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	1	1	H2	SPECIALIST_1_TO_4
O+DY	GANG · SCHLUSS	1	1	H4	SPECIALIST_1_TO_4
O+IIN	GANG · STUFE	2	2	B1|B3	SPECIALIST_1_TO_4
O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	1	1	H2	SPECIALIST_1_TO_4
OK+AIIN	ANSETZEN · MASS	9	4	H4|B1|B2|B3	SPECIALIST_1_TO_4
OK+AIN	ANSETZEN · PORTION	7	4	B1|B2|B3|B4	SPECIALIST_1_TO_4
OK+AIR	ANSETZEN · LAUF	1	1	B3	SPECIALIST_1_TO_4
OK+AL	ANSETZEN · ZIEL	6	4	H4|B1|B2|B3	SPECIALIST_1_TO_4
OK+AL+Y	ANSETZEN · ZIEL · DIES	1	1	B2	SPECIALIST_1_TO_4
OK+AR	ANSETZEN · QUELLE	1	1	B2	SPECIALIST_1_TO_4
OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	1	1	H5	SPECIALIST_1_TO_4
OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	5	3	B1|B3|B5	SPECIALIST_1_TO_4
OK+E+DY	ANSETZEN · KURZ · SCHLUSS	8	3	B1|B3|B4	SPECIALIST_1_TO_4
OK+E+Y	ANSETZEN · KURZ · DIES	2	2	B1|B2	SPECIALIST_1_TO_4
OK+EE+AL	ANSETZEN · LANG · ZIEL	1	1	B1	SPECIALIST_1_TO_4
OK+EE+DY	ANSETZEN · LANG · SCHLUSS	10	3	B2|B3|B4	SPECIALIST_1_TO_4
OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	1	1	B4	SPECIALIST_1_TO_4
OK+EE+Y	ANSETZEN · LANG · DIES	7	4	B1|B2|B3|B4	SPECIALIST_1_TO_4
OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	1	1	B2	SPECIALIST_1_TO_4
OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	1	H5	SPECIALIST_1_TO_4
OK+OL	ANSETZEN · FORTSETZEN	2	2	H3|B4	SPECIALIST_1_TO_4
OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	1	B3	SPECIALIST_1_TO_4
OK+Y	ANSETZEN · DIES	13	6	H1|H5|B1|B2|B3|B4	EXTENDED_5_TO_7
OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	1	1	B4	SPECIALIST_1_TO_4
OL	FORTSETZEN	20	8	H1|H2|B1|B2|B3|B4|B5|B6	COMMON_8_TO_10
OL+AL+Y	FORTSETZEN · ZIEL · DIES	1	1	B3	SPECIALIST_1_TO_4
OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	3	3	B1|B2|B3	SPECIALIST_1_TO_4
OL+DY	FORTSETZEN · SCHLUSS	2	2	H4|B4	SPECIALIST_1_TO_4
OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	2	2	B1|B4	SPECIALIST_1_TO_4
OL+OR	FORTSETZEN · ANSATZ	2	2	H2|B1	SPECIALIST_1_TO_4
OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	1	1	B2	SPECIALIST_1_TO_4
OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	1	1	H4	SPECIALIST_1_TO_4
OL+Y	FORTSETZEN · DIES	1	1	B4	SPECIALIST_1_TO_4
OR	ANSATZ	7	4	H2|H4|B3|B4	SPECIALIST_1_TO_4
OR+AIN	ANSATZ · PORTION	1	1	H4	SPECIALIST_1_TO_4
OS	FACH	1	1	H1	SPECIALIST_1_TO_4
OT+AIIN	DANACH · MASS	3	2	B2|B3	SPECIALIST_1_TO_4
OT+AL	DANACH · ZIEL	3	2	B3|B4	SPECIALIST_1_TO_4
OT+AR	DANACH · QUELLE	1	1	B1	SPECIALIST_1_TO_4
OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	1	H1	SPECIALIST_1_TO_4
OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	2	2	H2|H5	SPECIALIST_1_TO_4
OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	3	2	B3|B5	SPECIALIST_1_TO_4
OT+E+AIIN	DANACH · KURZ · MASS	1	1	B3	SPECIALIST_1_TO_4
OT+E+DY	DANACH · KURZ · SCHLUSS	2	1	B3	SPECIALIST_1_TO_4
OT+EE+DY	DANACH · LANG · SCHLUSS	2	2	B2|B3	SPECIALIST_1_TO_4
OT+EE+Y	DANACH · LANG · DIES	2	1	B2	SPECIALIST_1_TO_4
OT+O+AIN	DANACH · GANG · PORTION	1	1	H5	SPECIALIST_1_TO_4
OT+OL	DANACH · FORTSETZEN	1	1	H2	SPECIALIST_1_TO_4
OT+Y	DANACH · DIES	3	3	H3|H5|B4	SPECIALIST_1_TO_4
OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	1	1	H1	SPECIALIST_1_TO_4
P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	1	1	B3	SPECIALIST_1_TO_4
P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	1	1	B2	SPECIALIST_1_TO_4
P+Y	EINFUELLEN · DIES	1	1	H3	SPECIALIST_1_TO_4
R+AL	KUEHLEN · ZIEL	1	1	B1	SPECIALIST_1_TO_4
R+AL+Y	KUEHLEN · ZIEL · DIES	1	1	B6	SPECIALIST_1_TO_4
R+OL	KUEHLEN · FORTSETZEN	1	1	B1	SPECIALIST_1_TO_4
R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	1	1	B2	SPECIALIST_1_TO_4
R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	1	1	B2	SPECIALIST_1_TO_4
RESUME_CARD	WIEDERAUFNEHMEN	2	2	H3|H5	SPECIALIST_1_TO_4
SH	HALTEN	1	1	H5	SPECIALIST_1_TO_4
SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	2	B1|B4	SPECIALIST_1_TO_4
SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	1	1	B1	SPECIALIST_1_TO_4
SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	1	B2	SPECIALIST_1_TO_4
SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	1	1	B3	SPECIALIST_1_TO_4
SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	1	1	B3	SPECIALIST_1_TO_4
SH+E+DY	HALTEN · KURZ · SCHLUSS	1	1	B2	SPECIALIST_1_TO_4
SH+E+OL	HALTEN · KURZ · FORTSETZEN	1	1	B1	SPECIALIST_1_TO_4
SH+E+Y	HALTEN · KURZ · DIES	1	1	B2	SPECIALIST_1_TO_4
SH+EE+DY	HALTEN · LANG · SCHLUSS	1	1	B3	SPECIALIST_1_TO_4
SH+EE+Y	HALTEN · LANG · DIES	5	3	H3|B2|B4	SPECIALIST_1_TO_4
SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	1	1	B1	SPECIALIST_1_TO_4
SH+O+AL	HALTEN · GANG · ZIEL	1	1	H3	SPECIALIST_1_TO_4
SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	1	1	H3	SPECIALIST_1_TO_4
SH+Y+AIIN	HALTEN · DIES · MASS	1	1	H3	SPECIALIST_1_TO_4
SHED+AL	ABSETZEN · ZIEL	2	2	B3|B5	SPECIALIST_1_TO_4
SHED+DY	ABSETZEN · SCHLUSS	12	4	B1|B2|B3|B4	SPECIALIST_1_TO_4
SOLK+AIIN	AUFFANGEN · MASS	1	1	B2	SPECIALIST_1_TO_4
SOLK+E+Y	AUFFANGEN · KURZ · DIES	1	1	B4	SPECIALIST_1_TO_4
SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	3	2	B1|B3	SPECIALIST_1_TO_4
SOLK+EE+Y	AUFFANGEN · LANG · DIES	1	1	B6	SPECIALIST_1_TO_4
SOLK+Y	AUFFANGEN · DIES	1	1	B1	SPECIALIST_1_TO_4
T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	1	1	H3	SPECIALIST_1_TO_4
T+E+Y	EINTRAGEN · KURZ · DIES	1	1	B1	SPECIALIST_1_TO_4
T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	1	H3	SPECIALIST_1_TO_4
T+Y	EINTRAGEN · DIES	2	2	H1|B3	SPECIALIST_1_TO_4
TALAM	VERWAHREN	1	1	H4	SPECIALIST_1_TO_4
Y	DIES	18	8	H2|H3|H4|B1|B2|B3|B4|B6	COMMON_8_TO_10
Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	1	1	H2	SPECIALIST_1_TO_4
Y+K+AIIN	DIES · ZUDOSIEREN · MASS	1	1	H4	SPECIALIST_1_TO_4
Y+K+AIN	DIES · ZUDOSIEREN · PORTION	1	1	H4	SPECIALIST_1_TO_4
Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	1	1	H4	SPECIALIST_1_TO_4
