component	compact_value_de	historical_layer	records_used	records	events_with_component	shared_tier	teaching_location
E	KURZ	BOUND_GRADE	9	H1|H2|H4|H5|B1|B2|B3|B4|B6	49	COMMON_8_TO_10	POCKET_CORE
EE	LANG	BOUND_GRADE	8	H3|H4|H5|B1|B2|B3|B4|B6	40	COMMON_8_TO_10	POCKET_CORE
EEE	VOLL	BOUND_GRADE	2	B2|B3	2	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
HO	ZUTAT	STATE_OBJECT_SIGN	1	H5	8	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
IIN	STUFE	MEASURE_STAGE_SIGN	4	H2|B1|B3|B5	4	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
K	ZUDOSIEREN	OPERATION_SIGN	8	H2|H3|H4|H5|B1|B3|B4|B6	21	COMMON_8_TO_10	POCKET_CORE
L	WEITERLEITEN	OPERATION_SIGN	6	B1|B2|B3|B4|B5|B6	27	EXTENDED_5_TO_7	COMMON_DESK_TRAY
LD	BEFESTIGEN	OPERATION_SIGN	1	B4	1	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
LSH	WASCHEN	OPERATION_SIGN	1	B1	3	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
O	GANG	STATE_OBJECT_SIGN	9	H1|H2|H3|H4|H5|B1|B2|B3|B4	19	COMMON_8_TO_10	POCKET_CORE
OK	ANSETZEN	OPERATION_SIGN	9	H1|H3|H4|H5|B1|B2|B3|B4|B5	79	COMMON_8_TO_10	POCKET_CORE
OL	FORTSETZEN	RELATION_ADDRESS_SIGN	11	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	48	UNIVERSAL_11	POCKET_CORE
OR	ANSATZ	STATE_OBJECT_SIGN	8	H1|H2|H4|H5|B1|B3|B4|B6	18	COMMON_8_TO_10	POCKET_CORE
OS	FACH	WHOLE_NOMENCLATOR	1	H1	1	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
OT	DANACH	RELATION_ADDRESS_SIGN	9	H1|H2|H3|H5|B1|B2|B3|B4|B5	26	COMMON_8_TO_10	POCKET_CORE
P	EINFUELLEN	OPERATION_SIGN	3	H3|B2|B3	3	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
R	KUEHLEN	OPERATION_SIGN	4	B1|B2|B3|B6	6	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
RESUME_CARD	WIEDERAUFNEHMEN	WHOLE_NOMENCLATOR	2	H3|H5	2	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
S	TEILEN	OPERATION_SIGN	1	B2	1	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
SH	HALTEN	OPERATION_SIGN	6	H3|H5|B1|B2|B3|B4	25	EXTENDED_5_TO_7	COMMON_DESK_TRAY
SHED	ABSETZEN	OPERATION_SIGN	5	B1|B2|B3|B4|B5	15	EXTENDED_5_TO_7	COMMON_DESK_TRAY
SOLK	AUFFANGEN	OPERATION_SIGN	5	B1|B2|B3|B4|B6	7	EXTENDED_5_TO_7	COMMON_DESK_TRAY
T	EINTRAGEN	OPERATION_SIGN	5	H1|H3|H4|B1|B3	10	EXTENDED_5_TO_7	COMMON_DESK_TRAY
TALAM	VERWAHREN	WHOLE_NOMENCLATOR	1	H4	1	SPECIALIST_1_TO_4	RECORD_SPECIALIST_TRAY
Y	DIES	DEICTIC_REFERENCE	11	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	124	UNIVERSAL_11	POCKET_CORE
