source_word_id	source_slot	register	medical_or_iatromedical_expansion_de	nonmedical_expansion_de	supply_layer	visible_card_word	selected_source_value_de	selection_class	eighty_first_selected_value_de	eighty_first_action	eighty_first_provenance	eighty_first_working_confidence_1_to_5
B13	DURATION	BIO	Anwendungsdauer	Arbeitsdauer	grade/process plus master	NO__SOURCE_LEXICON_ONLY	Dauer	NEUTRALIZED	Dauer	KEEP	CARD_OR_REGISTER_ONLY	3
B14	BODY_WORK_AREA	BIO	Körperstelle	Arbeitsstelle	visible figure/target plus master choice	NO__SOURCE_LEXICON_ONLY	örtliche Stelle	NEUTRALIZED	örtliche Stelle	KEEP	VISIBLE_CONTEXT_PLUS_CARD	4
B15	IMMERSION	BIO	Teilbad	Tauchgang	visible basin plus master choice	NO__SOURCE_LEXICON_ONLY	Teilbad	VISIBLE_MEDICAL_BATH_CUE	Teilbad	KEEP	VISIBLE_CONTEXT_PLUS_CARD	4
B16	FILTER	BIO	Seihgang	Filtergang	cloth/passage cards plus master choice	NO__SOURCE_LEXICON_ONLY	Filtern	NEUTRALIZED	Seihgang	REVISE_PLAINER	VISIBLE_CONTEXT_PLUS_CARD	4
A01	WHEEL	ASTRO	Himmelsrad	Himmelsrad	visible geometry	NO__SOURCE_LEXICON_ONLY	Himmelsrad	UNCHANGED_SHARED	Himmelsrad	KEEP	DIRECT_VISIBLE_OWNER_OR_GEOMETRY	5
A02	PANEL	ASTRO	Sternpaneel	Sternpaneel	visible geometry	NO__SOURCE_LEXICON_ONLY	Sternpaneel	UNCHANGED_SHARED	Sternpaneel	KEEP	DIRECT_VISIBLE_OWNER_OR_GEOMETRY	5
A03	ROSETTE	ASTRO	Rosetteninstrument	Rosetteninstrument	visible geometry	NO__SOURCE_LEXICON_ONLY	Rosetteninstrument	UNCHANGED_SHARED	Rosetteninstrument	KEEP	DIRECT_VISIBLE_OWNER_OR_GEOMETRY	5
A04	SECTOR	ASTRO	Himmelssektor	Kalendersektor	local master choice	NO__SOURCE_LEXICON_ONLY	Himmelssektor	VISIBLE_CELESTIAL_CUE	Himmelssektor	KEEP	DIRECT_VISIBLE_OWNER_OR_GEOMETRY	5
A05	STAR_PLACE	ASTRO	Sternplatz	Sternplatz	visible geometry	NO__SOURCE_LEXICON_ONLY	Sternplatz	UNCHANGED_SHARED	Sternplatz	KEEP	DIRECT_VISIBLE_OWNER_OR_GEOMETRY	5
A06	MANSION_PLACE	ASTRO	Mondstationsplatz	Kalenderplatz	local master choice	NO__SOURCE_LEXICON_ONLY	28er Platz	NEUTRALIZED	28er Feld	REVISE_PLAINER	DIRECT_VISIBLE_OWNER_OR_GEOMETRY	4
A07	CONDITION_PLACE	ASTRO	Himmelsbedingung	Arbeitsbedingung	local master choice	NO__SOURCE_LEXICON_ONLY	Himmelsbedingung	VISIBLE_CELESTIAL_CUE	Bedingungsfeld	REVISE_PLAINER	VISIBLE_CONTEXT_PLUS_CARD	4
A08	RING_TEXT	ASTRO	Ringrubrik	Ringrubrik	visible text location	NO__SOURCE_LEXICON_ONLY	Ringrubrik	UNCHANGED_SHARED	Ringrubrik	KEEP	DIRECT_VISIBLE_OWNER_OR_GEOMETRY	5
A09	LOCAL_LABEL	ASTRO	lokales Himmelslabel	lokales Tabellenlabel	local nomenclator	NO__SOURCE_LEXICON_ONLY	Himmelslabel	VISIBLE_CELESTIAL_CUE	Himmelszeichen	REVISE_PLAINER	DIRECT_VISIBLE_OWNER_OR_GEOMETRY	4
A10	CALENDAR_VALUE	ASTRO	Kalenderwert	Kalenderwert	local master	NO__SOURCE_LEXICON_ONLY	Kalenderwert	UNCHANGED_SHARED	Kalenderwert	KEEP	MASTER_SELECTED_CONTENT	2
A11	CELESTIAL_VALUE	ASTRO	Himmelswert	Himmelswert	local master	NO__SOURCE_LEXICON_ONLY	Himmelswert	UNCHANGED_SHARED	Himmelswert	KEEP	MASTER_SELECTED_CONTENT	2
A12	WEATHER_VALUE	ASTRO	Witterungswert	Arbeitszustand	local master choice	NO__SOURCE_LEXICON_ONLY	Witterungswert	VISIBLE_CELESTIAL_CUE	Wetterzeichen	REVISE_PLAINER	MASTER_SELECTED_CONTENT	2
A13	LIGHT_VALUE	ASTRO	Lichtwert	Qualitätswert	local master choice	NO__SOURCE_LEXICON_ONLY	Lichtwert	VISIBLE_CELESTIAL_CUE	Lichtzeichen	REVISE_PLAINER	MASTER_SELECTED_CONTENT	2
A14	PLANET_VALUE	ASTRO	Planetenwert	Zeitwert	local master choice	NO__SOURCE_LEXICON_ONLY	Zeitwert	NEUTRALIZED	Zeitzeichen	REVISE_PLAINER	MASTER_SELECTED_CONTENT	2
A15	QUALITY_VALUE	ASTRO	Komplexionswert	Qualitätswert	local master choice	NO__SOURCE_LEXICON_ONLY	Qualitätswert	NEUTRALIZED	Eigenschaft	REVISE_PLAINER	MASTER_SELECTED_CONTENT	2
A16	NAMESPACE	ASTRO	örtlicher Instrumentenschlüssel	örtlicher Instrumentenschlüssel	local workshop exemplar	NO__SOURCE_LEXICON_ONLY	örtlicher Instrumentenschlüssel	UNCHANGED_SHARED	örtlicher Instrumentenschlüssel	KEEP	CARD_OR_REGISTER_ONLY	3
