page	locus	target_surfaces	target_positions	zl3b_line	v34_tokenwise_de	v35_tokenwise_de	practical_v35_de	complete_v35
f111r	f111r.17	otam	1	otes lchey lshedy qoteedy olcheody qokeey chey kal chekeedy oteed keedy otam	[otes:?] | Drogenholz, trocken gebunden, Form I | eingeweichtes Drogenholz | kalt am Ende des Grades, abgeschlossen | [olcheody:?] | heiß am Ende des Grades | trocken in der Mitte des Grades | Rohstoffklasse I, heiß am Gradanfang | [chekeedy:?] | [oteed:?] | heiß am Ende des Grades, abgeschlossen | [otam:?]	[otes:?] | Drogenholz, trocken gebunden, Form I | eingeweichtes Drogenholz | kalt am Ende des Grades, abgeschlossen | [olcheody:?] | heiß am Ende des Grades | trocken in der Mitte des Grades | Rohstoffklasse I, heiß am Gradanfang | [chekeedy:?] | [oteed:?] | heiß am Ende des Grades, abgeschlossen | ein Maß kalten Ansatzes	[otes:?]; Drogenholz, trocken gebunden, Form I; eingeweichtes Drogenholz; kalt am Ende des Grades, abgeschlossen; [olcheody:?]; heiß am Ende des Grades; trocken in der Mitte des Grades; Rohstoffklasse I, heiß am Gradanfang; [chekeedy:?]; [oteed:?]; heiß am Ende des Grades, abgeschlossen; ein Maß kalten Ansatzes.	False
f112v	f112v.13	otam	1	dcheoty oy otchedy chedy daiin chedal chedy qokaiin otam	[dcheoty:?] | [oy:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Grad-/Maßwert III | trockene abgemessene Rohstoffmenge I in der Gradmitte | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | [otam:?]	[dcheoty:?] | [oy:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Grad-/Maßwert III | trockene abgemessene Rohstoffmenge I in der Gradmitte | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | ein Maß kalten Ansatzes	[dcheoty:?]; [oy:?]; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Grad-/Maßwert III; trockene abgemessene Rohstoffmenge I in der Gradmitte; trocken in der Mitte des Grades, abgeschlossen; heiß, Grad III; ein Maß kalten Ansatzes.	False
f112v	f112v.39	otam	1	teodarody opcheed okaiin chaiin otam oteedy qoteey qotain chcthd	[teodarody:?] | [opcheed:?] | heiß, Grad III, im Ansatzrahmen | trocken, Grad III | [otam:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalt am Ende des Grades | kalt im qo-Rahmen, Grad II | [chcthd:?]	[teodarody:?] | [opcheed:?] | heiß, Grad III, im Ansatzrahmen | trocken, Grad III | ein Maß kalten Ansatzes | kalter Ansatz am Ende des Grades, abgeschlossen | kalt am Ende des Grades | kalt im qo-Rahmen, Grad II | [chcthd:?]	[teodarody:?]; [opcheed:?]; heiß, Grad III, im Ansatzrahmen; trocken, Grad III; ein Maß kalten Ansatzes; kalter Ansatz am Ende des Grades, abgeschlossen; kalt am Ende des Grades; kalt im qo-Rahmen, Grad II; [chcthd:?]	False
f113r	f113r.10	otam	1	pcheody qokeody cheoar chy kcheeor ety sheody sheodaiin qoteoar otam otchedy qoty	[pcheody:?] | [qokeody:?] | [cheoar:?] | trocken am Anfang des Grades | [kcheeor:?] | gekühlt | [sheody:?] | [sheodaiin:?] | [qoteoar:?] | [otam:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | kalt am Anfang des Grades	[pcheody:?] | [qokeody:?] | [cheoar:?] | trocken am Anfang des Grades | [kcheeor:?] | gekühlt | [sheody:?] | [sheodaiin:?] | [qoteoar:?] | ein Maß kalten Ansatzes | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | kalt am Anfang des Grades	[pcheody:?]; [qokeody:?]; [cheoar:?]; trocken am Anfang des Grades; [kcheeor:?]; gekühlt; [sheody:?]; [sheodaiin:?]; [qoteoar:?]; ein Maß kalten Ansatzes; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen; kalt am Anfang des Grades	False
f113r	f113r.12	otam	1	y shoain qoeey qoaiin shol lkeeoar chodaiin otam chos aiin	[y:?] | [shoain:?] | [qoeey:?] | [qoaiin:?] | feucht; nominal feuchtes Gut/Material | [lkeeoar:?] | [chodaiin:?] | [otam:?] | [chos:?] | Menge III	[y:?] | [shoain:?] | [qoeey:?] | [qoaiin:?] | feucht; nominal feuchtes Gut/Material | [lkeeoar:?] | [chodaiin:?] | ein Maß kalten Ansatzes | [chos:?] | Menge III	[y:?]; [shoain:?]; [qoeey:?]; [qoaiin:?]; feucht; nominal feuchtes Gut/Material; [lkeeoar:?]; [chodaiin:?]; ein Maß kalten Ansatzes; [chos:?]; Menge III	False
f114v	f114v.11	otam	1	tchedy qotaiin chdy qotedy tedaiin chepched otol shedain pol otam	kalt und trocken in der Mitte des Grades, abgeschlossen | kalt, Grad III | trocken am Anfang des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | [tedaiin:?] | [chepched:?] | kaltes Zubereitungsgut | [shedain:?] | Pulverstoff | [otam:?]	kalt und trocken in der Mitte des Grades, abgeschlossen | kalt, Grad III | trocken am Anfang des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | [tedaiin:?] | [chepched:?] | kaltes Zubereitungsgut | [shedain:?] | Pulverstoff | ein Maß kalten Ansatzes	kalt und trocken in der Mitte des Grades, abgeschlossen; kalt, Grad III; trocken am Anfang des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; [tedaiin:?]; [chepched:?]; kaltes Zubereitungsgut; [shedain:?]; Pulverstoff; ein Maß kalten Ansatzes.	False
f114v	f114v.39	otam	1	qo eecheedy o kecheokeo oteo daiin okaiin choty odaiin otam	[qo:?] | [eecheedy:?] | [o:?] | [kecheokeo:?] | [oteo:?] | Grad-/Maßwert III | heiß, Grad III, im Ansatzrahmen | [choty:?] | Zubereitungsdosis III | [otam:?]	[qo:?] | [eecheedy:?] | [o:?] | [kecheokeo:?] | [oteo:?] | Grad-/Maßwert III | heiß, Grad III, im Ansatzrahmen | [choty:?] | Zubereitungsdosis III | ein Maß kalten Ansatzes	[qo:?]; [eecheedy:?]; [o:?]; [kecheokeo:?]; [oteo:?]; Grad-/Maßwert III; heiß, Grad III, im Ansatzrahmen; [choty:?]; Zubereitungsdosis III; ein Maß kalten Ansatzes.	False
f19v	f19v.11	otam	1	qotol dor okchor daiin cthor otam	kaltes Material | [dor:?] | [okchor:?] | Menge/Portion III | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | [otam:?]	kaltes Material | [dor:?] | [okchor:?] | Menge/Portion III | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | ein Maß kalten Ansatzes	kaltes Material; [dor:?]; [okchor:?]; Menge/Portion III; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; ein Maß kalten Ansatzes.	False
f22v	f22v.3	otam	1	qoky kchorl otchy cthy otchyky ytchol otam	heiß am Anfang des Grades | [kchorl:?] | kalt-trockener Ansatz am Anfang des Grades | CTH-Drogenmaterial | [otchyky:?] | [ytchol:?] | [otam:?]	heiß am Anfang des Grades | [kchorl:?] | kalt-trockener Ansatz am Anfang des Grades | CTH-Drogenmaterial | [otchyky:?] | [ytchol:?] | ein Maß kalten Ansatzes	heiß am Anfang des Grades; [kchorl:?]; kalt-trockener Ansatz am Anfang des Grades; CTH-Drogenmaterial; [otchyky:?]; [ytchol:?]; ein Maß kalten Ansatzes.	False
f24r	f24r.17	otam	1	sshey otam sham cthoj oky	eingeweichte Saat, Form I | [otam:?] | [sham:?] | [cthoj:?] | heißer Ansatz am Anfang des Grades	eingeweichte Saat, Form I | ein Maß kalten Ansatzes | [sham:?] | [cthoj:?] | heißer Ansatz am Anfang des Grades	eingeweichte Saat, Form I; ein Maß kalten Ansatzes; [sham:?]; [cthoj:?]; heißer Ansatz am Anfang des Grades	False
f33r	f33r.5	otam	1	pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar otam	Pulverfraktion II | Drogenportion | Menge III | kalt im Zubereitungsrahmen, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Drogenportion | Menge III | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trockene abgemessene Rohstoffmenge I am Gradanfang | Rohstoffklasse I: feucht in der Gradmitte; heiß am Gradanfang | heiße Drogenfraktion I | [otam:?]	Pulverfraktion II | Drogenportion | Menge III | kalt im Zubereitungsrahmen, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Drogenportion | Menge III | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trockene abgemessene Rohstoffmenge I am Gradanfang | Rohstoffklasse I: feucht in der Gradmitte; heiß am Gradanfang | heiße Drogenfraktion I | ein Maß kalten Ansatzes	Pulverfraktion II; Drogenportion; Menge III; kalt im Zubereitungsrahmen, Grad III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiße Drogenportion; Menge III; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Rohstoffklasse I im Ansatz, kalt am Gradanfang; trockene abgemessene Rohstoffmenge I am Gradanfang; Rohstoffklasse I: feucht in der Gradmitte; heiß am Gradanfang; heiße Drogenfraktion I; ein Maß kalten Ansatzes.	True
f33v	f33v.2	otam	1	kchdy dam dy oky otal dain chdy ytam otam cham	heiß und trocken am Anfang des Grades, abgeschlossen | [dam:?] | [dy:?] | heißer Ansatz am Anfang des Grades | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | trocken am Anfang des Grades, abgeschlossen | [ytam:?] | [otam:?] | [cham:?]	heiß und trocken am Anfang des Grades, abgeschlossen | [dam:?] | [dy:?] | heißer Ansatz am Anfang des Grades | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | trocken am Anfang des Grades, abgeschlossen | [ytam:?] | ein Maß kalten Ansatzes | [cham:?]	heiß und trocken am Anfang des Grades, abgeschlossen; [dam:?]; [dy:?]; heißer Ansatz am Anfang des Grades; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Grad-/Maßwert II; trocken am Anfang des Grades, abgeschlossen; [ytam:?]; ein Maß kalten Ansatzes; [cham:?]	False
f34v	f34v.4	otam	1	tchdaiin chekal shedy qokedar chdaiin oldar qoldar chedy daiin otam	[tchdaiin:?] | Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | [qokedar:?] | [chdaiin:?] | [oldar:?] | [qoldar:?] | trocken in der Mitte des Grades, abgeschlossen | Grad-/Maßwert III | [otam:?]	[tchdaiin:?] | Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | [qokedar:?] | [chdaiin:?] | [oldar:?] | [qoldar:?] | trocken in der Mitte des Grades, abgeschlossen | Grad-/Maßwert III | ein Maß kalten Ansatzes	[tchdaiin:?]; Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; [qokedar:?]; [chdaiin:?]; [oldar:?]; [qoldar:?]; trocken in der Mitte des Grades, abgeschlossen; Grad-/Maßwert III; ein Maß kalten Ansatzes.	False
f43r	f43r.4	otam	1	das ar ytey tedy kar arar she kalchdy cholky qotaly chedy oty otam	[das:?] | Drogenfraktion I | [ytey:?] | kalt in der Mitte des Grades, abgeschlossen | heiße Drogenfraktion I | [arar:?] | feucht, attributiv gebunden | [kalchdy:?] | [cholky:?] | [qotaly:?] | trocken in der Mitte des Grades, abgeschlossen | kalter Ansatz am Anfang des Grades | [otam:?]	[das:?] | Drogenfraktion I | [ytey:?] | kalt in der Mitte des Grades, abgeschlossen | heiße Drogenfraktion I | [arar:?] | feucht, attributiv gebunden | [kalchdy:?] | [cholky:?] | [qotaly:?] | trocken in der Mitte des Grades, abgeschlossen | kalter Ansatz am Anfang des Grades | ein Maß kalten Ansatzes	[das:?]; Drogenfraktion I; [ytey:?]; kalt in der Mitte des Grades, abgeschlossen; heiße Drogenfraktion I; [arar:?]; feucht, attributiv gebunden; [kalchdy:?]; [cholky:?]; [qotaly:?]; trocken in der Mitte des Grades, abgeschlossen; kalter Ansatz am Anfang des Grades; ein Maß kalten Ansatzes.	False
f43v	f43v.7	otam	1	ytshedy ykeody oykeedy chedy tedy chcthy otam ot ytaiin otas	[ytshedy:?] | [ykeody:?] | [oykeedy:?] | trocken in der Mitte des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | [otam:?] | [ot:?] | [ytaiin:?] | [otas:?]	[ytshedy:?] | [ykeody:?] | [oykeedy:?] | trocken in der Mitte des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | ein Maß kalten Ansatzes | [ot:?] | [ytaiin:?] | [otas:?]	[ytshedy:?]; [ykeody:?]; [oykeedy:?]; trocken in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; ein Maß kalten Ansatzes; [ot:?]; [ytaiin:?]; [otas:?]	False
f48v	f48v.5	otam	1	lkeey qocthedy taiin shed qokar otedy dy dain tolkain otam	[lkeey:?] | [qocthedy:?] | kalt, Grad III | [shed:?] | heiße Drogenfraktion I | kalter Ansatz in der Mitte des Grades, abgeschlossen | [dy:?] | Grad-/Maßwert II | [tolkain:?] | [otam:?]	[lkeey:?] | [qocthedy:?] | kalt, Grad III | [shed:?] | heiße Drogenfraktion I | kalter Ansatz in der Mitte des Grades, abgeschlossen | [dy:?] | Grad-/Maßwert II | [tolkain:?] | ein Maß kalten Ansatzes	[lkeey:?]; [qocthedy:?]; kalt, Grad III; [shed:?]; heiße Drogenfraktion I; kalter Ansatz in der Mitte des Grades, abgeschlossen; [dy:?]; Grad-/Maßwert II; [tolkain:?]; ein Maß kalten Ansatzes.	False
f48v	f48v.8	otam	1	oteody chkey okedy chckhedy ykedy oldy otoly chey kaly tokar otam	[oteody:?] | [chkey:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | Arzneikompositum: trocken, Gradmitte, abgeschlossen | [ykedy:?] | [oldy:?] | [otoly:?] | trocken in der Mitte des Grades | [kaly:?] | [tokar:?] | [otam:?]	[oteody:?] | [chkey:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | Arzneikompositum: trocken, Gradmitte, abgeschlossen | [ykedy:?] | [oldy:?] | [otoly:?] | trocken in der Mitte des Grades | [kaly:?] | [tokar:?] | ein Maß kalten Ansatzes	[oteody:?]; [chkey:?]; heißer Ansatz in der Mitte des Grades, abgeschlossen; Arzneikompositum: trocken, Gradmitte, abgeschlossen; [ykedy:?]; [oldy:?]; [otoly:?]; trocken in der Mitte des Grades; [kaly:?]; [tokar:?]; ein Maß kalten Ansatzes.	False
f52v	f52v.3	otam	1	oor chor chochar ls chteeor ytol sheol otam	Drogenportion im Ansatz | Pflanzen-/Reproduktionsteil | [chochar:?] | [ls:?] | [chteeor:?] | [ytol:?] | feuchtes Material | [otam:?]	Drogenportion im Ansatz | Pflanzen-/Reproduktionsteil | [chochar:?] | [ls:?] | [chteeor:?] | [ytol:?] | feuchtes Material | ein Maß kalten Ansatzes	Drogenportion im Ansatz; Pflanzen-/Reproduktionsteil; [chochar:?]; [ls:?]; [chteeor:?]; [ytol:?]; feuchtes Material; ein Maß kalten Ansatzes.	False
f55v	f55v.12	otam	1	daiin ar cheky olkeechy sl ar aiin daiin otam	Grad-/Maßwert III | Drogenfraktion I | [cheky:?] | [olkeechy:?] | [sl:?] | Drogenfraktion I | Menge III | Grad-/Maßwert III | [otam:?]	Grad-/Maßwert III | Drogenfraktion I | [cheky:?] | [olkeechy:?] | [sl:?] | Drogenfraktion I | Menge III | Grad-/Maßwert III | ein Maß kalten Ansatzes	Grad-/Maßwert III; Drogenfraktion I; [cheky:?]; [olkeechy:?]; [sl:?]; Drogenfraktion I; Menge III; Grad-/Maßwert III; ein Maß kalten Ansatzes.	False
f56r	f56r.13	chokcheo	1	okchy chokcheo kchal	heiß-trockener Ansatz am Anfang des Grades | [chokcheo:?] | Rohstoffklasse I, heiß-trocken am Gradanfang	heiß-trockener Ansatz am Anfang des Grades | Trockenansatz aus heißem Trockenpräparat | Rohstoffklasse I, heiß-trocken am Gradanfang	heiß-trockener Ansatz am Anfang des Grades; Trockenansatz aus heißem Trockenpräparat; Rohstoffklasse I, heiß-trocken am Gradanfang	True
f58v	f58v.21	otam	1	olain olalor odaiin qetair otal qokal dair oiy otam	[olain:?] | [olalor:?] | Zubereitungsdosis III | [qetair:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Rohstoffklasse I, heiß am Gradanfang | abgemessene Fraktion II | [oiy:?] | [otam:?]	[olain:?] | [olalor:?] | Zubereitungsdosis III | [qetair:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Rohstoffklasse I, heiß am Gradanfang | abgemessene Fraktion II | [oiy:?] | ein Maß kalten Ansatzes	[olain:?]; [olalor:?]; Zubereitungsdosis III; [qetair:?]; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Rohstoffklasse I, heiß am Gradanfang; abgemessene Fraktion II; [oiy:?]; ein Maß kalten Ansatzes.	False
f66r	f66r.74	otam	1	ydaiin shedy otchedy oteochey tolchedy lsheody qoky daiin otam	[ydaiin:?] | feucht in der Mitte des Grades, abgeschlossen | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | [oteochey:?] | [tolchedy:?] | [lsheody:?] | heiß am Anfang des Grades | Grad-/Maßwert III | [otam:?]	[ydaiin:?] | feucht in der Mitte des Grades, abgeschlossen | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | [oteochey:?] | [tolchedy:?] | [lsheody:?] | heiß am Anfang des Grades | Grad-/Maßwert III | ein Maß kalten Ansatzes	[ydaiin:?]; feucht in der Mitte des Grades, abgeschlossen; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen; [oteochey:?]; [tolchedy:?]; [lsheody:?]; heiß am Anfang des Grades; Grad-/Maßwert III; ein Maß kalten Ansatzes.	False
