body	surface	occurrence	page	locus	line_position	reader_exact	split_normalized	zl3b_line	it2a_line	rf1b_line
chdy	fchdy	2	f113r	f113r.1	MEDIAL	0	0	pches chy ypcheedy fchdy chetar qopchedaiin oteey oty lkchy chodain alar chedy	pchesfchy ypcheedy fchdy chetar qopchedaiin oteey oty lkchy chodain alar chedy	pcheskchy ypcheedy fch y chetar qopchedaiin oteey oty lkchy chodain alar chedy
chdy	fchdy	3	f46r	f46r.9	MEDIAL	1	1	tshdy shdy fchedy dyfchdy shol kees ytaly fchdy dy karal shky yty dardam	tshdy shdy feeedy dyfchdy shol kchs ytaly fchdy dy karal shky yty dardam	tshdy shdy fchedy dyfchdy shol kees ytaly fchdy dy karal sh y yty dar am
chedey	fchedey	1	f103v	f103v.30	MEDIAL	1	1	pchear okain opchedy pchol fchedy otedy poly lchedy fchedey rar	pchear okain opchedy pchol fchedy otedy poly lchedy fchedey rar	pchear okain opchedy pchol fchedy otedy poly lchedy fchedey rar
chedy	fchedy	1	f103v	f103v.30	MEDIAL	1	1	pchear okain opchedy pchol fchedy otedy poly lchedy fchedey rar	pchear okain opchedy pchol fchedy otedy poly lchedy fchedey rar	pchear okain opchedy pchol fchedy otedy poly lchedy fchedey rar
chedy	fchedy	2	f105v	f105v.25	MEDIAL	1	1	kchdaldy alfo lfcheedy ofoiir opchey fchedy qotor oeeeodr qopar y dl	kchdaldy alfo lfcheedy ofaiis opchey fchedy qotor oeeeodr qopar aifhhy dl	kchdaldy alfo lfcheedy ofaiir opchey fchedy qotor oeeeodr qopar ay dl
chedy	fchedy	3	f106v	f106v.37	MEDIAL	0	0	pyoaly cheo aiir al kcheodar qodaiin shcphoor shedy otedar opol fchedy odr	pyoaly cheo aiir al kcheodar qodaiin shcphoor shedy otedar opol fchedy odr	pyoaly cheoaiir al kcheodar qodaiin shcphoor shedy ote ar opol fche y odr
chedy	fchedy	4	f113v	f113v.42	MEDIAL	0	0	pol keeo dy qoeees aiin or aiin oteol fchedy otchey dar otakeol ol	pol keeo dy qoeees aiin oraiin oteol fchedy oteeey dar otakeol ol	pol keeo dy qoeees aiin or aiin oteol fche y oteeey dar otakeol ol
chedy	fchedy	5	f39r	f39r.8	MEDIAL	0	0	lchedy shedy qokaiin chkeey fchedy okam chy saiin chckhy daisog	lchedy shedy qokaiin chkeey fchedy okam chcfhhy saiin chcphy dairom	lchedy she y qokaiin chkeey fche y okam chy saiin chckhy dairog
chedy	fchedy	6	f46r	f46r.9	MEDIAL	0	0	tshdy shdy fchedy dyfchdy shol kees ytaly fchdy dy karal shky yty dardam	tshdy shdy feeedy dyfchdy shol kchs ytaly fchdy dy karal shky yty dardam	tshdy shdy fchedy dyfchdy shol kees ytaly fchdy dy karal sh y yty dar am
chedy	fchedy	7	f48v	f48v.1	MEDIAL	1	1	pcheodchy dshedy fchedy los aiin ykeeedy shey ypchedy teedy chdy ypair y chedyty	pcheodchy dshedy fchedy los aiin ykeeedy shey ypchedy tchdy chdy ypair y chedyty	pcheodchy dshedy fchedy los aiin ykeeedy ey ypchedy teedy ch y ypairy che yty
chedy	fchedy	8	f77v	f77v.27	MEDIAL	1	1	tshedy qokain chedal fchedy cheky sain chedy qokain ol	tshedy qokain chedal fchedy cheky sain chedy qokain ol	tshedy qokain chedal fchedy cheky sain chedy qokain ol
chedy	fchedy	9	f78v	f78v.26	MEDIAL	0	0	qokaiin or sheedy otain ol shedy sol fchedy otaldy	qokaiin or sheedy otain ol shedy sol fchedy otaldy	qokaiin or sheed otain ol edy sol fche y otaldy
cheeo	fcheeo	1	f111v	f111v.7	MEDIAL	0	0	qokeechey qokaiin oteaiin fcheeo l kain okeey l lcheedy otal kain chedain al	qokeechey qokaiin oteaiin fcheeol kain okeey l lcheedy otal kain chedain al	qokeechey qokaiin oteaiin fcheeolkain keey l lchee y otal kain che ain al
cheeody	fcheeody	1	f105v	f105v.6	MEDIAL	0	0	dcheo fcheeody ckheey dar aiin al dar ar daiiidy otedy oteody ykaiin g	dcheo fcheeody ckheey dar aiin al dar ar daiiidy otedy oteody ytaiin g	dcheo fcheeojy ckheey dar aiin al dar ar daiiidy otedy oteody ytaiin g
cheey	fcheey	1	f108v	f108v.1	MEDIAL	1	1	pchedal qokeedar otedy qokeedy lky ltal aiin oteo fcheey otedar am ol	pchedal qokeedar otedy qokeedy lky ltal aiin oteo fcheey otedar am ol	pchedal qokeedar otedy qokeedy lky ltal aiin oteo fcheey otedar am ol
cheey	fcheey	2	f114v	f114v.1	MEDIAL	1	1	pchdol dar chedain chodalr fcheey dchedy qocphdy otdady qotedar daiin	pchdol dar chedain chodalr fcheey dchedy qocphdy otdady qotedar daiin	pchdol dar chedain chodalr fcheey dched qocphdy otdady qotedar daiin
cheey	fcheey	3	f85r2	f85r2.7	FINAL	1	1	pchedeey olkey qokedy sheos fcheey	pchedeey olkey qokedy sheos fcheey	pchedeey olkey qoke y eos fcheey
cheey	fcheey	4	f95v2	f95v2.5	MEDIAL	1	1	tar fcheey shos aiin okar olkaiin otalain okaiin ar	tar fcheey shos aiin okar olkaiin otalain okaiin ar	tar fcheey shos aiin okar olkaiin otalain okaiin ar
cheodal	fcheodal	1	f48v	f48v.7	MEDIAL	1	1	pchedar chey ypchedy otedy shef eeedy al shedy otedy fcheodal cpheeg	pchedar chey ypchedy otedy shefeeedy al shedy otedy fcheodal cphheg	pche ar chey ypchedy otedy shefeeedy al shedy otedy fcheodal eg
cheody	fcheody	1	f103v	f103v.27	INITIAL	0	0	fcheody arar okeey okeey lchedy oteal lpar otedy qotar otaryly	pcheody arar okeeylchedy oteal lpar otedy qotar otaryly	pcheody arar akeey okeey lchedy oteal lpar otedy qoteir otar yly
cheody	fcheody	2	f30r	f30r.1	MEDIAL	1	1	okeeesy chey shorchey fcheody shey tchy ches d o shey	okchesy chey shorchey fcheody shey tchy cher d o shey	okeeesy chey shorchey fcheody shey tchy cher d o shey
cheody	fcheody	3	f89v1	f89v1.13	MEDIAL	1	1	tosheo fcheody shekey or shos oiir cphey qokeody cheody daldy	tosheo fcheody shekey orshos oiir cphey qokeody cheody dal dy	tosheo fcheody shekey or shos oiir cphey qokeody cheody dal dy
cheol	fcheol	1	f112v	f112v.1	MEDIAL	1	1	keeoal chool opal otalair y fcheol oteey qor eees am	keeoal chool opal otalair y fcheol oteey qor eees am	keeoal cho ol opal otalairy fcheol oteey qor eees am
chey	fchey	1	f114r	f114r.8	INITIAL	1	1	fchey dam okchedam qokeedaiin otairar okchedy otaiin opcheol ofchedaiir ocphy	fchey dam okchedam qokeedaiin otairar okchedy otaiin opcheol ofchedaiis ocphy	fchey dam okchedam qokeedaiin otairar okchedy otaiin opcheol ofchedaiir ocph
chey	fchey	2	f58v	f58v.6	MEDIAL	1	1	qokair ar aly shor daiin choly dal ykaiin org fchey okaly oky	qokair or aly shor daiin choly dal ykaiin org fchey okaly oky	qokair ar aly or daiin choly dal ykaiin ore fchey okaly oky
cho	fcho	1	f21r	f21r.8	INITIAL	0	0	fcho kshy otor sheol ocphal opsheas cthodaiin oty	fchokshy otor cheol ocphal opcheas cthodaiin oty	fchokshy otor sheol ocphal opsheas cthodaiin oty
cho	fcho	2	f32r	f32r.6	INITIAL	1	1	fcho tcheychedy	fcho tchey chedy	fcho tcheychedy
chod	fchod	1	f100r	f100r.22	MEDIAL	0	0	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	folsho dy choldaiin fchodycheol cphol qotees shey seso alcfhy
chodaiin	fchodaiin	1	f7r	f7r.1	INITIAL	1	1	fchodaiin shopchey qko shey qoos sheey charochy	fchodaiin shopchey qko shey qoos sheey chorochy	fchodaiin shopchey qko shey qoos sheey charochy
chodaiin	fchodaiin	2	f95v1	f95v1.8	MEDIAL	1	1	dchody sheos qodaiin fchodaiin chtal dar okedy okchedy	dchody sheos qodaiin fchodaiin chtal dar okedy okchedy	chody sheos qodaiin fchodaiin chtal dar oke y okche y
chody	fchody	1	f39v	f39v.3	MEDIAL	0	0	daiin chor okain okaii fchody saiin or aiin qokaiin ytodaiin okam	daiin chor okain okaiifchody saiin or aiin qokaiin ytodaiin okom	aiin chor okain okaiifchody saiin or aiin qokaiin ytodaiin okom
chol	fchol	1	f16r	f16r.10	MEDIAL	0	0	toror daly dal opchy fchol ypcho okal	toror dalydal opchy fchol ypchocfy okal	toror dalydal opchyfchol ypcho okal
chol	fchol	2	f17v	f17v.4	MEDIAL	1	1	kchor fchol cphol olcheol okeeey	kchor fchol cphol olcheol okeeey	kchor fchol cphol olcheol okeeey
choly	fcholy	1	f22r	f22r.1	MEDIAL	1	1	pol olshy fcholy shol dpchy oty okoly daiin opchy s ocphy	pol olshy fcholy shol dpchy oty okoly daiin opchy s ocphy	pol olshy fcholy shol dpchy oty okoly daiin opchys ocphy
chom	fchom	1	f36r	f36r.4	MEDIAL	1	1	podaiir cphy qoypchol som chy dchy fchom dar	podaiir cphy qoypchol rom cy chy dchy fchom dar	podaiir cphy qoypchol som chy dchy fchom ar
chor	fchor	1	f104v	f104v.19	MEDIAL	1	1	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor ols aiin chekal	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor ols aiin chekal	pcheor chol chpcheor cholkshedy qotol eedy qokchy qotched sho fchor ols aiin chekal
chor	fchor	2	f39v	f39v.10	MEDIAL	1	1	dar ar ykar or yky chdy fchor qokain ar sheedy olchef	dar ar ykar or yky chdy fchor qokain ar sheedy olchef	dar ar ykar or yky chdy fchor qokain ar shee y olchef
chor	fchor	3	f77v	f77v.21	MEDIAL	0	0	qokal salchedy shey fchor qotas olky darory	qokal salchedy shey fchor qotas olky darory	qokal s lche y she fch r qotas olky darory
chos	fchos	1	f105r	f105r.11	MEDIAL	0	0	pdar o shedy otcheos oiiin al tchedarchy fchos aiin polaiin polkeeey dyaiin	pdar oshedy otcheos oiiin al tchedar chy fchosaiin polaiin polkeeey dyaiin	pdaroshedy otcheos oiiinal tchedarchy fchosaiin polaiin polkeeey dyaiin
choy	fchoy	1	f5r	f5r.1	MEDIAL	0	0	kchody fchoy chkoy oaiin oar olsy chody dkshy dy	kshody fchoy chkoy oaiin oar olsy chody dkshy dy	kchody pchoy chkoy oaiin oar olsy chody dkshy dy
dar	fdar	1	f115r	f115r.1	INITIAL	0	0	fdar qopchol qochedain otedy cheop ol teeedy oroiir oechedy oteedy qotchedy	fshdar qopchol qochedain otedy cheopolteeedy oroiir oechedy oteedy qotchedy	f ar qopchol qochedain ote y cheopol teee y oroiir oeche y otee y qotchedy
oar	foar	1	f24v	f24v.12	MEDIAL	1	1	ksho foar o sho qokch ok okchal	ksho foar cto sho qokch okokchal	ksho foar o sho qokch ok okchal
oar	foar	2	f6r	f6r.1	INITIAL	1	1	foar y shol cholor cphol chor ch chopchol otcham	foar y shol cholor cphol chor chckh chopchol otcham	foar y shol cholor cphol chor ch chopchol otcham
ochor	fochor	1	f9v	f9v.1	INITIAL	1	1	fochor oporody opy shor daiin qopchypcho qofol shol cfhol daiin	fochor oporody opy shor daiin qopchypcho qofol shol cfhol daiin	fochor oporo y opy or daiin qopchypcho qofol shol cfhol daiin
odal	fodal	1	f105v	f105v.8	INITIAL	0	0	fodal kedar olpchesd araiin ksheeol opchedy pchedy opcheddl pchdar air odar	fodal kedar olpchesd araiin ksheeol opchedy pchedy opcheddl pchdar air odar	f dal kedar olpchesd ar aiin ksheeol opchedy pchedy opcheddl pchdar air odar
oeear	foeear	1	f6r	f6r.3	INITIAL	0	0	foeear kshor choky os cheoeees ykeor ytaiin dam	poeear kshor choky os cheoees ykeor ytaiin dar	poeear kshor choky os cheoeees ykeor ytaiin dam
ol	fol	1	f107r	f107r.18	MEDIAL	0	0	poalosy shey tar ay f arsheey fol rolchy sheey opolkaiin ypaiinal	poalosy shey tar aiphy farsheey fol rolchy sheey opalkaiin ypaiin al	poalosy shey tar acphy farsheey f l rolchy sheey opalkaiin ypaiin al
olaiin	folaiin	1	f108r	f108r.24	INITIAL	1	1	folaiin y qokal lkedy qotedy qoked qotedy okal chdar al char aiin	folaiin shkhy qokal lkedy qotedy qoked qotedy okal chdar al char aiin	folaiin y qokal lkedy qote y qoked qotedy okal chdar al char aiin
olchey	folchey	1	f112r	f112r.1	INITIAL	1	1	folchey qokeey ykair arally oteedal or aiin chcphy	folchey qokeey ykair xar ally oteedal or aiin chcphy	folchey qokeey ykair xar ally oteedal or aiin chcphy
old	fold	1	f51v	f51v.10	FINAL	1	1	ykeol sheo qokody fold	ykeol sheo qokody fold	ykeol sheo qokody fold
oldaiin	foldaiin	1	f13v	f13v.6	INITIAL	1	1	foldaiin olcphy shol dy oty shor qotyd dairod	foldaiin olcphy shol dy oty shor qotyd dairo d	foldaiin olcphy shol dy oty shor qotyd dairod
olor	folor	1	f43r	f43r.1	MEDIAL	1	1	tarodaiin ytedy eeody ofchtar chcphedy ypar shol folor aiin cphey dar	tarodaiin ytedy chody ofchtar chcphedy ypar shol folor aiin cphhy dar	tarodaiin yte y chody ofchtar chcphe y ypar shol folor aiin cphey dar
shedy	fshedy	1	f115r	f115r.29	INITIAL	1	1	fshedy shdalky cheedar qopchedy qopchedyd lksho ror pchodar ol chedyo	fshedy shdalky cheedar qopchedy qopchedyd lksho ror pchodar olchedyo	fshedy shdalky cheedar qopchedy qopchedyd lksho ror pchodar olchedyo
shedy	fshedy	2	f80r	f80r.11	MEDIAL	0	0	pdol fshedy polkain octhor okchdy qokeedy qopcheol olkoiin y darshey	pdol fshedy qopolkain octhor okchdy qokeedy qopcheol oltoiin y darshey	pdol fshe y qopolkain octhor okchdy qokeedy qopcheol olkoiin y darshey
shody	fshody	1	f17r	f17r.1	INITIAL	1	1	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	fshody daram ydarchom opydy ypod chop otchy dody oldckhy	fshody daram ydar chom opydy ypod chop otchy dody oldckhy
shor	fshor	1	f22v	f22v.6	INITIAL	1	1	fshor shy tchor otaiin	fshor shy tchor otaiin	fshor shytchor otaiin
shy	fshy	1	f39r	f39r.1	MEDIAL	0	0	tedo chshd cphhofy chdain shey fshy dy orain cheepaiin ofy shey kaly dy	tedo chshd cphhofy chdain shey fsey dy orain cheepaiin ofy shey koly dy	te ochshd cphhofy chdain shey fshydy orain cheepaiin ofy shey kaly dy
