surface	working_candidate_de	alternate_1_de	alternate_2_de	confidence	semantic_role	selection_basis
ols	Heilmittel	Arzneistoff	Öl	C0_FORCED_CONTEXT	CONTENT_NOUN	exakter MATERIAL-Slot direkt nach ychor in einer pharmazeutischen Zeile
om	eine Handvoll	eine Dosis	eine Unze	C1_FRAME_CONSTRAINED	AMOUNT	innerer älterer Handvoll-Kandidat
or	eine Portion	ein Teil	eine Dosis	C1_FRAME_CONSTRAINED	AMOUNT_OR_PART	innerer reader-variabler älterer Portionskandidat
otaiin	kalt im dritten Grad	drei kalte Dosen	kalte Zubereitung	C1_FRAME_CONSTRAINED	COLD_LEVEL	älterer kalter Grad-III-Ganzformkandidat
otal	kalter Rohstoff, erster Grad	kalt am Anfang	erster Teil	C0_FORCED_CONTEXT	COLD_CONTENT_LEVEL	reader-variable ältere Rohstoff-/Kaltkarte
oteol	kühle bis zur Mittelstufe	kalte Zubereitung	kühler Arzneistoff	C1_FRAME_CONSTRAINED	COLD_PROCESS	exakte COLD MATERIAL PREPARATION PROCESS MIDDLE-Achsen am Zeilenende
otor	eine kalte Portion	kalter Arzneistoff	kalte Zubereitung	C1_FRAME_CONSTRAINED	COLD_AMOUNT_CONTENT	exakte COLD AMOUNT MATERIAL PREPARATION-Achsen
por	eine Portion Pulver	Pulver	Pflanzenpulver	C0_FORCED_CONTEXT	POWDER_AMOUNT	älterer Pulver-/Portionskandidat im feuchten Materialrahmen; spezifischer Stoff offen
qocheo	mische die trockene Zubereitung	siebe die Zubereitung	trockne	C0_FORCED_CONTEXT	PROCESS	ungelesener innerer Slot zwischen getrocknetem Material und heißem Teil
qoear	nimm den ersten Teil	erster Teil	zu gleichen Teilen	C0_FORCED_CONTEXT	COMMAND_PART	ältere schwache Ganzformkarte in Mengen-/Hitzezeile
qokain	heiß im zweiten Grad	zweiter heißer Teil	erhitze mäßig	C1_FRAME_CONSTRAINED	HOT_LEVEL	älterer kompletter HOT/II-Kandidat
qokar	erster heißer Teil	heiße Portion	erhitze den ersten Teil	C1_FRAME_CONSTRAINED	HOT_PART	finaler älterer Hitze-/Teil-Kandidat
qokchol	heiß getrocknetes Kraut	Pulver	getrocknete Wurzel	C1_FRAME_CONSTRAINED	DRY_HOT_CONTENT	zweimal exakte HOT DRY MATERIAL-Achsen, einmal direkt nach ychor
qokeol	heiß im zweiten Grad	erhitze bis zur Mittelstufe	heiße Zubereitung	C1_FRAME_CONSTRAINED	HOT_LEVEL_OR_PROCESS	GDT755-Ganzformkandidat an zwei ychor-Körperstellen
qokom	erhitze eine Handvoll	eine Handvoll heiße Zubereitung	miss eine Dosis ab	C1_FRAME_CONSTRAINED	HOT_AMOUNT_PROCESS	zweimal exakte HOT AMOUNT PREPARATION PROCESS-Achsen
qoky	heiß am Anfang	erwärme zuerst	heißer Arzneistoff	C1_FRAME_CONSTRAINED	HOT_BEGIN	exakte HOT BEGIN-Achsen
s	Samen	Salz	Blätter	C0_FORCED_CONTEXT	CONTENT_NOUN	ein direkter und ein finaler ychor-Körperslot; Samen wird nicht aus EVA-s abgeleitet
sa	gib Samen zu	gib Salz zu	mische	C0_FORCED_CONTEXT	CONTENT_PROCESS	ältere Zugabe-Karte im Saat-/Mengenrahmen; Stoffidentität austauschbar
sheeor	Wein	Wasser	Öl	C0_FORCED_CONTEXT	LIQUID_CONTENT	ungelesener innerer Slot nach feuchtem Material und Pulver; Wein ist bewusster Testkandidat
shekeey	weiche ein	mische	erwärme	C0_FORCED_CONTEXT	MOIST_PROCESS	ungelesener innerer Vorgangsslot im feuchten Materialrahmen
sheol	eingeweichtes Kraut	Wasser	Wein	C0_FORCED_CONTEXT	MOIST_CONTENT	exakte MOIST MATERIAL-Achsen direkt nach ychor; Krautidentität bleibt mutig
sy	Samen	Salz	Pulver	C0_FORCED_CONTEXT	CONTENT_NOUN	innerer älterer Saatgut-Kandidat; keine EVA-Initiallesung
teody	kühle ab und beende	bewahre auf	siebe ab	C0_FORCED_CONTEXT	COLD_CLOSE_PROCESS	reader-variable ältere Abkühl-/Abschlusskarte
ykaiin	erhitze auf den dritten Grad	dritter Grad	heiß halten	C1_FRAME_CONSTRAINED	HOT_LEVEL	älterer Ganzformkandidat im Gradregister
ykchom	erhitze und trockne eine Handvoll	eine Handvoll Zubereitung	mische und erhitze	C0_FORCED_CONTEXT	HOT_DRY_AMOUNT_PROCESS	finale reader-variable ältere Mehrfachrollenkarte
ytaiiil	drei Einheiten	dritter Grad	eine Dosis	C0_FORCED_CONTEXT	AMOUNT_OR_LEVEL	ungelesener finaler Slot einer stark mengen-/gradgeprägten Zeile
ytaly	kalte Zubereitung	kaltes Kraut	Wasser	C0_FORCED_CONTEXT	COLD_PREPARATION	ungelesener innerer Slot zwischen Teil/Menge und kalten Gradformen
ytar	nimm den ersten gekühlten Teil	gekühlter Pflanzenteil	kalte Portion	C1_FRAME_CONSTRAINED	COMMAND_COLD_PART	exakte MATERIAL PART-Achsen plus ältere gekühlte Teilkarte
ytol	kühle den Arzneistoff ab	kalter Arzneistoff	weiche ein	C0_FORCED_CONTEXT	COLD_PROCESS_CONTENT	reader-variable ältere Abkühlkarte unmittelbar vor trockenem Material
ytym	eine Handvoll gekühltes Kraut	eine Dosis kalter Zubereitung	gekühlter Arzneistoff	C0_FORCED_CONTEXT	COLD_AMOUNT_CONTENT	reader-variable ältere Handvoll-/Kaltkarte im Materialrahmen
