statement_id	record_unit_id	page	visible_surface_sequence	type_signature	period_sized_card_chain_de	typed_clause_de
H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	LEARNED_OBJECT>OBJECT>LEARNED_OBJECT>QUANTITY>OBJECT>LEARNED_ORDER_OR_LINK>ORDERED_OBJECT>ACTION>TARGET_ANAPHOR	Zutat · Ansatz | weitere Zutat | Zutat · Zielstelle · Posten | Sollmaß | weitere Zutat | bearbeiten · weiter | Folgeansatz | einsetzen | dorthin	Zutat · Ansatz; weitere Zutat; Zutat · Zielstelle · Posten; Sollmaß; weitere Zutat; bearbeiten · weiter; Folgeansatz; einsetzen; dorthin.
H5-S002	H5	f56r	schol choy choky cheeckhody	SOURCE_ANAPHOR>LEARNED_OBJECT>ACTION>LEARNED_PROCESS_OR_PATH	vom vorigen | Zutat · Posten | einsetzen | länger · Durchgang · Zutat; schließen	vom vorigen; Zutat · Posten; einsetzen; länger · Durchgang · Zutat; schließen.
H5-S003	H5	f56r	sh cho kchey qokokchy	LEARNED_PROCESS_OR_STATE>OBJECT>LEARNED_PROCESS_OR_STATE>LEARNED_LOCAL_ACTION	halten | weitere Zutat | bearbeiten · kurz · Posten | einsetzen · einsetzen · Posten	halten; weitere Zutat; bearbeiten · kurz · Posten; einsetzen · einsetzen · Posten.
H5-S004	H5	f56r	okchy chokcheo kchal	ACTION>LEARNED_OBJECT>LEARNED_TRANSFER_OR_ADDRESS	weiterbearbeiten | einsetzen · Auszug | bearbeiten · Zielstelle	weiterbearbeiten; einsetzen · Auszug; bearbeiten · Zielstelle.
H5-S005	H5	f56r	sho chokchy kchoar sotodan	OBJECT>ACTION>LEARNED_OBJECT>LEARNED_APPLICATION_ACTION	weitere Zutat | weiterbearbeiten | Auszug · Ausgang | danach · anwenden	weitere Zutat; weiterbearbeiten; Auszug · Ausgang; danach · anwenden.
H5-S006	H5	f56r	otchey keol daiin	ORDER_ANAPHOR>LEARNED_PROCESS_OR_STATE>QUANTITY	das nächste | kurz · weiter | Sollmaß	das nächste; kurz · weiter; Sollmaß.
B1-S001	B1	f81v	qokedy	TERMINAL_ACTION	kurz einwirken; Schluss	kurz einwirken; Schluss.
B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	QUANTITY_ACTION>LEARNED_TRANSFER_OR_ADDRESS>TARGET_ACTION>SOURCE_ANAPHOR>CONTINUATION_LINK>QUANTITY_OBJECT>LEARNED_QUANTITY_OR_STAGE>TARGET_ANAPHOR>CONTINUATION_LINK>LEARNED_ORDER_OR_LINK>OBJECT>CARRIED_PREPARATION>CONTINUATION_LINK>LEARNED_PROCESS_OR_PATH>QUANTITY>LEARNED_PROCESS_OR_STATE>QUANTITY>ACTION>TERMINAL_ACTION	bemessen | Flüssigkeitslauf | dorthin einsetzen | davon | weiter | Anteil | weiter · Anteil | dorthin | weiter | weiter | Zusatz | damit weiter | weiter | Durchgang · kurz · Zielstelle | Sollmaß | einsetzen · länger · Zielstelle | Sollmaß | durchleiten | überführen; Schluss	bemessen; Flüssigkeitslauf; dorthin einsetzen; davon; weiter; Anteil; weiter · Anteil; dorthin; weiter; weiter; Zusatz; damit weiter; weiter; Durchgang · kurz · Zielstelle; Sollmaß; einsetzen · länger · Zielstelle; Sollmaß; durchleiten; überführen; Schluss.
B1-S003	B1	f81v	qol sshkchdy	CONTINUATION_LINK>LEARNED_PROCESS_OR_STATE	weiter | halten · bearbeiten · übertragen; schließen	weiter; halten · bearbeiten · übertragen; schließen.
B1-S004	B1	f81v	chedy ol shedy	ACTION>CONTINUATION_LINK>TERMINAL_ACTION	überführen | weiter | kurz absetzen; Schluss	überführen; weiter; kurz absetzen; Schluss.
B1-S005	B1	f81v	qolchedy	TERMINAL_ACTION	weiterführen; Schluss	weiterführen; Schluss.
B1-S006	B1	f81v	qokain shckhy dl ral	QUANTITY_ACTION>ACTION>OBJECT>LEARNED_TRANSFER_OR_ADDRESS	Anteil zugeben | durchleiten | Zusatz | Zielstelle	Anteil zugeben; durchleiten; Zusatz; Zielstelle.
B1-S007	B1	f81v	qokchdy	TERMINAL_ACTION	einführen; Schluss	einführen; Schluss.
B1-S008	B1	f81v	chey ol cheky ol shedy	ITEM_ANAPHOR>CONTINUATION_LINK>ACTION>CONTINUATION_LINK>TERMINAL_ACTION	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss.
B1-S009	B1	f81v	qokedy	TERMINAL_ACTION	kurz einwirken; Schluss	kurz einwirken; Schluss.
B1-S010	B1	f81v	qokedy	TERMINAL_ACTION	kurz einwirken; Schluss	kurz einwirken; Schluss.
B1-S011	B1	f81v	chckhy qoky	ACTION>ACTION	durchleiten | einsetzen	durchleiten; einsetzen.
B1-S012	B1	f81v	lsho qokey lshedy	LEARNED_PROCESS_OR_PATH>DURATIVE_ACTION>LEARNED_PROCESS_OR_PATH	waschen | kurz einwirken | waschen; schließen	waschen; kurz einwirken; waschen; schließen.
B1-S013	B1	f81v	lshedy	LEARNED_PROCESS_OR_PATH	waschen; schließen	waschen; schließen.
B1-S014	B1	f81v	chedy qolky lchedal qol otar	ACTION>LEARNED_ORDER_OR_LINK>LEARNED_TRANSFER_OR_ADDRESS>CONTINUATION_LINK>LEARNED_TRANSFER_OR_ADDRESS	überführen | weiter | abführen · übertragen · Zielstelle | weiter | danach · Ausgang	überführen; weiter; abführen · übertragen · Zielstelle; weiter; danach · Ausgang.
B1-S015	B1	f81v	ytey okchedy	LEARNED_PROCESS_OR_STATE>TERMINAL_ACTION	Posten · kurz · Teil | einführen; Schluss	Posten · kurz · Teil; einführen; Schluss.
B1-S016	B1	f81v	qokal okeey qol cheedy	TARGET_ACTION>DURATIVE_ACTION>CONTINUATION_LINK>TERMINAL_ACTION	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	dorthin einsetzen; lange einwirken; weiter; kurz absetzen; Schluss.
B1-S017	B1	f81v	sal teol dchdy	TARGET_ANAPHOR>LEARNED_PROCESS_OR_STATE>LEARNED_TRANSFER_OR_ADDRESS	dorthin | kurz · weiter | übertragen; schließen	dorthin; kurz · weiter; übertragen; schließen.
B1-S018	B1	f81v	ly dsheol oiiin olkeedy	LEARNED_TRANSFER_OR_ADDRESS>LEARNED_PROCESS_OR_STATE>LEARNED_QUANTITY_OR_STAGE>TERMINAL_ACTION	abführen · Posten | halten · kurz · weiter | Arbeitsstufe | lange sammeln; Schluss	abführen · Posten; halten · kurz · weiter; Arbeitsstufe; lange sammeln; Schluss.
B1-S019	B1	f81v	tedy	TERMINAL_ACTION	kurz absetzen; Schluss	kurz absetzen; Schluss.
B1-S020	B1	f81v	cheky shckhedy	ACTION>TERMINAL_ACTION	kurz wärmen | seihen; Schluss	kurz wärmen; seihen; Schluss.
B1-S021	B1	f81v	chal	TARGET_ANAPHOR	dorthin	dorthin.
B2-S001	B2	f82r	dchedy	TERMINAL_ACTION	überführen; Schluss	überführen; Schluss.
B2-S002	B2	f82r	qolchedy	TERMINAL_ACTION	weiterführen; Schluss	weiterführen; Schluss.
B2-S003	B2	f82r	qokain dy qokeedy	QUANTITY_ACTION>ITEM_ANAPHOR>TERMINAL_ACTION	Anteil zugeben | dies | lange einwirken; Schluss	Anteil zugeben; dies; lange einwirken; Schluss.
B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	TARGET_ACTION>LEARNED_PROCESS_OR_PATH>LEARNED_TRANSFER_OR_ADDRESS>DURATIVE_ACTION>LEARNED_PROCESS_OR_PATH	dorthin einsetzen | abführen · Durchgang · Posten | abführen · übertragen | lange einwirken | abführen · trennen; schließen	dorthin einsetzen; abführen · Durchgang · Posten; abführen · übertragen; lange einwirken; abführen · trennen; schließen.
B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	LEARNED_TRANSFER_OR_ADDRESS>LEARNED_PROCESS_OR_STATE>ACTION>QUANTITY_ACTION>QUANTITY_ACTION>LEARNED_PROCESS_OR_STATE>LEARNED_PROCESS_OR_STATE>TERMINAL_ACTION	einsetzen · Zielstelle · Posten | auffangen · Sollmaß | durchleiten | bemessen | bemessen | bereitstellen · weiter | wärmen · länger · Posten | abziehen; Schluss	einsetzen · Zielstelle · Posten; auffangen · Sollmaß; durchleiten; bemessen; bemessen; bereitstellen · weiter; wärmen · länger · Posten; abziehen; Schluss.
B2-S006	B2	f82r	oteey qokal sheckhy qoky	LEARNED_PROCESS_OR_STATE>TARGET_ACTION>LEARNED_PROCESS_OR_PATH>ACTION	danach · länger · Posten | dorthin einsetzen | Durchgang · kurz · Posten | einsetzen	danach · länger · Posten; dorthin einsetzen; Durchgang · kurz · Posten; einsetzen.
B2-S007	B2	f82r	dshedy	LEARNED_PROCESS_OR_STATE	absetzen · kurz; schließen	absetzen · kurz; schließen.
B2-S008	B2	f82r	sotaiin qokar shedy	ORDERED_QUANTITY>LEARNED_TRANSFER_OR_ADDRESS>TERMINAL_ACTION	Folgemaß | einsetzen · Ausgang | kurz absetzen; Schluss	Folgemaß; einsetzen · Ausgang; kurz absetzen; Schluss.
B2-S009	B2	f82r	solshedy	LEARNED_PROCESS_OR_STATE	weiter · absetzen; schließen	weiter · absetzen; schließen.
B2-S010	B2	f82r	qokeey qoky ls cheey	DURATIVE_ACTION>ACTION>LEARNED_TRANSFER_OR_ADDRESS>PRODUCT_OBJECT	lange einwirken | einsetzen | abführen | Klarauszug	lange einwirken; einsetzen; abführen; Klarauszug.
B2-S011	B2	f82r	okain char okain qokeedy	QUANTITY_ACTION>SOURCE_ANAPHOR>QUANTITY_ACTION>TERMINAL_ACTION	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	Anteil zugeben; davon; Anteil zugeben; lange einwirken; Schluss.
B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	LEARNED_TRANSFER_OR_ADDRESS>PRODUCT_OBJECT>LEARNED_PROCESS_OR_STATE>DURATIVE_ACTION>LEARNED_PROCESS_OR_PATH>QUANTITY>ITEM_ANAPHOR>LEARNED_PROCESS_OR_STATE	abführen · Posten | Klarauszug | bereitstellen · kurz · Posten | lange einwirken | abführen · Klarlauf | Sollmaß | dies | einsetzen · vollständig; schließen	abführen · Posten; Klarauszug; bereitstellen · kurz · Posten; lange einwirken; abführen · Klarlauf; Sollmaß; dies; einsetzen · vollständig; schließen.
B2-S013	B2	f82r	lchedy	TERMINAL_ACTION	abführen; Schluss	abführen; Schluss.
B2-S014	B2	f82r	lar	LEARNED_TRANSFER_OR_ADDRESS	abführen · Ausgang	abführen · Ausgang.
B2-S015	B2	f82r	tshey qokeedy	LEARNED_PROCESS_OR_PATH>TERMINAL_ACTION	Klarlauf | lange einwirken; Schluss	Klarlauf; lange einwirken; Schluss.
B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	TARGET_ANAPHOR>LEARNED_TRANSFER_OR_ADDRESS>LEARNED_LOCAL_ACTION>QUANTITY>LEARNED_PROCESS_OR_STATE>QUANTITY_ACTION>DURATIVE_ACTION>LEARNED_TRANSFER_OR_ADDRESS	dorthin | abführen · übertragen · Ausgang | teilen | Sollmaß | danach · länger · Posten | bemessen | kurz einwirken | zuführen · übertragen; schließen	dorthin; abführen · übertragen · Ausgang; teilen; Sollmaß; danach · länger · Posten; bemessen; kurz einwirken; zuführen · übertragen; schließen.
B2-S017	B2	f82r	rsheal daldy	LEARNED_PROCESS_OR_STATE>LEARNED_TRANSFER_OR_ADDRESS	halten · kurz · Zielstelle | Zielstelle; schließen	halten · kurz · Zielstelle; Zielstelle; schließen.
B2-S018	B2	f82r	qokeedy	TERMINAL_ACTION	lange einwirken; Schluss	lange einwirken; Schluss.
B2-S019	B2	f82r	rshedy	LEARNED_PROCESS_OR_PATH	waschen; schließen	waschen; schließen.
B2-S020	B2	f82r	qoteedy	LEARNED_PROCESS_OR_STATE	danach · länger; schließen	danach · länger; schließen.
B2-S021	B2	f82r	qokeedy	TERMINAL_ACTION	lange einwirken; Schluss	lange einwirken; Schluss.
B2-S022	B2	f82r	lochedy	LEARNED_TRANSFER_OR_ADDRESS	abführen · übertragen; schließen	abführen · übertragen; schließen.
B3-S001	B3	f83r	olkeedy	TERMINAL_ACTION	lange sammeln; Schluss	lange sammeln; Schluss.
B3-S002	B3	f83r	qotal chkeedy	TARGET_ANAPHOR>LEARNED_PROCESS_OR_STATE	danach dorthin | wärmen · länger; schließen	danach dorthin; wärmen · länger; schließen.
B3-S003	B3	f83r	chey daiin chey lchedy	ITEM_ANAPHOR>QUANTITY>ITEM_ANAPHOR>TERMINAL_ACTION	dies | Sollmaß | dies | abführen; Schluss	dies; Sollmaß; dies; abführen; Schluss.
B3-S004	B3	f83r	qokaiin qotal dar	QUANTITY_ACTION>TARGET_ANAPHOR>SOURCE_ANAPHOR	bemessen | danach dorthin | davon	bemessen; danach dorthin; davon.
B3-S005	B3	f83r	schedy	TERMINAL_ACTION	überführen; Schluss	überführen; Schluss.
B3-S006	B3	f83r	chedchy qokal olchedy	LEARNED_TRANSFER_OR_ADDRESS>TARGET_ACTION>TERMINAL_ACTION	übertragen · Posten | dorthin einsetzen | weiterführen; Schluss	übertragen · Posten; dorthin einsetzen; weiterführen; Schluss.
B3-S007	B3	f83r	qokaiin chedy qokeedy	QUANTITY_ACTION>ACTION>TERMINAL_ACTION	bemessen | überführen | lange einwirken; Schluss	bemessen; überführen; lange einwirken; Schluss.
B3-S008	B3	f83r	lchedy	TERMINAL_ACTION	abführen; Schluss	abführen; Schluss.
B3-S009	B3	f83r	qoky	ACTION	einsetzen	einsetzen.
B3-S010	B3	f83r	pchedal otedy	LEARNED_TRANSFER_OR_ADDRESS>LEARNED_PROCESS_OR_STATE	zuführen · übertragen · Zielstelle | danach · kurz; schließen	zuführen · übertragen · Zielstelle; danach · kurz; schließen.
B3-S011	B3	f83r	shecthedchy qoky chedy chary	LEARNED_PROCESS_OR_STATE>ACTION>ACTION>LEARNED_TRANSFER_OR_ADDRESS	bereitstellen · übertragen · Posten | einsetzen | überführen | Ausgang · Posten	bereitstellen · übertragen · Posten; einsetzen; überführen; Ausgang · Posten.
B3-S012	B3	f83r	sor shedy	OBJECT>TERMINAL_ACTION	Ansatz | kurz absetzen; Schluss	Ansatz; kurz absetzen; Schluss.
B3-S013	B3	f83r	qokaiin chkain shcthey qokedy	QUANTITY_ACTION>QUANTITY_OBJECT>LEARNED_PROCESS_OR_STATE>TERMINAL_ACTION	bemessen | Anteil | bereitstellen · kurz · Posten | kurz einwirken; Schluss	bemessen; Anteil; bereitstellen · kurz · Posten; kurz einwirken; Schluss.
B3-S014	B3	f83r	okair sheedy	LEARNED_TRANSFER_OR_ADDRESS>LEARNED_PROCESS_OR_STATE	einsetzen · Flüssigkeitslauf | absetzen · länger; schließen	einsetzen · Flüssigkeitslauf; absetzen · länger; schließen.
B3-S015	B3	f83r	lchedy	TERMINAL_ACTION	abführen; Schluss	abführen; Schluss.
B3-S016	B3	f83r	lo qokchedy	LEARNED_TRANSFER_OR_ADDRESS>TERMINAL_ACTION	abführen | einführen; Schluss	abführen; einführen; Schluss.
B3-S017	B3	f83r	qokeedy	TERMINAL_ACTION	lange einwirken; Schluss	lange einwirken; Schluss.
B3-S018	B3	f83r	shedy	TERMINAL_ACTION	kurz absetzen; Schluss	kurz absetzen; Schluss.
B3-S019	B3	f83r	qokshedy	LEARNED_PROCESS_OR_STATE	einsetzen · absetzen; schließen	einsetzen · absetzen; schließen.
B3-S020	B3	f83r	dal lchedy	TARGET_ANAPHOR>TERMINAL_ACTION	dorthin | abführen; Schluss	dorthin; abführen; Schluss.
B3-S021	B3	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	QUANTITY_ACTION>STATE>TARGET_ANAPHOR>ITEM_ANAPHOR>QUANTITY>LEARNED_PROCESS_OR_STATE>LEARNED_PROCESS_OR_STATE>ITEM_ANAPHOR>TARGET_ANAPHOR>STATE>LEARNED_TRANSFER_OR_ADDRESS	bemessen | bereit | dorthin | dies | Sollmaß | absetzen · Zielstelle | bereitstellen · kurz · Posten | dies | dorthin | bereit | Zielstelle · übertragen; schließen	bemessen; bereit; dorthin; dies; Sollmaß; absetzen · Zielstelle; bereitstellen · kurz · Posten; dies; dorthin; bereit; Zielstelle · übertragen; schließen.
B3-S022	B3	f83r	qotchedy	LEARNED_TRANSFER_OR_ADDRESS	danach · übertragen; schließen	danach · übertragen; schließen.
B3-S023	B3	f83r	lchedy	TERMINAL_ACTION	abführen; Schluss	abführen; Schluss.
B3-S024	B3	f83r	tchedy	TERMINAL_ACTION	überführen; Schluss	überführen; Schluss.
B3-S025	B3	f83r	qokchdy	TERMINAL_ACTION	einführen; Schluss	einführen; Schluss.
B3-S026	B3	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	LEARNED_TRANSFER_OR_ADDRESS>LEARNED_PROCESS_OR_STATE>ACTION>QUANTITY_ACTION>STATE>LEARNED_OBJECT>TERMINAL_ACTION	übertragen · Ausgang | absetzen · Sollmaß | überführen | Anteil zugeben | bereit | Zielstelle · Ansatz | lange sammeln; Schluss	übertragen · Ausgang; absetzen · Sollmaß; überführen; Anteil zugeben; bereit; Zielstelle · Ansatz; lange sammeln; Schluss.
B3-S027	B3	f83r	qoteedy	LEARNED_PROCESS_OR_STATE	danach · länger; schließen	danach · länger; schließen.
B3-S028	B3	f83r	qokeey qokedy	DURATIVE_ACTION>TERMINAL_ACTION	lange einwirken | kurz einwirken; Schluss	lange einwirken; kurz einwirken; Schluss.
B3-S029	B3	f83r	sol cheeety qokedy	CONTINUATION_LINK>LEARNED_PROCESS_OR_STATE>TERMINAL_ACTION	weiter | vollständig · Teil | kurz einwirken; Schluss	weiter; vollständig · Teil; kurz einwirken; Schluss.
B3-S030	B3	f83r	qoky saiin schedair otchedy	ACTION>QUANTITY>LEARNED_TRANSFER_OR_ADDRESS>LEARNED_TRANSFER_OR_ADDRESS	einsetzen | Sollmaß | Flüssigkeitslauf | danach · übertragen; schließen	einsetzen; Sollmaß; Flüssigkeitslauf; danach · übertragen; schließen.
B3-S031	B3	f83r	qokeedy	TERMINAL_ACTION	lange einwirken; Schluss	lange einwirken; Schluss.
B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	LEARNED_TRANSFER_OR_ADDRESS>ACTION>LEARNED_PROCESS_OR_STATE>ORDERED_QUANTITY>LEARNED_PROCESS_OR_STATE	übertragen · Anteil | überführen | danach · kurz · Sollmaß | Folgemaß | danach · kurz; schließen	übertragen · Anteil; überführen; danach · kurz · Sollmaß; Folgemaß; danach · kurz; schließen.
B3-S033	B3	f83r	ldy	TERMINAL_ACTION	abziehen; Schluss	abziehen; Schluss.
B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly shedy	LEARNED_QUANTITY_OR_STAGE>STATE>QUANTITY_OBJECT>ORDERED_QUANTITY>LEARNED_TRANSFER_OR_ADDRESS>TERMINAL_ACTION	Arbeitsstufe | bereit | Anteil | Folgemaß | Zielstelle · Posten | kurz absetzen; Schluss	Arbeitsstufe; bereit; Anteil; Folgemaß; Zielstelle · Posten; kurz absetzen; Schluss.
B4-S001	B4	f83r	qokeedy	TERMINAL_ACTION	lange einwirken; Schluss	lange einwirken; Schluss.
B4-S002	B4	f83r	qolchey qokeey qokedy	LEARNED_ORDER_OR_LINK>DURATIVE_ACTION>TERMINAL_ACTION	weiter · Posten | lange einwirken | kurz einwirken; Schluss	weiter · Posten; lange einwirken; kurz einwirken; Schluss.
B4-S003	B4	f83r	chedy otal otchey qokeey qoky tol shedy	ACTION>TARGET_ANAPHOR>ORDER_ANAPHOR>DURATIVE_ACTION>ACTION>CONTINUATION_LINK>TERMINAL_ACTION	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	überführen; danach dorthin; das nächste; lange einwirken; einsetzen; weiter; kurz absetzen; Schluss.
B4-S004	B4	f83r	qokylddy	LEARNED_APPLICATION_ACTION	einsetzen · Posten · festbinden	einsetzen · Posten · festbinden.
B4-S005	B4	f83r	dain chedy qokeedy	LEARNED_OBJECT>ACTION>TERMINAL_ACTION	Tuch | überführen | lange einwirken; Schluss	Tuch; überführen; lange einwirken; Schluss.
B4-S006	B4	f83r	shckhedy	TERMINAL_ACTION	seihen; Schluss	seihen; Schluss.
B4-S007	B4	f83r	shckhedy	TERMINAL_ACTION	seihen; Schluss	seihen; Schluss.
B4-S008	B4	f83r	saiin cheeky sheey qokedy	QUANTITY>DURATIVE_ACTION>LEARNED_PROCESS_OR_STATE>TERMINAL_ACTION	Sollmaß | länger bearbeiten | halten · länger · Posten | kurz einwirken; Schluss	Sollmaß; länger bearbeiten; halten · länger · Posten; kurz einwirken; Schluss.
B4-S009	B4	f83r	shedy	TERMINAL_ACTION	kurz absetzen; Schluss	kurz absetzen; Schluss.
B4-S010	B4	f83r	oldy	TERMINAL_STATE	fertig	fertig.
B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	QUANTITY>ACTION>LEARNED_PROCESS_OR_STATE>QUANTITY_ACTION>ACTION>CONTINUATION_LINK>LEARNED_PROCESS_OR_STATE	Sollmaß | kurz wärmen | einsetzen · länger · weiter | Anteil zugeben | überführen | weiter | abführen · kurz; schließen	Sollmaß; kurz wärmen; einsetzen · länger · weiter; Anteil zugeben; überführen; weiter; abführen · kurz; schließen.
B4-S012	B4	f83r	lchedy	TERMINAL_ACTION	abführen; Schluss	abführen; Schluss.
B4-S013	B4	f83r	qokol shedy	LEARNED_ORDER_OR_LINK>TERMINAL_ACTION	einsetzen · weiter | kurz absetzen; Schluss	einsetzen · weiter; kurz absetzen; Schluss.
B4-S014	B4	f83r	or chey qockhey dairydy	OBJECT>ITEM_ANAPHOR>LEARNED_PROCESS_OR_PATH>LEARNED_TRANSFER_OR_ADDRESS	Ansatz | dies | einsetzen · Durchgang · kurz · Posten | Flüssigkeitslauf · Posten; schließen	Ansatz; dies; einsetzen · Durchgang · kurz · Posten; Flüssigkeitslauf · Posten; schließen.
B4-S015	B4	f83r	qokain shey kain chckhal solkey lchedy	QUANTITY_ACTION>PRODUCT_OBJECT>QUANTITY_OBJECT>LEARNED_PROCESS_OR_PATH>LEARNED_PROCESS_OR_STATE>TERMINAL_ACTION	Anteil zugeben | Klarauszug | Anteil | Durchgang · Zielstelle | auffangen · kurz · Posten | abführen; Schluss	Anteil zugeben; Klarauszug; Anteil; Durchgang · Zielstelle; auffangen · kurz · Posten; abführen; Schluss.
