rank	page	locus	section	language	hand	token_count	new_v50_positions	residual_unknown_positions	inherited_narrow_carrier_positions	inherited_other_assigned_positions	literal_narrow_carrier_positions	literal_narrow_carrier_matches	working_narrow_carrier_positions	working_narrow_carrier_matches	assigned_fraction	complete	action_positions	action_ordinals	action_surfaces	line_mode	source_action_mode	gdt675_render_correction	new_surface	new_reader_support	remaining_unknown_surfaces	zl3b_line	literal_token_glosses_de	working_line_de	review_note
11	f112r	f112r.36	S	B	3	6	1	1	3	1	4	4	4	4	0.833333	0	0	NONE	NONE	QUANTITY_LABEL	CATALOGUE	BIND_OLAM_AS_UNIT_OF_OKEEY	olam	BOTH_EXACT	olchain	sain ol checkhy olchain okeey olam	Saatgut, Typ/Charge II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockenes Arzneikompositum am Gradanfang | [olchain:?] | heißer Ansatz am Ende des Grades | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	Saatgut, Charge II · Ansatz/Gut · trockenes Arzneikompositum, Anfangsstufe · ⟦olchain:?⟧ · heißer Ansatz, Endstufe · ein Maß Ansatz-/Drogenmaterial.	HOLD: olam ist sicher ein Maß; Stoffklasse beziehungsweise Holzbindung bleibt offen.
12	f115r	f115r.23	S	B	@	13	1	2	1	9	1	1	1	1	0.846154	0	2	1|5	dchey|qokcho	ACTION_SEQUENCE	INSTRUCTION_INITIAL	NONE	dchey	BOTH_EXACT	qokeod|keeey	dchey keey qokeod chody qokcho s checthy qokeeey keeey lol chedy qokchedy ldy	eine Dosis bis zur Mittelstufe trocknen und abschließen | heiß am Ende des Grades | [qokeod:?] | Trockenansatz, abgeschlossen | erhitze, trockne und setze an | Samen-/Saatgutposten | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | stark erhitzt, Endstufe III | [keeey:?] | Holzstoff | trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet	Eine Dosis bis Mittelstufe trocknen und abschließen · heiß, Endstufe · ⟦qokeod:?⟧ · Trockenansatz, abgeschlossen · erhitzen, trocknen und ansetzen · Samen-/Saatgutposten · trockenes Blatt-/Krautgut · stark erhitzt, Endstufe III · ⟦keeey:?⟧ · Holzstoff · trocken, Mittelstufe, abgeschlossen · heiß-trocken, Mittelstufe, abgeschlossen · Holzdroge, fertig aufbereitet.	HOLD: initiales dchey und qokcho bilden eine plausible zweiteilige Arbeitsfolge.
13	f86v6	f86v6.4	T	B	2	13	1	2	2	8	3	3	3	3	0.846154	0	0	NONE	NONE	QUANTITY_LABEL	CATALOGUE	PROVISIONAL_BIND_DALAM_TO_OLKAR;DO_NOT_PROMOTE	olkar	BOTH_EXACT	oteor|karchees	dshor shdy shor ol aiin olkeedy shdal oteor chdar l karchees olkar dalam	abgemessene Blüten-/Fruchtdroge | feucht am Anfang des Grades, abgeschlossen | Blüten-/Fruchtstand; reproduktiver Teil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Menge III | Holzdrogenansatz vollständig erhitzt und abgeschlossen | feuchte abgemessene Rohstoffmenge I am Gradanfang | [oteor:?] | abgemessene Trockenfraktion I, Anfangsstufe | Holzdroge in der gebundenen Anschlussform | [karchees:?] | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | ein Maß Rohdroge I	Abgemessene Blüten-/Fruchtdroge · feucht, Anfangsstufe, abgeschlossen · Blüten-/Fruchtstand · Ansatz/Gut · Menge III · Holzdrogenansatz vollständig erhitzt und abgeschlossen · feuchte abgemessene Rohstoffmenge I, Anfangsstufe · ⟦oteor:?⟧ · abgemessene Trockenfraktion I, Anfangsstufe · Holzdroge, gebundene Anschlussform · ⟦karchees:?⟧ · erste erhitzte Drogenfraktion im Ansatz · ein Maß Rohdroge I.	HOLD: olkar dalam schließt plausibel als „erhitzte Fraktion; ein Maß Rohdroge I“.
14	f76v	f76v.10	B	B	2	10	1	2	0	7	1	1	1	1	0.800000	0	2	3|4	qopchdy|dshedy	MIXED_RECORD	MIXED_ACTION	BIND_DAIIN_VALUE_III_TO_SHECPHY;DY_CLOSES_VALUE_FIELD	shecphy	ONE_EXACT	cphdor|lsheetal	cphdor shedal qopchdy dshedy shedy tchedy lsheetal shecphy daiin dy	[cphdor:?] | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | [lsheetal:?] | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | Grad-/Maßwert III | Qualitäts-/Wertfeld geschlossen	⟦cphdor:?⟧ · feuchte abgemessene Rohstoffmenge I, Mittelstufe · fertig getrocknetes Pulver nehmen · eine Dosis Droge bis Mittelstufe einweichen und abschließen · feucht, Mittelstufe, abgeschlossen · kalt-trocken, Mittelstufe, abgeschlossen · ⟦lsheetal:?⟧ · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · Grad/Maß III · Qualitäts-/Wertfeld geschlossen.	HOLD/SPLIT: shecphy ist das eingeweichte Resultat der vorausgehenden Operation.
15	f86v3	f86v3.19	C	B	2	10	1	2	0	7	0	0	2	2	0.800000	0	2	1|4	dchey|qokam	ACTION_SEQUENCE	INSTRUCTION_INITIAL	NONE	dchey	ONE_EXACT	olkechy|aiindy	dchey otain olkechy qokam chol kchdy chol tchdy dar aiindy	eine Dosis bis zur Mittelstufe trocknen und abschließen | kalt im Zubereitungsrahmen, Grad II | [olkechy:?] | nimm ein Maß und erhitze es | trocken; nominal trockenes Gut/Material | heiß und trocken am Anfang des Grades, abgeschlossen | trocken; nominal trockenes Gut/Material | kalt und trocken am Anfang des Grades, abgeschlossen | abgemessene Fraktion I | [aiindy:?]	Eine Dosis bis Mittelstufe trocknen und abschließen · kalt, Grad II, im Zubereitungsrahmen · ⟦olkechy:?⟧ · ein Maß nehmen und erhitzen · Trockengut · heiß-trocken, Anfangsstufe, abgeschlossen · Trockengut · kalt-trocken, Anfangsstufe, abgeschlossen · abgemessene Fraktion I · ⟦aiindy:?⟧.	HOLD: initiales dchey ist mit der späteren Maßentnahme eine kohärente Arbeitsfolge.
16	f95v1	f95v1.7	H	B	3	11	1	2	1	7	2	2	2	2	0.818182	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	QUARANTINE_FIXED_HOT_OLKAR;BOTH_ALT_READERS_HAVE_OLTAR	olkar	NEITHER_EXACT	dolkain|otardy	dshey kain qokar olkar chy tar otar chdy kchdy dolkain otardy	eine Dosis bis zur Mittelstufe angefeuchtete Droge | heiß, Grad II | heiße Drogenfraktion I | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | trocken am Anfang des Grades | kalte Drogenfraktion I | kalte Drogenfraktion I im Ansatz | trocken am Anfang des Grades, abgeschlossen | heiß und trocken am Anfang des Grades, abgeschlossen | [dolkain:?] | [otardy:?]	Eine Dosis bis Mittelstufe angefeuchtete Droge · heiß, Grad II · heiße Drogenfraktion I · erste erhitzte Drogenfraktion im Ansatz (nur ZL3b; IT2a/RF1b: oltar) · trocken, Anfangsstufe · kalte Drogenfraktion I · kalte Drogenfraktion I im Ansatz · trocken, Anfangsstufe, abgeschlossen · heiß-trocken, Anfangsstufe, abgeschlossen · ⟦dolkain:?⟧ · ⟦otardy:?⟧.	QUARANTÄNE: ZL3b-olkar passt nominal in das heiß/kalt/trocken-Register, aber beide Alternativleser haben oltar; die Prosa markiert den Rivalen deshalb direkt.
17	f83v	f83v.12	B	B	2	11	1	2	2	6	3	3	3	3	0.818182	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	NONE	olkar	BOTH_EXACT	qoeeo|lldar	daiin shckhy qoeeo lldar cheey qoal qokeedy olkar sheedy qokain olal	Grad-/Maßwert III | Arzneikompositum: feucht, Gradanfang | [qoeeo:?] | [lldar:?] | trocken am Ende des Grades | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | feucht am Ende des Grades, abgeschlossen | heiß, Grad II | Ansatz aus Holzrohstoff, Form I	Grad/Maß III · feuchtes Arzneikompositum, Anfangsstufe · ⟦qoeeo:?⟧ · ⟦lldar:?⟧ · trocken, Endstufe · Rohstoffklasse I · heiß, Endstufe, abgeschlossen · erste erhitzte Drogenfraktion im Ansatz · feucht, Endstufe, abgeschlossen · heiß, Grad II · Holzrohstoffansatz, Form I.	HOLD: olkar ist nominal und zwischen abgeschlossenen Zustandsstufen eingebettet.
18	f116r	f116r.12	S	B	3	12	1	2	3	6	4	4	4	4	0.833333	0	1	9	olchdy	MIXED_RECORD	MIXED_ACTION	DO_NOT_BIND_OLAM_BACK_ACROSS_DAIN;OLAM_TERMINAL_UNIT_HEAD_OPEN	olam	BOTH_EXACT	qoin|cholches	qoin ar cholches okain dain cheey okeey otain olchdy otal dain olam	[qoin:?] | Drogenfraktion I | [cholches:?] | heiß im Zubereitungsrahmen, Grad II | Grad-/Maßwert II | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	⟦qoin:?⟧ · Drogenfraktion I · ⟦cholches:?⟧ · heiß, Grad II, im Zubereitungsrahmen · Grad/Maß II · trocken, Endstufe · heißer Ansatz, Endstufe · kalt, Grad II, im Zubereitungsrahmen · Drogenstoff trocknen und fertigstellen · Rohstoffklasse I im kalten Anfangsansatz · Grad/Maß II · ein Maß Ansatz-/Drogenmaterial.	HOLD MIT BINDUNGSFRAGE: olam bleibt Maß; wahrscheinlich bindet dain unmittelbar daran.
19	f80v	f80v.35	B	B	2	12	1	2	3	6	4	4	4	4	0.833333	0	2	5|6	qol|qol	ACTION_SEQUENCE	MIXED_ACTION	RENDER_OLKAR_AS_NOMINAL_REFERENCE_OR_OBJECT_BEFORE_QOL_5_6	olkar	BOTH_EXACT	oltain|okiin	tol oltain olkar y qol qol kain okiin ol kain shey ldy	kalt; nominal kaltes Gut/Material | [oltain:?] | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | hierzu: | Drogenstoff zugeben | Drogenstoff zugeben | heiß, Grad II | [okiin:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad II | feucht in der Mitte des Grades | Holzdroge, fertig aufbereitet	Kaltes Gut · ⟦oltain:?⟧ · erste erhitzte Drogenfraktion im Ansatz · hierzu · Drogenstoff zugeben · Drogenstoff zugeben · heiß, Grad II · ⟦okiin:?⟧ · Ansatz/Gut · heiß, Grad II · feucht, Mittelstufe · Holzdroge, fertig aufbereitet.	HOLD: olkar ist Zugabegut; die zwei qol sind die tatsächlichen Imperative.
20	f105r	f105r.2	S	B	3	13	1	2	4	6	5	5	5	5	0.846154	0	2	11|13	odar|qody	MIXED_RECORD	MIXED_ACTION	NONE	dshees	BOTH_EXACT	yey|qodor	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Dosis oder Charge vollständig eingeweichter Arzneispecies · ⟦yey:?⟧ · trocken, Endstufe · Wurzel, Charge III · kalt-trockener Ansatz, Anfangsstufe, abgeschlossen · ⟦qodor:?⟧ · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken, Endstufe · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · Zubereitung fertigstellen.	HOLD: dshees ist nominale Dosis/Charge; die Handlungen stehen erst am Zeilenende.
21	f30r	f30r.9	H	A	1	7	1	2	0	4	0	0	1	1	0.714286	0	3	1|5|7	dchey|chcthey|cheky	ACTION_SEQUENCE	INSTRUCTION_INITIAL	NONE	dchey	BOTH_EXACT	qochar|keeaiin	dchey qochar chol keeaiin chcthey chor cheky	eine Dosis bis zur Mittelstufe trocknen und abschließen | [qochar:?] | trocken; nominal trockenes Gut/Material | [keeaiin:?] | Krautdroge bis zur mittleren Stufe trocknen | Pflanzen-/Reproduktionsteil | bis zur mittleren Trockenstufe, dann leicht erhitzen	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦qochar:?⟧ · Trockengut · ⟦keeaiin:?⟧ · Krautdroge bis zur Mittelstufe trocknen · Pflanzen-/Reproduktionsteil · bis zur mittleren Trockenstufe bringen, dann leicht erhitzen.	HOLD: dchey passt in eine dreigliedrige Trocknungs- und Erhitzungsfolge.
22	f7r	f7r.2	H	A	1	9	1	2	2	4	2	2	2	2	0.777778	0	1	1	dcheey	MIXED_RECORD	INSTRUCTION_INITIAL	NONE	dchey	BOTH_EXACT	keo|dold	dcheey keo r shor dold dchey kchey otchy cheody	eine Dosis vollständig trocknen und abschließen | [keo:?] | Wurzel | Blüten-/Fruchtstand; reproduktiver Teil | [dold:?] | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß und trocken in der Mitte des Grades | kalt-trockener Ansatz am Anfang des Grades | getrockneter Ansatz	Eine Dosis vollständig trocknen und abschließen · ⟦keo:?⟧ · Wurzel · Blüten-/Fruchtstand · ⟦dold:?⟧ · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß-trocken, Mittelstufe · kalt-trockener Ansatz, Anfangsstufe · getrockneter Ansatz.	HOLD/SPLIT: dcheey ist der Initialbefehl; späteres dchey ist nominales Ergebnis.
23	f77v	f77v.7	B	B	2	11	1	2	4	4	5	5	5	5	0.818182	0	3	2|5|11	qolsheedy|ycheedy|qolky	ACTION_SEQUENCE	MIXED_ACTION	NONE	qolsheedy	ONE_EXACT	qy|rr	olshedy qolsheedy qy rr ycheedy okedy lshedy chs shdal chedy qolky	Holzdroge im Ansatz vollständig eingeweicht | vollständig eingeweichten und fertigen Drogenstoff zugeben | [qy:?] | [rr:?] | trockne hiervon vollständig und stelle es fertig | heißer Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz | Trockengut, Grundform | feuchte abgemessene Rohstoffmenge I am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | leicht erhitzten Drogenstoff hinzugeben	Holzdroge im Ansatz, vollständig eingeweicht · vollständig eingeweichten und fertigen Drogenstoff zugeben · ⟦qy:?⟧ · ⟦rr:?⟧ · hiervon vollständig trocknen und fertigstellen · heißer Ansatz, Mittelstufe, abgeschlossen · eingeweichtes Drogenholz · Trockengut, Grundform · feuchte abgemessene Rohstoffmenge I, Anfangsstufe · trocken, Mittelstufe, abgeschlossen · leicht erhitzten Drogenstoff zugeben.	HOLD/SPLIT: bei qolsheedy ist nur qol die Zugabehandlung; sheedy bezeichnet bereits fertiges Feuchtgut.
24	f113v	f113v.3	S	B	3	7	1	2	1	3	2	2	2	2	0.714286	0	0	NONE	NONE	QUANTITY_LABEL	CATALOGUE	LOCAL_BIND_OLAM_AS_UNIT_OF_OLOL;KEEP_OL_BOUNDARY_OPEN	olam	BOTH_EXACT	chotar|okeeodar	sar aiin chotar okeeodar qokain olol olam	Samenfraktion I | Menge III | [chotar:?] | [okeeodar:?] | heiß, Grad II | Holzdrogen-Grundansatz | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	Samenfraktion I · Menge III · ⟦chotar:?⟧ · ⟦okeeodar:?⟧ · heiß, Grad II · Holzdrogen-Grundansatz · ein Maß Ansatz-/Drogenmaterial.	HOLD: olam schließt ein Mengenetikett ab; Holzbezug ist möglich, aber nicht erzwungen.
25	f86v3	f86v3.18	C	B	2	7	1	2	1	3	1	1	1	1	0.714286	0	1	4	qopchol	MIXED_RECORD	MIXED_ACTION	NONE	qopchol	BOTH_EXACT	pchedaiin|solkam	pchedaiin dchedy qokchdy qopchol shol sheody solkam	[pchedaiin:?] | abgemessene Trockendroge, fertig | heiß und trocken am Anfang des Grades, abgeschlossen | nimm getrockneten Pulverstoff | feucht; nominal feuchtes Gut/Material | angefeuchteter Ansatz, abgeschlossen | [solkam:?]	⟦pchedaiin:?⟧ · abgemessene Trockendroge, fertig · heiß-trocken, Anfangsstufe, abgeschlossen · getrockneten Pulverstoff nehmen · Feuchtgut · angefeuchteter Ansatz, abgeschlossen · ⟦solkam:?⟧.	HOLD: qopchol hat konkrete Entnahmevalenz und ein direktes Pulverobjekt.
26	f49r	f49r.16	H	A	1	4	1	2	0	1	0	0	0	0	0.500000	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	NONE	dchey	BOTH_EXACT	qocho|qotchody	qocho cheey dchey qotchody	[qocho:?] | trocken am Ende des Grades | abgemessene Trockendroge der Mittelstufe, abgeschlossen | [qotchody:?]	⟦qocho:?⟧ · trocken, Endstufe · abgemessene Trockendroge der Mittelstufe, abgeschlossen · ⟦qotchody:?⟧.	HOLD/SPLIT: dchey ist zwischen Zustandswörtern ein nominales Trockenprodukt.
27	f113v	f113v.12	S	B	3	5	1	2	1	1	1	1	1	1	0.600000	0	0	NONE	NONE	QUANTITY_LABEL	CATALOGUE	PROVISIONAL_BIND_OROR_TO_IMMEDIATE_OLCHEY;HEAD_GLOSS_OPEN	oror	BOTH_EXACT	otsheody|olchey	solchedy otsheody arl olchey oror	getrockneter Samen/Saatgutstoff/-ansatz | [otsheody:?] | erste Holzdrogenfraktion | [olchey:?] | zwei Portionen	Getrockneter Samen-/Saatgutansatz · ⟦otsheody:?⟧ · erste Holzdrogenfraktion · ⟦olchey:?⟧ · zwei Portionen.	HOLD: oror quantifiziert das vorausgehende Fraktionsregister.
