page	locus	section	language	hand	ordinal	surface	before_v50_gloss_de	v50_gloss_de	information_category	licensed_action	literal_narrow_carrier	literal_narrow_match_count	assigned_extended_class_carrier	working_chunk_de	working_narrow_carrier	working_narrow_match_count	literal_hard_generic_hits	working_hard_generic_hits	new_card_surface	new_card_render_mode	new_card_reader_support
f104v	f104v.2	S	B	3	10	oram	[oram:?]	[oram:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦oram:?⟧	0	0	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	1	dshees	[dshees:?]	Dosis oder Charge vollständig eingeweichter Arzneispecies	NEW_V50	0	1	1	1	Dosis oder Charge vollständig eingeweichter Arzneispecies	1	1	0	0	dshees	NOMINAL_MEASURE_OR_CHARGE	BOTH_EXACT
f105r	f105r.2	S	B	3	2	yey	[yey:?]	[yey:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦yey:?⟧	0	0	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	3	cheey	trocken am Ende des Grades	trocken am Ende des Grades	INHERITED_OTHER_ASSIGNED	0	0	0	1	trocken, Endstufe	0	0	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	4	raiin	Wurzel, Typ/Charge III	Wurzel, Typ/Charge III	INHERITED_OTHER_ASSIGNED	0	0	0	1	Wurzel, Charge III	0	0	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	5	otchdy	kalt-trockener Ansatz am Anfang des Grades, abgeschlossen	kalt-trockener Ansatz am Anfang des Grades, abgeschlossen	INHERITED_NARROW_CARRIER	0	1	1	1	kalt-trockener Ansatz, Anfangsstufe, abgeschlossen	1	1	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	6	qodor	[qodor:?]	[qodor:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦qodor:?⟧	0	0	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	7	ches	trockenes Drogenmaterial, Mittelstufe	trockenes Drogenmaterial, Mittelstufe	INHERITED_OTHER_ASSIGNED	0	0	0	1	trockenes Drogenmaterial, Mittelstufe	0	0	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	8	or	Drogenportion	Drogenportion	INHERITED_OTHER_ASSIGNED	0	0	0	1	Drogenportion	0	0	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	9	cheey	trocken am Ende des Grades	trocken am Ende des Grades	INHERITED_OTHER_ASSIGNED	0	0	0	1	trocken, Endstufe	0	0	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	10	okees	Charge vollständig erhitzten Ansatzes	Charge vollständig erhitzten Ansatzes	INHERITED_NARROW_CARRIER	0	1	1	1	Charge vollständig erhitzten Ansatzes	1	1	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	11	odar	erste Ansatzfraktion abmessen	erste Ansatzfraktion abmessen	INHERITED_NARROW_CARRIER	1	1	1	1	erste Ansatzfraktion abmessen	1	1	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	12	cheody	getrockneter Ansatz	getrockneter Ansatz	INHERITED_NARROW_CARRIER	0	1	1	1	getrockneter Ansatz	1	1	0	0	NONE	NONE	NONE
f105r	f105r.2	S	B	3	13	qody	stelle die Zubereitung fertig	stelle die Zubereitung fertig	INHERITED_OTHER_ASSIGNED	1	0	0	1	Zubereitung fertigstellen	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	1	kodeey	[kodeey:?]	[kodeey:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦kodeey:?⟧	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	2	lchl	[lchl:?]	getrocknetes Drogenholz	NEW_V50	0	0	0	1	getrocknetes Drogenholz	0	0	0	0	lchl	LEARNED_EXACT_WHOLE	BOTH_EXACT
f105r	f105r.31	S	B	3	3	shx	[shx:?]	[shx:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦shx:?⟧	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	4	ar	Drogenfraktion I	Drogenfraktion I	INHERITED_OTHER_ASSIGNED	0	0	0	1	Drogenfraktion I	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	5	aiijy	[aiijy:?]	[aiijy:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦aiijy:?⟧	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	6	cpheesy	[cpheesy:?]	[cpheesy:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦cpheesy:?⟧	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	7	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im Ansatz, heiß am Gradanfang	INHERITED_NARROW_CARRIER	0	1	1	1	Rohstoffklasse I im heißen Anfangsansatz	1	1	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	8	lkedy	erhitzte Holzdroge, Mittelstufe, fertig	erhitzte Holzdroge, Mittelstufe, fertig	INHERITED_OTHER_ASSIGNED	0	0	0	1	erhitzte Holzdroge, Mittelstufe, fertig	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	9	lkar	heiße Holzfraktion I	heiße Holzfraktion I	INHERITED_OTHER_ASSIGNED	0	0	0	1	heiße Holzfraktion I	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	10	chedy	trocken in der Mitte des Grades, abgeschlossen	trocken in der Mitte des Grades, abgeschlossen	INHERITED_OTHER_ASSIGNED	0	0	0	1	trocken, Mittelstufe, abgeschlossen	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	11	qokaiin	heiß, Grad III	heiß, Grad III	INHERITED_OTHER_ASSIGNED	0	0	0	1	heiß, Grad III	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	12	or	Drogenportion	Drogenportion	INHERITED_OTHER_ASSIGNED	0	0	0	1	Drogenportion	0	0	0	0	NONE	NONE	NONE
f105r	f105r.31	S	B	3	13	fchoky	[fchoky:?]	[fchoky:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦fchoky:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.1	S	B	3	1	polairy	[polairy:?]	[polairy:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦polairy:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.1	S	B	3	2	oair	[oair:?]	[oair:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦oair:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.1	S	B	3	3	olpcheey	[olpcheey:?]	[olpcheey:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦olpcheey:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.1	S	B	3	4	ykaiin	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	INHERITED_OTHER_ASSIGNED	1	0	0	0	hiervon auf Stufe III erhitzen	0	0	0	0	NONE	NONE	NONE
f105v	f105v.1	S	B	3	5	olpchedy	[olpchedy:?]	fertiggestelltes Trockenpulver aus Holzdrogenansatz	NEW_V50	0	1	1	1	fertiggestelltes Trockenpulver aus Holzdrogenansatz	1	1	0	0	olpchedy	EXTERNAL_NOMINAL_RESULT	BOTH_EXACT
f105v	f105v.1	S	B	3	6	opchedaiin	[opchedaiin:?]	[opchedaiin:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦opchedaiin:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.1	S	B	3	7	dairody	[dairody:?]	[dairody:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦dairody:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.1	S	B	3	8	ypcheddy	[ypcheddy:?]	[ypcheddy:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦ypcheddy:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.1	S	B	3	9	sairy	[sairy:?]	[sairy:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦sairy:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	1	pchedaiin	[pchedaiin:?]	[pchedaiin:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦pchedaiin:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	2	chckhdy	Arzneikompositum: trocken, Gradanfang, abgeschlossen	Arzneikompositum: trocken, Gradanfang, abgeschlossen	INHERITED_NARROW_CARRIER	0	1	1	1	trockenes Arzneikompositum, Anfangsstufe, abgeschlossen	1	1	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	3	qokaiir	nimm die dritte erhitzte Drogenfraktion	nimm die dritte erhitzte Drogenfraktion	INHERITED_OTHER_ASSIGNED	1	0	0	1	dritte erhitzte Drogenfraktion nehmen	0	0	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	4	olpchedy	[olpchedy:?]	fertiggestelltes Trockenpulver aus Holzdrogenansatz	NEW_V50	0	1	1	1	fertiggestelltes Trockenpulver aus Holzdrogenansatz	1	1	0	0	olpchedy	EXTERNAL_NOMINAL_RESULT	BOTH_EXACT
f105v	f105v.14	S	B	3	5	olord	[olord:?]	[olord:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦olord:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	6	aiiin	Menge-/Klassenwert IV	Menge-/Klassenwert IV	INHERITED_OTHER_ASSIGNED	0	0	0	1	Menge/Klasse IV	0	0	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	7	tail	[tail:?]	[tail:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦tail:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	8	odar	erste Ansatzfraktion abmessen	erste Ansatzfraktion abmessen	INHERITED_NARROW_CARRIER	1	1	1	1	erste Ansatzfraktion abmessen	1	1	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	9	kard	[kard:?]	[kard:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦kard:?⟧	0	0	0	0	NONE	NONE	NONE
f105v	f105v.14	S	B	3	10	chtchy	Droge kalt trocknen und leicht nachtrocknen	Droge kalt trocknen und leicht nachtrocknen	INHERITED_OTHER_ASSIGNED	1	0	0	1	Droge kalt trocknen und leicht nachtrocknen	0	0	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	1	ychedy	Eintrag: getrocknete Droge, fertig	Eintrag: getrocknete Droge, fertig	INHERITED_OTHER_ASSIGNED	0	0	0	1	Getrocknete Droge, fertig	0	0	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	2	qckhedy	bereite das Arzneikompositum bis zur Mittelstufe und schließe ab	bereite das Arzneikompositum bis zur Mittelstufe und schließe ab	INHERITED_NARROW_CARRIER	1	1	1	1	Arzneikompositum bis Mittelstufe bereiten und abschließen	1	1	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	3	dair	abgemessene Fraktion II	abgemessene Fraktion II	INHERITED_OTHER_ASSIGNED	0	0	0	1	abgemessene Fraktion II	0	0	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	4	al	Rohstoffklasse I	Rohstoffklasse I	INHERITED_OTHER_ASSIGNED	0	0	0	1	Rohstoffklasse I	0	0	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	5	qokedy	heiß in der Mitte des Grades, abgeschlossen	heiß in der Mitte des Grades, abgeschlossen	INHERITED_OTHER_ASSIGNED	0	0	0	1	heiß, Mittelstufe, abgeschlossen	0	0	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	6	shecphy	[shecphy:?]	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	NEW_V50	0	1	1	1	bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	1	1	0	0	shecphy	EXTERNAL_NOMINAL_RESULT	ONE_EXACT
f106r	f106r.23	S	B	3	7	qokchy	heiß und trocken am Anfang des Grades	heiß und trocken am Anfang des Grades	INHERITED_OTHER_ASSIGNED	0	0	0	1	heiß-trocken, Anfangsstufe	0	0	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	8	otedy	kalter Ansatz in der Mitte des Grades, abgeschlossen	kalter Ansatz in der Mitte des Grades, abgeschlossen	INHERITED_NARROW_CARRIER	0	1	1	1	kalter Ansatz, Mittelstufe, abgeschlossen	1	1	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	9	dar	abgemessene Fraktion I	abgemessene Fraktion I	INHERITED_OTHER_ASSIGNED	0	0	0	1	abgemessene Fraktion I	0	0	0	0	NONE	NONE	NONE
f106r	f106r.23	S	B	3	10	aror	[aror:?]	[aror:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦aror:?⟧	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	1	dchey	[dchey:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen	NEW_V50	1	0	0	0	Eine Dosis bis Mittelstufe trocknen und abschließen	0	0	0	0	dchey	INITIAL_ACTION_ELSE_NOMINAL	BOTH_EXACT
f107r	f107r.2	S	B	3	2	qoteos	[qoteos:?]	[qoteos:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦qoteos:?⟧	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	3	aiin	Menge III	Menge III	INHERITED_OTHER_ASSIGNED	0	0	0	1	Menge III	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	4	shedy	feucht in der Mitte des Grades, abgeschlossen	feucht in der Mitte des Grades, abgeschlossen	INHERITED_OTHER_ASSIGNED	0	0	0	1	feucht, Mittelstufe, abgeschlossen	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	5	oteed	[oteed:?]	[oteed:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦oteed:?⟧	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	6	qor	nimm eine Drogenportion	nimm eine Drogenportion	INHERITED_OTHER_ASSIGNED	1	0	0	1	eine Drogenportion nehmen	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	7	aiin	Menge III	Menge III	INHERITED_OTHER_ASSIGNED	0	0	0	1	Menge III	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	8	cheockhy	trocken angesetztes Arzneikompositum am Gradanfang	trocken angesetztes Arzneikompositum am Gradanfang	INHERITED_NARROW_CARRIER	0	1	1	1	trocken angesetztes Arzneikompositum, Anfangsstufe	1	1	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	9	olkeey	Holzdrogenansatz vollständig erhitzt	Holzdrogenansatz vollständig erhitzt	INHERITED_NARROW_CARRIER	0	1	1	1	Holzdrogenansatz vollständig erhitzt	1	1	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	10	qotain	kalt im qo-Rahmen, Grad II	kalt im qo-Rahmen, Grad II	INHERITED_OTHER_ASSIGNED	0	0	0	1	kalt im qo-Rahmen, Grad II	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	11	chey	trocken in der Mitte des Grades	trocken in der Mitte des Grades	INHERITED_OTHER_ASSIGNED	0	0	0	1	trocken, Mittelstufe	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	12	qeeey	[qeeey:?]	[qeeey:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦qeeey:?⟧	0	0	0	0	NONE	NONE	NONE
f107r	f107r.2	S	B	3	13	lor	Holzportion	Holzportion	INHERITED_OTHER_ASSIGNED	0	0	0	1	Holzportion	0	0	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	1	lolkaiin	[lolkaiin:?]	[lolkaiin:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦lolkaiin:?⟧	0	0	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	2	chey	trocken in der Mitte des Grades	trocken in der Mitte des Grades	INHERITED_OTHER_ASSIGNED	0	0	0	1	trocken, Mittelstufe	0	0	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	3	qokaiin	heiß, Grad III	heiß, Grad III	INHERITED_OTHER_ASSIGNED	0	0	0	1	heiß, Grad III	0	0	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	4	chal	Rohstoffklasse I, trocken am Gradanfang	Rohstoffklasse I, trocken am Gradanfang	INHERITED_OTHER_ASSIGNED	0	0	0	1	Rohstoffklasse I, trocken, Anfangsstufe	0	0	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	5	aiin	Menge III	Menge III	INHERITED_OTHER_ASSIGNED	0	0	0	1	Menge III	0	0	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	6	okaiin	heiß, Grad III, im Ansatzrahmen	heiß, Grad III, im Ansatzrahmen	INHERITED_NARROW_CARRIER	0	1	1	1	heiß, Grad III, im Ansatz	1	1	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	7	olkar	[olkar:?]	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	NEW_V50	0	1	1	1	erste erhitzte Drogenfraktion im Ansatz	1	1	0	0	olkar	OL_BOUNDARY_AND_READER_OPEN	BOTH_EXACT
f107r	f107r.40	S	B	3	8	otair	zweite kalte Drogenfraktion im Ansatz	zweite kalte Drogenfraktion im Ansatz	INHERITED_NARROW_CARRIER	0	1	1	1	zweite kalte Drogenfraktion im Ansatz	1	1	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	9	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im Ansatz, heiß am Gradanfang	INHERITED_NARROW_CARRIER	0	1	1	1	Rohstoffklasse I im heißen Anfangsansatz	1	1	0	0	NONE	NONE	NONE
f107r	f107r.40	S	B	3	10	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im Ansatz, heiß am Gradanfang	INHERITED_NARROW_CARRIER	0	1	1	1	Rohstoffklasse I im heißen Anfangsansatz	1	1	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	1	dchey	[dchey:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen	NEW_V50	1	0	0	0	Eine Dosis bis Mittelstufe trocknen und abschließen	0	0	0	0	dchey	INITIAL_ACTION_ELSE_NOMINAL	BOTH_EXACT
f10r	f10r.2	H	A	1	2	cthoor	[cthoor:?]	[cthoor:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦cthoor:?⟧	0	0	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	3	char	Trockenfraktion I	Trockenfraktion I	INHERITED_OTHER_ASSIGNED	0	0	0	1	Trockenfraktion I	0	0	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	4	chty	trocken-kalt am Gradanfang	trocken-kalt am Gradanfang	INHERITED_OTHER_ASSIGNED	0	0	0	1	trocken-kalt, Anfangsstufe	0	0	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	5	os	Ansatzcharge	Ansatzcharge	INHERITED_NARROW_CARRIER	0	1	1	1	Ansatzcharge	1	1	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	6	chair	[chair:?]	[chair:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦chair:?⟧	0	0	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	7	otytchol	[otytchol:?]	[otytchol:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦otytchol:?⟧	0	0	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	8	oky	heißer Ansatz am Anfang des Grades	heißer Ansatz am Anfang des Grades	INHERITED_NARROW_CARRIER	0	1	1	1	heißer Ansatz, Anfangsstufe	1	1	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	9	daiin	Grad-/Maßwert III	Grad-/Maßwert III	INHERITED_OTHER_ASSIGNED	0	0	0	1	Grad/Maß III	0	0	0	0	NONE	NONE	NONE
f10r	f10r.2	H	A	1	10	etyd	[etyd:?]	[etyd:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦etyd:?⟧	0	0	0	0	NONE	NONE	NONE
f112r	f112r.36	S	B	3	1	sain	Saatgut, Typ/Charge II	Saatgut, Typ/Charge II	INHERITED_OTHER_ASSIGNED	0	0	0	1	Saatgut, Charge II	0	0	0	0	NONE	NONE	NONE
f112r	f112r.36	S	B	3	2	ol	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_NARROW_CARRIER	0	1	1	1	Ansatz/Gut	1	1	0	0	NONE	NONE	NONE
f112r	f112r.36	S	B	3	3	checkhy	trockenes Arzneikompositum am Gradanfang	trockenes Arzneikompositum am Gradanfang	INHERITED_NARROW_CARRIER	0	1	1	1	trockenes Arzneikompositum, Anfangsstufe	1	1	0	0	NONE	NONE	NONE
f112r	f112r.36	S	B	3	4	olchain	[olchain:?]	[olchain:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦olchain:?⟧	0	0	0	0	NONE	NONE	NONE
f112r	f112r.36	S	B	3	5	okeey	heißer Ansatz am Ende des Grades	heißer Ansatz am Ende des Grades	INHERITED_NARROW_CARRIER	0	1	1	1	heißer Ansatz, Endstufe	1	1	0	0	NONE	NONE	NONE
f112r	f112r.36	S	B	3	6	olam	[olam:?]	ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	NEW_V50	0	1	1	1	ein Maß Ansatz-/Drogenmaterial	1	1	0	0	olam	OL_BOUNDARY_OPEN	BOTH_EXACT
f112v	f112v.10	S	B	3	1	dain	Grad-/Maßwert II	Grad-/Maßwert II	INHERITED_OTHER_ASSIGNED	0	0	0	1	Grad/Maß II	0	0	0	0	NONE	NONE	NONE
f112v	f112v.10	S	B	3	2	sheey	feucht am Ende des Grades	feucht am Ende des Grades	INHERITED_OTHER_ASSIGNED	0	0	0	1	feucht, Endstufe	0	0	0	0	NONE	NONE	NONE
f112v	f112v.10	S	B	3	3	okchedy	heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen	heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen	INHERITED_NARROW_CARRIER	0	1	1	1	heiß-trockener Ansatz, Mittelstufe, abgeschlossen	1	1	0	0	NONE	NONE	NONE
f112v	f112v.10	S	B	3	4	oror	[oror:?]	zwei Portionen	NEW_V50	0	0	0	1	zwei Portionen	0	0	0	0	oror	QUANTITY_ATTACHMENT	ONE_EXACT
f113v	f113v.12	S	B	3	1	solchedy	getrockneter Samen/Saatgutstoff/-ansatz	getrockneter Samen/Saatgutstoff/-ansatz	INHERITED_NARROW_CARRIER	0	1	1	1	Getrockneter Samen-/Saatgutansatz	1	1	0	0	NONE	NONE	NONE
f113v	f113v.12	S	B	3	2	otsheody	[otsheody:?]	[otsheody:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦otsheody:?⟧	0	0	0	0	NONE	NONE	NONE
f113v	f113v.12	S	B	3	3	arl	erste Holzdrogenfraktion	erste Holzdrogenfraktion	INHERITED_OTHER_ASSIGNED	0	0	0	1	erste Holzdrogenfraktion	0	0	0	0	NONE	NONE	NONE
f113v	f113v.12	S	B	3	4	olchey	[olchey:?]	[olchey:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦olchey:?⟧	0	0	0	0	NONE	NONE	NONE
f113v	f113v.12	S	B	3	5	oror	[oror:?]	zwei Portionen	NEW_V50	0	0	0	1	zwei Portionen	0	0	0	0	oror	QUANTITY_ATTACHMENT	BOTH_EXACT
f113v	f113v.17	S	B	3	1	saraiin	[saraiin:?]	[saraiin:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦saraiin:?⟧	0	0	0	0	NONE	NONE	NONE
f113v	f113v.17	S	B	3	2	shedy	feucht in der Mitte des Grades, abgeschlossen	feucht in der Mitte des Grades, abgeschlossen	INHERITED_OTHER_ASSIGNED	0	0	0	1	feucht, Mittelstufe, abgeschlossen	0	0	0	0	NONE	NONE	NONE
f113v	f113v.17	S	B	3	3	lcheey	Drogenholz, trocken gebunden, Form II	Drogenholz, trocken gebunden, Form II	INHERITED_OTHER_ASSIGNED	0	0	0	1	trocken gebundenes Drogenholz, Form II	0	0	0	0	NONE	NONE	NONE
f113v	f113v.17	S	B	3	4	olkar	[olkar:?]	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	NEW_V50	0	1	1	1	erste erhitzte Drogenfraktion im Ansatz	1	1	0	0	olkar	OL_BOUNDARY_AND_READER_OPEN	BOTH_EXACT
f113v	f113v.17	S	B	3	5	okaiin	heiß, Grad III, im Ansatzrahmen	heiß, Grad III, im Ansatzrahmen	INHERITED_NARROW_CARRIER	0	1	1	1	heiß, Grad III, im Ansatz	1	1	0	0	NONE	NONE	NONE
f113v	f113v.17	S	B	3	6	cthororaiin	[cthororaiin:?]	[cthororaiin:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦cthororaiin:?⟧	0	0	0	0	NONE	NONE	NONE
