family_order_old	family_id	visible_core_or_variants	short_value_de	card_types_built	prose_events_reached	distinct_partner_families	partners	example_cards	new_tier	curriculum_action	reason
19	CHED_TRANSFER	CHED|CHD	UEBERFUEHREN	21	47	12	AIN|AL|AR|CTH|DY|L|OK|OL|OT|O_WITHDRAW|P|Y	chdy|lchedy|dchedy|qokchdy|olchedy|okchedy|otchedy|chedain	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
20	CTH	CTH	BEREIT	7	14	6	AIIN|CHED_TRANSFER|E_GRADE|OL|OR|Y	checthy|qcthey|cthaiin|shecthy|octheol|cthoor|shecthedchy	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
21	SHED	SHED	ABSETZEN	5	17	5	AL|DY|E_GRADE|OK|OL	cheedy|shedal|sheedy|qokshedy|solshedy	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
22	CHK	CHK	ZUSTAND_JUSTIEREN	4	7	3	DY|E_GRADE|Y	cheky|cheeky|chkeedy|chkeey	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
23	CKH	CKH	DURCHLASS	6	9	5	AL|E_GRADE|L|OK|Y	chckhy|chckhal|sheckhal|sheckhy|lcheckhy|qockhey	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
24	CKHE	CKHE	SEIHEN	2	4	1	L	shckhedy|lcheckhedy	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
25	SOLK	SOLK	SAMMELN	4	6	3	AIIN|E_GRADE|Y	olkeedy|solkaiin|solkeey|solkey	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
26	LSH	LSH	WASCHEN	2	3	1	DY	lshedy|lsho	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
27	TY	TY	TEIL	2	3	1	E_GRADE	chety|cheeety	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
28	O_WITHDRAW	O_WITHDRAW	ZURUECKNEHMEN	3	3	3	CHED_TRANSFER|DY|L	ody|lochedy|lo	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
29	OS_RECEIVER	OS_RECEIVER	AUFNAHME	1	1	0	NONE	os	LEARNED_MICRO_SIGN_NOT_PRODUCTIVE_ROOT	DEMOTE_TO_PROSE_WHOLE_SIGN_LAYER	Only one composed card type uses this value; keep its concrete meaning but do not teach free recombination.
30	CH_POUR	CH_POUR	ZUGIESSEN	1	1	1	AIR	chair	LEARNED_MICRO_SIGN_NOT_PRODUCTIVE_ROOT	DEMOTE_TO_PROSE_WHOLE_SIGN_LAYER	Only one composed card type uses this value; keep its concrete meaning but do not teach free recombination.
31	TCH_PREPARATION	TCH_PREPARATION	BEREITUNG	1	1	2	OL|Y	oltchy	LEARNED_MICRO_SIGN_NOT_PRODUCTIVE_ROOT	DEMOTE_TO_PROSE_WHOLE_SIGN_LAYER	Only one composed card type uses this value; keep its concrete meaning but do not teach free recombination.
32	OYK_VESSEL	OYK_VESSEL	GEFAESS	1	1	1	OR	oykchor	LEARNED_MICRO_SIGN_NOT_PRODUCTIVE_ROOT	DEMOTE_TO_PROSE_WHOLE_SIGN_LAYER	Only one composed card type uses this value; keep its concrete meaning but do not teach free recombination.
33	K_BINDER	K_BINDER	ARGUMENTBINDER	8	8	3	AIR|IIN|Y	kair|kaiiin|kchol|keol|kchoar|kchal|kchy|kchey	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
34	YTY_PART	YTY_PART	FOLGETEIL	2	2	1	OT	otytchol|shoyty	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
35	SHFY_DURATION	SHFY_DURATION	STEHZEIT	1	1	1	AIIN	shfydaiin	LEARNED_MICRO_SIGN_NOT_PRODUCTIVE_ROOT	DEMOTE_TO_PROSE_WHOLE_SIGN_LAYER	Only one composed card type uses this value; keep its concrete meaning but do not teach free recombination.
36	D_PREVIOUS	D_PREVIOUS	VORIGER	1	2	0	NONE	dchol	LEARNED_MICRO_SIGN_NOT_PRODUCTIVE_ROOT	DEMOTE_TO_PROSE_WHOLE_SIGN_LAYER	Only one composed card type uses this value; keep its concrete meaning but do not teach free recombination.
