bridge_ordinal	target_surface	target_recipe	target_observed_modes	recipe_atom_count	tile_count	complete_old_tiles	minimum_old_tile_event_count	seam_count	all_seams_old	minimum_old_seam_event_count	portable_skeleton	old_portable_skeleton_event_count	old_portable_skeleton_modes	portable_skeleton_mode_relation	ordered_same_statement_path_count	adjacent_tile_path_count	support_class	gdt516_tier_changed	guard
11	qokeedar	OK+EE+D_ADDR+AR	REQUIRES_ACTIVE_ARGUMENT	4	2	OK+EE | D_ADDR+AR	1	1	YES	42	OK+AR	42	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_INCLUDED__OLD_ADDS_MODES	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
12	shedshey	SH+E+D_ADDR+SH+E+Y	SELF_CONTAINED	6	2	SH+E+D_ADDR | SH+E+Y	2	1	YES	9	SH+SH+Y	1	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
13	sheeody	SH+EE+O+D_ADDR+Y	SELF_CONTAINED	5	2	SH+EE | O+D_ADDR+Y	1	1	YES	21	SH+Y	105	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
14	shekair	SH+E+K+AIR	REQUIRES_ACTIVE_ARGUMENT	4	2	SH+E | K+AIR	2	1	YES	24	SH+K+AIR	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
15	shekaly	SH+E+K+AL+Y	SELF_CONTAINED	5	2	SH+E+K | AL+Y	2	1	YES	19	SH+K+AL+Y	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
16	shekeey	SH+E+K+EE+Y	SELF_CONTAINED	5	2	SH+E | K+EE+Y	2	1	YES	24	SH+K+Y	11	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	1	0	ORDERED_SAME_STATEMENT_TILE_SEQUENCE	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
17	shekey	SH+E+K+E+Y	SELF_CONTAINED	5	2	SH+E | K+E+Y	1	1	YES	24	SH+K+Y	11	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
18	shekol	SH+E+K+OL	REQUIRES_ACTIVE_ARGUMENT	4	2	SH+E | K+OL	2	1	YES	24	SH+K+OL	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
19	sheocthy	SH+E+O+CH+T+Y	SELF_CONTAINED	6	2	SH+E | O+CH+T+Y	1	1	YES	206	SH+CH+T+Y	14	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
20	sheodaiin	SH+E+O+D_ADDR+AIIN	SELF_CONTAINED	5	2	SH+E | O+D_ADDR+AIIN	2	1	YES	206	SH+AIIN	9	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
21	sheoy	SH+E+O+Y	SELF_CONTAINED	4	2	SH+E | O+Y	2	1	YES	206	SH+Y	105	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
22	shyshol	SH+Y+SH+OL	SELF_CONTAINED	4	2	SH+Y | SH+OL	1	1	YES	11	SH+Y+SH+OL	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
23	tolchedy	T+OL+CHD+DY	REQUIRES_ACTIVE_ARGUMENT	4	2	T+OL | CHD+DY	4	1	YES	21	T+OL+CHD	1	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
24	tolshy	T+OL+SH+Y	SELF_CONTAINED	4	2	T+OL | SH+Y	1	1	YES	16	T+OL+SH+Y	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
25	ykoiin	Y+K+O+IIN	SELF_CONTAINED	4	2	Y+K | O+IIN	1	1	YES	21	Y+K	5	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
26	ykshedy	Y+K+SH+E+DY	SELF_CONTAINED	5	2	Y+K | SH+E+DY	1	1	YES	12	Y+K+SH	0	NONE	NO_EXACT_PORTABLE_SKELETON	1	0	ORDERED_SAME_STATEMENT_TILE_SEQUENCE	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
27	ypches	Y+P+CH+E+S	SELF_CONTAINED	5	2	Y+P+CH | E+S	1	1	YES	181	Y+P+CH+S	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
28	ytarody	Y+T+AR+O+DY	SELF_CONTAINED	5	2	Y+T+AR | O+DY	1	1	YES	2	Y+T+AR	1	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
29	ytoy	Y+T+O+Y	SELF_CONTAINED	4	2	Y+T | O+Y	1	1	YES	18	Y+T+Y	9	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
