seam_ordinal	target_surface	target_recipe	seam_index_in_target	left_tile	right_tile	boundary_pair	old_boundary_event_count	old_boundary_recipe_count	old_boundary_surfaces	old_boundary_pages	old_boundary_registers	boundary_supported	guard
20	sheocthy	SH+E+O+CH+T+Y	1	SH+E	O+CH+T+Y	E>O	206	84	cheo|cheoar|cheockhy|cheocphy|cheodain|cheodal|cheody|cheojam|cheok|cheokal|cheokam|cheokorchey|cheoky|cheol|cheoldy|cheols|cheom|cheor|cheorol|cheos|cheotey|cheoy|chokcheo|chteos|cpheody|ctheod|ctheody|dcheo|dcheokedy|dcheor|dorsheoy|eo|keodal|ksheo|lkeo|lkeopol|ocheol|okearcheol|okeo|okeodaly|okeody|okeom|okeos|okeosar|okeoy|olcheody|olcheol|olcheor|olsheody|osheo|otcheodal|oteeykeey|oteo|oteodar|oteody|oteokeey|oteos|oteoshar|pcheoly|qokcheody|qokcheor|qokeo|qokeochy|qokeodal|qokeody|qokeoefy|qokeom|qokeoy|qoteo|qoteody|salcheol|scheor|sheo|sheodal|sheody|sheom|sheos|sheshdy|sqokeodaiin|tcheol|teo|teodal|teody|ycheo|ycheody|ycheol|ycheor|ykeo|ykeodain|ykeody|yokeody|ysheod|yteody|yteoor|yteos|ytoeopchey	f10r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
21	sheodaiin	SH+E+O+D_ADDR+AIIN	1	SH+E	O+D_ADDR+AIIN	E>O	206	84	cheo|cheoar|cheockhy|cheocphy|cheodain|cheodal|cheody|cheojam|cheok|cheokal|cheokam|cheokorchey|cheoky|cheol|cheoldy|cheols|cheom|cheor|cheorol|cheos|cheotey|cheoy|chokcheo|chteos|cpheody|ctheod|ctheody|dcheo|dcheokedy|dcheor|dorsheoy|eo|keodal|ksheo|lkeo|lkeopol|ocheol|okearcheol|okeo|okeodaly|okeody|okeom|okeos|okeosar|okeoy|olcheody|olcheol|olcheor|olsheody|osheo|otcheodal|oteeykeey|oteo|oteodar|oteody|oteokeey|oteos|oteoshar|pcheoly|qokcheody|qokcheor|qokeo|qokeochy|qokeodal|qokeody|qokeoefy|qokeom|qokeoy|qoteo|qoteody|salcheol|scheor|sheo|sheodal|sheody|sheom|sheos|sheshdy|sqokeodaiin|tcheol|teo|teodal|teody|ycheo|ycheody|ycheol|ycheor|ykeo|ykeodain|ykeody|yokeody|ysheod|yteody|yteoor|yteos|ytoeopchey	f10r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
22	sheoy	SH+E+O+Y	1	SH+E	O+Y	E>O	206	84	cheo|cheoar|cheockhy|cheocphy|cheodain|cheodal|cheody|cheojam|cheok|cheokal|cheokam|cheokorchey|cheoky|cheol|cheoldy|cheols|cheom|cheor|cheorol|cheos|cheotey|cheoy|chokcheo|chteos|cpheody|ctheod|ctheody|dcheo|dcheokedy|dcheor|dorsheoy|eo|keodal|ksheo|lkeo|lkeopol|ocheol|okearcheol|okeo|okeodaly|okeody|okeom|okeos|okeosar|okeoy|olcheody|olcheol|olcheor|olsheody|osheo|otcheodal|oteeykeey|oteo|oteodar|oteody|oteokeey|oteos|oteoshar|pcheoly|qokcheody|qokcheor|qokeo|qokeochy|qokeodal|qokeody|qokeoefy|qokeom|qokeoy|qoteo|qoteody|salcheol|scheor|sheo|sheodal|sheody|sheom|sheos|sheshdy|sqokeodaiin|tcheol|teo|teodal|teody|ycheo|ycheody|ycheol|ycheor|ykeo|ykeodain|ykeody|yokeody|ysheod|yteody|yteoor|yteos|ytoeopchey	f10r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
23	shyshol	SH+Y+SH+OL	1	SH+Y	SH+OL	Y>SH	11	6	ycheey|yshedy|ysheey|ysheod|ysheor|yshey|yshor	f1r|f67r2|f75r|f76r|f77r|f81v|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
24	tolchedy	T+OL+CHD+DY	1	T+OL	CHD+DY	OL>CHD	21	7	kolchdy|lolchedy|olchdy|olchedy|polchdy|polched|qolchedy|solchedy|tolchd	f75r|f76r|f77r|f81r|f81v|f82r|f83r	BIOLOGICAL	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
25	tolshy	T+OL+SH+Y	1	T+OL	SH+Y	OL>SH	16	7	dolshed|olshedy|olsheed|olsheedy|olshey|polshy|qolcheedy|qolsheedy|solshed|solshedy|solshey	f75r|f76r|f77r|f81r|f81v|f82r|f83r	BIOLOGICAL	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
26	ykoiin	Y+K+O+IIN	1	Y+K	O+IIN	K>O	21	20	chckho|checkho|cheeckhody|chekody|chekoy|ckho|ckhody|koay|kochky|kod|kodaiin|kodshey|koeam|koey|kom|kos|koshey|kosholdy|qkoy|shekoiin|ykoaiin	f10r|f17r|f1r|f24v|f56r|f67r2|f72r|f82r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
27	ykshedy	Y+K+SH+E+DY	1	Y+K	SH+E+DY	K>SH	12	11	dkshey|kshed|kshedy|ksheo|kshey|ksho|kshoy|kshy|oekshy|olkshdy|shekshey	f11r|f17r|f1r|f24v|f75r|f81r|f95v	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
28	ypches	Y+P+CH+E+S	1	Y+P+CH	E+S	CH>E	181	80	che|chead|chear|checholtar|checkhey|checkho|checkhy|checphedy|chefar|cheg|chekackhy|cheo|cheoar|cheockhy|cheocphy|cheodain|cheodal|cheody|cheojam|cheok|cheokal|cheokam|cheokorchey|cheoky|cheol|cheolchey|cheoldy|cheols|cheom|cheor|cheorol|cheos|cheotey|cheoy|chep|chepol|chepy|ches|chetchy|chetedy|cheteg|chetey|chetyry|chokcheo|chokchey|chotchey|dairchey|dcheo|dcheokedy|dcheor|dchey|dychear|dylches|kchey|lchear|lfcheal|ocheol|ochey|okearcheol|olcheody|olcheol|olcheor|opcheol|opcheor|otcheodal|pcheoly|qokalchey|qokcheody|qokcheor|qotches|ralchey|rches|rchey|salcheol|scheor|schety|schey|shlches|tcheol|tchey|ycheary|ycheo|ycheody|ycheol|ycheor|ykchey|ytoeopchey	f10r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
29	ytarody	Y+T+AR+O+DY	1	Y+T+AR	O+DY	AR>O	2	2	darod|darom	f18r|f75r	BIOLOGICAL|HERBAL	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
30	ytoy	Y+T+O+Y	1	Y+T	O+Y	T>O	18	15	chtos|ctho|cthoary|cthoor|octhody|socthody|toairy|tochol|tochso|todaiin|tos|yto|ytody|ytoeopchey|ytoiin	f10r|f11r|f1r|f24v|f56r|f67r2|f68r1|f71v|f88v|f89r	CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
