target_ordinal	surface	gdt516_recipe	final_recipe	recipe_changed_after_gdt516	gdt516_support_tier	final_support_tier	support_tier_changed	final_recipe_atom_count	final_old_tile_coverage_atoms	final_longest_old_fragment_atoms	final_best_old_tiles	observed_requirement_modes	guard
18	chepakeo	CH+E+P+A_ADDR+K+E+O	CH+E+P+A_ADDR+K+E+O	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	7	5	3	CH+E+P | E+O	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
19	chepos	CH+E+P+O+S	CH+E+P+O+S	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	3	3	CH+E+P	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
20	cheta	CH+E+T+A_ADDR	CH+E+T+A_ADDR	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	2	2	CH+E	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
21	choekeey	CH+O+E+K+EE+Y	CH+O+E+K+EE+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	6	3	3	K+EE+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
22	choiin	CH+O+IIN	CH+O+IIN	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	O+IIN	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
23	cholpchd	OL+P+CHD	OL+P+CHD	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	OL+P	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
24	choraiin	CH+OR+AIIN	CH+OR+AIIN	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	OR+AIIN	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
25	choraly	CH+OR+AL+Y	CH+OR+AL+Y	NO	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	NO	4	4	3	CH+OR | AL+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
26	chory	CH+OR+Y	CH+OR+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	OR+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
27	chpady	CH+P+A_ADDR+DY	CH+P+A_ADDR+DY	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	4	0	0	NONE	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
28	chxar	CH+LOCAL_X+AR	CH+LOCAL_X+AR	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	3	0	0	NONE	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
29	ckhochy	CH+K+O+CH+Y	CH+K+O+CH+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	3	3	CH+K+O	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
30	cphaiin	CH+P+AIIN	CH+P+AIIN	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	3	0	0	NONE	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
31	cpholdy	CH+P+OL+DY	CH+P+OL+DY	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	CH+P+OL	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
32	cthdy	CH+T+D_ADDR+Y	CH+T+D_ADDR+Y	NO	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	NO	4	4	2	CH+T | D_ADDR+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
33	cthom	CH+T+O+M_LOCAL	CH+T+O+M_LOCAL	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	CH+T+O	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
34	da	DA	DA	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	1	0	0	NONE	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
35	dairal	D_ADDR+AIR+AL	D_ADDR+AIR+AL	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	D_ADDR+AIR	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
36	dairody	D_ADDR+AIR+O+DY	D_ADDR+AIR+O+DY	NO	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	NO	4	4	2	D_ADDR+AIR | O+DY	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
37	dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	D_ADDR+AIR+Y+K+O+DA+S	YES	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	YES	7	7	3	D_ADDR+AIR | Y+K | O+DA+S	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
38	dalalshedy	AL+AL+SH+E+DY	AL+AL+SH+E+DY	NO	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	NO	5	5	4	AL+AL | SH+E+DY	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
39	dalcheeeky	AL+CH+EEE+K+Y	AL+CH+K+EEE+Y	YES	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	2	2	CH+K	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
40	dalky	AL+K+Y	AL+K+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	K+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
41	dalol	AL+OL	AL+OL	NO	FULL_OLD_RECIPE_CARRIER	FULL_OLD_RECIPE_CARRIER	NO	2	2	2	AL+OL	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
42	dard	D_ADDR+AR+D_ADDR	D_ADDR+AR+D_ADDR	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	D_ADDR+AR	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
43	dcheey	D_ADDR+CH+EE+Y	D_ADDR+CH+EE+Y	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	4	0	0	NONE	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
44	dcheol	D_ADDR+CH+E+O+L	D_ADDR+CH+E+O+L	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	4	4	D_ADDR+CH+E+O	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
45	dkar	D_ADDR+K+AR	D_ADDR+K+AR	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	K+AR	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
46	doiiin	D_ADDR+O+IIN	D_ADDR+O+IIN	NO	FULL_OLD_RECIPE_CARRIER	FULL_OLD_RECIPE_CARRIER	NO	3	3	3	D_ADDR+O+IIN	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
47	dolarshy	D_ADDR+OL+AR+SH+Y	D_ADDR+OL+AR+SH+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	4	2	OL+AR | SH+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
48	dsholdaiir	D_ADDR+SH+OL+D_ADDR+IIN+R	D_ADDR+SH+OL+DA+IIN+R	YES	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	6	4	2	SH+OL | DA+IIN	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
49	dyky	D_ADDR+Y+K+Y	D_ADDR+Y+K+Y	NO	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	NO	4	4	3	D_ADDR+Y | K+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
50	dytcheey	D_ADDR+Y+T+CH+EE+Y	D_ADDR+Y+T+CH+EE+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	6	2	2	Y+T	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
51	faiis	LOCAL_CHAR_F+IIN+S	LOCAL_CHAR_F+IIN+S	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	3	0	0	NONE	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
52	fchdar	LOCAL_CHAR_F+CHD+AR	LOCAL_CHAR_F+CHD+AR	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	CHD+AR	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
53	fchedyr	LOCAL_CHAR_F+CHD+Y+R	LOCAL_CHAR_F+CHD+Y+R	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	2	2	CHD+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
54	folchol	LOCAL_CHAR_F+OL+OL	LOCAL_CHAR_F+OL+OL	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	OL+OL	REQUIRES_ACTIVE_ACTION	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
55	fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	6	5	3	SH+O | D_ADDR+CH+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
56	kardy	K+AR+DY	K+AR+DY	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	K+AR	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
57	kcheeky	K+CH+EE+K+Y	K+CH+EE+K+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	2	2	K+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
58	kcheody	K+CH+E+O+Y	K+CH+E+O+D_ADDR+Y	YES	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	6	5	3	CH+E | O+D_ADDR+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
59	kchody	K+CH+O+D_ADDR+Y	K+CH+O+D_ADDR+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	4	4	K+CH+O+D_ADDR	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
60	kechody	K+E+CH+O+D_ADDR+Y	K+E+CH+O+D_ADDR+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	6	4	4	CH+O+D_ADDR+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
61	keedey	K+EE+D_ADDR+E+Y	K+EE+D_ADDR+E+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	2	2	E+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
62	keeol	K+EE+O+L	K+EE+OL	YES	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	ATOMS_AND_FACTORS_ONLY	YES	3	0	0	NONE	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
63	keody	K+E+O+D_ADDR+Y	K+E+O+D_ADDR+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	4	3	E+O | D_ADDR+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
64	kodalchy	K+O+D_ADDR+AL+CH+Y	K+O+D_ADDR+AL+CH+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	6	3	3	K+O+D_ADDR	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
65	kodary	K+O+D_ADDR+AR+Y	K+O+D_ADDR+AR+Y	NO	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	NO	5	5	3	K+O+D_ADDR | AR+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
66	kody	K+O+DY	K+O+DY	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	O+DY	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
67	ld	L+D_ADDR	L+D_ADDR	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	2	0	0	NONE	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
68	lkeol	L+K+E+OL	L+K+E+OL	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	K+E+OL	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
69	lodaiin	L+O+D_ADDR+AIIN	L+O+D_ADDR+AIIN	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	O+D_ADDR+AIIN	REQUIRES_ACTIVE_ACTION	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
70	lpchees	L+P+CH+EE+S	L+P+CH+EE+S	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	5	0	0	NONE	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
71	lsheody	L+SH+E+O+D_ADDR+Y	L+SH+E+O+D_ADDR+Y	NO	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	NO	6	6	5	L+SH+E | O+D_ADDR+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
72	ltsholy	L+T+SH+OL+Y	L+T+SH+OL+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	3	3	T+SH+OL	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
73	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	O+LOCAL_CHAR_F+AR+AM_ADDR	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	O+LOCAL_CHAR_F+AR	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
74	okalchedy	OK+AL+CHD+Y	OK+AL+CHD+Y	NO	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	NO	4	4	2	OK+AL | CHD+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
75	okedals	OK+AL+S	OK+AL+S	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	OK+AL	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
76	okedam	OK+E+D_ADDR+AM_ADDR	OK+E+D_ADDR+AM_ADDR	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	OK+E+D_ADDR	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
77	okoy	OK+O+Y	OK+O+Y	NO	FULL_OLD_RECIPE_CARRIER	FULL_OLD_RECIPE_CARRIER	NO	3	3	3	OK+O+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
