tile_instance_ordinal	target_surface	target_recipe	tile_index_in_target	tile_count_in_target	tile_recipe	tile_atom_count	old_tile_event_count	old_tile_surface_count	old_tile_surfaces	old_tile_pages	old_tile_registers	tile_action_roots	tile_argument_roots	guard
41	sheodaiin	SH+E+O+D_ADDR+AIIN	2	2	O+D_ADDR+AIIN	3	6	1	odaiin	f10r|f1r|f24v|f81r|f88v|f95v	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	NONE	AIIN	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
42	sheoy	SH+E+O+Y	1	2	SH+E	2	2	1	she	f1r|f71v	CELESTIAL|SOURCE_SECTION_T	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
43	sheoy	SH+E+O+Y	2	2	O+Y	2	2	2	qochy|qoy	f13r|f76r	BIOLOGICAL|HERBAL	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
44	shyshol	SH+Y+SH+OL	1	2	SH+Y	2	1	1	shchey	f81v	BIOLOGICAL	SH	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
45	shyshol	SH+Y+SH+OL	2	2	SH+OL	2	18	1	shol	f13r|f17r|f1r|f24v|f56r|f72r|f76r|f77r|f81r|f81v|f83r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
46	tolchedy	T+OL+CHD+DY	1	2	T+OL	2	7	2	tchol|tol	f11r|f1r|f56r|f83r|f88v|f89r	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	T	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
47	tolchedy	T+OL+CHD+DY	2	2	CHD+DY	2	4	2	dchdy|schedy	f81v|f83r|f95v	BIOLOGICAL|HERBAL	CHD	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
48	tolshy	T+OL+SH+Y	1	2	T+OL	2	7	2	tchol|tol	f11r|f1r|f56r|f83r|f88v|f89r	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	T	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
49	tolshy	T+OL+SH+Y	2	2	SH+Y	2	1	1	shchey	f81v	BIOLOGICAL	SH	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
50	ykoiin	Y+K+O+IIN	1	2	Y+K	2	1	1	shyk	f75r	BIOLOGICAL	K	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
51	ykoiin	Y+K+O+IIN	2	2	O+IIN	2	13	4	oiiiin|oiiin|oiin|oin	f13r|f1r|f67r2|f72r|f76r|f77r|f81v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	NONE	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
52	ykshedy	Y+K+SH+E+DY	1	2	Y+K	2	1	1	shyk	f75r	BIOLOGICAL	K	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
53	ykshedy	Y+K+SH+E+DY	2	2	SH+E+DY	3	110	2	dshedy|shedy	f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f95v	BIOLOGICAL|HERBAL|PHARMA	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
54	ypches	Y+P+CH+E+S	1	2	Y+P+CH	3	1	1	ypch	f10r	HERBAL	CH|P	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
55	ypches	Y+P+CH+E+S	2	2	E+S	2	2	1	es	f1r|f67r2	CELESTIAL|SOURCE_SECTION_T	S	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
56	ytarody	Y+T+AR+O+DY	1	2	Y+T+AR	3	1	1	ytar	f81r	BIOLOGICAL	T	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
57	ytarody	Y+T+AR+O+DY	2	2	O+DY	2	5	1	ody	f10r|f55v|f81r|f95v	BIOLOGICAL|HERBAL	NONE	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
58	ytoy	Y+T+O+Y	1	2	Y+T	2	1	1	yt	f56r	HERBAL	T	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
59	ytoy	Y+T+O+Y	2	2	O+Y	2	2	2	qochy|qoy	f13r|f76r	BIOLOGICAL|HERBAL	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
