scope_event_id	source_event_id	bundle_id	physical_page	register	locus	surface	working_recipe	literal_working_reading_de	ol_occurrence_count	scope_orientation_sequence	name_position_sequence	directional_scope_phrase_sequence_de	context_selected_model	context_selected_event_reading_de	direction_refined_event_reading_de	root_meaning_change	learned_name_change
G477-E011	P1008-E0424	G474-B083	f72r	CELESTIAL	f72r3.25	olfsheoral	OL+SH+AL	FORTSETZEN · [STERNSTELLENNAME:f] · HALTEN · [STERNSTELLENNAME:eor] · ZIELORT	1	FORWARD_OPEN	PRE_NAME	weiter mit Sternstelle »f«	INSTRUCTION	Weiter halte den Sternstelleneintrag »f« und den Sternstelleneintrag »eor« zur Zielposition.	Weiter halte den Sternstelleneintrag »f« und den Sternstelleneintrag »eor« zur Zielposition. OL-Scope: weiter mit Sternstelle »f«.	NO	NO
G477-E012	P1008-E0459	G474-B090	f72r	CELESTIAL	f72r3.33	oletal	OL+AL	FORTSETZEN · [STERNSTELLENNAME:et] · ZIELORT	1	FORWARD_OPEN	PRE_NAME	weiter mit Sternstelle »et«	COORDINATE	Adressspur: weiter → Sternstelle »et« → Zielposition.	Adressspur: weiter → Sternstelle »et« → Zielposition. OL-Scope: weiter mit Sternstelle »et«.	NO	NO
G477-E013	P1003-E0082	G474-B092	f77r	BIOLOGICAL	f77r.2	olkchs	OL	FORTSETZEN · [BADSTATIONSNAME:kchs]	1	FORWARD_OPEN	PRE_NAME	weiter mit Badstation »kchs«	CATALOGUE	Badstation »kchs« — Fortsetzungsvermerk.	Badstation »kchs« — Fortsetzungsvermerk. OL-Scope: weiter mit Badstation »kchs«.	NO	NO
G477-E014	P1003-E0085	G474-B095	f77r	BIOLOGICAL	f77r.5	otol	OT+OL	DANACH · FORTSETZEN	1	BACKWARD_HOLD	NAME_FREE	Folgeschritt weiterführen	COORDINATE	Adressspur: danach → weiter.	Adressspur: danach → weiter. OL-Scope: Folgeschritt weiterführen.	NO	NO
G477-E015	P1003-E0411	G474-B100	f77r	BIOLOGICAL	f77r.50	otolaiin	OT+OL+AIIN	DANACH · FORTSETZEN · WERT	1	BRIDGE_LEFT_TO_RIGHT	NAME_FREE	Folgeschritt in Wert weiterführen	COORDINATE	Adressspur: danach → weiter → Stationswert.	Adressspur: danach → weiter → Stationswert. OL-Scope: Folgeschritt in Wert weiterführen.	NO	NO
G477-E016	P1003-E0418	G474-B105	f88v	PHARMA	f88v.5	otokol	OT+OK+OL	DANACH · SETZEN · FORTSETZEN	1	BACKWARD_HOLD	NAME_FREE	Setzen weiterführen	INSTRUCTION	Danach und weiter setze den Eintrag als Ansatz an.	Danach und weiter setze den Eintrag als Ansatz an. OL-Scope: Setzen weiterführen.	NO	NO
G477-E017	P1008-E1039	G474-B115	f89r	PHARMA	f89r1.2	qkol	OL	[DROGENNAME:qk] · FORTSETZEN	1	BACKWARD_HOLD	POST_NAME	Droge »qk« weiterführen	INSTRUCTION	Weiter beziehe den Drogeneintrag »qk«.	Weiter beziehe den Drogeneintrag »qk«. OL-Scope: Droge »qk« weiterführen.	NO	NO
G477-E018	P1008-E1040	G474-B116	f89r	PHARMA	f89r1.3	oldam	OL+AM_ADDR	FORTSETZEN · [DROGENNAME:d] · HIER	1	FORWARD_OPEN	PRE_NAME	weiter mit Droge »d«	INSTRUCTION	Weiter beziehe den Drogeneintrag »d« an der bezeichneten Stelle.	Weiter beziehe den Drogeneintrag »d« an der bezeichneten Stelle. OL-Scope: weiter mit Droge »d«.	NO	NO
G477-E019	P1008-E1041	G474-B117	f89r	PHARMA	f89r1.4	otoldy	OT+OL	DANACH · FORTSETZEN · [DROGENNAME:dy]	1	BRIDGE_LEFT_TO_RIGHT	PRE_NAME	Folgeschritt in Droge »dy« weiterführen	CATALOGUE	Droge »dy« — Folgevermerk, Fortsetzungsvermerk.	Droge »dy« — Folgevermerk, Fortsetzungsvermerk. OL-Scope: Folgeschritt in Droge »dy« weiterführen.	NO	NO
G477-E020	P1008-E1091	G474-B120	f89r	PHARMA	f89r1.12	chol	OL	FORTSETZEN	1	FORWARD_OPEN	NAME_FREE	im aktiven Eintrag weiter	INSTRUCTION	Weiter beziehe den Eintrag.	Weiter beziehe den Eintrag. OL-Scope: im aktiven Eintrag weiter.	NO	NO
G477-E021	P1008-E1180	G474-B128	f89r	PHARMA	f89r2.2	doly	OL+Y	[DROGENNAME:d] · FORTSETZEN · POSTEN	1	BRIDGE_LEFT_TO_RIGHT	POST_NAME	Droge »d« in Posten weiterführen	CATALOGUE	Droge »d« — Fortsetzungsvermerk, Postenangabe.	Droge »d« — Fortsetzungsvermerk, Postenangabe. OL-Scope: Droge »d« in Posten weiterführen.	NO	NO
G477-E022	P1008-E1182	G474-B130	f89r	PHARMA	f89r2.4	saloiinsheol	AL+SH+OL	[DROGENNAME:s] · ZIELORT · [DROGENNAME:oiin] · HALTEN · [DROGENNAME:e] · FORTSETZEN	1	BACKWARD_HOLD	POST_NAME	Droge »e« weiterführen	INSTRUCTION	Weiter halte den Drogeneintrag »s«, den Drogeneintrag »oiin« und den Drogeneintrag »e« zum Zielgefäß.	Weiter halte den Drogeneintrag »s«, den Drogeneintrag »oiin« und den Drogeneintrag »e« zum Zielgefäß. OL-Scope: Droge »e« weiterführen.	NO	NO
G477-E023	P1008-E1228	G474-B132	f89r	PHARMA	f89r2.9	otold	OT+OL	DANACH · FORTSETZEN · [DROGENNAME:d]	1	BRIDGE_LEFT_TO_RIGHT	PRE_NAME	Folgeschritt in Droge »d« weiterführen	CATALOGUE	Droge »d« — Folgevermerk, Fortsetzungsvermerk.	Droge »d« — Folgevermerk, Fortsetzungsvermerk. OL-Scope: Folgeschritt in Droge »d« weiterführen.	NO	NO
G477-E024	P1008-E1230	G474-B133	f89r	PHARMA	f89r2.10	okol	OK+OL	SETZEN · FORTSETZEN	1	BACKWARD_HOLD	NAME_FREE	Setzen weiterführen	INSTRUCTION	Weiter setze den Eintrag als Ansatz an.	Weiter setze den Eintrag als Ansatz an. OL-Scope: Setzen weiterführen.	NO	NO
G477-E025	P1008-E1231	G474-B133	f89r	PHARMA	f89r2.10	shol	SH+OL	HALTEN · FORTSETZEN	1	BACKWARD_HOLD	NAME_FREE	Halten weiterführen	INSTRUCTION	Weiter halte den Eintrag.	Weiter halte den Eintrag. OL-Scope: Halten weiterführen.	NO	NO
G477-E026	P1008-E1413	G474-B146	f89r	PHARMA	f89r2.34	otolarol	OT+OL+AR+OL	DANACH · FORTSETZEN · AUSGANG · FORTSETZEN	2	BRIDGE_LEFT_TO_RIGHT|BACKWARD_HOLD	NAME_FREE|NAME_FREE	Folgeschritt in Ausgang weiterführen | Ausgang weiterführen	COORDINATE	Adressspur: danach → weiter → Ausgangsgefäß → weiter.	Adressspur: danach → weiter → Ausgangsgefäß → weiter. OL-Scope: Folgeschritt in Ausgang weiterführen; Ausgang weiterführen.	NO	NO
