statement_id	page	record	events	owner_sequence	owner_handoff_before	internal_owner_reset	surface_sequence	component_sequence	atomic_trace_de	fluent_local_station_clause_de	water_named	global_flow_claim	form_status
B1-S011	f81v	B1	2	B1_SHARED_TWO_ROW_POOL	NO	NO	chckhy qoky	CKH+Y | OK+Y	DURCHLASS · DIES | ANSETZEN · DIES	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	NO	NONE	UNCHANGED
B1-S012	f81v	B1	3	B1_SHARED_TWO_ROW_POOL	NO	NO	lsho qokey lshedy	LSH+O | OK+E+Y | LSH+E+DY	WASCHEN · ARBEITSGANG | ANSETZEN · KURZ · DIES | WASCHEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S013	f81v	B1	1	B1_SHARED_TWO_ROW_POOL	NO	NO	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S014	f81v	B1	5	B1_SHARED_TWO_ROW_POOL	NO	NO	chedy qolky lchedal qol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	UMSETZEN · DIES | AUFFANGEN · DIES | WEITERLEITEN · UMSETZEN · ZIEL | FORTSETZEN | DANACH · QUELLE	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln.	NO	NONE	UNCHANGED
B1-S015	f81v	B1	2	B1_SHARED_TWO_ROW_POOL	NO	NO	ytey okchedy	T+E+Y | OK+CHD+DY	ANWENDEN · KURZ · DIES | ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S016	f81v	B1	4	B1_SHARED_TWO_ROW_POOL	NO	NO	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+DY	ANSETZEN · ZIEL | ANSETZEN · LANG · DIES | FORTSETZEN | ABSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S017	f81v	B1	3	B1_SHARED_TWO_ROW_POOL	NO	NO	sal teol dchdy	AL | E+OL | CHD+DY	ZIEL | KURZ · FORTSETZEN | UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S018	f81v	B1	4	B1_SHARED_TWO_ROW_POOL	NO	NO	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	WEITERLEITEN · DIES | HALTEN · KURZ · FORTSETZEN | ARBEITSGANG · STUFE | AUFFANGEN · LANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger auffangen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S019	f81v	B1	1	B1_SHARED_TWO_ROW_POOL	NO	NO	tedy	SHED+DY	ABSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S020	f81v	B1	2	B1_SHARED_TWO_ROW_POOL	NO	NO	cheky shckhedy	CHK+E+Y | SH+CKH+E+DY	WAERMEN · KURZ · DIES | HALTEN · DURCHLASS · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	NO	NONE	UNCHANGED
B1-S021	f81v	B1	1	B1_SHARED_TWO_ROW_POOL	NO	NO	chal	AL	ZIEL	Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.	NO	NONE	UNCHANGED
B2-S001	f82r	B2	1	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	RECORD_START	NO	dchedy	CHD+DY	UMSETZEN · SCHLUSS	[Station B2_UPPER_PAIRED_BASINS_AND_CYLINDER] An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S002	f82r	B2	1	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	NO	qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S003	f82r	B2	3	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	NO	qokain dy qokeedy	OK+AIN | Y | OK+EE+DY	ANSETZEN · PORTION | DIES | ANSETZEN · LANG · SCHLUSS	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S004	f82r	B2	5	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	NO	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	ANSETZEN · ZIEL | WEITERLEITEN · DURCHLASS · DIES | WEITERLEITEN · UMSETZEN | ANSETZEN · LANG · DIES | WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.	NO	NONE	UNCHANGED
B2-S005	f82r	B2	8	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	NO	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	ANSETZEN · ZIEL · DIES | AUFFANGEN · MASS | DURCHLASS · DIES | ANSETZEN · MASS | ANSETZEN · MASS | ARBEITSGANG · BEREITEN · KURZ · FORTSETZEN | WAERMEN · LANG · DIES | WEITERLEITEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.	NO	NONE	UNCHANGED
B2-S006	f82r	B2	4	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	NO	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	DANACH · LANG · DIES | ANSETZEN · ZIEL | HALTEN · KURZ · DURCHLASS · DIES | ANSETZEN · DIES	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	NO	NONE	UNCHANGED
B2-S007	f82r	B2	1	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	YES	NO	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	[Besitzerwechsel zu B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE] An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S008	f82r	B2	3	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	NO	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+DY	DANACH · MASS | ANSETZEN · QUELLE | ABSETZEN · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S009	f82r	B2	1	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	NO	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S010	f82r	B2	4	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	NO	qokeey qoky ls cheey	OK+EE+Y | OK+Y | OL | SH+EE+Y	ANSETZEN · LANG · DIES | ANSETZEN · DIES | FORTSETZEN | HALTEN · LANG · DIES	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann ihn laenger halten.	NO	NONE	UNCHANGED
B2-S011	f82r	B2	4	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	YES	NO	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+DY	ANSETZEN · PORTION | QUELLE | ANSETZEN · PORTION | ANSETZEN · LANG · SCHLUSS	[Besitzerwechsel zu B2_MIDDLE_RIGHT_AMBIGUOUS_STATION] An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	NO	NONE	UNCHANGED
B2-S012	f82r	B2	8	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION > B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	YES	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	WEITERLEITEN · ENTNEHMEN · DIES | HALTEN · LANG · DIES | BEREITEN · KURZ · DIES | ANSETZEN · LANG · DIES | WEITERLEITEN · LANG · DIES | MASS | DIES | ANSETZEN · VOLL · SCHLUSS	[Lokaler Wechsel innerhalb der Aussage: B2_MIDDLE_RIGHT_AMBIGUOUS_STATION > B2_LOWER_GREEN_MULTI_FIGURE_POOL] An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten weiterleiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger weiterleiten; nach Mass beibehalten, vollstaendig ansetzen und schliessen.	NO	NONE	UNCHANGED
B2-S013	f82r	B2	1	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	NO	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	Am unteren gruenen Figurenbecken: Weiterleiten und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S014	f82r	B2	1	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	NO	lar	L+AR	WEITERLEITEN · QUELLE	Am unteren gruenen Figurenbecken: Aus der Quelle weiterleiten.	NO	NONE	UNCHANGED
B2-S015	f82r	B2	2	B2_LOWER_POOL_EDGE_STATIONS	YES	NO	tshey qokeedy	SH+E+Y | OK+EE+DY	HALTEN · KURZ · DIES | ANSETZEN · LANG · SCHLUSS	[Besitzerwechsel zu B2_LOWER_POOL_EDGE_STATIONS] An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S016	f82r	B2	8	B2_LOWER_POOL_EDGE_STATIONS	NO	NO	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	ZIEL | WEITERLEITEN · UMSETZEN · QUELLE | ENTNEHMEN · KURZ · TEIL | MASS | DANACH · LANG · DIES | ANSETZEN · MASS | ANSETZEN · KURZ · DIES | EINFUELLEN · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: Am Ziel aus der Quelle weiterleiten und umsetzen. Kurz entnehmen und teilen; nach Mass den naechsten Posten laenger fuehren, nach Mass und kurz ansetzen, einfuellen, umsetzen und schliessen.	NO	NONE	UNCHANGED
B2-S017	f82r	B2	2	B2_LOWER_POOL_EDGE_STATIONS	NO	NO	rsheal daldy	R+SH+E+AL | AL+DY	KUEHLEN · HALTEN · KURZ · ZIEL | ZIEL · SCHLUSS	An den Randstationen des unteren Beckens: Am Ziel kurz kuehlen und halten, dann den Zielschritt schliessen.	NO	NONE	UNCHANGED
B2-S018	f82r	B2	1	B2_LOWER_POOL_EDGE_STATIONS	NO	NO	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S019	f82r	B2	1	B2_LOWER_POOL_EDGE_STATIONS	NO	NO	rshedy	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S020	f82r	B2	1	B2_LOWER_POOL_EDGE_STATIONS	NO	NO	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S021	f82r	B2	1	B2_LOWER_POOL_EDGE_STATIONS	NO	NO	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B2-S022	f82r	B2	1	B2_LOWER_POOL_EDGE_STATIONS	NO	NO	lochedy	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: Im Arbeitsgang weiterleiten und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S001	f83r	B3	1	B3_UPPER_MARGIN_OPEN_FAN_STATION	RECORD_START	NO	olkeedy	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	[Station B3_UPPER_MARGIN_OPEN_FAN_STATION] An der oberen offenen Faecherstation: Laenger auffangen und den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S002	f83r	B3	2	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	NO	qotal chkeedy	OT+AL | CHK+EE+DY	DANACH · ZIEL | WAERMEN · LANG · SCHLUSS	An der oberen offenen Faecherstation: Danach zum Ziel; dann laenger erwaermen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S003	f83r	B3	4	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	NO	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+DY	DIES | MASS | DIES | WEITERLEITEN · UMSETZEN · SCHLUSS	An der oberen offenen Faecherstation: Den laufenden Posten nach Mass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen.	NO	NONE	UNCHANGED
B3-S004	f83r	B3	3	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	NO	qokaiin qotal dar	OK+AIIN | OT+AL | AR	ANSETZEN · MASS | DANACH · ZIEL | QUELLE	An der oberen offenen Faecherstation: Nach Mass ansetzen; danach zum Ziel wechseln und aus der Quelle weiterarbeiten.	NO	NONE	UNCHANGED
B3-S005	f83r	B3	1	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	YES	NO	schedy	CHD+DY	UMSETZEN · SCHLUSS	[Besitzerwechsel zu B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION] Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S006	f83r	B3	3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	NO	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+DY	UMSETZEN · DIES | ANSETZEN · ZIEL | FORTSETZEN · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zum Ziel ansetzen; dann weiter umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S007	f83r	B3	3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	NO	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+DY	ANSETZEN · MASS | UMSETZEN · DIES | ANSETZEN · LANG · SCHLUSS	Am runden Mittelgefaess: Nach Mass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S008	f83r	B3	1	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	NO	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Weiterleiten und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S009	f83r	B3	1	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	NO	qoky	OK+Y	ANSETZEN · DIES	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	NO	NONE	UNCHANGED
B3-S010	f83r	B3	2	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	YES	NO	pchedal otedy	P+CHD+AL | OT+E+DY	EINFUELLEN · UMSETZEN · ZIEL | DANACH · KURZ · SCHLUSS	[Besitzerwechsel zu B3_LOWER_MARGIN_BASKET_VESSEL_STATION] Am unteren Korbgefaess: Am Ziel einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen.	NO	NONE	UNCHANGED
B3-S011	f83r	B3	4	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	NO	shecthedchy qoky chedy chary	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES | ANSETZEN · DIES | UMSETZEN · DIES | QUELLE · DIES	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	NO	NONE	UNCHANGED
B3-S012	f83r	B3	2	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	NO	sor shedy	OR | SHED+DY	ANSATZ | ABSETZEN · SCHLUSS	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S013	f83r	B3	4	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	NO	qokaiin chkain shcthey qokedy	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	ANSETZEN · MASS | ZUGEBEN · PORTION | BEREITEN · KURZ · DIES | ANSETZEN · KURZ · SCHLUSS	Am unteren Korbgefaess: Nach Mass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S014	f83r	B3	2	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	NO	okair sheedy	OK+AIR | SH+EE+DY	ANSETZEN · WASSER | HALTEN · LANG · SCHLUSS	Am unteren Korbgefaess: Wasser ansetzen, laenger halten und den Schritt schliessen.	YES	NONE	UNCHANGED
B3-S015	f83r	B3	1	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	NO	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	Am unteren Korbgefaess: Weiterleiten und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S016	f83r	B3	2	B3_LOWER_MARGIN_BASKET_VESSEL_STATION > B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	YES	lo qokchedy	L+O | OK+CHD+DY	WEITERLEITEN · ARBEITSGANG | ANSETZEN · UMSETZEN · SCHLUSS	[Lokaler Wechsel innerhalb der Aussage: B3_LOWER_MARGIN_BASKET_VESSEL_STATION > B3_MARGIN_TO_MAIN_GAP_UNRESOLVED] Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S017	f83r	B3	1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S018	f83r	B3	1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	shedy	SHED+DY	ABSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S019	f83r	B3	1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S020	f83r	B3	2	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	dal lchedy	AL | L+CHD+DY	ZIEL | WEITERLEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Am Ziel weiterleiten, umsetzen und den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S021	f83r	B3	11	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	ANSETZEN · MASS | BEREITEN · DIES | ZIEL | DIES | MASS | ABSETZEN · ZIEL | HALTEN · KURZ · BEREITEN · DIES | DIES | ZIEL | BEREITEN · DIES | ZIEL · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Nach Mass ansetzen und den Posten bereitet halten. Am Ziel nach Mass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, am Ziel erneut bereitet halten, umsetzen und schliessen.	NO	NONE	UNCHANGED
B3-S022	f83r	B3	1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S023	f83r	B3	1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Weiterleiten und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S024	f83r	B3	1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	tchedy	CHD+DY	UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S025	f83r	B3	1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
