exact_card_id	registered_surfaces	component_recipe	third_grammar_reading_de	events	card_tier	core22_components	strip9_components	core22_touch	fully_core22	copy_rule
PROC026	tshol	T+SH+OL	ANWENDEN · HALTEN · WEITER	1	PRODUCTIVE_RECIPE	SH+OL	T	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC027	schoal	SH+O+AL	HALTEN · VORGANG · ZIELSTELLE	1	PRODUCTIVE_RECIPE	SH+AL	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC028	cfhy	CFH+Y	AUSWRINGEN · DIES	1	LOCAL_SINGLETON_PLUS_RULES	Y	NONE	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	1	PRODUCTIVE_RECIPE	SH+Y+AIIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC030	cphy	P+Y	EINFUELLEN · DIES	1	PRODUCTIVE_RECIPE	P+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · DIES	4	PRODUCTIVE_RECIPE	SH+EE+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC157	sheey	SH+EE+Y	HALTEN · LANG · DIES	1	PRODUCTIVE_RECIPE	SH+EE+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC032	tchody	T+CH+O+DY	ANWENDEN · ENTNEHMEN · VORGANG · SCHLUSS	1	PRODUCTIVE_RECIPE	CH+DY	T+O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · VORGANG · DIES · ANWENDEN · DIES	1	PRODUCTIVE_RECIPE	SH+Y+Y	O+T	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	2	MEMORIZED_WHOLE_CARD	NONE	NONE	NO	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC035	kchy	K+Y	ZUGEBEN · DIES	1	PRODUCTIVE_RECIPE	K+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC036	qotchy	OT+Y	DANACH · DIES	1	PRODUCTIVE_RECIPE	OT+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC065	otchey	OT+Y	DANACH · DIES	2	PRODUCTIVE_RECIPE	OT+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC037	okchol	OK+OL	ANSETZEN · WEITER	1	PRODUCTIVE_RECIPE	OK+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC160	qokol	OK+OL	ANSETZEN · WEITER	1	PRODUCTIVE_RECIPE	OK+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	9	PRODUCTIVE_RECIPE	OK+AIIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC039	ykain	Y+K+AIN	DIES · ZUGEBEN · PORTION	1	PRODUCTIVE_RECIPE	Y+K+AIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC040	ykan	Y+K+AN	DIES · ZUGEBEN · NACHGABE	1	BOUND_VARIANT_PLUS_RULES	Y+K	NONE	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC041	ody	O+DY	VORGANG · SCHLUSS	1	PRODUCTIVE_RECIPE	DY	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC042	chdy|chedy	CHD+Y	UMSETZEN · DIES	11	PRODUCTIVE_RECIPE	CHD+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC133	chedchy	CHD+Y	UMSETZEN · DIES	1	PRODUCTIVE_RECIPE	CHD+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC043	talam	TALAM	VERWAHREN	1	MEMORIZED_WHOLE_CARD	NONE	NONE	NO	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC044	ykaiin	Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	1	PRODUCTIVE_RECIPE	Y+K+AIIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC045	cheoar	CH+E+O+AR	ENTNEHMEN · KURZ · VORGANG · QUELLE	1	PRODUCTIVE_RECIPE	CH+E+AR	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · DIES	2	PRODUCTIVE_RECIPE	CHK+EE+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · DIES	1	PRODUCTIVE_RECIPE	CHK+EE+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC047	oldy	OL+DY	WEITER · SCHLUSS	2	PRODUCTIVE_RECIPE	OL+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	6	PRODUCTIVE_RECIPE	OK+AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC049	oltchy	OL+T+Y	WEITER · ANWENDEN · DIES	1	PRODUCTIVE_RECIPE	OL+Y	T	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC050	orain	OR+AIN	ANSATZ · PORTION	1	PRODUCTIVE_RECIPE	AIN	OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC051	chochor	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	1	PRODUCTIVE_RECIPE	CH	HO+OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC052	cho|sho	HO	ZUTAT	4	PRODUCTIVE_RECIPE	NONE	HO	NO	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	1	PRODUCTIVE_RECIPE	AL+Y	HO	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC054	kchol	K+OL	ZUGEBEN · WEITER	1	PRODUCTIVE_RECIPE	K+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	10	PRODUCTIVE_RECIPE	AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC056	choy	HO+Y	ZUTAT · DIES	1	PRODUCTIVE_RECIPE	Y	HO	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC057	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · VORGANG · SCHLUSS	1	PRODUCTIVE_RECIPE	CH+EE+DY	CKH+O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC058	sh	SH	HALTEN	1	PRODUCTIVE_RECIPE	SH	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC059	kchey	K+E+Y	ZUGEBEN · KURZ · DIES	1	PRODUCTIVE_RECIPE	K+E+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	PRODUCTIVE_RECIPE	OK+OK+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · VORGANG	1	PRODUCTIVE_RECIPE	OK+CH+E	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC062	kchal	K+AL	ZUGEBEN · ZIELSTELLE	1	PRODUCTIVE_RECIPE	K+AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC063	kchoar	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	1	PRODUCTIVE_RECIPE	K+AR	HO	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC064	sotodan	OT+O+AIN	DANACH · VORGANG · PORTION	1	PRODUCTIVE_RECIPE	OT+AIN	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC066	keol	K+E+OL	ZUGEBEN · KURZ · WEITER	1	PRODUCTIVE_RECIPE	K+E+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	8	PRODUCTIVE_RECIPE	OK+E+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC068	kair	K+AIR	ZUGEBEN · WASSER	1	PRODUCTIVE_RECIPE	K	AIR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC069	chkain|kain	K+AIN	ZUGEBEN · PORTION	3	PRODUCTIVE_RECIPE	K+AIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC070	olkain|qolkain	OL+K+AIN	WEITER · ZUGEBEN · PORTION	2	PRODUCTIVE_RECIPE	OL+K+AIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC071	rol	R+OL	KUEHLEN · WEITER	1	PRODUCTIVE_RECIPE	OL	R	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC072	dl	L	LEITEN	2	PRODUCTIVE_RECIPE	L	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	1	PRODUCTIVE_RECIPE	SH+E+AL	CKH	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	1	PRODUCTIVE_RECIPE	OK+EE+AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC075	chckhy|shckhy	CKH+Y	DURCHLASS · DIES	4	PRODUCTIVE_RECIPE	Y	CKH	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN · SCHLUSS	4	PRODUCTIVE_RECIPE	CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	1	PRODUCTIVE_RECIPE	CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	1	PRODUCTIVE_RECIPE	SH+K+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC078	cheedy|shedy|tedy	SHED+DY	STEHENLASSEN · SCHLUSS	12	PRODUCTIVE_RECIPE	SHED+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC079	olchedy|qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	3	PRODUCTIVE_RECIPE	OL+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	7	PRODUCTIVE_RECIPE	OK+AIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC081	ral	R+AL	KUEHLEN · ZIELSTELLE	1	PRODUCTIVE_RECIPE	AL	R	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	3	PRODUCTIVE_RECIPE	OK+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	2	PRODUCTIVE_RECIPE	OK+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · DIES	3	PRODUCTIVE_RECIPE	CHK+E+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC084	lsho	LSH+O	SPUELEN · VORGANG	1	PRODUCTIVE_RECIPE	LSH	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC085	okey|qokey	OK+E+Y	ANSETZEN · KURZ · DIES	2	PRODUCTIVE_RECIPE	OK+E+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC086	lshedy	LSH+E+DY	SPUELEN · KURZ · SCHLUSS	2	PRODUCTIVE_RECIPE	LSH+E+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC087	qolky	SOLK+Y	SAMMELSTELLE · DIES	1	PRODUCTIVE_RECIPE	Y	SOLK	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC088	lchedal	L+CHD+AL	LEITEN · UMSETZEN · ZIELSTELLE	1	PRODUCTIVE_RECIPE	L+CHD+AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC089	otar	OT+AR	DANACH · QUELLE	1	PRODUCTIVE_RECIPE	OT+AR	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC090	ytey	T+E+Y	ANWENDEN · KURZ · DIES	1	PRODUCTIVE_RECIPE	E+Y	T	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	7	PRODUCTIVE_RECIPE	OK+EE+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC093	teol	E+OL	KURZ · WEITER	1	PRODUCTIVE_RECIPE	E+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC095	ly	L+Y	LEITEN · DIES	1	PRODUCTIVE_RECIPE	L+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · WEITER	1	PRODUCTIVE_RECIPE	SH+E+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC097	oiiin|soiiin	O+IIN	VORGANG · ARBEITSSTUFE	2	PRODUCTIVE_RECIPE	NONE	O+IIN	NO	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC098	olkeedy|solkeedy	SOLK+EE+DY	SAMMELSTELLE · LANG · SCHLUSS	3	PRODUCTIVE_RECIPE	EE+DY	SOLK	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	PRODUCTIVE_RECIPE	SH+E+DY	CKH	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	10	PRODUCTIVE_RECIPE	OK+EE+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC101	lcheckhy	L+CKH+Y	LEITEN · DURCHLASS · DIES	1	PRODUCTIVE_RECIPE	L+Y	CKH	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC102	lched	L+CHD	LEITEN · UMSETZEN	1	PRODUCTIVE_RECIPE	L+CHD	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC103	lcheckhedy	L+CKH+E+DY	LEITEN · DURCHLASS · KURZ · SCHLUSS	1	PRODUCTIVE_RECIPE	L+E+DY	CKH	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES	1	PRODUCTIVE_RECIPE	OK+AL+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC105	solkaiin	SOLK+AIIN	SAMMELSTELLE · SOLLMASS	1	PRODUCTIVE_RECIPE	AIIN	SOLK	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC106	octheol	O+CTH+E+OL	VORGANG · BEREITEN · KURZ · WEITER	1	PRODUCTIVE_RECIPE	CTH+E+OL	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC108	ldy	L+DY	LEITEN · SCHLUSS	2	PRODUCTIVE_RECIPE	L+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC109	oteey	OT+EE+Y	DANACH · LANG · DIES	2	PRODUCTIVE_RECIPE	OT+EE+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	PRODUCTIVE_RECIPE	SH+E+Y	CKH	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC111	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	1	PRODUCTIVE_RECIPE	SH+E+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC112	otaiin|sotaiin	OT+AIIN	DANACH · SOLLMASS	3	PRODUCTIVE_RECIPE	OT+AIIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC113	qokar	OK+AR	ANSETZEN · QUELLE	1	PRODUCTIVE_RECIPE	OK+AR	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC114	solshedy	OL+SH+E+DY	WEITER · HALTEN · KURZ · SCHLUSS	1	PRODUCTIVE_RECIPE	OL+SH+E+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC116	lchy	L+CH+Y	LEITEN · ENTNEHMEN · DIES	1	PRODUCTIVE_RECIPE	L+CH+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC117	qcthey|shcthey	CTH+E+Y	BEREITEN · KURZ · DIES	2	PRODUCTIVE_RECIPE	CTH+E+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC118	lcheey	L+EE+Y	LEITEN · LANG · DIES	1	PRODUCTIVE_RECIPE	L+EE+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	1	PRODUCTIVE_RECIPE	OK+EEE+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC120	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	8	PRODUCTIVE_RECIPE	L+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC121	lar	L+AR	LEITEN · QUELLE	1	PRODUCTIVE_RECIPE	L+AR	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC122	tshey	SH+E+Y	HALTEN · KURZ · DIES	1	PRODUCTIVE_RECIPE	SH+E+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC123	lchedar	L+CHD+AR	LEITEN · UMSETZEN · QUELLE	1	PRODUCTIVE_RECIPE	L+CHD+AR	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC124	ches	CH+E+S	ENTNEHMEN · KURZ · TEIL	1	LOCAL_SINGLETON_PLUS_RULES	CH+E	NONE	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	1	PRODUCTIVE_RECIPE	P+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1	PRODUCTIVE_RECIPE	SH+E+AL	R	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC127	daldy	AL+DY	ZIELSTELLE · SCHLUSS	1	PRODUCTIVE_RECIPE	AL+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC128	rshedy	R+SHED+DY	KUEHLEN · STEHENLASSEN · SCHLUSS	1	PRODUCTIVE_RECIPE	SHED+DY	R	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC129	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	2	PRODUCTIVE_RECIPE	OT+EE+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC130	lochedy	L+O+CHD+DY	LEITEN · VORGANG · UMSETZEN · SCHLUSS	1	PRODUCTIVE_RECIPE	L+CHD+DY	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC131	otal|qotal	OT+AL	DANACH · ZIELSTELLE	3	PRODUCTIVE_RECIPE	OT+AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC132	chkeedy	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	1	PRODUCTIVE_RECIPE	CHK+EE+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	1	PRODUCTIVE_RECIPE	P+CHD+AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
