edge_id	page	object_a	object_b	connection_class	visible_evidence	direction_licensed	technical_reading	nontechnical_null
R3E018	f82r	upper_central_cylinder	lower_terminal	CONTINUOUS_OPEN_END	Unterseite verjüngt sich zu einem kurzen freien Endstück	NO	Auslass-/Anschlussoption	Ornamentaler Zapfen
R3E019	f82r	upper_right_figure_hand	arc_terminal	VISIBLE_HAND_CONTACT	Hand hält einen ringförmigen Abschluss des Bogens	NO	Bediente Kupplung	Band/Ring als ikonographisches Attribut
R3E020	f82r	middle_left_hand_device	wavy_fan_lines	VISIBLE_CONTACT	Mehrere Wellenlinien entspringen am gehaltenen Ring-/Mundstück	NO	Sprüh-/Fächerende	Strahl-, Haar- oder Ornamentmotiv
R3E021	f82r	horizontal_double_line	central_star_node	CONTINUOUS_THROUGH_NODE	Linie läuft beidseits durch den sternförmigen Knoten	NO	Inline-Knoten/Verteiler	Stern auf Band oder Diagrammachse
R3E022	f82r	horizontal_double_line	reclining_pod	PROXIMITY_ONLY	Linie führt oberhalb vorbei; keine eindeutige Kontaktkontur	NO	Keine lizenzierte Leitung zum Podest	Unabhängige Bildvignette
R3E023	f82r	reclining_pod	lower_nozzle	CONTINUOUS_OPEN_END	Trichterförmige Unterseite endet in kurzem Zapfen	NO	Lokaler Auslass	Sockel/Ornamentfuß
R3E024	f82r	left_vertical_wave	lower_green_field	AMBIGUOUS_CONTACT	Wellenform reicht an bzw. hinter die grüne Oberkante; Übermalung verdeckt Abschluss	NO	Möglicher Eintrag in das Feld	Wolke, Dampf oder dekorative Teilung
R3E025	f82r	right_vertical_wave	lower_green_field	AMBIGUOUS_CONTACT	Schmale Streifenform stößt an die grüne Oberkante	NO	Möglicher Eintrag in das Feld	Ornamentale Grenze
R3E026	f82r	upper_station_set	lower_green_field	NO_CONTINUOUS_EDGE	Zwischen den lokalen Motiven und dem unteren Feld bleibt Bild-/Textraum ohne durchgehende Leitung	NO	Mehrere getrennte Stationskarten	Eine lose ikonographische Zusammenstellung
R3E027	f83r	main_left_station	main_right_station	CONTINUOUS_ARCH	Breiter Doppelbogen mit blauem Innenband läuft von einem Stationsende zum anderen	NO	Gemeinsamer oberer Kanal/Träger	Regenbogen-, Himmels- oder Schmuckband
R3E028	f83r	main_left_station	left_lower_run	CONTINUOUS_CONTOUR	Blau gefüllter Lauf setzt unter dem rotgebänderten Gefäß an	NO	Lokaler Ablauf	Schweif/ikonographisches Gewand
R3E029	f83r	left_lower_run	left_fringe	OPEN_MULTIPLE_ENDS	Lauf endet in mehreren freien gebogenen Strichen und Punktfeld	NO	Mehrfachauslass/Sprühende	Ornamentaler Schweif
R3E030	f83r	main_right_station	right_s_run	CONTINUOUS_CONTOUR	Ungefüllter S-Lauf beginnt unmittelbar am Figurenbecken	NO	Lokaler Ablauf/Träger	Band- oder Wolkenfortsatz
R3E031	f83r	right_s_run	blue_multiport_node	VISIBLE_CONTACT	S-Lauf tritt in den blauen zentralen Knoten ein	NO	Sammel-/Verteilerknoten	Rosetten- oder Sternornament
R3E032	f83r	blue_multiport_node	open_arms	OPEN_MULTIPLE_ENDS	Mehrere Arme verlassen den Knoten und enden frei; Punktfeld liegt daneben	NO	Mehrfachauslass	Strahlen-/Rankenornament
R3E033	f83r	upper_left_nozzle	upper_left_fan	OPEN_GAP_WITH_DOTS	Kleines Ende liegt über Punkt-/Fächermotiv; kurzer Abstand bleibt sichtbar	NO	Möglicher Ausstoß ohne festen Anschluss	Ikonographischer Regen/Strahlen
R3E034	f67r2	left_centre	radial_wedges	RADIAL_ADJACENCY	Keile teilen eine gemeinsame Mittelkreisgrenze	NO	Statische Auswahlklassen	Dekorative kosmographische Strahlen
R3E035	f67r2	right_centre	radial_sectors	RADIAL_ADJACENCY	Sektorlinien beziehen Ringfelder auf die Mitte	NO	Lookup-Zuordnung	Kosmologische Illustration
R3E036	f67r2	phase_discs	each_other	NO_DRAWN_EDGE	Scheiben liegen in Ringzonen ohne Verbindungslinien	NO	Separate Zustandsplätze	Mond-/Himmelskörperillustration
R3E037	f68r1	free_field_stars	each_other	SPATIAL_PROXIMITY_ONLY	Sterne sind verstreut und lokal beschriftet; keine Kanten	NO	Räumlicher Katalog	Dekoratives Sternfeld
R3E038	f68r1	right_centre	right_sector_clusters	SECTOR_MEMBERSHIP	Grenzlinien gruppieren Sterncluster um ein Gesichtzentrum	NO	Sektoradressierung	Sternbild-/Kosmologieillustration
R3E039	f69v	left_centre	approximately_28_radial_slots	RADIAL_ADJACENCY	Wiederholte Stäbe teilen eine Mitte und besitzen lokale Beschriftungsräume	NO	28er-Slottabelle	Strahlenornament mit Beschriftungen
R3E040	f69v	left_wheel	middle_wheel	NO_DRAWN_EDGE	Getrennte Kreise auf getrennten Paneelen ohne Kante	NO	Unabhängige Instrumente	Drei eigenständige Illustrationen
R3E041	f69v	middle_wheel	right_wheel	NO_DRAWN_EDGE	Zwischen den Kreisen liegt freier/Falzraum	NO	Unabhängige Instrumente	Drei eigenständige Illustrationen
R3E042	f69v	each_wheel	its_ring_text	CONSTRUCTIONAL_PLACEMENT	Schrift folgt jeweils der eigenen Kreislinie, bildet aber keine gerichtete Kante	NO	Lokale Legende	Text als Bildumrahmung
