assumption_id	v69_assumption	page_or_scope	verdict	visible_fact	exact_v70_revision	retained_status
P11	The Biological pages establish therapeutic treatment of specific diseases or body sites	f81v;f82r;f83r	STRAINS	No lesion, named organ, patient-attendant distinction or explicit treatment target is securely depicted	Use BATHER_OR_OPERATOR rather than PATIENT and leave disease or body-site details exemplar-only	THERAPEUTIC_SPECIFICITY_WITHDRAWN
P12	The Biological pages can be read as a purely impersonal bathhouse or waterworks maintenance plan	f81v;f82r;f83r	STRAINS	Human figures are numerous, repeated and physically embedded in nearly every major enclosure or vessel	Retain practical bathhouse operation only as a rival that includes human use; reject a person-free hydraulic plan	RIVAL_NARROWED
P13	f83r B3 is one integrated network named C, U3, L1-L4, W3, F3 and R3	f83r	CONTRADICTS	The page visibly contains several local assemblies; only the lower two figure vessels are joined by one broad arch, and no keyed device names or global network connector exist	Delete the invented component inventory and treat each demonstrably connected assembly separately	NAMED_NETWORK_WITHDRAWN
P14	Warmth, filtration and inlet versus outlet direction are visible in f83r	f83r	CONTRADICTS	No flame, temperature mark, filter mesh or directional arrow appears; blue bands show selected paths but not direction	No WARM, FILTER, INLET, OUTLET or RETURN value may enter the image-owned passage	IMAGE_CHANNELS_DIRECTIONLESS
P15	The f82r upper paired figures, central cylinder, middle device, reclining vessel and lower field form one machine	f82r	CONTRADICTS	Several local connections are clear, but no line joins all upper, middle and lower scenes	Split the page into at least four scene owners and forbid implicit cross-scene flow	MULTI_SCENE_PAGE
P16	The four record-local memories OWNER, ACTIVE, TARGET and PREVIOUS remain a simple workshop mechanism	PROSE	COMPATIBLE	Pictures strongly simplify OWNER, but cannot by themselves display ACTIVE, TARGET or PREVIOUS	Teach visible owner first; retain the other three only as text-side simulation registers	OWNER_VISUALLY_GROUNDED_OTHER_REGISTERS_TEXT_ONLY
P17	Physical line endings are not necessary statement endings	ALL_TEN	SUPPORTS	Text lines repeatedly shorten against picture contours and resume in the next available line or pocket	Retain line reflow as layout; do not infer clause closure from the page edge or image boundary	REFLOW_RETAINED
P18	Pictures precede text placement in the workshop procedure	ALL_TEN	SUPPORTS	Herbal text occupies silhouette-shaped pockets; Biological blocks stop above or around scenes; Astro writing follows pre-existing rings and sectors	Make image or diagram skeleton the first lesson and text fitting the final layout pass	WORKSHOP_ORDER_RETAINED
P19	f67r2 is exactly a 7 by 12 selector	f67r2	STRAINS	Two celestial circular diagrams with rings, sectors, stars and crescent or disk stations are visible, but the exact 7 by 12 product is not visually self-evident	Rename the image owner TWO_CELESTIAL_RADIAL_DIAGRAMS and keep any 7 by 12 count transcription-local	EXACT_ARITY_DEMOTED
P20	f68r1 is one centre-plus-28 spatial lunar-mansion catalogue	f68r1	CONTRADICTS	The sheet visibly has two open star fields with several face disks and a third radial star diagram, not one centre-plus-28 object	Replace A2 by THREE_PANEL_STAR_CATALOGUE with panel-local namespaces	PAGE_GEOMETRY_REVISED
P21	f69v is an independent ordered sequence of 28 rules	f69v	CONTRADICTS	Three disconnected circles have heterogeneous inner geometries and a separate prose block; no linear path, common arity or order arrow is drawn	Replace A3 by THREE_LOCAL_RADIAL_TABLES_PLUS_PROSE; preserve ring position without declaring start or direction	PAGE_GEOMETRY_REVISED
P22	The Astro pages belong to a celestial, calendrical or astronomical visual family	f67r2;f68r1;f69v	SUPPORTS	Stars, face disks, crescent or phase-like disks, concentric rings and radial sectors recur throughout	Promote CELESTIAL_DIAGRAM as the iconographic content family while leaving use and labels unknown	ICONOGRAPHIC_FAMILY_ONLY
P23	The Astro pages specifically encode medical elections	f67r2;f68r1;f69v	COMPATIBLE	Celestial lookup geometry can host elections, but no body, disease, remedy or treatment is depicted on these three sheets	Keep medical election only as one historical content overlay; it is not image-selected	SEMANTIC_OVERLAY_UNRESOLVED
P24	The Astro pages can be a generic non-celestial work schedule	f67r2;f68r1;f69v	STRAINS	A schedule could use circles, but the repeated stars, faces and crescent or phase-like disks impose a real celestial vocabulary	Narrow the practical rival to a celestial calendar or timing instrument rather than a generic work plan	RIVAL_REVISED
P25	There is no licensed f68-to-f69 key, fixed start or rotation	f68r1;f69v	SUPPORTS	No connector joins the sheets or the three f69 circles, and no secure start arrow is visible	Retain page-local namespaces and no authorial reading direction	NEGATIVE_BOUNDARY_RETAINED
P26	The eleven mnemonic and four formal control cards acquire meanings from nearby images	ALL_TEN	CONTRADICTS	No leader line or repeated image-card pairing assigns any exact card to a depicted part or action	Freeze all V69 card values unchanged and explicitly outside the visual census	NO_NEW_CARD_VALUE
P27	The two V69 content editions remain exactly coequal after direct image inspection	ALL_TEN	STRAINS	Herbal stays neutral, Biological favours human bathing or washing over a person-free plant, and Astro favours a celestial instrument over a generic work schedule	Retain formal architecture but replace the global tie with an iconographic lead: anonymous plant articles plus balneological scenes plus celestial diagrams	CONTENT_PARITY_REVISED_NOT_SEMANTIC_PROMOTION
P28	A master exemplar remains necessary for complete source recovery	ALL_TEN	SUPPORTS	Pictures supply owners and part choices but do not recover exact operations, quantities, diseases, plant names or diagram labels	Use pictures to reduce copying ambiguity, not to pretend that exemplar-only cards have become readable	EXEMPLAR_DEPENDENCE_RETAINED
