component	selected_value_de	event_id	page	statement_id	owner_de	surface	component_recipe	function	full_statement_de
OL	WEITER	E027	f10r	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	chol	OL	continue same operation or relation	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
OL	WEITER	E028	f10r	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	cholor	OL+OR	continue same operation or relation	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
OL	WEITER	E029	f10r	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	chol	OL	continue same operation or relation	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
OL	WEITER	E039	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	tshol	T+SH+OL	continue same operation or relation	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
OT	DANACH	E052	f11r	H3-S004	abgebildete dicht blau blühende Kronenpflanze	qotchy	OT+Y	advance to next operation or item	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
OL	WEITER	E053	f11r	H3-S004	abgebildete dicht blau blühende Kronenpflanze	okchol	OK+OL	continue same operation or relation	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
OL	WEITER	E067	f55v	H4-S003	abgebildete breitblättrige rispige Pflanze	oldy	OL+DY	continue same operation or relation	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
OL	WEITER	E070	f55v	H4-S004	abgebildete breitblättrige rispige Pflanze	oltchy	OL+T+Y	continue same operation or relation	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.
OL	WEITER	E079	f56r	H5-S001	abgebildete mehrköpfige stachelige Pflanze	kchol	K+OL	continue same operation or relation	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
OT	DANACH	E080	f56r	H5-S001	abgebildete mehrköpfige stachelige Pflanze	otchor	OT+CH+OR	advance to next operation or item	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
OT	DANACH	E097	f56r	H5-S005	abgebildete mehrköpfige stachelige Pflanze	sotodan	OT+O+AIN	advance to next operation or item	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.
OT	DANACH	E098	f56r	H5-S006	abgebildete mehrköpfige stachelige Pflanze	otchey	OT+Y	advance to next operation or item	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.
OL	WEITER	E099	f56r	H5-S006	abgebildete mehrköpfige stachelige Pflanze	keol	K+E+OL	continue same operation or relation	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.
OL	WEITER	E106	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	ol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
OL	WEITER	E108	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	olkain	OL+K+AIN	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
OL	WEITER	E110	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	ol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
OL	WEITER	E111	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	rol	R+OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
OL	WEITER	E113	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	olor	OL+OR	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
OL	WEITER	E114	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	ol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
OL	WEITER	E121	f81v	B1-S003	gemeinsame zweireihige Figuren-/Beckenstation	qol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.
OL	WEITER	E124	f81v	B1-S004	gemeinsame zweireihige Figuren-/Beckenstation	ol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.
OL	WEITER	E126	f81v	B1-S005	gemeinsame zweireihige Figuren-/Beckenstation	qolchedy	OL+CHD+DY	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.
OL	WEITER	E133	f81v	B1-S008	gemeinsame zweireihige Figuren-/Beckenstation	ol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.
OL	WEITER	E135	f81v	B1-S008	gemeinsame zweireihige Figuren-/Beckenstation	ol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.
OL	WEITER	E148	f81v	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation	qol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.
OT	DANACH	E149	f81v	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation	otar	OT+AR	advance to next operation or item	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.
OL	WEITER	E154	f81v	B1-S016	gemeinsame zweireihige Figuren-/Beckenstation	qol	OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.
OL	WEITER	E157	f81v	B1-S017	gemeinsame zweireihige Figuren-/Beckenstation	teol	E+OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.
OL	WEITER	E160	f81v	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	dsheol	SH+E+OL	continue same operation or relation	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.
OL	WEITER	E168	f82r	B2-S002	oberes Beckenpaar mit Zylinder	qolchedy	OL+CHD+DY	continue same operation or relation	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.
OL	WEITER	E182	f82r	B2-S005	oberes Beckenpaar mit Zylinder	octheol	O+CTH+E+OL	continue same operation or relation	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
OT	DANACH	E185	f82r	B2-S006	oberes Beckenpaar mit Zylinder	oteey	OT+EE+Y	advance to next operation or item	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
OT	DANACH	E190	f82r	B2-S008	mittleres linkes Handgerät mit Inline-Knoten	sotaiin	OT+AIIN	advance to next operation or item	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.
OL	WEITER	E193	f82r	B2-S009	mittleres linkes Handgerät mit Inline-Knoten	solshedy	OL+SH+E+DY	continue same operation or relation	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.
OL	WEITER	E196	f82r	B2-S010	mittleres linkes Handgerät mit Inline-Knoten	ls	OL	continue same operation or relation	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.
OT	DANACH	E218	f82r	B2-S016	kleine Randstationen des unteren Beckens	oteey	OT+EE+Y	advance to next operation or item	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.
OT	DANACH	E226	f82r	B2-S020	kleine Randstationen des unteren Beckens	qoteedy	OT+EE+DY	advance to next operation or item	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.
OT	DANACH	E230	f83r	B3-S002	obere offene Fächerstation am Rand	qotal	OT+AL	advance to next operation or item	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.
OT	DANACH	E237	f83r	B3-S004	obere offene Fächerstation am Rand	qotal	OT+AL	advance to next operation or item	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.
OL	WEITER	E242	f83r	B3-S006	mittlere Randfigur im runden Gefäß	olchedy	OL+CHD+DY	continue same operation or relation	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.
OT	DANACH	E249	f83r	B3-S010	untere Randfigur im korbartigen Gefäß	otedy	OT+E+DY	advance to next operation or item	Am unteren Korbgefaess: An der Zielstelle einbringen und umsetzen; danach den kurzen Folgeschritt schliessen.
OT	DANACH	E281	f83r	B3-S022	unverbundener Zwischenbereich	qotchedy	OT+CHD+DY	advance to next operation or item	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.
OT	DANACH	E292	f83r	B3-S027	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qoteedy	OT+EE+DY	advance to next operation or item	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.
OL	WEITER	E295	f83r	B3-S029	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	sol	OL	continue same operation or relation	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.
OT	DANACH	E301	f83r	B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otchedy	OT+CHD+DY	advance to next operation or item	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.
OT	DANACH	E305	f83r	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qotedaiin	OT+E+AIIN	advance to next operation or item	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
OT	DANACH	E306	f83r	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otaiin	OT+AIIN	advance to next operation or item	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
OT	DANACH	E307	f83r	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otedy	OT+E+DY	advance to next operation or item	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
OT	DANACH	E312	f83r	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otaiin	OT+AIIN	advance to next operation or item	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
OL	WEITER	E313	f83r	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	olsaly	OL+AL+Y	continue same operation or relation	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
OL	WEITER	E316	f83r	B4-S002	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	qolchey	OL+Y	continue same operation or relation	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.
OT	DANACH	E320	f83r	B4-S003	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	otal	OT+AL	advance to next operation or item	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.
OT	DANACH	E321	f83r	B4-S003	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	otchey	OT+Y	advance to next operation or item	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.
OL	WEITER	E324	f83r	B4-S003	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	tol	OL	continue same operation or relation	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.
OL	WEITER	E337	f83r	B4-S010	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	oldy	OL+DY	continue same operation or relation	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.
OL	WEITER	E340	f83r	B4-S011	linke Hauptstation mit offenem Fransenlauf	okeeol	OK+EE+OL	continue same operation or relation	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
OL	WEITER	E343	f83r	B4-S011	linke Hauptstation mit offenem Fransenlauf	sol	OL	continue same operation or relation	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
OL	WEITER	E346	f83r	B4-S013	linke Hauptstation mit offenem Fransenlauf	qokol	OK+OL	continue same operation or relation	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.
OL	WEITER	E358	f83r	B4-S016	rechte Hauptstation mit S-Lauf und Mehrarmknoten	qolkain	OL+K+AIN	continue same operation or relation	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.
OT	DANACH	E362	f83r	B5-S001	linke Fransenstation im B5-Nachtrag	otchdy	OT+CHD+DY	advance to next operation or item	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.
OL	WEITER	E366	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	cheol	OL	continue same operation or relation	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.
OL	WEITER	E367	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	lol	L+OL	continue same operation or relation	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.
OL	WEITER	E370	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	sol	OL	continue same operation or relation	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.
OL	WEITER	E376	f83r	B6-S001	rechter S-Lauf im B6-Nachtrag	ol	OL	continue same operation or relation	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.
OL	WEITER	E378	f83r	B6-S001	rechter S-Lauf im B6-Nachtrag	ol	OL	continue same operation or relation	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.
