component_recipe	action_head	action_value_de	grade_atoms	argument_atoms	dy_count	relation_atoms	canonical_slot_skeleton	clean_single_slot_recipe	event_count	register_count	registers	page_count	surfaces	portable_reading_de
CARRIER_Q+K+O+Y	K	GEBEN	NONE	Y	0	NONE	K|NONE|Y|OPEN	YES	1	1	CELESTIAL	1	qkoy	BEGINNMARKER · GEBEN · AUSFÜHRUNG · POSTEN
CARRIER_Q+O+CH+EE+Y	CH	NEHMEN	EE	Y	0	NONE	CH|EE|Y|OPEN	YES	2	2	CELESTIAL|PHARMA	2	qocheey	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GRAD II · POSTEN
CARRIER_Q+O+D_ADDR+CHD	CHD	BEARBEITEN	NONE	NONE	0	NONE	CHD|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qodched	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN
CARRIER_Q+O+E+K+E+OR	K	GEBEN	E|E	OR	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	qoekeor	BEGINNMARKER · AUSFÜHRUNG · GRAD I · GEBEN · GRAD I · EINHEIT
CARRIER_Q+O+E+K+OL	K	GEBEN	E	NONE	0	OL	K|E|NONE|OPEN	YES	2	1	PHARMA	1	qoekol	BEGINNMARKER · AUSFÜHRUNG · GRAD I · GEBEN · FORTSETZEN
CARRIER_Q+O+E+S+E+DY	S	WÄHLEN	E|E	NONE	1	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	qoesedy	BEGINNMARKER · AUSFÜHRUNG · GRAD I · WÄHLEN · GRAD I · SCHLUSS
CARRIER_Q+O+IIN+S	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	1	1	PHARMA	1	qoaiis	BEGINNMARKER · AUSFÜHRUNG · STUFE · WÄHLEN
CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN	CHD	BEARBEITEN	NONE	AIIN	0	NONE	CHD|NONE|AIIN|OPEN	YES	1	1	HERBAL	1	qofchdaiin	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · WERT
CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	CHD	BEARBEITEN	NONE	Y	0	NONE	CHD|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	qofchedy	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · POSTEN
CARRIER_Q+O+P	P	EINSETZEN	NONE	NONE	0	NONE	P|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qop	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN
CARRIER_Q+O+P+OL	P	EINSETZEN	NONE	NONE	0	OL	P|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qopol	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · FORTSETZEN
CARRIER_Q+O+P+Y	P	EINSETZEN	NONE	Y	0	NONE	P|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	qopy	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · POSTEN
CARRIER_Q+O+SH+EE+D_ADDR+Y	SH	HALTEN	EE	Y	0	NONE	SH|EE|Y|OPEN	YES	1	1	BIOLOGICAL	1	qosheedy	BEGINNMARKER · AUSFÜHRUNG · HALTEN · GRAD II · HIER · POSTEN
CARRIER_Q+S+G_LABEL	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	qsg	BEGINNMARKER · WÄHLEN · VARIANTE
CH	CH	NEHMEN	NONE	NONE	0	NONE	CH|NONE|NONE|OPEN	YES	2	2	HERBAL|BIOLOGICAL	2	ch	NEHMEN
CH+AIIN	CH	NEHMEN	NONE	AIIN	0	NONE	CH|NONE|AIIN|OPEN	YES	5	2	HERBAL|PHARMA	4	chaiin|chtaii	NEHMEN · WERT
CH+AIR	CH	NEHMEN	NONE	NONE	0	AIR	CH|NONE|NONE|OPEN	YES	1	1	HERBAL	1	chair	NEHMEN · BAHN
CH+AL	CH	NEHMEN	NONE	NONE	0	AL	CH|NONE|NONE|OPEN	YES	8	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	7	chal	NEHMEN · ZIELORT
CH+AL+Y	CH	NEHMEN	NONE	Y	0	AL	CH|NONE|Y|OPEN	YES	3	2	BIOLOGICAL|PHARMA	3	chaldy|chaly	NEHMEN · ZIELORT · POSTEN
CH+AM_ADDR	CH	NEHMEN	NONE	NONE	0	NONE	CH|NONE|NONE|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	cham|cheamy	NEHMEN · HIER
CH+A_ADDR	CH	NEHMEN	NONE	NONE	0	NONE	CH|NONE|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	cha	NEHMEN · HIER
CH+E	CH	NEHMEN	E	NONE	0	NONE	CH|E|NONE|OPEN	YES	1	1	CELESTIAL	1	che	NEHMEN · GRAD I
CH+E+AR	CH	NEHMEN	E	NONE	0	AR	CH|E|NONE|OPEN	YES	7	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	6	chear|ycheary	NEHMEN · GRAD I · AUSGANG
CH+E+A_ADDR+D_ADDR	CH	NEHMEN	E	NONE	0	NONE	CH|E|NONE|OPEN	YES	1	1	PHARMA	1	chead	NEHMEN · GRAD I · HIER · HIER
CH+E+LOCAL_CHAR_F+AR	CH	NEHMEN	E	NONE	0	AR	CH|E|NONE|OPEN	YES	1	1	HERBAL	1	chefar	NEHMEN · GRAD I · HIER · AUSGANG
CH+E+LOCAL_CHAR_G	CH	NEHMEN	E	NONE	0	NONE	CH|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	cheg	NEHMEN · GRAD I · VARIANTE
CH+E+O	CH	NEHMEN	E	NONE	0	NONE	CH|E|NONE|OPEN	YES	6	3	BIOLOGICAL|CELESTIAL|PHARMA	3	cheo	NEHMEN · GRAD I · AUSFÜHRUNG
CH+E+O+AL	CH	NEHMEN	E	NONE	0	AL	CH|E|NONE|OPEN	YES	2	1	PHARMA	1	cheodal	NEHMEN · GRAD I · AUSFÜHRUNG · ZIELORT
CH+E+O+AM_ADDR	CH	NEHMEN	E	NONE	0	NONE	CH|E|NONE|OPEN	YES	4	1	PHARMA	2	cheom	NEHMEN · GRAD I · AUSFÜHRUNG · HIER
CH+E+O+AR	CH	NEHMEN	E	NONE	0	AR	CH|E|NONE|OPEN	YES	1	1	HERBAL	1	cheoar	NEHMEN · GRAD I · AUSFÜHRUNG · AUSGANG
CH+E+O+D_ADDR+AIN	CH	NEHMEN	E	AIN	0	NONE	CH|E|AIN|OPEN	YES	1	1	PHARMA	1	cheodain	NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ANTEIL
CH+E+O+L	CH	NEHMEN	E	NONE	0	L	CH|E|NONE|OPEN	YES	29	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	11	cheol	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG
CH+E+O+L+Y	CH	NEHMEN	E	Y	0	L	CH|E|Y|OPEN	YES	1	1	PHARMA	1	cheoldy	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · POSTEN
CH+E+O+LOCAL_CHAR_J+A_ADDR+AM_ADDR	CH	NEHMEN	E	NONE	0	NONE	CH|E|NONE|OPEN	YES	1	1	PHARMA	1	cheojam	NEHMEN · GRAD I · AUSFÜHRUNG · VARIANTE · HIER · HIER
CH+E+O+Y	CH	NEHMEN	E	Y	0	NONE	CH|E|Y|OPEN	YES	13	2	HERBAL|PHARMA	4	cheody|cheoy	NEHMEN · GRAD I · AUSFÜHRUNG · POSTEN
CH+E+Y	CH	NEHMEN	E	Y	0	NONE	CH|E|Y|OPEN	YES	5	3	HERBAL|BIOLOGICAL|PHARMA	5	dchey	NEHMEN · GRAD I · POSTEN
CH+EE+D_ADDR+Y	CH	NEHMEN	EE	Y	0	NONE	CH|EE|Y|OPEN	YES	12	3	BIOLOGICAL|CELESTIAL|PHARMA	8	cheedy	NEHMEN · GRAD II · HIER · POSTEN
CH+EE+LOCAL_CHAR_B	CH	NEHMEN	EE	NONE	0	NONE	CH|EE|NONE|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	cheeb	NEHMEN · GRAD II · VARIANTE
CH+EE+O+D_ADDR+AM_ADDR	CH	NEHMEN	EE	NONE	0	NONE	CH|EE|NONE|OPEN	YES	1	1	HERBAL	1	cheeodam	NEHMEN · GRAD II · AUSFÜHRUNG · HIER · HIER
CH+EE+O+D_ADDR+Y	CH	NEHMEN	EE	Y	0	NONE	CH|EE|Y|OPEN	YES	1	1	PHARMA	1	cheeody	NEHMEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN
CH+EE+OR	CH	NEHMEN	EE	OR	0	NONE	CH|EE|OR|OPEN	YES	2	2	CELESTIAL|PHARMA	2	cheeor	NEHMEN · GRAD II · EINHEIT
CH+L	CH	NEHMEN	NONE	NONE	0	L	CH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	chl	NEHMEN · VERBINDUNG
CH+LOCAL_CHAR_F+AIIN	CH	NEHMEN	NONE	AIIN	0	NONE	CH|NONE|AIIN|OPEN	YES	1	1	SOURCE_SECTION_T	1	cfhaiin	NEHMEN · HIER · WERT
CH+LOCAL_CHAR_F+O+AIIN	CH	NEHMEN	NONE	AIIN	0	NONE	CH|NONE|AIIN|OPEN	YES	1	1	SOURCE_SECTION_T	1	cfhoaiin	NEHMEN · HIER · AUSFÜHRUNG · WERT
CH+LOCAL_CHAR_F+OL	CH	NEHMEN	NONE	NONE	0	OL	CH|NONE|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	cfhol	NEHMEN · HIER · FORTSETZEN
CH+LOCAL_CHAR_F+OL+DY	CH	NEHMEN	NONE	NONE	1	OL	CH|NONE|NONE|CLOSE	YES	1	1	HERBAL	1	cfholdy	NEHMEN · HIER · FORTSETZEN · SCHLUSS
CH+LOCAL_CHAR_F+Y	CH	NEHMEN	NONE	Y	0	NONE	CH|NONE|Y|OPEN	YES	2	1	HERBAL	2	cfhy	NEHMEN · HIER · POSTEN
CH+O+D_ADDR	CH	NEHMEN	NONE	NONE	0	NONE	CH|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	chod	NEHMEN · AUSFÜHRUNG · HIER
CH+O+D_ADDR+AIIN	CH	NEHMEN	NONE	AIIN	0	NONE	CH|NONE|AIIN|OPEN	YES	5	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	4	chodaiin	NEHMEN · AUSFÜHRUNG · HIER · WERT
CH+O+D_ADDR+AIN	CH	NEHMEN	NONE	AIN	0	NONE	CH|NONE|AIN|OPEN	YES	1	1	SOURCE_SECTION_T	1	chodain	NEHMEN · AUSFÜHRUNG · HIER · ANTEIL
CH+O+D_ADDR+L	CH	NEHMEN	NONE	NONE	0	L	CH|NONE|NONE|OPEN	YES	1	1	HERBAL	1	chodl	NEHMEN · AUSFÜHRUNG · HIER · VERBINDUNG
CH+O+D_ADDR+Y	CH	NEHMEN	NONE	Y	0	NONE	CH|NONE|Y|OPEN	YES	8	2	HERBAL|PHARMA	6	chody	NEHMEN · AUSFÜHRUNG · HIER · POSTEN
CH+O+EE+A_ADDR	CH	NEHMEN	EE	NONE	0	NONE	CH|EE|NONE|OPEN	YES	1	1	CELESTIAL	1	choeea	NEHMEN · AUSFÜHRUNG · GRAD II · HIER
CH+OR	CH	NEHMEN	NONE	OR	0	NONE	CH|NONE|OR|OPEN	YES	23	3	SOURCE_SECTION_T|HERBAL|PHARMA	10	chor	NEHMEN · EINHEIT
CH+OT+AM_ADDR	CH	NEHMEN	NONE	NONE	0	OT	CH|NONE|NONE|OPEN	YES	2	2	CELESTIAL|PHARMA	2	chotam	NEHMEN · DANACH · HIER
CH+OT+E+Y	CH	NEHMEN	E	Y	0	OT	CH|E|Y|OPEN	YES	1	1	SOURCE_SECTION_T	1	chotey	NEHMEN · DANACH · GRAD I · POSTEN
CH+OT+EE+Y	CH	NEHMEN	EE	Y	0	OT	CH|EE|Y|OPEN	YES	2	1	CELESTIAL	2	choteey	NEHMEN · DANACH · GRAD II · POSTEN
CH+OT+O+M_LOCAL	CH	NEHMEN	NONE	NONE	0	OT	CH|NONE|NONE|OPEN	YES	1	1	HERBAL	1	chotom	NEHMEN · DANACH · AUSFÜHRUNG · HIER
CH+OT+OL	CH	NEHMEN	NONE	NONE	0	OT|OL	CH|NONE|NONE|OPEN	YES	1	1	HERBAL	1	chotol	NEHMEN · DANACH · FORTSETZEN
CH+OT+Y	CH	NEHMEN	NONE	Y	0	OT	CH|NONE|Y|OPEN	YES	4	3	SOURCE_SECTION_T|HERBAL|CELESTIAL	4	choty	NEHMEN · DANACH · POSTEN
CHD	CHD	BEARBEITEN	NONE	NONE	0	NONE	CHD|NONE|NONE|OPEN	YES	2	1	BIOLOGICAL	2	ched	BEARBEITEN
CHD+AIIN	CHD	BEARBEITEN	NONE	AIIN	0	NONE	CHD|NONE|AIIN|OPEN	YES	8	3	HERBAL|BIOLOGICAL|CELESTIAL	5	chedaiin	BEARBEITEN · WERT
CHD+AIN	CHD	BEARBEITEN	NONE	AIN	0	NONE	CHD|NONE|AIN|OPEN	YES	4	3	HERBAL|BIOLOGICAL|PHARMA	4	chedain	BEARBEITEN · ANTEIL
CHD+AIR	CHD	BEARBEITEN	NONE	NONE	0	AIR	CHD|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	schedair	BEARBEITEN · BAHN
CHD+AL	CHD	BEARBEITEN	NONE	NONE	0	AL	CHD|NONE|NONE|OPEN	YES	2	2	BIOLOGICAL|CELESTIAL	2	chdal|chedal	BEARBEITEN · ZIELORT
CHD+AM_ADDR	CHD	BEARBEITEN	NONE	NONE	0	NONE	CHD|NONE|NONE|OPEN	YES	2	2	HERBAL|BIOLOGICAL	2	chdam	BEARBEITEN · HIER
CHD+AR	CHD	BEARBEITEN	NONE	NONE	0	AR	CHD|NONE|NONE|OPEN	YES	3	1	BIOLOGICAL	2	chedar	BEARBEITEN · AUSGANG
CHD+DY	CHD	BEARBEITEN	NONE	NONE	1	NONE	CHD|NONE|NONE|CLOSE	YES	4	2	HERBAL|BIOLOGICAL	3	dchdy|schedy	BEARBEITEN · SCHLUSS
CHD+OL	CHD	BEARBEITEN	NONE	NONE	0	OL	CHD|NONE|NONE|OPEN	YES	2	1	BIOLOGICAL	2	chdol|chedol	BEARBEITEN · FORTSETZEN
CHD+OR	CHD	BEARBEITEN	NONE	OR	0	NONE	CHD|NONE|OR|OPEN	YES	1	1	BIOLOGICAL	1	chedor	BEARBEITEN · EINHEIT
CHD+Y	CHD	BEARBEITEN	NONE	Y	0	NONE	CHD|NONE|Y|OPEN	YES	107	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	13	chdy|chedchy|chedy	BEARBEITEN · POSTEN
CHD+Y+L	CHD	BEARBEITEN	NONE	Y	0	L	CHD|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	chedyl	BEARBEITEN · POSTEN · VERBINDUNG
DA+R+A_ADDR+AM_ADDR	R	MARKIEREN	NONE	NONE	0	NONE	R|NONE|NONE|OPEN	YES	2	2	HERBAL|CELESTIAL	2	daram	ZWEITE STUFE · MARKIEREN · HIER · HIER
DA+R+Y	R	MARKIEREN	NONE	Y	0	NONE	R|NONE|Y|OPEN	YES	5	3	HERBAL|BIOLOGICAL|CELESTIAL	4	dary	ZWEITE STUFE · MARKIEREN · POSTEN
DA+S	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	1	1	HERBAL	1	das	ZWEITE STUFE · WÄHLEN
D_ADDR+AIR+CH+E+Y	CH	NEHMEN	E	Y	0	AIR	CH|E|Y|OPEN	YES	1	1	BIOLOGICAL	1	dairchey	HIER · BAHN · NEHMEN · GRAD I · POSTEN
D_ADDR+CH+AIIN	CH	NEHMEN	NONE	AIIN	0	NONE	CH|NONE|AIIN|OPEN	YES	1	1	SOURCE_SECTION_T	1	dchaiin	HIER · NEHMEN · WERT
D_ADDR+CH+AL	CH	NEHMEN	NONE	NONE	0	AL	CH|NONE|NONE|OPEN	YES	1	1	HERBAL	1	dchal	HIER · NEHMEN · ZIELORT
D_ADDR+CH+AR	CH	NEHMEN	NONE	NONE	0	AR	CH|NONE|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	dchar	HIER · NEHMEN · AUSGANG
D_ADDR+CH+E+O	CH	NEHMEN	E	NONE	0	NONE	CH|E|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	dcheo	HIER · NEHMEN · GRAD I · AUSFÜHRUNG
D_ADDR+CH+EE+D_ADDR+Y	CH	NEHMEN	EE	Y	0	NONE	CH|EE|Y|OPEN	YES	1	1	BIOLOGICAL	1	dcheedy	HIER · NEHMEN · GRAD II · HIER · POSTEN
D_ADDR+CH+LOCAL_CHAR_G	CH	NEHMEN	NONE	NONE	0	NONE	CH|NONE|NONE|OPEN	YES	1	1	HERBAL	1	dchg	HIER · NEHMEN · VARIANTE
D_ADDR+CH+O+DY	CH	NEHMEN	NONE	NONE	1	NONE	CH|NONE|NONE|CLOSE	YES	1	1	HERBAL	1	dchody	HIER · NEHMEN · AUSFÜHRUNG · SCHLUSS
D_ADDR+CH+OR	CH	NEHMEN	NONE	OR	0	NONE	CH|NONE|OR|OPEN	YES	3	2	HERBAL|CELESTIAL	3	dchor	HIER · NEHMEN · EINHEIT
D_ADDR+CH+Y	CH	NEHMEN	NONE	Y	0	NONE	CH|NONE|Y|OPEN	YES	1	1	HERBAL	1	dchchy	HIER · NEHMEN · POSTEN
D_ADDR+CHD+Y	CHD	BEARBEITEN	NONE	Y	0	NONE	CHD|NONE|Y|OPEN	YES	4	1	BIOLOGICAL	4	dchedy	HIER · BEARBEITEN · POSTEN
D_ADDR+K+AIN	K	GEBEN	NONE	AIN	0	NONE	K|NONE|AIN|OPEN	YES	1	1	BIOLOGICAL	1	dkain	HIER · GEBEN · ANTEIL
D_ADDR+K+Y	K	GEBEN	NONE	Y	0	NONE	K|NONE|Y|OPEN	YES	1	1	HERBAL	1	dky	HIER · GEBEN · POSTEN
D_ADDR+L+O+S	S	WÄHLEN	NONE	NONE	0	L	S|NONE|NONE|OPEN	YES	1	1	HERBAL	1	dlos	HIER · VERBINDUNG · AUSFÜHRUNG · WÄHLEN
D_ADDR+O+IIN+R	R	MARKIEREN	NONE	NONE	0	NONE	R|NONE|NONE|OPEN	YES	2	1	HERBAL	2	doiir	HIER · AUSFÜHRUNG · STUFE · MARKIEREN
D_ADDR+O+S+AR	S	WÄHLEN	NONE	NONE	0	AR	S|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	dosar	HIER · AUSFÜHRUNG · WÄHLEN · AUSGANG
D_ADDR+OK+AN	OK	SETZEN	NONE	NONE	0	NONE	OK|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	dokan	HIER · SETZEN · KLASSE
D_ADDR+OL+CH+L	CH	NEHMEN	NONE	NONE	0	OL|L	CH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	dolchl	HIER · FORTSETZEN · NEHMEN · VERBINDUNG
D_ADDR+OL+K+AIN	K	GEBEN	NONE	AIN	0	OL	K|NONE|AIN|OPEN	YES	1	1	HERBAL	1	dolkain	HIER · FORTSETZEN · GEBEN · ANTEIL
D_ADDR+OL+K+Y	K	GEBEN	NONE	Y	0	OL	K|NONE|Y|OPEN	YES	1	1	HERBAL	1	dolkchy	HIER · FORTSETZEN · GEBEN · POSTEN
D_ADDR+OL+SH+E	SH	HALTEN	E	NONE	0	OL	SH|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	dolshed	HIER · FORTSETZEN · HALTEN · GRAD I
D_ADDR+OR+SH+E+O+Y	SH	HALTEN	E	OR|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	dorsheoy	HIER · EINHEIT · HALTEN · GRAD I · AUSFÜHRUNG · POSTEN
D_ADDR+P+Y	P	EINSETZEN	NONE	Y	0	NONE	P|NONE|Y|OPEN	YES	1	1	HERBAL	1	dpchy	HIER · EINSETZEN · POSTEN
D_ADDR+SH+E+Y	SH	HALTEN	E	Y	0	NONE	SH|E|Y|OPEN	YES	1	1	HERBAL	1	dshey	HIER · HALTEN · GRAD I · POSTEN
D_ADDR+SH+OL+Y+D_ADDR	SH	HALTEN	NONE	Y	0	OL	SH|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	dsholyd	HIER · HALTEN · FORTSETZEN · POSTEN · HIER
D_ADDR+SH+OR	SH	HALTEN	NONE	OR	0	NONE	SH|NONE|OR|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	dshor	HIER · HALTEN · EINHEIT
D_ADDR+Y+CH+E+AR	CH	NEHMEN	E	Y	0	AR	CH|E|Y|OPEN	YES	1	1	HERBAL	1	dychear	HIER · POSTEN · NEHMEN · GRAD I · AUSGANG
D_ADDR+Y+K+AIN	K	GEBEN	NONE	Y|AIN	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	dykain	HIER · POSTEN · GEBEN · ANTEIL
D_ADDR+Y+P+Y	P	EINSETZEN	NONE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	HERBAL	1	dypchy	HIER · POSTEN · EINSETZEN · POSTEN
E+K+E+Y	K	GEBEN	E|E	Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	qekey	GRAD I · GEBEN · GRAD I · POSTEN
E+K+Y	K	GEBEN	E	Y	0	NONE	K|E|Y|OPEN	YES	1	1	PHARMA	1	eky	GRAD I · GEBEN · POSTEN
E+S	S	WÄHLEN	E	NONE	0	NONE	S|E|NONE|OPEN	YES	2	2	SOURCE_SECTION_T|CELESTIAL	2	es	GRAD I · WÄHLEN
E+S+E+DY	S	WÄHLEN	E|E	NONE	1	NONE	NONCANONICAL_MULTISLOT	NO	1	1	HERBAL	1	esedy	GRAD I · WÄHLEN · GRAD I · SCHLUSS
E+T+EEE+Y	T	EINSTELLEN	E|EEE	Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	CELESTIAL	1	eteeey	GRAD I · EINSTELLEN · GRAD III · POSTEN
E+T+Y	T	EINSTELLEN	E	Y	0	NONE	T|E|Y|OPEN	YES	2	1	HERBAL	2	ety|etyd	GRAD I · EINSTELLEN · POSTEN
EEE+T+Y	T	EINSTELLEN	EEE	Y	0	NONE	T|EEE|Y|OPEN	YES	1	1	BIOLOGICAL	1	cheeety	GRAD III · EINSTELLEN · POSTEN
HO+CH+OR	CH	NEHMEN	NONE	OR	0	NONE	CH|NONE|OR|OPEN	YES	1	1	HERBAL	1	chochor	KLASSE · NEHMEN · EINHEIT
K	K	GEBEN	NONE	NONE	0	NONE	K|NONE|NONE|OPEN	YES	4	1	HERBAL	3	k	GEBEN
K+AIIN	K	GEBEN	NONE	AIIN	0	NONE	K|NONE|AIIN|OPEN	YES	6	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	4	kaiin	GEBEN · WERT
K+AIN	K	GEBEN	NONE	AIN	0	NONE	K|NONE|AIN|OPEN	YES	6	2	HERBAL|BIOLOGICAL	5	kain	GEBEN · ANTEIL
