source_group_id	unit_id	record_id	page	surface_layer	atom_layer	minimal_dictionary_layer	owner_layer	neutral_source_clause_layer	rich_content_source
E168	B2-S002	B2	f82r	qolchedy	OL+CHD+CLOSE	weiter + umsetzen + Ende	den oberen Paarbecken mit Zylinder	Danach oder in demselben Gang: weiterüberführen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E169	B2-S003	B2	f82r	qokain	OK+AIN	ansetzen + Anteil	den oberen Paarbecken mit Zylinder	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	SIMULATED_MASTER_EXEMPLAR
E170	B2-S003	B2	f82r	dy	Y	dies	den oberen Paarbecken mit Zylinder	Nimm diesen Posten wieder auf: dieser Posten.	SIMULATED_MASTER_EXEMPLAR
E171	B2-S003	B2	f82r	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	den oberen Paarbecken mit Zylinder	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E172	B2-S004	B2	f82r	qokal	OK+AL	ansetzen + Ziel	den oberen Paarbecken mit Zylinder	Führe es an der bezeichneten Stelle aus: dort ansetzen.	SIMULATED_MASTER_EXEMPLAR
E173	B2-S004	B2	f82r	lcheckhy	L+CKH+Y	Ausgangsdurchlass	den oberen Paarbecken mit Zylinder	Setze die gelernte Fachkarte: Ausgangsdurchlass.	SIMULATED_MASTER_EXEMPLAR
E174	B2-S004	B2	f82r	lched	L+CHD	abführen	den oberen Paarbecken mit Zylinder	Setze die gelernte Fachkarte: abführen.	SIMULATED_MASTER_EXEMPLAR
E175	B2-S004	B2	f82r	qokeey	OK+EE+Y	ansetzen + länger + dies	den oberen Paarbecken mit Zylinder	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	SIMULATED_MASTER_EXEMPLAR
E176	B2-S004	B2	f82r	lcheckhedy	L+CKHE+CLOSE	abseihen; Schluss	den oberen Paarbecken mit Zylinder	Setze die gelernte Fachkarte: abseihen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E177	B2-S005	B2	f82r	qokaly	OK+AL+Y	ansetzen + Ziel + dies	den oberen Paarbecken mit Zylinder	Führe es an der bezeichneten Stelle aus: dies dort ansetzen.	SIMULATED_MASTER_EXEMPLAR
E178	B2-S005	B2	f82r	solkaiin	SOLK+AIIN	sammeln + Sollwert	den oberen Paarbecken mit Zylinder	Führe es in der angegebenen Portion oder Stufe aus: bis Sollmass sammeln.	SIMULATED_MASTER_EXEMPLAR
E179	B2-S005	B2	f82r	chckhy	CKH+Y	Durchlass + dies	den oberen Paarbecken mit Zylinder	Führe es mit diesem laufenden Posten aus: durchleiten.	SIMULATED_MASTER_EXEMPLAR
E180	B2-S005	B2	f82r	qokaiin	OK+AIIN	ansetzen + Sollwert	den oberen Paarbecken mit Zylinder	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	SIMULATED_MASTER_EXEMPLAR
E181	B2-S005	B2	f82r	qokaiin	OK+AIIN	ansetzen + Sollwert	den oberen Paarbecken mit Zylinder	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	SIMULATED_MASTER_EXEMPLAR
E182	B2-S005	B2	f82r	octheol	CTH+OL	bereit + weiter	den oberen Paarbecken mit Zylinder	Danach oder in demselben Gang: bereitgestellten Gang fortsetzen.	SIMULATED_MASTER_EXEMPLAR
E183	B2-S005	B2	f82r	chkeey	CHK+EE+Y	wärmen + länger + dies	den oberen Paarbecken mit Zylinder	Führe aus und beachte Dauer oder Endpunkt: diesen Posten länger warm halten.	SIMULATED_MASTER_EXEMPLAR
E184	B2-S005	B2	f82r	ldy	L+CLOSE	abziehen; Ende	den oberen Paarbecken mit Zylinder	Setze die gelernte Fachkarte: abziehen; Ende.	SIMULATED_MASTER_EXEMPLAR
E185	B2-S006	B2	f82r	oteey	OT+EE+Y	danach + länger + dies	den oberen Paarbecken mit Zylinder	Danach oder in demselben Gang: langer Folgeposten.	SIMULATED_MASTER_EXEMPLAR
E186	B2-S006	B2	f82r	qokal	OK+AL	ansetzen + Ziel	den oberen Paarbecken mit Zylinder	Führe es an der bezeichneten Stelle aus: dort ansetzen.	SIMULATED_MASTER_EXEMPLAR
E187	B2-S006	B2	f82r	sheckhy	CKH+E+Y	Durchlass + kurz + dies	den oberen Paarbecken mit Zylinder	Führe aus und beachte Dauer oder Endpunkt: kurz durchleiten.	SIMULATED_MASTER_EXEMPLAR
E188	B2-S006	B2	f82r	qoky	OK+Y	ansetzen + dies	den oberen Paarbecken mit Zylinder	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	SIMULATED_MASTER_EXEMPLAR
E189	B2-S007	B2	f82r	dshedy	SHED+E+CLOSE	absetzen + kurz + Ende	der mittleren linken Vorrichtung mit Zwischenknoten	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E190	B2-S008	B2	f82r	sotaiin	OT+AIIN	danach + Sollwert	der mittleren linken Vorrichtung mit Zwischenknoten	Danach oder in demselben Gang: Folgemaß.	SIMULATED_MASTER_EXEMPLAR
E191	B2-S008	B2	f82r	qokar	OK+AR	ansetzen + Quelle	der mittleren linken Vorrichtung mit Zwischenknoten	Führe es aus dem Vorrat oder am Ansatz aus: daraus ansetzen.	SIMULATED_MASTER_EXEMPLAR
E192	B2-S008	B2	f82r	shedy	SHED+E+CLOSE	absetzen + kurz + Ende	der mittleren linken Vorrichtung mit Zwischenknoten	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E193	B2-S009	B2	f82r	solshedy	OL+SHED+CLOSE	weiter + absetzen + Ende	der mittleren linken Vorrichtung mit Zwischenknoten	Danach oder in demselben Gang: weiter absetzen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E194	B2-S010	B2	f82r	qokeey	OK+EE+Y	ansetzen + länger + dies	der mittleren linken Vorrichtung mit Zwischenknoten	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	SIMULATED_MASTER_EXEMPLAR
E195	B2-S010	B2	f82r	qoky	OK+Y	ansetzen + dies	der mittleren linken Vorrichtung mit Zwischenknoten	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	SIMULATED_MASTER_EXEMPLAR
E196	B2-S010	B2	f82r	ls	L	Durchlassöffnung	der mittleren linken Vorrichtung mit Zwischenknoten	Setze die gelernte Fachkarte: Durchlassöffnung.	SIMULATED_MASTER_EXEMPLAR
E197	B2-S010	B2	f82r	cheey	CHEEY	klarer Auszug	der mittleren linken Vorrichtung mit Zwischenknoten	Setze die gelernte Fachkarte: klarer Auszug.	SIMULATED_MASTER_EXEMPLAR
E198	B2-S011	B2	f82r	okain	OK+AIN	ansetzen + Anteil	der mittleren rechten Station	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	SIMULATED_MASTER_EXEMPLAR
E199	B2-S011	B2	f82r	char	AR	Quelle	der mittleren rechten Station	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	SIMULATED_MASTER_EXEMPLAR
E200	B2-S011	B2	f82r	okain	OK+AIN	ansetzen + Anteil	der mittleren rechten Station	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	SIMULATED_MASTER_EXEMPLAR
E201	B2-S011	B2	f82r	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	der mittleren rechten Station	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E202	B2-S012	B2	f82r	lchy	L+Y	abziehen	dem unteren grünen Mehrfigurenbecken	Setze die gelernte Fachkarte: abziehen.	SIMULATED_MASTER_EXEMPLAR
E203	B2-S012	B2	f82r	cheey	CHEEY	klarer Auszug	dem unteren grünen Mehrfigurenbecken	Setze die gelernte Fachkarte: klarer Auszug.	SIMULATED_MASTER_EXEMPLAR
E204	B2-S012	B2	f82r	qcthey	CTH+E+Y	bereit + kurz + dies	dem unteren grünen Mehrfigurenbecken	Führe aus und beachte Dauer oder Endpunkt: kurz bereithalten.	SIMULATED_MASTER_EXEMPLAR
E205	B2-S012	B2	f82r	qokeey	OK+EE+Y	ansetzen + länger + dies	dem unteren grünen Mehrfigurenbecken	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	SIMULATED_MASTER_EXEMPLAR
E206	B2-S012	B2	f82r	lcheey	L+CHEEY	Klarlauf abfuehren	dem unteren grünen Mehrfigurenbecken	Setze die gelernte Fachkarte: Klarlauf abfuehren.	SIMULATED_MASTER_EXEMPLAR
E207	B2-S012	B2	f82r	daiin	AIIN	Sollwert	dem unteren grünen Mehrfigurenbecken	Setze Maß, Portion oder Stufe: Sollmaß.	SIMULATED_MASTER_EXEMPLAR
E208	B2-S012	B2	f82r	chey	Y	dies	dem unteren grünen Mehrfigurenbecken	Nimm diesen Posten wieder auf: dieser Posten.	SIMULATED_MASTER_EXEMPLAR
E209	B2-S012	B2	f82r	qokeeedy	OK+EEE+CLOSE	ansetzen + vollständig + Ende	dem unteren grünen Mehrfigurenbecken	Führe aus und beachte Dauer oder Endpunkt: vollständig ansetzen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E210	B2-S013	B2	f82r	lchedy	L+CHD+CLOSE	abführen; Schluss	dem unteren grünen Mehrfigurenbecken	Setze die gelernte Fachkarte: abführen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E211	B2-S014	B2	f82r	lar	L+AR	von dort abfuehren	dem unteren grünen Mehrfigurenbecken	Setze die gelernte Fachkarte: von dort abfuehren.	SIMULATED_MASTER_EXEMPLAR
E212	B2-S015	B2	f82r	tshey	CHEEY	Klarlauf zugeben	den Randstationen des unteren Beckens	Setze die gelernte Fachkarte: Klarlauf zugeben.	SIMULATED_MASTER_EXEMPLAR
E213	B2-S015	B2	f82r	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	den Randstationen des unteren Beckens	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E214	B2-S016	B2	f82r	cheal	AL	Ziel	den Randstationen des unteren Beckens	Setze die bezeichnete Zielstelle: dorthin.	SIMULATED_MASTER_EXEMPLAR
E215	B2-S016	B2	f82r	lchedar	L+CHD+AR	von dort abführen	den Randstationen des unteren Beckens	Setze die gelernte Fachkarte: von dort abführen.	SIMULATED_MASTER_EXEMPLAR
E216	B2-S016	B2	f82r	ches	PARTITION	teilen	den Randstationen des unteren Beckens	Führe die Handlung aus; schließe nur bei Endkarte: teilen.	SIMULATED_MASTER_EXEMPLAR
E217	B2-S016	B2	f82r	aiin	AIIN	Sollwert	den Randstationen des unteren Beckens	Setze Maß, Portion oder Stufe: Sollmaß.	SIMULATED_MASTER_EXEMPLAR
E218	B2-S016	B2	f82r	oteey	OT+EE+Y	danach + länger + dies	den Randstationen des unteren Beckens	Danach oder in demselben Gang: langer Folgeposten.	SIMULATED_MASTER_EXEMPLAR
E219	B2-S016	B2	f82r	qokaiin	OK+AIIN	ansetzen + Sollwert	den Randstationen des unteren Beckens	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	SIMULATED_MASTER_EXEMPLAR
E220	B2-S016	B2	f82r	okey	OK+E+Y	ansetzen + kurz + dies	den Randstationen des unteren Beckens	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen.	SIMULATED_MASTER_EXEMPLAR
E221	B2-S016	B2	f82r	pchedy	P+CHD+CLOSE	einführen; Schluss	den Randstationen des unteren Beckens	Setze die gelernte Fachkarte: einführen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E222	B2-S017	B2	f82r	rsheal	SH+E+AL	halten + kurz + Ziel	den Randstationen des unteren Beckens	Führe aus und beachte Dauer oder Endpunkt: kurz am Ziel ruhen.	SIMULATED_MASTER_EXEMPLAR
E223	B2-S017	B2	f82r	daldy	AL+CLOSE	Ziel + Ende	den Randstationen des unteren Beckens	Setze die bezeichnete Zielstelle: Nebenoeffnung; Schluss.	SIMULATED_MASTER_EXEMPLAR
E224	B2-S018	B2	f82r	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	den Randstationen des unteren Beckens	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E225	B2-S019	B2	f82r	rshedy	WASH+CLOSE	waschen + Ende	den Randstationen des unteren Beckens	Führe die Handlung aus; schließe nur bei Endkarte: Waschgang abschließen.	SIMULATED_MASTER_EXEMPLAR
E226	B2-S020	B2	f82r	qoteedy	OT+EE+CLOSE	danach + länger + Ende	den Randstationen des unteren Beckens	Danach oder in demselben Gang: lange Folge; Schluss.	SIMULATED_MASTER_EXEMPLAR
E227	B2-S021	B2	f82r	qokeedy	OK+EE+CLOSE	ansetzen + länger + Ende	den Randstationen des unteren Beckens	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	SIMULATED_MASTER_EXEMPLAR
E228	B2-S022	B2	f82r	lochedy	L+CHD+CLOSE	Rest abfuehren; Schluss	den Randstationen des unteren Beckens	Setze die gelernte Fachkarte: Rest abfuehren; Schluss.	SIMULATED_MASTER_EXEMPLAR
