unit_id	record_id	page	surface_sequence	minimal_dictionary_reading	owner_augmented_reading	neutral_source_formular	medical_master_expansion	nonmedical_master_expansion	card_or_owner_changed_between_master_expansions
B2-S007	B2	f82r	dshedy	absetzen + kurz + Ende	Bei der mittleren linken Vorrichtung mit Zwischenknoten: absetzen + kurz + Ende.	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen; Schluss.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	NO
B2-S008	B2	f82r	sotaiin qokar shedy	danach + Sollwert; ansetzen + Quelle; absetzen + kurz + Ende	Bei der mittleren linken Vorrichtung mit Zwischenknoten: danach + Sollwert; ansetzen + Quelle; absetzen + kurz + Ende.	Danach oder in demselben Gang: Folgemaß. Führe es aus dem Vorrat oder am Ansatz aus: daraus ansetzen. Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	NO
B2-S009	B2	f82r	solshedy	weiter + absetzen + Ende	Bei der mittleren linken Vorrichtung mit Zwischenknoten: weiter + absetzen + Ende.	Danach oder in demselben Gang: weiter absetzen; Schluss.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	NO
B2-S010	B2	f82r	qokeey qoky ls cheey	ansetzen + länger + dies; ansetzen + dies; Durchlassöffnung; klarer Auszug	Bei der mittleren linken Vorrichtung mit Zwischenknoten: ansetzen + länger + dies; ansetzen + dies; Durchlassöffnung; klarer Auszug.	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen. Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen. Setze die gelernte Fachkarte: Durchlassöffnung. Setze die gelernte Fachkarte: klarer Auszug.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Arbeitsflüssigkeit am bezeichneten Wasch- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	NO
B2-S011	B2	f82r	okain char okain qokeedy	ansetzen + Anteil; Quelle; ansetzen + Anteil; ansetzen + länger + Ende	Bei der mittleren rechten Station: ansetzen + Anteil; Quelle; ansetzen + Anteil; ansetzen + länger + Ende.	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben. Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz. Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	NO
B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	abziehen; klarer Auszug; bereit + kurz + dies; ansetzen + länger + dies; Klarlauf abfuehren; Sollwert; dies; ansetzen + vollständig + Ende	Bei dem unteren grünen Mehrfigurenbecken: abziehen; klarer Auszug; bereit + kurz + dies; ansetzen + länger + dies; Klarlauf abfuehren; Sollwert; dies; ansetzen + vollständig + Ende.	Setze die gelernte Fachkarte: abziehen. Setze die gelernte Fachkarte: klarer Auszug. Führe aus und beachte Dauer oder Endpunkt: kurz bereithalten. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen. Setze die gelernte Fachkarte: Klarlauf abfuehren. Setze Maß, Portion oder Stufe: Sollmaß. Nimm diesen Posten wieder auf: dieser Posten. Führe aus und beachte Dauer oder Endpunkt: vollständig ansetzen; Schluss.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Arbeitsbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Arbeitsbereich vollständig und beende den Schritt.	NO
B2-S013	B2	f82r	lchedy	abführen; Schluss	Bei dem unteren grünen Mehrfigurenbecken: abführen; Schluss.	Setze die gelernte Fachkarte: abführen; Schluss.	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	NO
B2-S014	B2	f82r	lar	von dort abfuehren	Bei dem unteren grünen Mehrfigurenbecken: von dort abfuehren.	Setze die gelernte Fachkarte: von dort abfuehren.	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	NO
B2-S015	B2	f82r	tshey qokeedy	Klarlauf zugeben; ansetzen + länger + Ende	Bei den Randstationen des unteren Beckens: Klarlauf zugeben; ansetzen + länger + Ende.	Setze die gelernte Fachkarte: Klarlauf zugeben. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	NO
B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	Ziel; von dort abführen; teilen; Sollwert; danach + länger + dies; ansetzen + Sollwert; ansetzen + kurz + dies; einführen; Schluss	Bei den Randstationen des unteren Beckens: Ziel; von dort abführen; teilen; Sollwert; danach + länger + dies; ansetzen + Sollwert; ansetzen + kurz + dies; einführen; Schluss.	Setze die bezeichnete Zielstelle: dorthin. Setze die gelernte Fachkarte: von dort abführen. Führe die Handlung aus; schließe nur bei Endkarte: teilen. Setze Maß, Portion oder Stufe: Sollmaß. Danach oder in demselben Gang: langer Folgeposten. Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen. Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen. Setze die gelernte Fachkarte: einführen; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Wasch- oder Färbezusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	NO
B2-S017	B2	f82r	rsheal daldy	halten + kurz + Ziel; Ziel + Ende	Bei den Randstationen des unteren Beckens: halten + kurz + Ziel; Ziel + Ende.	Führe aus und beachte Dauer oder Endpunkt: kurz am Ziel ruhen. Setze die bezeichnete Zielstelle: Nebenoeffnung; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	NO
B2-S018	B2	f82r	qokeedy	ansetzen + länger + Ende	Bei den Randstationen des unteren Beckens: ansetzen + länger + Ende.	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	NO
B2-S019	B2	f82r	rshedy	waschen + Ende	Bei den Randstationen des unteren Beckens: waschen + Ende.	Führe die Handlung aus; schließe nur bei Endkarte: Waschgang abschließen.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	NO
B2-S020	B2	f82r	qoteedy	danach + länger + Ende	Bei den Randstationen des unteren Beckens: danach + länger + Ende.	Danach oder in demselben Gang: lange Folge; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	NO
B2-S021	B2	f82r	qokeedy	ansetzen + länger + Ende	Bei den Randstationen des unteren Beckens: ansetzen + länger + Ende.	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	NO
B2-S022	B2	f82r	lochedy	Rest abfuehren; Schluss	Bei den Randstationen des unteren Beckens: Rest abfuehren; Schluss.	Setze die gelernte Fachkarte: Rest abfuehren; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	NO
