left_root	right_root	component_recipe	literal_prediction_de	status	events	surfaces	pages
CH	AIR	CH+AIR	NEHMEN · LAUF	BELEGT	1	chair	f10r
CH	OR	CH+OR	NEHMEN · ANSATZ	BELEGT	9	chor	f10r|f13r|f56r|f88r
CH	CTH	CH+CTH	NEHMEN · BEREIT	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OL	Y	OL+Y	FORTSETZEN · POSTEN	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OL	AIN	OL+AIN	FORTSETZEN · PORTION	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OL	AIIN	OL+AIIN	FORTSETZEN · MASS	BELEGT	1	olaiin	f75r
OL	AL	OL+AL	FORTSETZEN · ZIEL	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OL	AR	OL+AR	FORTSETZEN · QUELLE	BELEGT	1	olar	f67r2
OL	AIR	OL+AIR	FORTSETZEN · LAUF	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
OL	OR	OL+OR	FORTSETZEN · ANSATZ	BELEGT	4	cholor|olor	f10r|f75r|f81v
OL	CTH	OL+CTH	FORTSETZEN · BEREIT	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
O	Y	O+Y	AUSFÜHREN · POSTEN	BELEGT	1	qoy	f13r
O	AIN	O+AIN	AUSFÜHREN · PORTION	BELEGT	1	oain	f88r
O	AIIN	O+AIIN	AUSFÜHREN · MASS	BELEGT	2	oaiin	f55v|f67r2
O	AL	O+AL	AUSFÜHREN · ZIEL	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
O	AR	O+AR	AUSFÜHREN · QUELLE	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
O	AIR	O+AIR	AUSFÜHREN · LAUF	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
O	OR	O+OR	AUSFÜHREN · ANSATZ	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
O	CTH	O+CTH	AUSFÜHREN · BEREIT	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
L	Y	L+Y	LEITEN · POSTEN	BELEGT	4	lchey|ly	f75r|f82r
L	AIN	L+AIN	LEITEN · PORTION	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
L	AIIN	L+AIIN	LEITEN · MASS	BELEGT	1	chldaiin	f83r
L	AL	L+AL	LEITEN · ZIEL	BELEGT	1	lal	f83r
L	AR	L+AR	LEITEN · QUELLE	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
L	AIR	L+AIR	LEITEN · LAUF	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
L	OR	L+OR	LEITEN · ANSATZ	BELEGT	3	lor	f75r|f81v
L	CTH	L+CTH	LEITEN · BEREIT	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
P	Y	P+Y	EINSETZEN · POSTEN	BELEGT	1	pchey	f75r
P	AIN	P+AIN	EINSETZEN · PORTION	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
P	AIIN	P+AIIN	EINSETZEN · MASS	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
P	AL	P+AL	EINSETZEN · ZIEL	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
P	AR	P+AR	EINSETZEN · QUELLE	BELEGT	1	par	f81v
P	AIR	P+AIR	EINSETZEN · LAUF	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
P	OR	P+OR	EINSETZEN · ANSATZ	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
P	CTH	P+CTH	EINSETZEN · BEREIT	VERFÜGBAR_ABER_NICHT_BELEGT	0	NICHT_BELEGT	NICHT_BELEGT
