drawer_id	component_recipe	atomic_workshop_reading_de	natural_apprentice_reading_de	events	surfaces	pages	page_count	support_kind	example_event_ids	attested_context_readings_de
D2-011	D_ADDR+OL	TEIL · FORTSETZEN	mit dem Teil fortsetzen	5	dchol|dol	f13r|f81v|f82r|f88r	4	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0161|P912-E0163|P912-E1037|P912-E1313|P912-E2509	TEIL · FORTSETZEN
D2-012	D_ADDR+OR	TEIL · ANSATZ	einen Teilansatz bilden	5	dor	f11r|f13r|f75r|f83r	4	MEHRSEITIG	P912-E0113|P912-E0195|P912-E0536|P912-E0809|P912-E1421	TEIL · ANSATZ || TEIL · ANSATZ
D2-013	K+EE+DY	GEBEN · LÄNGER · SCHLUSS	länger zugeben; Schluss	5	keedy	f75r|f81v	2	MEHRSEITIG	P912-E0550|P912-E0765|P912-E0795|P912-E0802|P912-E0860	IN STATION GEBEN · LÄNGER · SCHLUSS
D2-014	L+DY	LEITEN · SCHLUSS	weiterleiten; Schluss	5	ldy	f75r|f82r|f83r	3	MEHRSEITIG	P912-E0735|P912-E0783|P912-E1138|P912-E1607|P912-E1659	LEITEN · SCHLUSS
D2-015	O+IIN	AUSFÜHREN · STUFE	auf der bezeichneten Stufe ausführen	5	oiiin|oiin	f13r|f67r2|f81v	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0200|P912-E1058|P912-E1097|P912-E1105|P912-E1847	AUSFÜHREN · STUFE
D2-016	OK+SH+E+DY	SETZEN · HALTEN · KURZ · SCHLUSS	setzen, kurz halten; Schluss	5	okshedy|qokshedy	f75r|f81v|f83r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0584|P912-E0605|P912-E0951|P912-E1432|P912-E1530	AN STATION SETZEN · HALTEN · KURZ · SCHLUSS
D2-017	S+OR	AUSWÄHLEN · ANSATZ	einen Arbeitsansatz auswählen	5	sor	f10r|f67r2|f75r|f83r	4	MEHRSEITIG	P912-E0030|P912-E0501|P912-E1498|P912-E1679|P912-E1843	AUSWÄHLEN · ANSATZ || AUSWÄHLEN · ANSATZ || AUSWÄHLEN · EINTRAGSGRUPPE
D2-018	SH+E+OL	HALTEN · KURZ · FORTSETZEN	kurz halten und fortsetzen	5	dsheol|sheol	f75r|f82r|f83r|f88r	4	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0663|P912-E0841|P912-E1270|P912-E1712|P912-E2436	HALTEN · KURZ · FORTSETZEN
D2-019	SOLK+EE+DY	AUFFANGEN · LÄNGER · SCHLUSS	länger auffangen; Schluss	5	olkeedy	f75r|f81v|f83r	3	MEHRSEITIG	P912-E0787|P912-E0883|P912-E1102|P912-E1106|P912-E1422	AUFFANGEN · LÄNGER · SCHLUSS
D2-020	SOLK+EE+Y	AUFFANGEN · LÄNGER · POSTEN	den Posten länger auffangen	5	olkeey|solkeey	f75r|f81v|f83r|f88r	4	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0647|P912-E1029|P912-E1485|P912-E1733|P912-E2466	AUFFANGEN · LÄNGER · POSTEN
D2-021	Y+T+Y	POSTEN · STELLEN · POSTEN	den Posten einstellen und weiterführen	5	ytchy|ytshy|yty	f10r|f11r|f13r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0027|P912-E0057|P912-E0106|P912-E0179|P912-E0184	POSTEN · STELLEN · POSTEN
D2-022	AL+DY	ZIEL · SCHLUSS	ziel · schluss	4	daldy	f13r|f75r|f81v|f82r	4	MEHRSEITIG	P912-E0225|P912-E0725|P912-E0919|P912-E1334	ZIELSTELLE · SCHLUSS || ZIELSTATION · SCHLUSS
D2-023	CH+AIIN	NEHMEN · MASS	nehmen · sollwert	4	chaiin	f10r|f11r|f55v	3	MEHRSEITIG	P912-E0031|P912-E0117|P912-E0141|P912-E0260	ENTNEHMEN · MASS
D2-024	CH+CTH+Y	NEHMEN · BEREIT · POSTEN	nehmen · bereit · posten	4	chcthy	f10r|f75r|f81v	3	MEHRSEITIG	P912-E0032|P912-E0489|P912-E0510|P912-E0899	ENTNEHMEN · BEREIT · POSTEN || AUS STATION NEHMEN · BEREIT · POSTEN
D2-025	K+AIN	GEBEN · PORTION	geben · einheit	4	kain	f75r|f81v|f83r	3	MEHRSEITIG	P912-E0459|P912-E0754|P912-E0875|P912-E1696	IN STATION GEBEN · PORTION
D2-026	K+AR	GEBEN · QUELLE	geben · quelle	4	kar	f55v|f75r|f81v	3	MEHRSEITIG	P912-E0249|P912-E0475|P912-E0636|P912-E0906	ZUGEBEN · VORRAT || IN STATION GEBEN · QUELLSTATION
D2-027	L+Y	LEITEN · POSTEN	leiten · posten	4	lchey|ly	f75r|f82r	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0449|P912-E0617|P912-E1208|P912-E1380	LEITEN · POSTEN
D2-028	O+P+Y	AUSFÜHREN · EINSETZEN · POSTEN	ausführen · einsetzen · posten	4	opchy|qopchy	f13r|f67r2	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0153|P912-E0156|P912-E0191|P912-E1792	AUSFÜHREN · EINSETZEN · POSTEN
D2-029	OK+E+OL	SETZEN · KURZ · FORTSETZEN	setzen · kurz · fortsetzen	4	okeol|qokeol	f81v|f82r|f88r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E1103|P912-E1114|P912-E2399|P912-E2449	AN STATION SETZEN · KURZ · FORTSETZEN || ANSETZEN · KURZ · FORTSETZEN
D2-030	OL+OR	FORTSETZEN · ANSATZ	fortsetzen · arbeitssatz	4	cholor|olor	f10r|f75r|f81v	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0067|P912-E0847|P912-E0920|P912-E0943	FORTSETZEN · ANSATZ || FORTSETZEN · ANSATZ
D2-031	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	fortsetzen · halten · kurz · schluss	4	olshedy|solshedy	f75r|f82r	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0547|P912-E0556|P912-E0562|P912-E1164	FORTSETZEN · HALTEN · KURZ · SCHLUSS
D2-032	OT+AIN	DANACH · PORTION	danach · einheit	4	otain|qotain	f75r|f81v|f82r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0601|P912-E0902|P912-E1046|P912-E1250	DANACH · PORTION
D2-033	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	danach · umsetzen · schluss	4	otchdy|otchedy|qotchedy	f83r	1	LOKAL_WIEDERHOLT	P912-E1544|P912-E1600|P912-E1657|P912-E1720	DANACH · UMSETZEN · SCHLUSS
D2-034	SH+CKH+Y	HALTEN · DURCHLASS · POSTEN	halten · durchlass · posten	4	shckhy	f75r|f81v|f82r	3	MEHRSEITIG	P912-E0654|P912-E0830|P912-E1033|P912-E1116	HALTEN · DURCHLASS · POSTEN
D2-035	SH+E+DY	HALTEN · KURZ · SCHLUSS	halten · kurz · schluss	4	dshedy	f75r|f81v	2	MEHRSEITIG	P912-E0578|P912-E0717|P912-E0804|P912-E0983	HALTEN · KURZ · SCHLUSS
D2-036	SH+OR	HALTEN · ANSATZ	halten · arbeitssatz	4	shor	f10r|f11r	2	MEHRSEITIG	P912-E0002|P912-E0072|P912-E0126|P912-E0127	HALTEN · ANSATZ
D2-037	T+CHD+Y	STELLEN · UMSETZEN · POSTEN	einstellen · umsetzen · posten	4	tchedy	f75r|f83r	2	MEHRSEITIG	P912-E0680|P912-E1404|P912-E1546|P912-E1608	STELLEN · UMSETZEN · POSTEN
D2-038	T+OL	STELLEN · FORTSETZEN	einstellen · fortsetzen	4	tchol|tol	f11r|f56r|f83r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0125|P912-E0390|P912-E0418|P912-E1632	STELLEN · FORTSETZEN
D2-039	Y+T+E+DY	POSTEN · STELLEN · KURZ · SCHLUSS	posten · einstellen · kurz · schluss	4	ytedy	f81v	1	LOKAL_WIEDERHOLT	P912-E0970|P912-E0973|P912-E0976|P912-E0977	POSTEN · STELLEN · KURZ · SCHLUSS
D2-040	CH+AL	NEHMEN · ZIEL	nehmen · ziel	3	chal	f56r|f75r|f81v	3	MEHRSEITIG	P912-E0336|P912-E0456|P912-E1110	ENTNEHMEN · ZIELSTELLE || AUS STATION NEHMEN · ZIELSTATION
D2-041	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · POSTEN	nehmen · kurz · durchlass · posten	3	checkhy	f75r|f81v|f83r	3	MEHRSEITIG	P912-E0514|P912-E0944|P912-E1443	AUS STATION NEHMEN · KURZ · DURCHLASS · POSTEN
D2-042	CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · POSTEN	nehmen · ausführen · teil · posten	3	chody	f11r|f56r|f88r	3	MEHRSEITIG	P912-E0144|P912-E0422|P912-E2494	ENTNEHMEN · AUSFÜHREN · TEIL · POSTEN
D2-043	CH+O+S	NEHMEN · AUSFÜHREN · AUSWÄHLEN	nehmen · ausführen · auswählen	3	chos	f56r|f67r2	2	MEHRSEITIG	P912-E0404|P912-E1852|P912-E1931	ENTNEHMEN · AUSFÜHREN · AUSWÄHLEN || WERT NEHMEN · AUSFÜHREN · AUSWÄHLEN
D2-044	CHD+DY	UMSETZEN · SCHLUSS	umsetzen · schluss	3	dchdy|schedy	f81v|f83r	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0927|P912-E1081|P912-E1451	UMSETZEN · SCHLUSS
D2-045	CHEO+AM_ADDR	AUSZUG · INNEN	auszug · innen	3	cheom	f88r	1	LOKAL_WIEDERHOLT	P912-E2406|P912-E2409|P912-E2511	AUSZUG · INNEN
D2-046	CTH+OL	BEREIT · FORTSETZEN	bereit · fortsetzen	3	cthol	f56r|f82r|f88r	3	MEHRSEITIG	P912-E0403|P912-E1147|P912-E2467	BEREIT · FORTSETZEN
D2-047	D_ADDR+CHD+Y	TEIL · UMSETZEN · POSTEN	teil · umsetzen · posten	3	dchedy	f75r|f81v|f82r	3	MEHRSEITIG	P912-E0817|P912-E1070|P912-E1121	TEIL · UMSETZEN · POSTEN
D2-048	E+Y	KURZ · POSTEN	kurz · posten	3	ey|qey	f75r|f82r	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0458|P912-E0610|P912-E1389	KURZ · POSTEN
D2-049	K+OL	GEBEN · FORTSETZEN	geben · fortsetzen	3	kchol|kol	f11r|f13r|f75r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0108|P912-E0189|P912-E0593	ZUGEBEN · FORTSETZEN || IN STATION GEBEN · FORTSETZEN
D2-050	K+Y	GEBEN · POSTEN	geben · posten	3	kchy|ky	f13r|f81v	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0181|P912-E0227|P912-E0963	ZUGEBEN · POSTEN || IN STATION GEBEN · POSTEN
D2-051	L+O	LEITEN · AUSFÜHREN	leiten · ausführen	3	lo	f75r	1	LOKAL_WIEDERHOLT	P912-E0511|P912-E0618|P912-E0694	LEITEN · AUSFÜHREN
D2-052	L+OR	LEITEN · ANSATZ	leiten · arbeitssatz	3	lor	f75r|f81v	2	MEHRSEITIG	P912-E0628|P912-E0651|P912-E1000	LEITEN · ANSATZ
D2-053	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · POSTEN	ausführen · durchlass · kurz · posten	3	ockhey|qockhey	f82r|f83r|f88r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E1318|P912-E1571|P912-E2370	AUSFÜHREN · DURCHLASS · KURZ · POSTEN
D2-054	OK+CHD+Y	SETZEN · UMSETZEN · POSTEN	setzen · umsetzen · posten	3	qokchedy	f83r	1	LOKAL_WIEDERHOLT	P912-E1527|P912-E1595|P912-E1661	AN STATION SETZEN · UMSETZEN · POSTEN
D2-055	OK+EEE+Y	SETZEN · VOLL · POSTEN	setzen · voll · posten	3	qokeeey	f55v|f82r	2	MEHRSEITIG	P912-E0240|P912-E1244|P912-E1292	ANSETZEN · VOLL · POSTEN || AN STATION SETZEN · VOLL · POSTEN
D2-056	OK+OR	SETZEN · ANSATZ	setzen · arbeitssatz	3	chokor|qokor	f56r|f88r	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0362|P912-E0405|P912-E2381	ANSETZEN · ANSATZ
D2-057	OT+AM_ADDR	DANACH · INNEN	danach · innen	3	otam	f55v|f75r|f88r	3	MEHRSEITIG	P912-E0334|P912-E0824|P912-E2391	DANACH · INNEN
D2-058	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	danach · nehmen · fortsetzen	3	otchol|qotchol	f13r|f88r	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0192|P912-E0197|P912-E2425	DANACH · ENTNEHMEN · FORTSETZEN
D2-059	OT+CH+OR	DANACH · NEHMEN · ANSATZ	danach · nehmen · arbeitssatz	3	otchor|qotchor	f10r|f13r|f56r	3	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0063|P912-E0185|P912-E0379	DANACH · ENTNEHMEN · ANSATZ
D2-060	OT+OL	DANACH · FORTSETZEN	danach · fortsetzen	3	otol	f10r|f11r|f75r	3	MEHRSEITIG	P912-E0065|P912-E0140|P912-E0845	DANACH · FORTSETZEN
D2-061	R+AIIN	MERKEN · MASS	markieren · sollwert	3	raiin	f82r	1	LOKAL_WIEDERHOLT	P912-E1307|P912-E1311|P912-E1360	MERKEN · STATIONSWERT
D2-062	S+AM_ADDR	AUSWÄHLEN · INNEN	auswählen · innen	3	sam	f83r|f88r	2	MEHRSEITIG	P912-E1497|P912-E2387|P912-E2414	AUSWÄHLEN · INNEN
D2-063	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	halten · durchlass · kurz · schluss	3	shckhedy	f81v|f83r	2	MEHRSEITIG	P912-E1109|P912-E1638|P912-E1639	HALTEN · DURCHLASS · KURZ · SCHLUSS
D2-064	SHED+AIIN	ABSETZEN · MASS	absetzen · sollwert	3	shedaiin	f82r|f83r	2	MEHRSEITIG	P912-E1154|P912-E1378|P912-E1570	ABSETZEN · STATIONSWERT
D2-065	SOLK+EE+D_ADDR+Y	AUFFANGEN · LÄNGER · TEIL · POSTEN	auffangen · länger · teil · posten	3	qolkeedy|solkeedy	f81v|f83r	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0933|P912-E1580|P912-E1589	AUFFANGEN · LÄNGER · TEIL · POSTEN
D2-066	Y+K+AIIN	POSTEN · GEBEN · MASS	posten · geben · sollwert	3	ykaiin	f55v|f81v	2	MEHRSEITIG	P912-E0267|P912-E0316|P912-E1066	POSTEN · ZUGEBEN · MASS || POSTEN · IN STATION GEBEN · STATIONSWERT
D2-067	Y+K+AIN	POSTEN · GEBEN · PORTION	posten · geben · einheit	3	ykain	f55v	1	LOKAL_WIEDERHOLT	P912-E0261|P912-E0273|P912-E0302	POSTEN · ZUGEBEN · PORTION
D2-068	Y+K+EE+Y	POSTEN · GEBEN · LÄNGER · POSTEN	posten · geben · länger · posten	3	ykeey	f75r|f81v|f82r	3	MEHRSEITIG	P912-E0466|P912-E0958|P912-E1256	POSTEN · IN STATION GEBEN · LÄNGER · POSTEN
D2-069	Y+K+OR	POSTEN · GEBEN · ANSATZ	posten · geben · arbeitssatz	3	ykor	f13r|f67r2|f68r1	3	MEHRSEITIG	P912-E0177|P912-E1813|P912-E1957	POSTEN · ZUGEBEN · ANSATZ || POSTEN · WERT ZUORDNEN · EINTRAGSGRUPPE
D2-070	Y+K+Y	POSTEN · GEBEN · POSTEN	posten · geben · posten	3	ykchy|yky	f13r|f68r1	2	MEHRSEITIG_UND_MEHRFÖRMIG	P912-E0167|P912-E0180|P912-E1967	POSTEN · ZUGEBEN · POSTEN || POSTEN · WERT ZUORDNEN · POSTEN
