clause_id	physical_page	locus_span	visible_owner_or_namespace_de	event_count	surface_sequence	complete_working_translation_de	reading_source	end_reason	event_ids
P915-C028	f75r	f75r.8	großes Bad-/Stationsblatt mit dreieckiger Insel	1	okeedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0508
P915-C029	f75r	f75r.9	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokchdy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0509
P915-C030	f75r	f75r.9	großes Bad-/Stationsblatt mit dreieckiger Insel	3	chcthy lo qokedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen, bis zur Gebrauchsbereitschaft führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0510|P912-E0511|P912-E0512
P915-C031	f75r	f75r.9	großes Bad-/Stationsblatt mit dreieckiger Insel	4	qokan checkhy qokar olchedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen, durch den angeschlossenen Durchlass geben und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0513|P912-E0514|P912-E0515|P912-E0516
P915-C032	f75r	f75r.9|f75r.10	großes Bad-/Stationsblatt mit dreieckiger Insel	10	sal dshor qotar chdy shey qokain chckhy dy otey tedy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen, kurz halten und behandeln, über den sichtbaren Weg zur nächsten Station führen, durch den angeschlossenen Durchlass geben und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0517|P912-E0518|P912-E0519|P912-E0520|P912-E0521|P912-E0522|P912-E0523|P912-E0524|P912-E0525|P912-E0526
P915-C033	f75r	f75r.10	großes Bad-/Stationsblatt mit dreieckiger Insel	1	lchedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0527
P915-C034	f75r	f75r.11	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokeedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0528
P915-C035	f75r	f75r.11	großes Bad-/Stationsblatt mit dreieckiger Insel	3	qokair oly qokeedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0529|P912-E0530|P912-E0531
P915-C036	f75r	f75r.11	großes Bad-/Stationsblatt mit dreieckiger Insel	4	dy qokal okar shedy	Auf dem großen Bad- und Stationsblatt absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0532|P912-E0533|P912-E0534|P912-E0535
P915-C037	f75r	f75r.11|f75r.12	großes Bad-/Stationsblatt mit dreieckiger Insel	12	dor chekam ssheckhy qokal oly shey r ol cheey shey dy olshedy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, länger halten und behandeln, durch den angeschlossenen Durchlass geben und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0536|P912-E0537|P912-E0538|P912-E0539|P912-E0540|P912-E0541|P912-E0542|P912-E0543|P912-E0544|P912-E0545|P912-E0546|P912-E0547
P915-C038	f75r	f75r.12|f75r.13	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qoky pchedy	Auf dem großen Bad- und Stationsblatt in die Arbeitsstation geben, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0548|P912-E0549
P915-C039	f75r	f75r.13	großes Bad-/Stationsblatt mit dreieckiger Insel	1	keedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0550
P915-C040	f75r	f75r.13	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0551
P915-C041	f75r	f75r.13	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0552
P915-C042	f75r	f75r.13	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0553
P915-C043	f75r	f75r.13	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0554
P915-C044	f75r	f75r.13	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qokain olshedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, kurz halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0555|P912-E0556
P915-C045	f75r	f75r.14	großes Bad-/Stationsblatt mit dreieckiger Insel	6	sain al keishy qokain dy olshedy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen, kurz halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0557|P912-E0558|P912-E0559|P912-E0560|P912-E0561|P912-E0562
P915-C046	f75r	f75r.14|f75r.15	großes Bad-/Stationsblatt mit dreieckiger Insel	13	qokain chckhy qokain otar aly sain qokain qolkeeoly saiin chedy sol or shedy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen, über den sichtbaren Weg zur nächsten Station führen, durch den angeschlossenen Durchlass geben, im Empfangsbecken auffangen, absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0563|P912-E0564|P912-E0565|P912-E0566|P912-E0567|P912-E0568|P912-E0569|P912-E0570|P912-E0571|P912-E0572|P912-E0573|P912-E0574|P912-E0575
P915-C047	f75r	f75r.15	großes Bad-/Stationsblatt mit dreieckiger Insel	1	okchdy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0576
P915-C048	f75r	f75r.15|f75r.16	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qoky dshedy	Auf dem großen Bad- und Stationsblatt kurz halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0577|P912-E0578
P915-C049	f75r	f75r.16	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qokar sheedy	Auf dem großen Bad- und Stationsblatt länger halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0579|P912-E0580
P915-C050	f75r	f75r.16	großes Bad-/Stationsblatt mit dreieckiger Insel	4	lch shokain chy okshedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, kurz halten und behandeln, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0581|P912-E0582|P912-E0583|P912-E0584
P915-C051	f75r	f75r.16|f75r.17	großes Bad-/Stationsblatt mit dreieckiger Insel	10	qokain chedy pchedar shepchy lshedary dal shal shy kol shedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, in die Arbeitsstation geben, kurz halten und behandeln, über den sichtbaren Weg zur nächsten Station führen, absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0585|P912-E0586|P912-E0587|P912-E0588|P912-E0589|P912-E0590|P912-E0591|P912-E0592|P912-E0593|P912-E0594
P915-C052	f75r	f75r.17|f75r.18	großes Bad-/Stationsblatt mit dreieckiger Insel	3	qokam sol sheedy	Auf dem großen Bad- und Stationsblatt länger halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0595|P912-E0596|P912-E0597
P915-C053	f75r	f75r.18	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qol shedy	Auf dem großen Bad- und Stationsblatt absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0598|P912-E0599
P915-C054	f75r	f75r.18|f75r.19	großes Bad-/Stationsblatt mit dreieckiger Insel	6	qol otain char sar oly qokshedy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen, kurz halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0600|P912-E0601|P912-E0602|P912-E0603|P912-E0604|P912-E0605
P915-C055	f75r	f75r.19|f75r.20|f75r.21|f75r.22|f75r.23|f75r.24|f75r.25	großes Bad-/Stationsblatt mit dreieckiger Insel	50	qol shey qoky shey ey qokain ar ry shey qor chey lchey lo ydain shey qokain oqokain chey qckhsy or ysheor ol lor am odar shey qokain chedy or shey kar chedy sar pchey kshey qokeey qokal sshey qol chedyqokam qokain olkeey qolkary sain checthy lor ol sain shckhy qokeedy	Auf dem großen Stationsblatt mehrere Teilposten nacheinander vom markierten Vorrat nehmen, nach Sollwert an den zugehörigen Zielstellen ansetzen, kurz oder länger halten, über die sichtbaren Durchlässe leiten und in den passenden Becken auffangen; den letzten Posten vollständig setzen und die Zelle schließen.	MANUAL_LONG_CLAUSE_REWRITE	LICENSED_DY_CLOSE	P912-E0606|P912-E0607|P912-E0608|P912-E0609|P912-E0610|P912-E0611|P912-E0612|P912-E0613|P912-E0614|P912-E0615|P912-E0616|P912-E0617|P912-E0618|P912-E0619|P912-E0620|P912-E0621|P912-E0622|P912-E0623|P912-E0624|P912-E0625|P912-E0626|P912-E0627|P912-E0628|P912-E0629|P912-E0630|P912-E0631|P912-E0632|P912-E0633|P912-E0634|P912-E0635|P912-E0636|P912-E0637|P912-E0638|P912-E0639|P912-E0640|P912-E0641|P912-E0642|P912-E0643|P912-E0644|P912-E0645|P912-E0646|P912-E0647|P912-E0648|P912-E0649|P912-E0650|P912-E0651|P912-E0652|P912-E0653|P912-E0654|P912-E0655
P915-C056	f75r	f75r.25	großes Bad-/Stationsblatt mit dreieckiger Insel	3	shy dy qokeedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0656|P912-E0657|P912-E0658
P915-C057	f75r	f75r.25	großes Bad-/Stationsblatt mit dreieckiger Insel	1	lchedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0659
P915-C058	f75r	f75r.25|f75r.26|f75r.27	großes Bad-/Stationsblatt mit dreieckiger Insel	14	ram dain ol sheol dain ol qoly dar ajy pdalshor shtol qoty pshar shedy	Den inneren Posten portionsweise weiterführen, an der markierten Zielstelle einsetzen, kurz halten und danach aus der Quellstation in den nächsten Gang geben; absetzen lassen und schließen.	MANUAL_LONG_CLAUSE_REWRITE	LICENSED_DY_CLOSE	P912-E0660|P912-E0661|P912-E0662|P912-E0663|P912-E0664|P912-E0665|P912-E0666|P912-E0667|P912-E0668|P912-E0669|P912-E0670|P912-E0671|P912-E0672|P912-E0673
P915-C059	f75r	f75r.27	großes Bad-/Stationsblatt mit dreieckiger Insel	1	okaldy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0674
P915-C060	f75r	f75r.27	großes Bad-/Stationsblatt mit dreieckiger Insel	3	dar otar otody	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0675|P912-E0676|P912-E0677
P915-C061	f75r	f75r.27|f75r.28	großes Bad-/Stationsblatt mit dreieckiger Insel	4	dy rol tchedy pchedy	Auf dem großen Bad- und Stationsblatt in die Arbeitsstation geben, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0678|P912-E0679|P912-E0680|P912-E0681
P915-C062	f75r	f75r.28	großes Bad-/Stationsblatt mit dreieckiger Insel	7	qokeey sol oldair shecthy qol l sheedy	Auf dem großen Bad- und Stationsblatt länger halten und behandeln, über den sichtbaren Weg zur nächsten Station führen, bis zur Gebrauchsbereitschaft führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0682|P912-E0683|P912-E0684|P912-E0685|P912-E0686|P912-E0687|P912-E0688
P915-C063	f75r	f75r.28	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokeedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0689
P915-C064	f75r	f75r.28	großes Bad-/Stationsblatt mit dreieckiger Insel	1	lolchedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0690
P915-C065	f75r	f75r.29	großes Bad-/Stationsblatt mit dreieckiger Insel	10	dain chkal dy lo lkaiin ol okeedyqol dain olchey qokeedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, länger halten und behandeln, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0691|P912-E0692|P912-E0693|P912-E0694|P912-E0695|P912-E0696|P912-E0697|P912-E0698|P912-E0699|P912-E0700
P915-C066	f75r	f75r.29|f75r.30	großes Bad-/Stationsblatt mit dreieckiger Insel	14	chedy qotan qo dain cheeky qokey qokain cheky qokal dain chedy o kalol shedy	Den Posten zur nächsten Station umsetzen, eine Portion länger behandeln, kurz an der Zielstelle ansetzen und weiterführen; danach absetzen lassen und schließen.	MANUAL_LONG_CLAUSE_REWRITE	LICENSED_DY_CLOSE	P912-E0701|P912-E0702|P912-E0703|P912-E0704|P912-E0705|P912-E0706|P912-E0707|P912-E0708|P912-E0709|P912-E0710|P912-E0711|P912-E0712|P912-E0713|P912-E0714
P915-C067	f75r	f75r.30|f75r.31	großes Bad-/Stationsblatt mit dreieckiger Insel	3	okar olom dshedy	Auf dem großen Bad- und Stationsblatt kurz halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0715|P912-E0716|P912-E0717
P915-C068	f75r	f75r.31	großes Bad-/Stationsblatt mit dreieckiger Insel	4	qokey chckhy qokar shedy	Auf dem großen Bad- und Stationsblatt durch den angeschlossenen Durchlass geben, absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0718|P912-E0719|P912-E0720|P912-E0721
P915-C069	f75r	f75r.31	großes Bad-/Stationsblatt mit dreieckiger Insel	3	chey qoked qokedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0722|P912-E0723|P912-E0724
P915-C070	f75r	f75r.31	großes Bad-/Stationsblatt mit dreieckiger Insel	1	daldy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0725
P915-C071	f75r	f75r.32	großes Bad-/Stationsblatt mit dreieckiger Insel	3	polshy dal shedy	Auf dem großen Bad- und Stationsblatt in die Arbeitsstation geben, halten und behandeln, absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0726|P912-E0727|P912-E0728
P915-C072	f75r	f75r.32	großes Bad-/Stationsblatt mit dreieckiger Insel	3	qokain dar chsdy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0729|P912-E0730|P912-E0731
P915-C073	f75r	f75r.32	großes Bad-/Stationsblatt mit dreieckiger Insel	1	shedy	Auf dem großen Bad- und Stationsblatt absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0732
P915-C074	f75r	f75r.32	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qotar shedy	Auf dem großen Bad- und Stationsblatt absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0733|P912-E0734
P915-C075	f75r	f75r.32	großes Bad-/Stationsblatt mit dreieckiger Insel	1	ldy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0735
P915-C076	f75r	f75r.33	großes Bad-/Stationsblatt mit dreieckiger Insel	3	qokeey l shedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen, absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0736|P912-E0737|P912-E0738
P915-C077	f75r	f75r.33	großes Bad-/Stationsblatt mit dreieckiger Insel	5	qo l chedy qokain chcthedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, über den sichtbaren Weg zur nächsten Station führen, bis zur Gebrauchsbereitschaft führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0739|P912-E0740|P912-E0741|P912-E0742|P912-E0743
P915-C078	f75r	f75r.33	großes Bad-/Stationsblatt mit dreieckiger Insel	1	ltedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0744
P915-C079	f75r	f75r.33|f75r.34	großes Bad-/Stationsblatt mit dreieckiger Insel	3	darom s olkedy	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, im Empfangsbecken auffangen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0745|P912-E0746|P912-E0747
P915-C080	f75r	f75r.34	großes Bad-/Stationsblatt mit dreieckiger Insel	8	okal dar oty okar otar ol kain oltedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0748|P912-E0749|P912-E0750|P912-E0751|P912-E0752|P912-E0753|P912-E0754|P912-E0755
P915-C081	f75r	f75r.35	großes Bad-/Stationsblatt mit dreieckiger Insel	6	qokain sheety qokain dar dar shedy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, länger halten und behandeln, absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0756|P912-E0757|P912-E0758|P912-E0759|P912-E0760|P912-E0761
P915-C082	f75r	f75r.35	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qokain oldy	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0762|P912-E0763
P915-C083	f75r	f75r.36	großes Bad-/Stationsblatt mit dreieckiger Insel	2	sol keedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0764|P912-E0765
P915-C084	f75r	f75r.36	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokeedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0766
P915-C085	f75r	f75r.36	großes Bad-/Stationsblatt mit dreieckiger Insel	4	qokey okar otar dardardy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0767|P912-E0768|P912-E0769|P912-E0770
P915-C086	f75r	f75r.37	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0771
P915-C087	f75r	f75r.37	großes Bad-/Stationsblatt mit dreieckiger Insel	3	dy sheety qokedy	Auf dem großen Bad- und Stationsblatt länger halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0772|P912-E0773|P912-E0774
P915-C088	f75r	f75r.37	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokeedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0775
P915-C089	f75r	f75r.37	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokechdy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0776
P915-C090	f75r	f75r.37|f75r.38	großes Bad-/Stationsblatt mit dreieckiger Insel	2	lol qokeedy	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0777|P912-E0778
P915-C091	f75r	f75r.38	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokeedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0779
P915-C092	f75r	f75r.38	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokedy	Auf dem großen Bad- und Stationsblatt den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	LICENSED_DY_CLOSE	P912-E0780
