event_id	clause_id	physical_page	locus	position_in_clause	surface	component_recipe	reconciled_card_reading_de	natural_event_phrase_de
P912-E0481	P915-C022	f75r	f75r.5	8	olsheedy	OL+SH+EE+DY	FORTSETZEN · HALTEN · LÄNGER · SCHLUSS	länger den Teilgang fortsetzen, dann den Posten halten, dann den Teilgang abschließen
P912-E0482	P915-C023	f75r	f75r.5	1	qokeey	OK+EE+Y	AN STATION SETZEN · LÄNGER · POSTEN	länger den aktuellen Posten beibehalten
P912-E0483	P915-C023	f75r	f75r.5	2	qoky	OK+Y	AN STATION SETZEN · POSTEN	den aktuellen Posten beibehalten
P912-E0484	P915-C023	f75r	f75r.6	3	pcheykeeor	P+Y+K+EE+OR	EINSETZEN · POSTEN · IN STATION GEBEN · LÄNGER · ANSATZ	länger den Posten einsetzen
P912-E0485	P915-C023	f75r	f75r.6	4	olky	SOLK+Y	AUFFANGEN · POSTEN	den Posten auffangen
P912-E0486	P915-C023	f75r	f75r.6	5	dar	D_ADDR+AR	TEIL · QUELLSTATION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0487	P915-C023	f75r	f75r.6	6	okey	OK+E+Y	AN STATION SETZEN · KURZ · POSTEN	kurz den aktuellen Posten beibehalten
P912-E0488	P915-C023	f75r	f75r.6	7	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0489	P915-C023	f75r	f75r.6	8	chcthy	CH+CTH+Y	AUS STATION NEHMEN · BEREIT · POSTEN	den Posten gebrauchsfertig machen
P912-E0490	P915-C023	f75r	f75r.6	9	qokeedy	OK+EE+DY	AN STATION SETZEN · LÄNGER · SCHLUSS	länger den Teilgang abschließen
P912-E0491	P915-C024	f75r	f75r.6	1	qoky	OK+Y	AN STATION SETZEN · POSTEN	den aktuellen Posten beibehalten
P912-E0492	P915-C024	f75r	f75r.7	2	pchedy	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLUSS	den Posten einsetzen, dann den Posten umsetzen, dann den Teilgang abschließen
P912-E0493	P915-C025	f75r	f75r.7	1	qokshdy	OK+SH+DY	AN STATION SETZEN · HALTEN · SCHLUSS	den Posten halten, dann den Teilgang abschließen
P912-E0494	P915-C026	f75r	f75r.7	1	ytain	Y+T+AIN	POSTEN · STELLEN · PORTION	die Stufe einstellen mit dem Teilposten
P912-E0495	P915-C026	f75r	f75r.7	2	chedy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen
P912-E0496	P915-C026	f75r	f75r.7	3	qokar	OK+AR	AN STATION SETZEN · QUELLSTATION	die bezeichnete Einstellung übernehmen
P912-E0497	P915-C026	f75r	f75r.7	4	chy	Y	POSTEN	POSTEN verwenden
P912-E0498	P915-C026	f75r	f75r.7	5	lol	L+OL	LEITEN · FORTSETZEN	den Posten weiterleiten, dann den Teilgang fortsetzen
P912-E0499	P915-C026	f75r	f75r.7	6	chedy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen
P912-E0500	P915-C026	f75r	f75r.7	7	qoky	OK+Y	AN STATION SETZEN · POSTEN	den aktuellen Posten beibehalten
P912-E0501	P915-C026	f75r	f75r.8	8	sor	S+OR	AUSWÄHLEN · ANSATZ	die bezeichnete Station auswählen
P912-E0502	P915-C026	f75r	f75r.8	9	chey	Y	POSTEN	POSTEN verwenden
P912-E0503	P915-C026	f75r	f75r.8	10	qokardy	OK+AR+DY	AN STATION SETZEN · QUELLSTATION · SCHLUSS	den Teilgang abschließen
P912-E0504	P915-C027	f75r	f75r.8	1	dsheckhy	D_ADDR+SH+E+CKH+Y	TEIL · HALTEN · KURZ · DURCHLASS · POSTEN	kurz den Posten halten mit dem Teilposten
P912-E0505	P915-C027	f75r	f75r.8	2	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0506	P915-C027	f75r	f75r.8	3	chckhy	CKH+Y	DURCHLASS · POSTEN	den Posten durch den sichtbaren Durchlass führen
P912-E0507	P915-C027	f75r	f75r.8	4	lshedy	LSH+E+DY	SPÜLEN · KURZ · SCHLUSS	kurz die Station spülen, dann den Teilgang abschließen
P912-E0508	P915-C028	f75r	f75r.8	1	okeedy	OK+EE+DY	AN STATION SETZEN · LÄNGER · SCHLUSS	länger den Teilgang abschließen
P912-E0509	P915-C029	f75r	f75r.9	1	qokchdy	OK+CHD+DY	AN STATION SETZEN · UMSETZEN · SCHLUSS	den Posten umsetzen, dann den Teilgang abschließen
P912-E0510	P915-C030	f75r	f75r.9	1	chcthy	CH+CTH+Y	AUS STATION NEHMEN · BEREIT · POSTEN	den Posten gebrauchsfertig machen
P912-E0511	P915-C030	f75r	f75r.9	2	lo	L+O	LEITEN · AUSFÜHREN	den Posten weiterleiten, dann den Stationsgang ausführen
P912-E0512	P915-C030	f75r	f75r.9	3	qokedy	OK+E+DY	AN STATION SETZEN · KURZ · SCHLUSS	kurz den Teilgang abschließen
P912-E0513	P915-C031	f75r	f75r.9	1	qokan	OK+AN	AN STATION SETZEN · ZUSATZ	die bezeichnete Einstellung übernehmen
P912-E0514	P915-C031	f75r	f75r.9	2	checkhy	CH+E+CKH+Y	AUS STATION NEHMEN · KURZ · DURCHLASS · POSTEN	kurz den Posten durch den sichtbaren Durchlass führen
P912-E0515	P915-C031	f75r	f75r.9	3	qokar	OK+AR	AN STATION SETZEN · QUELLSTATION	die bezeichnete Einstellung übernehmen
P912-E0516	P915-C031	f75r	f75r.9	4	olchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	den Teilgang fortsetzen, dann den Posten umsetzen, dann den Teilgang abschließen
P912-E0517	P915-C032	f75r	f75r.9	1	sal	S+AL	AUSWÄHLEN · ZIELSTATION	die bezeichnete Station auswählen
P912-E0518	P915-C032	f75r	f75r.10	2	dshor	D_ADDR+SH+OR	TEIL · HALTEN · ANSATZ	den Posten halten mit dem Teilposten
P912-E0519	P915-C032	f75r	f75r.10	3	qotar	OT+AR	DANACH · QUELLSTATION	zum nächsten Teilgang gehen
P912-E0520	P915-C032	f75r	f75r.10	4	chdy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen
P912-E0521	P915-C032	f75r	f75r.10	5	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0522	P915-C032	f75r	f75r.10	6	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0523	P915-C032	f75r	f75r.10	7	chckhy	CKH+Y	DURCHLASS · POSTEN	den Posten durch den sichtbaren Durchlass führen
P912-E0524	P915-C032	f75r	f75r.10	8	dy	Y	POSTEN	POSTEN verwenden
P912-E0525	P915-C032	f75r	f75r.10	9	otey	OT+E+Y	DANACH · KURZ · POSTEN	kurz zum nächsten Teilgang gehen
P912-E0526	P915-C032	f75r	f75r.10	10	tedy	T+E+DY	STELLEN · KURZ · SCHLUSS	kurz die Stufe einstellen, dann den Teilgang abschließen
P912-E0527	P915-C033	f75r	f75r.10	1	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	den Posten weiterleiten, dann den Posten umsetzen, dann den Teilgang abschließen
P912-E0528	P915-C034	f75r	f75r.11	1	qokeedy	OK+EE+DY	AN STATION SETZEN · LÄNGER · SCHLUSS	länger den Teilgang abschließen
P912-E0529	P915-C035	f75r	f75r.11	1	qokair	OK+AIR	AN STATION SETZEN · BECKENLAUF	die bezeichnete Einstellung übernehmen
P912-E0530	P915-C035	f75r	f75r.11	2	oly	OL+Y	FORTSETZEN · POSTEN	den Teilgang fortsetzen
P912-E0531	P915-C035	f75r	f75r.11	3	qokeedy	OK+EE+DY	AN STATION SETZEN · LÄNGER · SCHLUSS	länger den Teilgang abschließen
P912-E0532	P915-C036	f75r	f75r.11	1	dy	Y	POSTEN	POSTEN verwenden
P912-E0533	P915-C036	f75r	f75r.11	2	qokal	OK+AL	AN STATION SETZEN · ZIELSTATION	die bezeichnete Einstellung übernehmen
P912-E0534	P915-C036	f75r	f75r.11	3	okar	OK+AR	AN STATION SETZEN · QUELLSTATION	die bezeichnete Einstellung übernehmen
P912-E0535	P915-C036	f75r	f75r.11	4	shedy	SHED+DY	ABSETZEN · SCHLUSS	den Posten absetzen lassen, dann den Teilgang abschließen
P912-E0536	P915-C037	f75r	f75r.11	1	dor	D_ADDR+OR	TEIL · ANSATZ	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0537	P915-C037	f75r	f75r.11	2	chekam	CHK+AM_ADDR	BEHANDELN · INNEN	den Posten behandeln im inneren Becken
P912-E0538	P915-C037	f75r	f75r.12	3	ssheckhy	S+SH+E+CKH+Y	AUSWÄHLEN · HALTEN · KURZ · DURCHLASS · POSTEN	kurz die bezeichnete Station auswählen, dann den Posten halten
P912-E0539	P915-C037	f75r	f75r.12	4	qokal	OK+AL	AN STATION SETZEN · ZIELSTATION	die bezeichnete Einstellung übernehmen
P912-E0540	P915-C037	f75r	f75r.12	5	oly	OL+Y	FORTSETZEN · POSTEN	den Teilgang fortsetzen
P912-E0541	P915-C037	f75r	f75r.12	6	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0542	P915-C037	f75r	f75r.12	7	r	R	MERKEN	den Zustand merken
P912-E0543	P915-C037	f75r	f75r.12	8	ol	OL	FORTSETZEN	FORTSETZEN verwenden
P912-E0544	P915-C037	f75r	f75r.12	9	cheey	SH+EE+Y	HALTEN · LÄNGER · POSTEN	länger den Posten halten
P912-E0545	P915-C037	f75r	f75r.12	10	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0546	P915-C037	f75r	f75r.12	11	dy	Y	POSTEN	POSTEN verwenden
P912-E0547	P915-C037	f75r	f75r.12	12	olshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	kurz den Teilgang fortsetzen, dann den Posten halten, dann den Teilgang abschließen
P912-E0548	P915-C038	f75r	f75r.12	1	qoky	OK+Y	AN STATION SETZEN · POSTEN	den aktuellen Posten beibehalten
P912-E0549	P915-C038	f75r	f75r.13	2	pchedy	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLUSS	den Posten einsetzen, dann den Posten umsetzen, dann den Teilgang abschließen
P912-E0550	P915-C039	f75r	f75r.13	1	keedy	K+EE+DY	IN STATION GEBEN · LÄNGER · SCHLUSS	länger den Teilgang abschließen
P912-E0551	P915-C040	f75r	f75r.13	1	qokedy	OK+E+DY	AN STATION SETZEN · KURZ · SCHLUSS	kurz den Teilgang abschließen
P912-E0552	P915-C041	f75r	f75r.13	1	qokedy	OK+E+DY	AN STATION SETZEN · KURZ · SCHLUSS	kurz den Teilgang abschließen
P912-E0553	P915-C042	f75r	f75r.13	1	qokedy	OK+E+DY	AN STATION SETZEN · KURZ · SCHLUSS	kurz den Teilgang abschließen
P912-E0554	P915-C043	f75r	f75r.13	1	qokedy	OK+E+DY	AN STATION SETZEN · KURZ · SCHLUSS	kurz den Teilgang abschließen
P912-E0555	P915-C044	f75r	f75r.13	1	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0556	P915-C044	f75r	f75r.13	2	olshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	kurz den Teilgang fortsetzen, dann den Posten halten, dann den Teilgang abschließen
P912-E0557	P915-C045	f75r	f75r.14	1	sain	S+AIN	AUSWÄHLEN · PORTION	die bezeichnete Station auswählen mit dem Teilposten
P912-E0558	P915-C045	f75r	f75r.14	2	al	AL	ZIELSTATION	ZIELSTATION verwenden
P912-E0559	P915-C045	f75r	f75r.14	3	keishy	K+E+SH+Y	IN STATION GEBEN · KURZ · HALTEN · POSTEN	kurz den Posten halten
P912-E0560	P915-C045	f75r	f75r.14	4	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0561	P915-C045	f75r	f75r.14	5	dy	Y	POSTEN	POSTEN verwenden
P912-E0562	P915-C045	f75r	f75r.14	6	olshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	kurz den Teilgang fortsetzen, dann den Posten halten, dann den Teilgang abschließen
P912-E0563	P915-C046	f75r	f75r.14	1	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0564	P915-C046	f75r	f75r.14	2	chckhy	CKH+Y	DURCHLASS · POSTEN	den Posten durch den sichtbaren Durchlass führen
P912-E0565	P915-C046	f75r	f75r.14	3	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0566	P915-C046	f75r	f75r.14	4	otar	OT+AR	DANACH · QUELLSTATION	zum nächsten Teilgang gehen
P912-E0567	P915-C046	f75r	f75r.14	5	aly	AL+Y	ZIELSTATION · POSTEN	den aktuellen Posten beibehalten
P912-E0568	P915-C046	f75r	f75r.15	6	sain	S+AIN	AUSWÄHLEN · PORTION	die bezeichnete Station auswählen mit dem Teilposten
P912-E0569	P915-C046	f75r	f75r.15	7	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0570	P915-C046	f75r	f75r.15	8	qolkeeoly	SOLK+EE+OL+Y	AUFFANGEN · LÄNGER · FORTSETZEN · POSTEN	länger den Posten auffangen, dann den Teilgang fortsetzen
P912-E0571	P915-C046	f75r	f75r.15	9	saiin	S+AIIN	AUSWÄHLEN · STATIONSWERT	die bezeichnete Station auswählen
P912-E0572	P915-C046	f75r	f75r.15	10	chedy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen
P912-E0573	P915-C046	f75r	f75r.15	11	sol	OL	FORTSETZEN	FORTSETZEN verwenden
P912-E0574	P915-C046	f75r	f75r.15	12	or	OR	ANSATZ	den laufenden Ansatz verwenden
P912-E0575	P915-C046	f75r	f75r.15	13	shedy	SHED+DY	ABSETZEN · SCHLUSS	den Posten absetzen lassen, dann den Teilgang abschließen
P912-E0576	P915-C047	f75r	f75r.15	1	okchdy	OK+CHD+DY	AN STATION SETZEN · UMSETZEN · SCHLUSS	den Posten umsetzen, dann den Teilgang abschließen
P912-E0577	P915-C048	f75r	f75r.15	1	qoky	OK+Y	AN STATION SETZEN · POSTEN	den aktuellen Posten beibehalten
P912-E0578	P915-C048	f75r	f75r.16	2	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	kurz den Posten halten, dann den Teilgang abschließen
P912-E0579	P915-C049	f75r	f75r.16	1	qokar	OK+AR	AN STATION SETZEN · QUELLSTATION	die bezeichnete Einstellung übernehmen
P912-E0580	P915-C049	f75r	f75r.16	2	sheedy	SH+EE+DY	HALTEN · LÄNGER · SCHLUSS	länger den Posten halten, dann den Teilgang abschließen
P912-E0581	P915-C050	f75r	f75r.16	1	lch	L+CH	LEITEN · AUS STATION NEHMEN	den Posten weiterleiten
P912-E0582	P915-C050	f75r	f75r.16	2	shokain	SH+OK+AIN	HALTEN · AN STATION SETZEN · PORTION	den Posten halten mit dem Teilposten
P912-E0583	P915-C050	f75r	f75r.16	3	chy	Y	POSTEN	POSTEN verwenden
P912-E0584	P915-C050	f75r	f75r.16	4	okshedy	OK+SH+E+DY	AN STATION SETZEN · HALTEN · KURZ · SCHLUSS	kurz den Posten halten, dann den Teilgang abschließen
P912-E0585	P915-C051	f75r	f75r.16	1	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0586	P915-C051	f75r	f75r.16	2	chedy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen
P912-E0587	P915-C051	f75r	f75r.17	3	pchedar	P+CHD+AR	EINSETZEN · UMSETZEN · QUELLSTATION	den Posten einsetzen, dann den Posten umsetzen
P912-E0588	P915-C051	f75r	f75r.17	4	shepchy	SH+E+P+Y	HALTEN · KURZ · EINSETZEN · POSTEN	kurz den Posten halten, dann den Posten einsetzen
P912-E0589	P915-C051	f75r	f75r.17	5	lshedary	L+SH+E+D_ADDR+AR+Y	LEITEN · HALTEN · KURZ · TEIL · QUELLSTATION · POSTEN	kurz den Posten weiterleiten mit dem Teilposten, dann den Posten halten
P912-E0590	P915-C051	f75r	f75r.17	6	dal	AL	ZIELSTATION	ZIELSTATION verwenden
P912-E0591	P915-C051	f75r	f75r.17	7	shal	SH+AL	HALTEN · ZIELSTATION	den Posten halten
P912-E0592	P915-C051	f75r	f75r.17	8	shy	Y	POSTEN	POSTEN verwenden
P912-E0593	P915-C051	f75r	f75r.17	9	kol	K+OL	IN STATION GEBEN · FORTSETZEN	den Teilgang fortsetzen
P912-E0594	P915-C051	f75r	f75r.17	10	shedy	SHED+DY	ABSETZEN · SCHLUSS	den Posten absetzen lassen, dann den Teilgang abschließen
P912-E0595	P915-C052	f75r	f75r.17	1	qokam	OK+AM_ADDR	AN STATION SETZEN · INNEN	die bezeichnete Einstellung übernehmen im inneren Becken
P912-E0596	P915-C052	f75r	f75r.18	2	sol	OL	FORTSETZEN	FORTSETZEN verwenden
P912-E0597	P915-C052	f75r	f75r.18	3	sheedy	SH+EE+DY	HALTEN · LÄNGER · SCHLUSS	länger den Posten halten, dann den Teilgang abschließen
P912-E0598	P915-C053	f75r	f75r.18	1	qol	OL	FORTSETZEN	FORTSETZEN verwenden
P912-E0599	P915-C053	f75r	f75r.18	2	shedy	SHED+DY	ABSETZEN · SCHLUSS	den Posten absetzen lassen, dann den Teilgang abschließen
P912-E0600	P915-C054	f75r	f75r.18	1	qol	OL	FORTSETZEN	FORTSETZEN verwenden
P912-E0601	P915-C054	f75r	f75r.18	2	otain	OT+AIN	DANACH · PORTION	zum nächsten Teilgang gehen mit dem Teilposten
P912-E0602	P915-C054	f75r	f75r.18	3	char	AR	QUELLSTATION	QUELLSTATION verwenden
P912-E0603	P915-C054	f75r	f75r.18	4	sar	S+AR	AUSWÄHLEN · QUELLSTATION	die bezeichnete Station auswählen
P912-E0604	P915-C054	f75r	f75r.18	5	oly	OL+Y	FORTSETZEN · POSTEN	den Teilgang fortsetzen
P912-E0605	P915-C054	f75r	f75r.19	6	qokshedy	OK+SH+E+DY	AN STATION SETZEN · HALTEN · KURZ · SCHLUSS	kurz den Posten halten, dann den Teilgang abschließen
P912-E0606	P915-C055	f75r	f75r.19	1	qol	OL	FORTSETZEN	FORTSETZEN verwenden
P912-E0607	P915-C055	f75r	f75r.19	2	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0608	P915-C055	f75r	f75r.19	3	qoky	OK+Y	AN STATION SETZEN · POSTEN	den aktuellen Posten beibehalten
P912-E0609	P915-C055	f75r	f75r.19	4	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0610	P915-C055	f75r	f75r.19	5	ey	E+Y	KURZ · POSTEN	kurz den aktuellen Posten beibehalten
P912-E0611	P915-C055	f75r	f75r.19	6	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0612	P915-C055	f75r	f75r.19	7	ar	AR	QUELLSTATION	QUELLSTATION verwenden
P912-E0613	P915-C055	f75r	f75r.20	8	ry	R+Y	MERKEN · POSTEN	den Zustand markieren
P912-E0614	P915-C055	f75r	f75r.20	9	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0615	P915-C055	f75r	f75r.20	10	qor	OR	ANSATZ	den laufenden Ansatz verwenden
P912-E0616	P915-C055	f75r	f75r.20	11	chey	Y	POSTEN	POSTEN verwenden
P912-E0617	P915-C055	f75r	f75r.20	12	lchey	L+Y	LEITEN · POSTEN	den Posten weiterleiten
P912-E0618	P915-C055	f75r	f75r.20	13	lo	L+O	LEITEN · AUSFÜHREN	den Posten weiterleiten, dann den Stationsgang ausführen
P912-E0619	P915-C055	f75r	f75r.20	14	ydain	Y+AIN	POSTEN · PORTION	den aktuellen Posten beibehalten mit dem Teilposten
P912-E0620	P915-C055	f75r	f75r.20	15	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0621	P915-C055	f75r	f75r.20	16	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0622	P915-C055	f75r	f75r.21	17	oqokain	O+OK+AIN	AUSFÜHREN · AN STATION SETZEN · PORTION	den Stationsgang ausführen mit dem Teilposten
P912-E0623	P915-C055	f75r	f75r.21	18	chey	Y	POSTEN	POSTEN verwenden
P912-E0624	P915-C055	f75r	f75r.21	19	qckhsy	CKH+Y	DURCHLASS · POSTEN	den Posten durch den sichtbaren Durchlass führen
P912-E0625	P915-C055	f75r	f75r.21	20	or	OR	ANSATZ	den laufenden Ansatz verwenden
P912-E0626	P915-C055	f75r	f75r.21	21	ysheor	Y+SH+E+OR	POSTEN · HALTEN · KURZ · ANSATZ	kurz den Posten halten
P912-E0627	P915-C055	f75r	f75r.21	22	ol	OL	FORTSETZEN	FORTSETZEN verwenden
P912-E0628	P915-C055	f75r	f75r.21	23	lor	L+OR	LEITEN · ANSATZ	den Posten weiterleiten
P912-E0629	P915-C055	f75r	f75r.21	24	am	AM_ADDR	INNEN	INNEN verwenden
P912-E0630	P915-C055	f75r	f75r.22	25	odar	O+D_ADDR+AR	AUSFÜHREN · TEIL · QUELLSTATION	den Stationsgang ausführen mit dem Teilposten
P912-E0631	P915-C055	f75r	f75r.22	26	shey	SH+E+Y	HALTEN · KURZ · POSTEN	kurz den Posten halten
P912-E0632	P915-C055	f75r	f75r.22	27	qokain	OK+AIN	AN STATION SETZEN · PORTION	die bezeichnete Einstellung übernehmen mit dem Teilposten
P912-E0633	P915-C055	f75r	f75r.22	28	chedy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen
