semantic_family	component_recipe	working_reading_de	exact_card_subfamilies	exact_card_ids	events
SEM088	T+E+Y	EINTRAGEN · KURZ · DIES	1	PROC090	1
SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	1	PROC092	7
SEM090	E+OL	KURZ · FORTSETZEN	1	PROC093	1
SEM091	L+Y	WEITERLEITEN · DIES	1	PROC095	1
SEM092	SH+E+OL	HALTEN · KURZ · FORTSETZEN	1	PROC096	1
SEM093	O+IIN	GANG · STUFE	1	PROC097	2
SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	1	PROC098	3
SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	1	PROC099	3
SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	1	PROC100	10
SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	1	PROC101	1
SEM098	L+CHD	WEITERLEITEN · UMSETZEN	1	PROC102	1
SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	1	PROC103	1
SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	1	PROC104	1
SEM101	SOLK+AIIN	AUFFANGEN · MASS	1	PROC105	1
SEM102	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	1	PROC106	1
SEM103	L+DY	WEITERLEITEN · SCHLUSS	1	PROC108	2
SEM104	OT+EE+Y	DANACH · LANG · DIES	1	PROC109	2
SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	PROC110	1
SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	1	PROC111	1
SEM107	OT+AIIN	DANACH · MASS	1	PROC112	3
SEM108	OK+AR	ANSETZEN · QUELLE	1	PROC113	1
SEM109	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	1	PROC114	1
SEM110	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	1	PROC116	1
SEM111	CTH+E+Y	BEREIT · KURZ · DIES	1	PROC117	2
SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	1	PROC118	1
SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	1	PROC119	1
SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	1	PROC120	8
SEM115	L+AR	WEITERLEITEN · QUELLE	1	PROC121	1
SEM116	SH+E+Y	HALTEN · KURZ · DIES	1	PROC122	1
SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	1	PROC123	1
SEM118	CH+E+S	ABNEHMEN · KURZ · TEILEN	1	PROC124	1
SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	1	PROC125	1
SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	1	PROC126	1
SEM121	AL+DY	ZIEL · SCHLUSS	1	PROC127	1
SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	1	PROC128	1
SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	1	PROC129	2
SEM124	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	1	PROC130	1
SEM125	OT+AL	DANACH · ZIEL	1	PROC131	3
SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	1	PROC132	1
SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	1	PROC134	1
SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	1	PROC135	2
SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	1	PROC136	1
SEM130	AR+Y	QUELLE · DIES	1	PROC137	1
SEM131	OK+AIR	ANSETZEN · LAUF	1	PROC138	1
SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	1	PROC139	1
SEM133	L+O	WEITERLEITEN · GANG	1	PROC140	1
SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	PROC141	1
SEM135	SHED+AL	ABSETZEN · ZIEL	1	PROC142	2
SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	1	PROC143	1
SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	1	PROC144	1
SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	2	PROC145|PROC166	3
SEM139	EE+AR	LANG · QUELLE	1	PROC146	1
SEM140	L+AIIN	WEITERLEITEN · MASS	1	PROC147	1
SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	1	PROC148	1
SEM142	EEE+T+Y	VOLL · EINTRAGEN · DIES	1	PROC149	1
SEM143	CHD+AIR	UMSETZEN · LAUF	1	PROC150	1
SEM144	CHD+AIN	UMSETZEN · PORTION	1	PROC151	1
SEM145	OT+E+AIIN	DANACH · KURZ · MASS	1	PROC152	1
SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	1	PROC153	1
SEM147	OL+Y	FORTSETZEN · DIES	1	PROC154	1
SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	1	PROC155	1
SEM149	AIN	PORTION	1	PROC156	2
SEM150	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	1	PROC158	1
SEM151	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	1	PROC159	1
SEM152	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	1	PROC161	1
SEM153	AIR+Y+DY	LAUF · DIES · SCHLUSS	1	PROC162	1
SEM154	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	1	PROC163	1
SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	1	PROC164	1
SEM156	K+AR	ZUDOSIEREN · QUELLE	1	PROC165	1
SEM157	L+OL	WEITERLEITEN · FORTSETZEN	1	PROC167	1
SEM158	CHD+AL	UMSETZEN · ZIEL	1	PROC168	1
SEM159	DA+IIN	ZWEIT · STUFE	1	PROC169	1
SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	1	PROC170	1
SEM161	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	1	PROC171	1
SEM162	R+AL+Y	KUEHLEN · ZIEL · DIES	1	PROC172	1
SEM163	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	1	PROC173	1
