exact_card_id	semantic_family	component_recipe	working_reading_de	registered_surfaces	events
PROC066	SEM064	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	keol	1
PROC067	SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	qokedy	8
PROC068	SEM066	K+AIR	ZUDOSIEREN · LAUF	kair	1
PROC069	SEM067	K+AIN	ZUDOSIEREN · PORTION	chkain|kain	3
PROC070	SEM068	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	olkain|qolkain	2
PROC071	SEM069	R+OL	KUEHLEN · FORTSETZEN	rol	1
PROC072	SEM070	L	WEITERLEITEN	dl	2
PROC073	SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	sheckhal	1
PROC074	SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	qokeedal	1
PROC075	SEM073	CKH+Y	DURCHLASS · DIES	chckhy|shckhy	4
PROC076	SEM074	CHD+DY	UMSETZEN · SCHLUSS	dchedy|schedy|tchedy	4
PROC094	SEM074	CHD+DY	UMSETZEN · SCHLUSS	dchdy	1
PROC077	SEM075	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	sshkchdy	1
PROC078	SEM076	SHED+DY	ABSETZEN · SCHLUSS	cheedy|shedy|tedy	12
PROC079	SEM077	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	olchedy|qolchedy	3
PROC080	SEM078	OK+AIN	ANSETZEN · PORTION	okain|qokain	7
PROC081	SEM079	R+AL	KUEHLEN · ZIEL	ral	1
PROC082	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	qokchdy	3
PROC091	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	okchedy|qokchedy	2
PROC083	SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	cheky	3
PROC084	SEM082	LSH+O	WASCHEN · GANG	lsho	1
PROC085	SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	okey|qokey	2
PROC086	SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	lshedy	2
PROC087	SEM085	SOLK+Y	AUFFANGEN · DIES	qolky	1
PROC088	SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	lchedal	1
PROC089	SEM087	OT+AR	DANACH · QUELLE	otar	1
PROC090	SEM088	T+E+Y	EINTRAGEN · KURZ · DIES	ytey	1
PROC092	SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	okeey|qokeey	7
PROC093	SEM090	E+OL	KURZ · FORTSETZEN	teol	1
PROC095	SEM091	L+Y	WEITERLEITEN · DIES	ly	1
PROC096	SEM092	SH+E+OL	HALTEN · KURZ · FORTSETZEN	dsheol	1
PROC097	SEM093	O+IIN	GANG · STUFE	oiiin|soiiin	2
PROC098	SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	olkeedy|solkeedy	3
PROC099	SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	shckhedy	3
PROC100	SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	qokeedy	10
PROC101	SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	lcheckhy	1
PROC102	SEM098	L+CHD	WEITERLEITEN · UMSETZEN	lched	1
PROC103	SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	lcheckhedy	1
PROC104	SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	qokaly	1
PROC105	SEM101	SOLK+AIIN	AUFFANGEN · MASS	solkaiin	1
PROC106	SEM102	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	octheol	1
PROC108	SEM103	L+DY	WEITERLEITEN · SCHLUSS	ldy	2
PROC109	SEM104	OT+EE+Y	DANACH · LANG · DIES	oteey	2
PROC110	SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	sheckhy	1
PROC111	SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	dshedy	1
PROC112	SEM107	OT+AIIN	DANACH · MASS	otaiin|sotaiin	3
PROC113	SEM108	OK+AR	ANSETZEN · QUELLE	qokar	1
PROC114	SEM109	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	solshedy	1
PROC116	SEM110	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	lchy	1
PROC117	SEM111	CTH+E+Y	BEREIT · KURZ · DIES	qcthey|shcthey	2
PROC118	SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	lcheey	1
PROC119	SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	qokeeedy	1
PROC120	SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	lchedy	8
PROC121	SEM115	L+AR	WEITERLEITEN · QUELLE	lar	1
PROC122	SEM116	SH+E+Y	HALTEN · KURZ · DIES	tshey	1
PROC123	SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	lchedar	1
PROC124	SEM118	CH+E+S	ABNEHMEN · KURZ · TEILEN	ches	1
PROC125	SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	pchedy	1
PROC126	SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	rsheal	1
PROC127	SEM121	AL+DY	ZIEL · SCHLUSS	daldy	1
PROC128	SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	rshedy	1
PROC129	SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	qoteedy	2
PROC130	SEM124	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	lochedy	1
PROC131	SEM125	OT+AL	DANACH · ZIEL	otal|qotal	3
PROC132	SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	chkeedy	1
PROC134	SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	pchedal	1
PROC135	SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	otedy	2
PROC136	SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	shecthedchy	1
PROC137	SEM130	AR+Y	QUELLE · DIES	chary	1
PROC138	SEM131	OK+AIR	ANSETZEN · LAUF	okair	1
PROC139	SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	sheedy	1
PROC140	SEM133	L+O	WEITERLEITEN · GANG	lo	1
PROC141	SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	qokshedy	1
PROC142	SEM135	SHED+AL	ABSETZEN · ZIEL	shedal	2
PROC143	SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	shecthy	1
PROC144	SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	dalchdy	1
PROC145	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	otchedy|qotchedy	2
PROC166	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	otchdy	1
PROC146	SEM139	EE+AR	LANG · QUELLE	cheedar	1
PROC147	SEM140	L+AIIN	WEITERLEITEN · MASS	chldaiin	1
PROC148	SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	chealror	1
PROC149	SEM142	EEE+T+Y	VOLL · EINTRAGEN · DIES	cheeety	1
PROC150	SEM143	CHD+AIR	UMSETZEN · LAUF	schedair	1
PROC151	SEM144	CHD+AIN	UMSETZEN · PORTION	chedain	1
PROC152	SEM145	OT+E+AIIN	DANACH · KURZ · MASS	qotedaiin	1
PROC153	SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	olsaly	1
PROC154	SEM147	OL+Y	FORTSETZEN · DIES	qolchey	1
PROC155	SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	qokylddy	1
PROC156	SEM149	AIN	PORTION	dain	2
PROC158	SEM150	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	okeeol	1
PROC159	SEM151	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	lkedy	1
PROC161	SEM152	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	qockhey	1
PROC162	SEM153	AIR+Y+DY	LAUF · DIES · SCHLUSS	dairydy	1
PROC163	SEM154	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	chckhal	1
PROC164	SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	solkey	1
PROC165	SEM156	K+AR	ZUDOSIEREN · QUELLE	skar	1
PROC167	SEM157	L+OL	WEITERLEITEN · FORTSETZEN	lol	1
PROC168	SEM158	CHD+AL	UMSETZEN · ZIEL	chdal	1
PROC169	SEM159	DA+IIN	ZWEIT · STUFE	daiiin	1
PROC170	SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	solkeey	1
PROC171	SEM161	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	qekey	1
PROC172	SEM162	R+AL+Y	KUEHLEN · ZIEL · DIES	raly	1
PROC173	SEM163	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	ldalor	1
