edition_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	surface	final_context_recipe	state_status	state_marker_sequence	gdt570_modifier_voice_clause_de	outer_voice_working_clause_de	owner_bound_control_clause_de	outer_voice_changed	state_atom_alignment	guard
26	G407-E0026	G407-S001	26	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	NONSTATE_CARD	NOT_APPLICABLE	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
27	G407-E0027	G407-S001	27	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
28	G407-E0028	G407-S001	28	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
29	G407-E0029	G407-S001	29	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
30	G407-E0030	G407-S001	30	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sy	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
31	G407-E0031	G407-S001	31	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	S+O+IIN	NONSTATE_CARD	NOT_APPLICABLE	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
32	G407-E0032	G407-S001	32	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	STATE_CARD	OT	Danach im laufenden Gang: wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang: wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	NO	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
33	G407-E0033	G407-S001	33	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	STATE_CARD	OT	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NO	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:S_ADDR=hier	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
34	G407-E0034	G407-S001	34	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	STATE_CARD	OL+OT	Weiter: kennzeichne den laufenden Eintrag; danach nächsten Gang eröffnen.	Weiter: kennzeichne den laufenden Eintrag; eröffne danach den nächsten Gang.	Weiter und danach kennzeichne den laufenden Eintrag.	YES	1:R=markieren | 2:OL=weiter | 3:OT=danach | 4:Y=den Posten	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
35	G407-E0035	G407-S001	35	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
36	G407-E0036	G407-S001	36	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daiin	AIIN	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang lege den Kennwert fest.	Im laufenden Gang lege den Kennwert fest.	Im laufenden Gang lege den Kennwert fest.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
37	G407-E0037	G407-S001	37	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okaiin	OK+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Trage den Kennwert ein.	Trage den Kennwert ein.	Trage den Kennwert ein.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
38	G407-E0038	G407-S001	38	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang trage die Eintragseinheit ein.	Im laufenden Gang trage die Eintragseinheit ein.	Im laufenden Gang trage die Eintragseinheit ein.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
39	G407-E0039	G407-S001	39	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okan	OK+AN	NONSTATE_CARD	NOT_APPLICABLE	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
40	G407-E0040	G407-S001	40	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sair	S+AIR	NONSTATE_CARD	NOT_APPLICABLE	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
41	G407-E0041	G407-S001	41	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
42	G407-E0042	G407-S001	42	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chear	CH+E+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
43	G407-E0043	G407-S001	43	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthaiin	CH+T+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert und lege den Kennwert fest.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
44	G407-E0044	G407-S001	44	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cphar	CH+P+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
45	G407-E0045	G407-S001	45	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cfhaiin	CH+LOCAL_CHAR_F+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert; an der bezeichneten Stelle.	Entnimm den Kennwert; an der bezeichneten Stelle.	Entnimm den Kennwert; an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
46	G407-E0046	G407-S001	46	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
47	G407-E0047	G407-S002	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	odar	O+D_ADDR+AR	NONSTATE_CARD	NOT_APPLICABLE	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
48	G407-E0048	G407-S002	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shol	SH+OL	STATE_CARD	OL	Weiter: halte fest.	Weiter: halte fest.	Weiter halte fest.	NO	1:SH=halten | 2:OL=weiter	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
49	G407-E0049	G407-S002	3	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cphoy	CH+P+O+Y	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
50	G407-E0050	G407-S002	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	oydar	O+Y+D_ADDR+AR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
51	G407-E0051	G407-S002	5	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	sh	SH	NONSTATE_CARD	NOT_APPLICABLE	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den laufenden Eintrag [wie zuvor] fest.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
52	G407-E0052	G407-S002	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	s	S	NONSTATE_CARD	NOT_APPLICABLE	Wähle den laufenden Eintrag [wie zuvor].	Wähle den laufenden Eintrag [wie zuvor].	Wähle den laufenden Eintrag [wie zuvor].	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
53	G407-E0053	G407-S002	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cfhoaiin	CH+LOCAL_CHAR_F+O+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	NO	NOT_APPLICABLE	COMPLETE_EVENT_ORDER__NONSTATE_TEXT_BYTE_UNCHANGED
