change_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	state_marker_sequence	entry_operator	follower_operator_sequence	before_clause_de	after_clause_de	change_reason	guard
11	G407-E0459	G407-S021	f17r	HERBAL	otchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm dieselbe Arbeitseinheit; weiterführen.	Danach: nimm dieselbe Arbeitseinheit; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
12	G407-E0513	G407-S024	f17r	HERBAL	otchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Pflanzenposten; weiterführen.	Danach: nimm denselben Pflanzenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
13	G407-E0530	G407-S026	f18r	HERBAL	otshol	OT+SH+OL	OT+OL	OT	OL	Danach: halte dieselbe Arbeitseinheit; weiterführen.	Danach: halte dieselbe Arbeitseinheit; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
14	G407-E0621	G407-S031	f24v	HERBAL	otol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: nimm dieselbe Arbeitseinheit; weiterführen.	Danach im laufenden Gang: nimm dieselbe Arbeitseinheit; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
15	G407-E0679	G407-S032	f24v	HERBAL	otolodal	OT+OL+O+D_ADDR+AL	OT+OL	OT	OL	Danach im laufenden Gang: halte dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle; zur Zielstelle; weiterführen.	Danach im laufenden Gang: halte dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle; zur Zielstelle; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
16	G407-E0689	G407-S032	f24v	HERBAL	otchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Pflanzenposten; weiterführen.	Danach: nimm denselben Pflanzenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
17	G407-E0694	G407-S033	f55v	HERBAL	otoldaiin	OT+OL+D_ADDR+AIIN	OT+OL	OT	OL	Danach im laufenden Gang: gib den Arbeitswert zu; an der bezeichneten Stelle; weiterführen.	Danach im laufenden Gang: gib den Arbeitswert zu; an der bezeichneten Stelle; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
18	G407-E0877	G407-S040	f56r	HERBAL	chotol	CH+OT+OL	OT+OL	OT	OL	Danach: nimm denselben Pflanzenposten; weiterführen.	Danach: nimm denselben Pflanzenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
19	G407-E0944	G407-S045	f67r2	CELESTIAL	olol	OL+OL	OL+OL	OL	OL	Weiter im laufenden Gang: wähle denselben Positionswert; nochmals weiterführen.	Weiter im laufenden Gang: wähle denselben Positionswert; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
20	G407-E0958	G407-S048	f67r2	CELESTIAL	otoldos	OT+OL+D_ADDR+O+S	OT+OL	OT	OL	Danach: wähle dieselbe Positionseinheit; an der bezeichneten Stelle; als Ausführung; weiterführen.	Danach: wähle dieselbe Positionseinheit; an der bezeichneten Stelle; als Ausführung; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
21	G407-E1354	G407-S077	f72r	CELESTIAL	ykeolol	Y+K+E+OL+OL	OL+OL	OL	OL	Weiter: ordne den Positionsposten zu; auf Grad I; nochmals weiterführen.	Weiter: ordne den Positionsposten zu; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
22	G407-E1375	G407-S077	f72r	CELESTIAL	oteol	OT+E+OL	OT+OL	OT	OL	Danach im laufenden Gang: wähle dieselbe Positionseinheit; auf Grad I; weiterführen.	Danach im laufenden Gang: wähle dieselbe Positionseinheit; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
23	G407-E1404	G407-S079	f72r	CELESTIAL	olol	OL+OL	OL+OL	OL	OL	Weiter im laufenden Gang: nimm denselben Positionswert auf; nochmals weiterführen.	Weiter im laufenden Gang: nimm denselben Positionswert auf; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
24	G407-E1406	G407-S079	f72r	CELESTIAL	oteol	OT+E+OL	OT+OL	OT	OL	Danach im laufenden Gang: nimm denselben Positionsposten auf; auf Grad I; weiterführen.	Danach im laufenden Gang: nimm denselben Positionsposten auf; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
25	G407-E1555	G407-S110	f75r	BIOLOGICAL	qolkeeoly	OL+K+EE+OL+Y	OL+OL	OL	OL	Weiter: führe den Stationsposten zu; auf Grad II; nochmals weiterführen.	Weiter: führe den Stationsposten zu; auf Grad II; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
26	G407-E1682	G407-S129	f75r	BIOLOGICAL	okeedyqol	OK+EE+DY+OL	DY+OL	NONE	DY+OL	Setze denselben Stationswert im Stationsgang an; auf Grad II; schließe den Schritt; danach weiterführen.	Setze denselben Stationswert im Stationsgang an; auf Grad II; schließe den Schritt; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
27	G407-E1830	G407-S192	f75r	BIOLOGICAL	otol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: halte denselben Stationsanteil; weiterführen.	Danach im laufenden Gang: halte denselben Stationsanteil; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
28	G407-E2198	G407-S265	f76r	BIOLOGICAL	olsheol	OL+K+E+OL	OL+OL	OL	OL	Weiter: führe denselben Stationsposten zu; auf Grad I; nochmals weiterführen.	Weiter: führe denselben Stationsposten zu; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
29	G407-E2345	G407-S295	f76r	BIOLOGICAL	rorol	L+OL+OL	OL+OL	OL	OL	Weiter im laufenden Gang: bearbeite denselben Stationsposten; über die sichtbare Verbindung; nochmals weiterführen.	Weiter im laufenden Gang: bearbeite denselben Stationsposten; über die sichtbare Verbindung; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
30	G407-E2449	G407-S331	f77r	BIOLOGICAL	qotol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: halte denselben Stationswert; weiterführen.	Danach im laufenden Gang: halte denselben Stationswert; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
31	G407-E2781	G407-S401	f81r	BIOLOGICAL	olsheol	OL+K+E+OL	OL+OL	OL	OL	Weiter: führe denselben Stationsposten zu; auf Grad I; nochmals weiterführen.	Weiter: führe denselben Stationsposten zu; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
32	G407-E2878	G407-S429	f81r	BIOLOGICAL	oteol	OT+E+OL	OT+OL	OT	OL	Danach im laufenden Gang: setze denselben Stationsposten im Stationsgang an; auf Grad I; weiterführen.	Danach im laufenden Gang: setze denselben Stationsposten im Stationsgang an; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
33	G407-E3167	G407-S490	f81v	BIOLOGICAL	olkeol	OL+K+E+OL	OL+OL	OL	OL	Weiter: führe denselben Stationsposten zu; auf Grad I; nochmals weiterführen.	Weiter: führe denselben Stationsposten zu; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
34	G407-E3262	G407-S510	f82r	BIOLOGICAL	lolol	L+OL+OL	OL+OL	OL	OL	Weiter im laufenden Gang: führe denselben Stationsposten zu; über die sichtbare Verbindung; nochmals weiterführen.	Weiter im laufenden Gang: führe denselben Stationsposten zu; über die sichtbare Verbindung; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
35	G407-E3272	G407-S513	f82r	BIOLOGICAL	solarol	S+OL+AR+OL	OL+OL	OL	OL	Weiter: wähle denselben Stationsposten; von der Ausgangsstation; nochmals weiterführen.	Weiter: wähle denselben Stationsposten; von der Ausgangsstation; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
36	G407-E3408	G407-S548	f82r	BIOLOGICAL	qoteeol	OT+EE+OL	OT+OL	OT	OL	Danach im laufenden Gang: stelle denselben Stationsposten ein; auf Grad II; weiterführen.	Danach im laufenden Gang: stelle denselben Stationsposten ein; auf Grad II; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
37	G407-E3847	G407-S649	f88r	PHARMA	otchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Drogenposten; weiterführen.	Danach: nimm denselben Drogenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
38	G407-E3995	G407-S659	f88v	PHARMA	otol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: gib denselben Drogenposten zu; weiterführen.	Danach im laufenden Gang: gib denselben Drogenposten zu; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
39	G407-E3999	G407-S660	f88v	PHARMA	soteol	S+OT+E+OL	OT+OL	OT	OL	Danach: wähle denselben Drogenposten; auf Grad I; weiterführen.	Danach: wähle denselben Drogenposten; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
40	G407-E4012	G407-S660	f88v	PHARMA	oteol	OT+E+OL	OT+OL	OT	OL	Danach im laufenden Gang: nimm denselben Drogenposten; auf Grad I; weiterführen.	Danach im laufenden Gang: nimm denselben Drogenposten; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
41	G407-E4177	G407-S672	f89r	PHARMA	qotol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: halte denselben Drogenposten; weiterführen.	Danach im laufenden Gang: halte denselben Drogenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
42	G407-E4208	G407-S675	f89r	PHARMA	dolchsyckheol	D_ADDR+OL+CH+S+Y+CH+K+E+OL	OL+OL	OL	OL	Weiter: nimm den Drogenposten und wähle den Drogenposten und nimm den Drogenposten und gib den Drogenposten zu; an der bezeichneten Stelle; auf Grad I; nochmals weiterführen.	Weiter: nimm den Drogenposten und wähle den Drogenposten und nimm den Drogenposten und gib den Drogenposten zu; an der bezeichneten Stelle; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
43	G407-E4233	G407-S678	f89r	PHARMA	qoteol	OT+E+OL	OT+OL	OT	OL	Danach im laufenden Gang: nimm denselben Drogenposten; auf Grad I; weiterführen.	Danach im laufenden Gang: nimm denselben Drogenposten; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
44	G407-E4235	G407-S678	f89r	PHARMA	otol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: nimm denselben Mengenwert; weiterführen.	Danach im laufenden Gang: nimm denselben Mengenwert; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
45	G407-E4239	G407-S678	f89r	PHARMA	otchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Mengenwert; weiterführen.	Danach: nimm denselben Mengenwert; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
46	G407-E4241	G407-S678	f89r	PHARMA	otolpchy	OT+OL+P+CH+Y	OT+OL	OT	OL	Danach: setze den Drogenposten ein und nimm den Drogenposten; weiterführen.	Danach: setze den Drogenposten ein und nimm den Drogenposten; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
47	G515-E0019	G515-S002	f4r	HERBAL	otchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Arbeitswert; weiterführen.	Danach: nimm denselben Arbeitswert; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
48	G515-E0026	G515-S002	f4r	HERBAL	qotchol	OT+CH+OL	OT+OL	OT	OL	Danach: nimm denselben Materialanteil; weiterführen.	Danach: nimm denselben Materialanteil; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
49	G515-E0081	G515-S007	f20v	HERBAL	otol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: stelle denselben Pflanzenposten ein; weiterführen.	Danach im laufenden Gang: stelle denselben Pflanzenposten ein; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
50	G515-E0100	G515-S008	f20v	HERBAL	folchol	LOCAL_CHAR_F+OL+OL	OL+OL	OL	OL	Weiter im laufenden Gang: halte; an der bezeichneten Stelle; nochmals weiterführen.	Weiter im laufenden Gang: halte; an der bezeichneten Stelle; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
51	G515-E0223	G515-S022	f31r	HERBAL	olsheol	OL+K+E+OL	OL+OL	OL	OL	Weiter: gib denselben Pflanzenposten zu; auf Grad I; nochmals weiterführen.	Weiter: gib denselben Pflanzenposten zu; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
52	G515-E0514	G515-S064	f66r	SOURCE_SECTION_T	qotol	OT+OL	OT+OL	OT	OL	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; weiterführen.	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
53	G515-E0554	G515-S070	f66r	SOURCE_SECTION_T	olkeol	OL+K+E+OL	OL+OL	OL	OL	Weiter: ordne denselben laufenden Eintrag zu; auf Grad I; nochmals weiterführen.	Weiter: ordne denselben laufenden Eintrag zu; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
54	G515-E0581	G515-S077	f66r	SOURCE_SECTION_T	qoteoly	OT+E+OL+Y	OT+OL	OT	OL	Danach im laufenden Gang: halte den laufenden Eintrag fest; auf Grad I; weiterführen.	Danach im laufenden Gang: halte den laufenden Eintrag fest; auf Grad I; führe den Gang weiter.	FINITE_FOLLOWER_REALIZATION_REPLACES_SEQUENCE_SPECIFIC_INFINITIVE	GERMAN_VOICE_ONLY__NO_ROOT_OR_RECIPE_CHANGE
