assignment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	state_marker_sequence	marker_ordinal_in_sequence	recipe_atom_position	operator	working_value	outer_slot	position_realization_de	finite_voice_changed	guard
19	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
20	G407-E0113	G407-S005	f1r	SOURCE_SECTION_T	kol	K+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
21	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
22	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
23	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
24	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	pshol	P+SH+OL	OL	1	3	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
25	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	DY	1	2	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
26	G407-E0137	G407-S005	f1r	SOURCE_SECTION_T	shol	SH+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
27	G407-E0150	G407-S005	f1r	SOURCE_SECTION_T	tol	T+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
28	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	cthols	CH+T+OL+S	OL	1	3	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
29	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	otol	OT+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
30	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	otol	OT+OL	OT+OL	2	2	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
31	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
32	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
33	G407-E0184	G407-S006	f1r	SOURCE_SECTION_T	okol	OK+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
34	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	cthol	CH+T+OL	OL	1	3	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
35	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	ctholdar	CH+T+OL+D_ADDR+AR	OL	1	3	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
36	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	ochol	O+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
37	G407-E0200	G407-S006	f1r	SOURCE_SECTION_T	shody	SH+O+DY	DY	1	3	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
38	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
39	G407-E0212	G407-S007	f1r	SOURCE_SECTION_T	choty	CH+OT+Y	OT	1	2	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
40	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	chotey	CH+OT+E+Y	OT	1	2	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
41	G407-E0219	G407-S008	f10r	HERBAL	pchodol	P+CH+O+D_ADDR+OL	OL	1	5	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
42	G407-E0229	G407-S008	f10r	HERBAL	otytchol	OT+Y+T+CH+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
43	G407-E0229	G407-S008	f10r	HERBAL	otytchol	OT+Y+T+CH+OL	OT+OL	2	5	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
44	G407-E0233	G407-S008	f10r	HERBAL	qotor	OT+OR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
45	G407-E0238	G407-S008	f10r	HERBAL	qotchy	OT+Y	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
46	G407-E0239	G407-S008	f10r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
47	G407-E0253	G407-S008	f10r	HERBAL	ody	O+DY	DY	1	2	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
48	G407-E0255	G407-S009	f10r	HERBAL	qotchol	OT+CH+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
49	G407-E0255	G407-S009	f10r	HERBAL	qotchol	OT+CH+OL	OT+OL	2	3	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
50	G407-E0256	G407-S009	f10r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
51	G407-E0262	G407-S009	f10r	HERBAL	qoctholy	CARRIER_Q+O+CH+T+OL+Y	OL	1	5	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
52	G407-E0268	G407-S009	f10r	HERBAL	qokchol	OK+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
53	G407-E0277	G407-S009	f10r	HERBAL	qotchor	OT+CH+OR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
54	G407-E0279	G407-S009	f10r	HERBAL	otol	OT+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
55	G407-E0279	G407-S009	f10r	HERBAL	otol	OT+OL	OT+OL	2	2	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
56	G407-E0280	G407-S009	f10r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
57	G407-E0281	G407-S009	f10r	HERBAL	cholor	OL+OR	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
58	G407-E0282	G407-S009	f10r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
59	G407-E0292	G407-S009	f10r	HERBAL	oqotor	O+OT+OR	OT	1	2	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
60	G407-E0293	G407-S009	f10r	HERBAL	otor	OT+OR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
61	G407-E0298	G407-S009	f10r	HERBAL	otchoshor	OT+CH+O+SH+OR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
62	G407-E0299	G407-S009	f10r	HERBAL	qoty	OT+Y	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
63	G407-E0300	G407-S009	f10r	HERBAL	qotor	OT+OR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
64	G407-E0302	G407-S009	f10r	HERBAL	otar	OT+AR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
65	G407-E0305	G407-S009	f10r	HERBAL	qotchy	OT+Y	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
66	G407-E0306	G407-S009	f10r	HERBAL	qotor	OT+OR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
67	G407-E0307	G407-S010	f11r	HERBAL	tshol	T+SH+OL	OL	1	3	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
68	G407-E0313	G407-S010	f11r	HERBAL	tchody	T+CH+O+DY	DY	1	4	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
69	G407-E0322	G407-S011	f11r	HERBAL	kchol	K+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
70	G407-E0324	G407-S011	f11r	HERBAL	qoty	OT+Y	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
71	G407-E0325	G407-S011	f11r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
72	G407-E0329	G407-S011	f11r	HERBAL	choty	CH+OT+Y	OT	1	2	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
73	G407-E0334	G407-S011	f11r	HERBAL	dchol	D_ADDR+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
74	G407-E0339	G407-S011	f11r	HERBAL	tchol	T+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
75	G407-E0354	G407-S011	f11r	HERBAL	otol	OT+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
76	G407-E0354	G407-S011	f11r	HERBAL	otol	OT+OL	OT+OL	2	2	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
77	G407-E0362	G407-S011	f11r	HERBAL	qotchy	OT+Y	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
78	G407-E0363	G407-S011	f11r	HERBAL	okchol	OK+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
79	G407-E0368	G407-S012	f13r	HERBAL	shol	SH+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
80	G407-E0371	G407-S012	f13r	HERBAL	shol	SH+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
81	G407-E0375	G407-S012	f13r	HERBAL	dchol	D_ADDR+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
82	G407-E0376	G407-S012	f13r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
83	G407-E0377	G407-S012	f13r	HERBAL	dol	D_ADDR+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
84	G407-E0382	G407-S012	f13r	HERBAL	qoty	OT+Y	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
85	G407-E0399	G407-S012	f13r	HERBAL	otchor	OT+CH+OR	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
86	G407-E0403	G407-S012	f13r	HERBAL	kchol	K+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
87	G407-E0406	G407-S012	f13r	HERBAL	otchol	OT+CH+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
88	G407-E0406	G407-S012	f13r	HERBAL	otchol	OT+CH+OL	OT+OL	2	3	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
89	G407-E0407	G407-S012	f13r	HERBAL	cfholdy	CH+LOCAL_CHAR_F+OL+DY	OL+DY	1	3	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
90	G407-E0407	G407-S012	f13r	HERBAL	cfholdy	CH+LOCAL_CHAR_F+OL+DY	OL+DY	2	4	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
91	G407-E0411	G407-S013	f13r	HERBAL	qotchol	OT+CH+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
92	G407-E0411	G407-S013	f13r	HERBAL	qotchol	OT+CH+OL	OT+OL	2	3	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
93	G407-E0419	G407-S013	f13r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
94	G407-E0423	G407-S013	f13r	HERBAL	oldy	OL+DY	OL+DY	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
95	G407-E0423	G407-S013	f13r	HERBAL	oldy	OL+DY	OL+DY	2	2	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
96	G407-E0433	G407-S014	f13r	HERBAL	oldy	OL+DY	OL+DY	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
97	G407-E0433	G407-S014	f13r	HERBAL	oldy	OL+DY	OL+DY	2	2	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
98	G407-E0435	G407-S015	f13r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
99	G407-E0437	G407-S015	f13r	HERBAL	ykoly	Y+K+OL+Y	OL	1	3	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
100	G407-E0439	G407-S015	f13r	HERBAL	daldy	AL+DY	DY	1	2	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
101	G407-E0440	G407-S016	f13r	HERBAL	sotchy	S+OT+Y	OT	1	2	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
102	G407-E0443	G407-S017	f17r	HERBAL	fshody	LOCAL_CHAR_F+SH+O+DY	DY	1	4	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
103	G407-E0447	G407-S018	f17r	HERBAL	opydy	O+P+Y+DY	DY	1	4	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
104	G407-E0450	G407-S019	f17r	HERBAL	otchy	OT+CH+Y	OT	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
105	G407-E0451	G407-S019	f17r	HERBAL	dody	D_ADDR+O+DY	DY	1	3	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
106	G407-E0452	G407-S020	f17r	HERBAL	oldckhy	OL+D_ADDR+CH+K+Y	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
107	G407-E0457	G407-S020	f17r	HERBAL	ckhody	CH+K+O+DY	DY	1	4	DY	ABSCHLIESSEN	FOLLOWER_SUFFIX	schließe den Schritt	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
108	G407-E0459	G407-S021	f17r	HERBAL	otchol	OT+CH+OL	OT+OL	1	1	OT	DANACH	ENTRY_PREFIX	Danach	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
109	G407-E0459	G407-S021	f17r	HERBAL	otchol	OT+CH+OL	OT+OL	2	3	OL	FORTSETZEN	FOLLOWER_SUFFIX	führe den Gang weiter	YES	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
110	G407-E0462	G407-S021	f17r	HERBAL	chol	OL	OL	1	1	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
111	G407-E0470	G407-S021	f17r	HERBAL	shol	SH+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
112	G407-E0471	G407-S021	f17r	HERBAL	qokol	OK+OL	OL	1	2	OL	FORTSETZEN	ENTRY_PREFIX	Weiter	NO	EVERY_MARKER_ASSIGNED_ONCE__WRITTEN_ORDER_UNCHANGED
