master_card_id	short_value_de	registered_surfaces	wrapper_to_surface	fixed_page_wrapper_counts	fixed_page_modal_wrapper	bio_events	bio_surface_counts	distinct_bio_surfaces	bio_line_first_events	bio_prev_dy_events	powered_events	palette_renderer_hits	record_position_hits	writer_rule_de	fixed_page_events
MC045	lange sammeln	olkeedy|solkeedy	NONE->olkeedy | s->solkeedy	NONE:2|s:1	NONE	3	olkeedy:2|solkeedy:1	2	2	0	3	2	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	3
MC055	davon	char|dar|sar	ch->char | d->dar | s->sar	ch:2|d:2|s:1	ch	3	char:1|dar:1|sar:1	3	0	0	3	1	3	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	5
MC057	Folgetransfer	otchedy|qotchedy	NONE->otchedy | q->qotchedy	NONE:1|q:1	NONE	2	otchedy:1|qotchedy:1	2	0	1	2	1	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	2
MC060	Folgemaß	otaiin|sotaiin	NONE->otaiin | s->sotaiin	NONE:2|s:1	NONE	3	otaiin:2|sotaiin:1	2	0	1	3	2	3	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	3
MC073	kurz vorbereiten	qcthey|shcthey	q->qcthey | sh->shcthey	q:1|sh:1	q	2	qcthey:1|shcthey:1	2	0	0	2	1	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	2
MC074	überführen	chdy|chedy	ch->chdy | che->chedy	ch:1|che:10	che	10	chdy:1|chedy:9	2	0	3	10	9	10	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	11
MC080	Ansatz	chor|or|shor|sor	NONE->or | ch->chor | s->sor | sh->shor	NONE:2|ch:3|s:1|sh:1	ch	2	or:1|sor:1	2	2	0	2	0	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	7
MC086	Teil	chety|chty	ch->chty | che->chety	ch:1|che:1	ch	1	chety:1	1	0	0	1	1	1	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	2
MC093	danach dorthin	otal|qotal	NONE->otal | q->qotal	NONE:1|q:2	q	3	otal:1|qotal:2	2	0	1	3	2	3	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	3
MC097	weiterer Anteil	olkain|qolkain	NONE->olkain | q->qolkain	NONE:1|q:1	NONE	2	olkain:1|qolkain:1	2	0	1	2	1	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	2
MC105	Portion	chkain|kain	NONE->kain | ch->chkain	NONE:2|ch:1	NONE	3	chkain:1|kain:2	2	0	0	3	2	3	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	3
MC119	Klarlauf	cheey|shey	che->cheey | sh->shey	che:2|sh:2	che	3	cheey:2|shey:1	2	1	0	3	1	3	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	4
MC120	bemessen	okaiin|qokaiin	NONE->okaiin | q->qokaiin	NONE:1|q:8	q	8	okaiin:1|qokaiin:7	2	1	5	8	7	8	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	9
MC123	dies	chey|chy|dy|shy|sy|y	NONE->y | ch->chy | che->chey | d->dy | s->sy | sh->shy	NONE:1|ch:3|che:7|d:5|s:1|sh:1	che	9	chey:7|dy:1|sy:1	3	0	2	9	7	8	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	18
MC128	kurz absetzen	cheedy|shedy|tedy	che->cheedy | sh->shedy | t->tedy	che:1|sh:10|t:1	sh	12	cheedy:1|shedy:10|tedy:1	3	0	3	12	10	11	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	12
MC153	weiter	cheol|chol|ol|qol|sol|tol	NONE->ol | ch->chol | che->cheol | q->qol | s->sol | t->tol	NONE:8|ch:3|che:1|q:3|s:3|t:1	NONE	16	cheol:1|ol:8|qol:3|sol:3|tol:1	5	2	2	16	8	14	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	19
MC154	dorthin	al|chal|cheal|dal|sal|tal	NONE->al | ch->chal | che->cheal | d->dal | s->sal | t->tal	NONE:1|ch:1|che:1|d:5|s:1|t:1	d	9	al:1|chal:1|cheal:1|dal:4|sal:1|tal:1	6	1	4	9	4	8	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	10
MC157	derselbe Ansatz	cholor|olor	NONE->olor | ch->cholor	NONE:1|ch:1	NONE	1	olor:1	1	1	0	1	1	1	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	2
MC161	bereit	checthy|cthy|shcthy	NONE->cthy | che->checthy | sh->shcthy	NONE:3|che:2|sh:2	NONE	4	checthy:2|shcthy:2	2	0	0	4	0	2	Nimm die kartenlokale Wrapperpalette; gib s am Zeilenanfang und q nach DY nur einen Vorzug, keine neue Bedeutung.	7
