statement_ordinal	statement_id	physical_page	register	owner_id	host_count	action_count	completed_object_action_count	remaining_action_gap_count	changed_host_count	paragraph_count	coverage_state	completed_root_profile	remaining_root_profile	gdt584_reader_de	gdt598_integrated_reader_de	paragraph_count_preserved
11	G407-S093	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	2	1	1	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	CHD:1	OK:1	Beschicke oder bereite vor. Behandle den Ansatz. Schließe den Arbeitsgang.	Beschicke oder bereite vor. Behandle den Stationsansatz. Schließe den Arbeitsgang.	YES
12	G407-S094	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	5	4	1	3	0	1	MIXED_COMPLETED_AND_GAP_ACTIONS	T:1	CH:2|OK:1	Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz in Anwendungsform und über den Stationskontakt oder die Leitung. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz in Anwendungsform und über den Stationskontakt oder die Leitung. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	YES
13	G407-S095	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	8	6	1	5	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	CHD:1	CH:2|K:1|OK:2	Beschicke oder bereite in der bezeichneten Stationsart vor. Entnimm oder lass auf Grad I ab. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Fahre im selben Arbeitsgang fort. Behandle den Ansatz. Schließe den Arbeitsgang.	Beschicke oder bereite in der bezeichneten Stationsart vor. Entnimm oder lass auf Grad I ab. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Fahre im selben Arbeitsgang fort. Behandle denselben Stationsansatz. Schließe den Arbeitsgang.	YES
14	G407-S096	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	12	8	5	3	3	3	MIXED_COMPLETED_AND_GAP_ACTIONS	CHD:1|S:1|SH:2|T:1	CH:1|K:1|OK:1	"Leite den Strom zur Zielstation oder ins Zielbecken um. Halte die Becken- oder Körpereinheit im Bad an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz. Halte den Stationsansatz im Bad auf Grad I. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Temperiere auf Grad I. Schließe den Arbeitsgang."	"Leite den Strom zur Zielstation oder ins Zielbecken um. Halte die Badeinheit im Bad an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz. Halte den Körper im Bad auf Grad I. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Temperiere den Stationsansatz auf Grad I. Schließe den Arbeitsgang."	YES
15	G407-S097	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	2	1	1	0	1	1	ALL_ACTIONS_OBJECT_COMPLETE	CHD:1	NONE	Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Behandle den Stationsansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	YES
16	G407-S100	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	4	3	1	2	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	SH:1	OK:2	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.	YES
17	G407-S101	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	17	12	5	7	5	1	MIXED_COMPLETED_AND_GAP_ACTIONS	S:1|SH:4	CH:2|K:2|OK:1|R:1|SH:1	Entnimm oder lass die Becken- oder Körpereinheit an der Stations-Arbeitsstelle ab. Führe an der Stations-Nebenstelle zu. Wähle die Einheit aus. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad auf Grad I. Kennzeichne oder prüfe. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad auf Grad II. Halte den Stationsansatz im Bad auf Grad I. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.	Entnimm oder lass die Becken- oder Körpereinheit an der Stations-Arbeitsstelle ab. Führe an der Stations-Nebenstelle zu. Wähle dieselbe Becken- oder Körpereinheit aus. Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad I. Kennzeichne oder prüfe. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Halte den Körper im Bad auf Grad I. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.	YES
18	G407-S102	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	4	3	1	2	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	CHD:1	OK:1|P:1	Beschicke oder bereite den Stationsansatz vor. Wende an. Behandle den Ansatz. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz vor. Wende an. Behandle denselben Stationsansatz. Schließe den Arbeitsgang.	YES
19	G407-S108	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	5	2	0	2	0	1	GAP_ONLY_ACTIONS	NONE	OK:1|SH:1	Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.	YES
20	G407-S109	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	8	5	2	3	2	1	MIXED_COMPLETED_AND_GAP_ACTIONS	S:1|SH:1	K:1|OK:1|SH:1	Leite die Anwendungsportion zur Zielstation oder ins Zielbecken um. Führe auf Grad I zu. Halte den Stationsansatz im Bad. Beschicke oder bereite die Anwendungsportion und den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.	Leite die Teilmenge zur Zielstation oder ins Zielbecken um. Führe auf Grad I zu. Halte den Körper im Bad. Beschicke oder bereite die Anwendungsportion und den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Schließe den Arbeitsgang.	YES
21	G407-S110	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	16	10	4	6	3	2	MIXED_COMPLETED_AND_GAP_ACTIONS	CHD:1|S:2|SH:1	CH:1|K:2|OK:3	"Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite die Anwendungsportion und den Stationsansatz zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beginne danach den nächsten Arbeitsgang.

Wähle die Anwendungsportion aus. Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Wähle das Stations- oder Badmaß aus. Behandle den Stationsansatz und die Becken- oder Körpereinheit. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite die Anwendungsportion und den Stationsansatz zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beginne danach den nächsten Arbeitsgang.

Wähle die Anwendungsportion aus. Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Wähle das Stationsmaß aus. Behandle den Stationsansatz und die Stationseinheit. Fahre im selben Arbeitsgang fort. Halte dieselbe Stationseinheit im Bad auf Grad I. Schließe den Arbeitsgang."	YES
22	G407-S111	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	2	1	1	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	CHD:1	OK:1	Beschicke oder bereite vor. Behandle den Ansatz. Schließe den Arbeitsgang.	Beschicke oder bereite vor. Behandle den Stationsansatz. Schließe den Arbeitsgang.	YES
23	G407-S112	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	2	1	1	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	SH:1	OK:1	Beschicke oder bereite den Stationsansatz vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz vor. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.	YES
24	G407-S113	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	2	1	1	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	SH:1	OK:1	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte den Körper im Bad auf Grad II. Schließe den Arbeitsgang.	YES
25	G407-S114	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	6	5	1	4	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	SH:1	CH:1|OK:2|SH:1	Entnimm oder lass über den Stationskontakt oder die Leitung ab. Halte den Zustand. Beschicke oder bereite die Anwendungsportion und den Stationsansatz vor. Beschicke oder bereite vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Entnimm oder lass über den Stationskontakt oder die Leitung ab. Halte den Zustand. Beschicke oder bereite die Anwendungsportion und den Stationsansatz vor. Beschicke oder bereite vor. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.	YES
26	G407-S115	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	12	10	6	4	3	1	MIXED_COMPLETED_AND_GAP_ACTIONS	CHD:2|SH:4	K:1|OK:1|P:2	Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wende an. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Wende den Stationsansatz an. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Führe zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wende an. Behandle denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte denselben Stationsansatz im Bad auf Grad I. Wende den Stationsansatz an. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Führe zu. Fahre im selben Arbeitsgang fort. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.	YES
27	G407-S116	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	4	2	1	1	1	1	MIXED_COMPLETED_AND_GAP_ACTIONS	SH:1	OK:1	Beschicke oder bereite an der Stations-Nebenstelle vor. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Beschicke oder bereite an der Stations-Nebenstelle vor. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Schließe den Arbeitsgang.	YES
28	G407-S117	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	3	1	1	0	1	1	ALL_ACTIONS_OBJECT_COMPLETE	SH:1	NONE	Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad I. Schließe den Arbeitsgang.	YES
29	G407-S118	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	8	3	2	1	2	2	MIXED_COMPLETED_AND_GAP_ACTIONS	S:1|SH:1	OK:1	"Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt die Anwendungsportion und von der Ausgangsstation oder aus dem Ausgangsbecken. Leite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken um. Fahre im selben Arbeitsgang fort. Beschicke oder bereite vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt die Anwendungsportion und von der Ausgangsstation oder aus dem Ausgangsbecken. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Fahre im selben Arbeitsgang fort. Beschicke oder bereite vor. Halte denselben Strom im Badbetrieb auf Grad I. Schließe den Arbeitsgang."	YES
