gap_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	register	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	written_carrier_count	written_carrier_roots	written_carrier_lemmas_de	gdt584_upstream_clause_de	gap_route	next_object_task
12	1741	G407-S085	3	f75r	BIOLOGICAL	ACTION:G407-E1441@1:CH	G407-E1441	RUNNING:G407-E1441@1	CH	GDT582_RETAINED_NON_TARGET	3	OR+Y+Y	Becken- oder Körpereinheit|Stationsansatz|Stationsansatz	Entnimm oder lass die Becken- oder Körpereinheit und den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken ab	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
13	1742	G407-S085	4	f75r	BIOLOGICAL	ACTION:G407-E1444@1:K	G407-E1444	RUNNING:G407-E1444@1	K	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Führe die Anwendungsportion zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
14	1744	G407-S085	6	f75r	BIOLOGICAL	ACTION:G407-E1445@3:K	G407-E1445	RUNNING:G407-E1445@3	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
15	1747	G407-S085	9	f75r	BIOLOGICAL	ACTION:G407-E1447@2:K	G407-E1447	RUNNING:G407-E1447@2	K	GDT582_RETAINED_NON_TARGET	1	OR	Becken- oder Körpereinheit	Führe die Becken- oder Körpereinheit von der Ausgangsstation oder aus dem Ausgangsbecken zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
16	1748	G407-S085	10	f75r	BIOLOGICAL	ACTION:G407-E1449@2:CH	G407-E1449	RUNNING:G407-E1449@2	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass im zweiten Durchgang ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
17	1749	G407-S085	11	f75r	BIOLOGICAL	ACTION:G407-E1449@3:K	G407-E1449	RUNNING:G407-E1449@3	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
18	1750	G407-S085	12	f75r	BIOLOGICAL	ACTION:G407-E1450@2:K	G407-E1450	RUNNING:G407-E1450@2	K	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Führe in Anwendungsform, an der Stations-Nebenstelle und über den Stationskontakt oder die Leitung zu	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
19	1751	G407-S085	13	f75r	BIOLOGICAL	ACTION:G407-E1451@2:K	G407-E1451	RUNNING:G407-E1451@2	K	GDT582_RETAINED_NON_TARGET	2	Y+Y	Stationsansatz|Stationsansatz	Führe den Stationsansatz auf Grad II zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
20	1753	G407-S085	15	f75r	BIOLOGICAL	ACTION:G407-E1453@1:K	G407-E1453	RUNNING:G407-E1453@1	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
21	1755	G407-S085	17	f75r	BIOLOGICAL	ACTION:G407-E1456@1:OK	G407-E1456	RUNNING:G407-E1456@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
22	1757	G407-S085	19	f75r	BIOLOGICAL	ACTION:G407-E1458@1:OK	G407-E1458	RUNNING:G407-E1458@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad II vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
23	1760	G407-S086	2	f75r	BIOLOGICAL	ACTION:G407-E1460@1:K	G407-E1460	RUNNING:G407-E1460@1	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
24	1761	G407-S086	3	f75r	BIOLOGICAL	ACTION:G407-E1462@1:CH	G407-E1462	RUNNING:G407-E1462@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
25	1762	G407-S086	4	f75r	BIOLOGICAL	ACTION:G407-E1462@2:K	G407-E1462	RUNNING:G407-E1462@2	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz auf Grad I zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
26	1763	G407-S086	5	f75r	BIOLOGICAL	ACTION:G407-E1463@1:R	G407-E1463	RUNNING:G407-E1463@1	R	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Kennzeichne oder prüfe die Anwendungsportion	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
27	1766	G407-S086	8	f75r	BIOLOGICAL	ACTION:G407-E1466@2:SH	G407-E1466	RUNNING:G407-E1466@2	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
28	1769	G407-S087	1	f75r	BIOLOGICAL	ACTION:G407-E1467@1:OK	G407-E1467	RUNNING:G407-E1467@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad II vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
29	1770	G407-S087	2	f75r	BIOLOGICAL	ACTION:G407-E1468@1:OK	G407-E1468	RUNNING:G407-E1468@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
30	1771	G407-S087	3	f75r	BIOLOGICAL	ACTION:G407-E1469@1:P	G407-E1469	RUNNING:G407-E1469@1	P	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Wende den Stationsansatz an	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
31	1772	G407-S087	4	f75r	BIOLOGICAL	ACTION:G407-E1469@3:K	G407-E1469	RUNNING:G407-E1469@3	K	GDT582_RETAINED_NON_TARGET	1	OR	Becken- oder Körpereinheit	Führe die Becken- oder Körpereinheit auf Grad II zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
32	1774	G407-S087	6	f75r	BIOLOGICAL	ACTION:G407-E1470@2:K	G407-E1470	RUNNING:G407-E1470@2	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
33	1775	G407-S087	7	f75r	BIOLOGICAL	ACTION:G407-E1472@1:OK	G407-E1472	RUNNING:G407-E1472@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad I vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
34	1776	G407-S087	8	f75r	BIOLOGICAL	ACTION:G407-E1473@1:OK	G407-E1473	RUNNING:G407-E1473@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
35	1777	G407-S087	9	f75r	BIOLOGICAL	ACTION:G407-E1474@1:CH	G407-E1474	RUNNING:G407-E1474@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
36	1778	G407-S087	10	f75r	BIOLOGICAL	ACTION:G407-E1474@2:CH	G407-E1474	RUNNING:G407-E1474@2	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
37	1780	G407-S087	12	f75r	BIOLOGICAL	ACTION:G407-E1475@1:OK	G407-E1475	RUNNING:G407-E1475@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad II vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
38	1782	G407-S088	1	f75r	BIOLOGICAL	ACTION:G407-E1476@1:OK	G407-E1476	RUNNING:G407-E1476@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
39	1783	G407-S088	2	f75r	BIOLOGICAL	ACTION:G407-E1477@1:P	G407-E1477	RUNNING:G407-E1477@1	P	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Wende an	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
40	1786	G407-S089	1	f75r	BIOLOGICAL	ACTION:G407-E1478@1:OK	G407-E1478	RUNNING:G407-E1478@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
41	1787	G407-S089	2	f75r	BIOLOGICAL	ACTION:G407-E1478@2:SH	G407-E1478	RUNNING:G407-E1478@2	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
42	1791	G407-S090	3	f75r	BIOLOGICAL	ACTION:G407-E1481@1:OK	G407-E1481	RUNNING:G407-E1481@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
43	1794	G407-S090	6	f75r	BIOLOGICAL	ACTION:G407-E1485@1:OK	G407-E1485	RUNNING:G407-E1485@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
44	1796	G407-S090	8	f75r	BIOLOGICAL	ACTION:G407-E1488@1:OK	G407-E1488	RUNNING:G407-E1488@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
45	1799	G407-S091	2	f75r	BIOLOGICAL	ACTION:G407-E1489@4:CH	G407-E1489	RUNNING:G407-E1489@4	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
46	1800	G407-S091	3	f75r	BIOLOGICAL	ACTION:G407-E1489@5:K	G407-E1489	RUNNING:G407-E1489@5	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
47	1801	G407-S091	4	f75r	BIOLOGICAL	ACTION:G407-E1490@1:OK	G407-E1490	RUNNING:G407-E1490@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
48	1802	G407-S091	5	f75r	BIOLOGICAL	ACTION:G407-E1491@1:CH	G407-E1491	RUNNING:G407-E1491@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
49	1803	G407-S091	6	f75r	BIOLOGICAL	ACTION:G407-E1491@2:K	G407-E1491	RUNNING:G407-E1491@2	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
50	1806	G407-S093	1	f75r	BIOLOGICAL	ACTION:G407-E1494@1:OK	G407-E1494	RUNNING:G407-E1494@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
51	1809	G407-S094	1	f75r	BIOLOGICAL	ACTION:G407-E1495@1:CH	G407-E1495	RUNNING:G407-E1495@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
52	1810	G407-S094	2	f75r	BIOLOGICAL	ACTION:G407-E1495@2:CH	G407-E1495	RUNNING:G407-E1495@2	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
53	1812	G407-S094	4	f75r	BIOLOGICAL	ACTION:G407-E1497@1:OK	G407-E1497	RUNNING:G407-E1497@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad I vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
54	1814	G407-S095	1	f75r	BIOLOGICAL	ACTION:G407-E1498@1:OK	G407-E1498	RUNNING:G407-E1498@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite in der bezeichneten Stationsart vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
55	1815	G407-S095	2	f75r	BIOLOGICAL	ACTION:G407-E1499@1:CH	G407-E1499	RUNNING:G407-E1499@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass auf Grad I ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
56	1816	G407-S095	3	f75r	BIOLOGICAL	ACTION:G407-E1499@3:CH	G407-E1499	RUNNING:G407-E1499@3	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
57	1817	G407-S095	4	f75r	BIOLOGICAL	ACTION:G407-E1499@4:K	G407-E1499	RUNNING:G407-E1499@4	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
58	1818	G407-S095	5	f75r	BIOLOGICAL	ACTION:G407-E1500@1:OK	G407-E1500	RUNNING:G407-E1500@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
59	1827	G407-S096	6	f75r	BIOLOGICAL	ACTION:G407-E1507@1:OK	G407-E1507	RUNNING:G407-E1507@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
60	1828	G407-S096	7	f75r	BIOLOGICAL	ACTION:G407-E1508@1:CH	G407-E1508	RUNNING:G407-E1508@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
61	1829	G407-S096	8	f75r	BIOLOGICAL	ACTION:G407-E1508@2:K	G407-E1508	RUNNING:G407-E1508@2	K	GDT582_RETAINED_NON_TARGET	3	Y+Y+Y	Stationsansatz|Stationsansatz|Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
62	1836	G407-S100	1	f75r	BIOLOGICAL	ACTION:G407-E1518@1:OK	G407-E1518	RUNNING:G407-E1518@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
63	1837	G407-S100	2	f75r	BIOLOGICAL	ACTION:G407-E1519@1:OK	G407-E1519	RUNNING:G407-E1519@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
64	1840	G407-S101	1	f75r	BIOLOGICAL	ACTION:G407-E1522@1:CH	G407-E1522	RUNNING:G407-E1522@1	CH	GDT582_RETAINED_NON_TARGET	1	OR	Becken- oder Körpereinheit	Entnimm oder lass die Becken- oder Körpereinheit an der Stations-Arbeitsstelle ab	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
65	1841	G407-S101	2	f75r	BIOLOGICAL	ACTION:G407-E1522@2:K	G407-E1522	RUNNING:G407-E1522@2	K	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Führe an der Stations-Nebenstelle zu	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
66	1844	G407-S101	5	f75r	BIOLOGICAL	ACTION:G407-E1523@4:CH	G407-E1523	RUNNING:G407-E1523@4	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
67	1845	G407-S101	6	f75r	BIOLOGICAL	ACTION:G407-E1523@5:K	G407-E1523	RUNNING:G407-E1523@5	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
68	1846	G407-S101	7	f75r	BIOLOGICAL	ACTION:G407-E1524@1:OK	G407-E1524	RUNNING:G407-E1524@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
69	1849	G407-S101	10	f75r	BIOLOGICAL	ACTION:G407-E1527@1:R	G407-E1527	RUNNING:G407-E1527@1	R	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Kennzeichne oder prüfe	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
70	1854	G407-S101	15	f75r	BIOLOGICAL	ACTION:G407-E1532@2:SH	G407-E1532	RUNNING:G407-E1532@2	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
71	1857	G407-S102	1	f75r	BIOLOGICAL	ACTION:G407-E1533@1:OK	G407-E1533	RUNNING:G407-E1533@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
72	1858	G407-S102	2	f75r	BIOLOGICAL	ACTION:G407-E1534@1:P	G407-E1534	RUNNING:G407-E1534@1	P	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Wende an	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
73	1861	G407-S108	1	f75r	BIOLOGICAL	ACTION:G407-E1540@1:OK	G407-E1540	RUNNING:G407-E1540@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
74	1863	G407-S108	3	f75r	BIOLOGICAL	ACTION:G407-E1541@2:SH	G407-E1541	RUNNING:G407-E1541@2	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
75	1867	G407-S109	2	f75r	BIOLOGICAL	ACTION:G407-E1544@1:K	G407-E1544	RUNNING:G407-E1544@1	K	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Führe auf Grad I zu	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
