completed_action_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	completion_layer	object_class	object_lemma_de	rendered_object_np_de	typing_card_id	reference_scope_card_id	reference_mode	source_pointer	gdt584_upstream_clause_de	gdt598_integrated_clause_de	clause_changed
11	1756	G407-S085	18	f75r	ACTION:G407-E1457@1:SH	G407-E1457	RUNNING:G407-E1457@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1457:RUNNING:G407-E1457@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
12	1759	G407-S086	1	f75r	ACTION:G407-E1459@1:SH	G407-E1459	RUNNING:G407-E1459@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1459:RUNNING:G407-E1459@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
13	1779	G407-S087	11	f75r	ACTION:G407-E1474@3:T	G407-E1474	RUNNING:G407-E1474@3	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1474@3:T	Reguliere den Stationsansatz	Reguliere den Stationsansatz	NO
14	1784	G407-S088	3	f75r	ACTION:G407-E1477@2:CHD	G407-E1477	RUNNING:G407-E1477@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E1476@1:OK	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
15	1789	G407-S090	1	f75r	ACTION:G407-E1479@2:T	G407-E1479	RUNNING:G407-E1479@2	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1479@2:T	Reguliere den Stationsansatz und die Anwendungsportion	Reguliere den Stationsansatz und die Anwendungsportion	NO
16	1790	G407-S090	2	f75r	ACTION:G407-E1480@1:CHD	G407-E1480	RUNNING:G407-E1480@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1480@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
17	1793	G407-S090	5	f75r	ACTION:G407-E1484@1:CHD	G407-E1484	RUNNING:G407-E1484@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1484@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
18	1795	G407-S090	7	f75r	ACTION:G407-E1486@1:S	G407-E1486	RUNNING:G407-E1486@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1486@1:S	Wähle die Becken- oder Körpereinheit und den Stationsansatz aus	Wähle die Stationseinheit und den Stationsansatz aus	YES
19	1798	G407-S091	1	f75r	ACTION:G407-E1489@2:SH	G407-E1489	RUNNING:G407-E1489@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:D_ADDR	Halte im Bad auf Grad I und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle	YES
20	1804	G407-S091	7	f75r	ACTION:G407-E1492@2:SH	G407-E1492	RUNNING:G407-E1492@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:L	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES
21	1807	G407-S093	2	f75r	ACTION:G407-E1494@2:CHD	G407-E1494	RUNNING:G407-E1494@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz	Behandle den Stationsansatz	YES
22	1811	G407-S094	3	f75r	ACTION:G407-E1495@3:T	G407-E1495	RUNNING:G407-E1495@3	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1495@3:T	Reguliere den Stationsansatz in Anwendungsform und über den Stationskontakt oder die Leitung	Reguliere den Stationsansatz in Anwendungsform und über den Stationskontakt oder die Leitung	NO
23	1820	G407-S095	7	f75r	ACTION:G407-E1501@2:CHD	G407-E1501	RUNNING:G407-E1501@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E1499@4:K	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
24	1822	G407-S096	1	f75r	ACTION:G407-E1502@1:S	G407-E1502	RUNNING:G407-E1502@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Strom	den Strom	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Leite den Strom zur Zielstation oder ins Zielbecken um	Leite den Strom zur Zielstation oder ins Zielbecken um	NO
25	1823	G407-S096	2	f75r	ACTION:G407-E1503@2:SH	G407-E1503	RUNNING:G407-E1503@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Badeinheit	die Badeinheit	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1503:RUNNING:G407-E1503@3	Halte die Becken- oder Körpereinheit im Bad an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte die Badeinheit im Bad an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	YES
26	1825	G407-S096	4	f75r	ACTION:G407-E1505@1:CHD	G407-E1505	RUNNING:G407-E1505@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1505@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
27	1826	G407-S096	5	f75r	ACTION:G407-E1506@1:SH	G407-E1506	RUNNING:G407-E1506@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1506:RUNNING:G407-E1506@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
28	1832	G407-S096	11	f75r	ACTION:G407-E1511@1:T	G407-E1511	RUNNING:G407-E1511@1	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Temperiere auf Grad I	Temperiere den Stationsansatz auf Grad I	YES
29	1834	G407-S097	1	f75r	ACTION:G407-E1512@2:CHD	G407-E1512	RUNNING:G407-E1512@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle den Stationsansatz über den Stationskontakt oder die Leitung	YES
30	1838	G407-S100	3	f75r	ACTION:G407-E1520@1:SH	G407-E1520	RUNNING:G407-E1520@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT594:G407-E1517	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
31	1842	G407-S101	3	f75r	ACTION:G407-E1523@1:S	G407-E1523	RUNNING:G407-E1523@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	UNIT	Becken- oder Körpereinheit	dieselbe Becken- oder Körpereinheit	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E1522@1:CH	Wähle die Einheit aus	Wähle dieselbe Becken- oder Körpereinheit aus	YES
32	1843	G407-S101	4	f75r	ACTION:G407-E1523@2:SH	G407-E1523	RUNNING:G407-E1523@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Becken- oder Körpereinheit	dieselbe Becken- oder Körpereinheit	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E1523:RUNNING:G407-E1521@2	Halte im Bad auf Grad I	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	YES
33	1848	G407-S101	9	f75r	ACTION:G407-E1526@1:SH	G407-E1526	RUNNING:G407-E1526@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1526:RUNNING:G407-E1526@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
34	1851	G407-S101	12	f75r	ACTION:G407-E1529@1:SH	G407-E1529	RUNNING:G407-E1529@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1529:RUNNING:G407-E1529@3	Halte den Stationsansatz im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
35	1852	G407-S101	13	f75r	ACTION:G407-E1530@1:SH	G407-E1530	RUNNING:G407-E1530@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1530:RUNNING:G407-E1530@3|RUNNING:G407-E1531@1	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
36	1859	G407-S102	3	f75r	ACTION:G407-E1534@2:CHD	G407-E1534	RUNNING:G407-E1534@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E1533@1:OK	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
37	1866	G407-S109	1	f75r	ACTION:G407-E1542@1:S	G407-E1542	RUNNING:G407-E1542@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Teilmenge	die Teilmenge	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1542@1:S	Leite die Anwendungsportion zur Zielstation oder ins Zielbecken um	Leite die Teilmenge zur Zielstation oder ins Zielbecken um	YES
38	1868	G407-S109	3	f75r	ACTION:G407-E1544@3:SH	G407-E1544	RUNNING:G407-E1544@3	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1544:RUNNING:G407-E1544@4	Halte den Stationsansatz im Bad	Halte den Körper im Bad	YES
39	1879	G407-S110	6	f75r	ACTION:G407-E1553@1:S	G407-E1553	RUNNING:G407-E1553@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	PORTION	Anwendungsportion	die Anwendungsportion	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1553@1:S	Wähle die Anwendungsportion aus	Wähle die Anwendungsportion aus	NO
40	1885	G407-S110	12	f75r	ACTION:G407-E1556@1:S	G407-E1556	RUNNING:G407-E1556@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1556@1:S	Wähle das Stations- oder Badmaß aus	Wähle das Stationsmaß aus	YES
41	1886	G407-S110	13	f75r	ACTION:G407-E1557@1:CHD	G407-E1557	RUNNING:G407-E1557@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1557@1:CHD	Behandle den Stationsansatz und die Becken- oder Körpereinheit	Behandle den Stationsansatz und die Stationseinheit	YES
42	1888	G407-S110	15	f75r	ACTION:G407-E1560@1:SH	G407-E1560	RUNNING:G407-E1560@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Stationseinheit	dieselbe Stationseinheit	T04_STABLE_AIN_OR_TYPE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT593:G407-E1559:OR	Halte im Bad auf Grad I	Halte dieselbe Stationseinheit im Bad auf Grad I	YES
43	1891	G407-S111	2	f75r	ACTION:G407-E1561@2:CHD	G407-E1561	RUNNING:G407-E1561@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz	Behandle den Stationsansatz	YES
44	1894	G407-S112	2	f75r	ACTION:G407-E1563@1:SH	G407-E1563	RUNNING:G407-E1563@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT594:G407-E1562	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
45	1897	G407-S113	2	f75r	ACTION:G407-E1565@1:SH	G407-E1565	RUNNING:G407-E1565@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
46	1903	G407-S114	5	f75r	ACTION:G407-E1569@2:SH	G407-E1569	RUNNING:G407-E1569@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT594:G407-E1568	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
47	1906	G407-S115	2	f75r	ACTION:G407-E1571@1:CHD	G407-E1571	RUNNING:G407-E1571@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1571@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
48	1908	G407-S115	4	f75r	ACTION:G407-E1572@2:CHD	G407-E1572	RUNNING:G407-E1572@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E1571@1:CHD	Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken	Behandle denselben Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	YES
49	1909	G407-S115	5	f75r	ACTION:G407-E1573@1:SH	G407-E1573	RUNNING:G407-E1573@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E1573:RUNNING:G407-E1571@2	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
50	1911	G407-S115	7	f75r	ACTION:G407-E1574@2:SH	G407-E1574	RUNNING:G407-E1574@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1574:RUNNING:G407-E1574@6	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	NO
51	1912	G407-S115	8	f75r	ACTION:G407-E1576@1:SH	G407-E1576	RUNNING:G407-E1576@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1576:RUNNING:G407-E1577@1	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken	NO
52	1915	G407-S115	11	f75r	ACTION:G407-E1579@1:SH	G407-E1579	RUNNING:G407-E1579@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	CARRY:G407-E1576	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
53	1919	G407-S116	3	f75r	ACTION:G407-E1582@1:SH	G407-E1582	RUNNING:G407-E1582@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
54	1922	G407-S117	2	f75r	ACTION:G407-E1584@1:SH	G407-E1584	RUNNING:G407-E1584@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
55	1927	G407-S118	4	f75r	ACTION:G407-E1588@1:S	G407-E1588	RUNNING:G407-E1588@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Strom	den Strom	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E1588@1:S	Leite den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken um	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	YES
56	1930	G407-S118	7	f75r	ACTION:G407-E1590@2:SH	G407-E1590	RUNNING:G407-E1590@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	FLOW	Strom	denselben Strom	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT594:G407-E1589	Halte im Bad auf Grad I	Halte denselben Strom im Badbetrieb auf Grad I	YES
57	1933	G407-S119	2	f75r	ACTION:G407-E1592@1:SH	G407-E1592	RUNNING:G407-E1592@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E1592:RUNNING:G407-E1592@3	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
