surface	dispatch_class	v60_literal_gloss_de	dy_contribution	confidence
okedy	NOMINAL_FINISHED_RESULT_STATE	fertiger heißer Ansatz, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
olchdy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	Trockenstoff vollständig trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
olkchdy	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Drogenportion	FINISHED_ENDPOINT_NOT_NEW_VERB	AMBER
olkeedy	NOMINAL_FINISHED_RESULT_STATE	vollständig erhitzter Holzdrogenansatz, fertig	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
olpchedy	NOMINAL_FINISHED_RESULT_STATE	fertiges Trockenpulver aus Holzdrogenansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
olshedy	NOMINAL_FINISHED_RESULT_STATE	vollständig eingeweichte Holzdroge im Ansatz, fertig	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
otardy	NOMINAL_FINISHED_RESULT_STATE	fertige erste kalte Ansatzfraktion	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
otchdy	NOMINAL_FINISHED_RESULT_STATE	fertiger kalt-trockener Anfangsansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
otedy	NOMINAL_FINISHED_RESULT_STATE	fertiger kalter Ansatz, Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
oteedy	NOMINAL_FINISHED_RESULT_STATE	fertiger kalter Ansatz, Endstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
otsheody	NOMINAL_FINISHED_RESULT_STATE	fertiger kalt angefeuchteter Ansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qckhedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	das Arzneikompositum bis zur Mittelstufe aufbereiten	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
qody	NOMINAL_FINISHED_RESULT_STATE	fertige Zubereitung	FINISHED_ENDPOINT_NOT_NEW_VERB	AMBER
qoeedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	den vollständig fertigen Ansatz nehmen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
qokady	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	einen gleichen Teil erhitzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
qokamdy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	ein Maß nehmen und erhitzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
qokchdy	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qokchedy	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qokedy	NOMINAL_FINISHED_RESULT_STATE	fertige heiße Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qokeedy	NOMINAL_FINISHED_RESULT_STATE	fertige heiße Endstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qolsheedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	vollständig eingeweichte Droge zugeben	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
qopchdy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	fertig getrocknetes Pulver nehmen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
qotchedy	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
qotchody	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
shdy	NOMINAL_FINISHED_RESULT_STATE	fertige feuchte Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
shedy	NOMINAL_FINISHED_RESULT_STATE	fertige mittlere Feuchtstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
sheedy	NOMINAL_FINISHED_RESULT_STATE	fertige feuchte Endstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
sheody	NOMINAL_FINISHED_RESULT_STATE	fertiger angefeuchteter Ansatz	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
solchedy	NOMINAL_FINISHED_RESULT_STATE	fertig getrockneter Saatgutstoff	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
tchdy	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Anfangsstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
tchedy	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Mittelstufe	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
tcheody	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	abkühlen, bis zur Mittelstufe trocknen und ansetzen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
teeedy	NOMINAL_FINISHED_RESULT_STATE	vollständig abgekühlter Ansatz, fertig	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ychedy	NOMINAL_FINISHED_RESULT_STATE	Eintrag: fertige getrocknete Droge	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
ycheedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon vollständig trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
ypcheddy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hieraus Pulver bis zur Mittelstufe trocknen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	AMBER
ytedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon bis zur Mittelstufe abkühlen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
yteedy	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon vollständig abkühlen	ACTION_FROM_WHOLE__DY_ONLY_ENDPOINT	HIGH
yteody	NOMINAL_FINISHED_RESULT_STATE	Eintrag: fertige kalte Zubereitung	FINISHED_ENDPOINT_NOT_NEW_VERB	HIGH
