instruction_no	mode_id	record	page	locus	input_rule_surface	remove_wrapper	retain_tail	apply_wrapper_stamp	predicted_local_surface	observed_local_surface	support_events	event_ids	copy_rule_de
22	LR13	B1	f81v	f81v.2	qokal	q	okal	Ø	okal	okal	1	E104	Vorderen Träger q abheben, Rest okal stehen lassen, Stempel Ø vorsetzen.
23	LR13	B1	f81v	f81v.2	char	ch	ar	s	sar	sar	1	E105	Vorderen Träger ch abheben, Rest ar stehen lassen, Stempel s vorsetzen.
24	LR13	B1	f81v	f81v.2	dal	d	al	Ø	al	al	1	E109	Vorderen Träger d abheben, Rest al stehen lassen, Stempel Ø vorsetzen.
25	LR14	B1	f81v	f81v.7	ol	Ø	ol	q	qol	qol	1	E121	Vorderen Träger Ø abheben, Rest ol stehen lassen, Stempel q vorsetzen.
26	LR15	B1	f81v	f81v.17	chckhy	c	hckhy	s	shckhy	shckhy	1	E128	Vorderen Träger c abheben, Rest hckhy stehen lassen, Stempel s vorsetzen.
27	LR16	B1	f81v	f81v.21	okey	Ø	okey	q	qokey	qokey	1	E142	Vorderen Träger Ø abheben, Rest okey stehen lassen, Stempel q vorsetzen.
28	LR16	B1	f81v	f81v.21	ol	Ø	ol	q	qol	qol	1	E148	Vorderen Träger Ø abheben, Rest ol stehen lassen, Stempel q vorsetzen.
29	LR17	B1	f81v	f81v.24	qokeey	q	okeey	Ø	okeey	okeey	1	E153	Vorderen Träger q abheben, Rest okeey stehen lassen, Stempel Ø vorsetzen.
30	LR17	B1	f81v	f81v.24	ol	Ø	ol	q	qol	qol	1	E154	Vorderen Träger Ø abheben, Rest ol stehen lassen, Stempel q vorsetzen.
31	LR17	B1	f81v	f81v.24	shedy	sh	edy	che	cheedy	cheedy	1	E155	Vorderen Träger sh abheben, Rest edy stehen lassen, Stempel che vorsetzen.
32	LR17	B1	f81v	f81v.24	dal	d	al	s	sal	sal	1	E156	Vorderen Träger d abheben, Rest al stehen lassen, Stempel s vorsetzen.
33	LR18	B1	f81v	f81v.27	shedy	sh	edy	t	tedy	tedy	1	E163	Vorderen Träger sh abheben, Rest edy stehen lassen, Stempel t vorsetzen.
34	LR18	B1	f81v	f81v.27	dal	d	al	ch	chal	chal	1	E166	Vorderen Träger d abheben, Rest al stehen lassen, Stempel ch vorsetzen.
35	LR19	B2	f82r	f82r.2	schedy	s	chedy	d	dchedy	dchedy	1	E167	Vorderen Träger s abheben, Rest chedy stehen lassen, Stempel d vorsetzen.
36	LR19	B2	f82r	f82r.2	chey	che	y	d	dy	dy	1	E170	Vorderen Träger che abheben, Rest y stehen lassen, Stempel d vorsetzen.
37	LR20	B2	f82r	f82r.7	otaiin	Ø	otaiin	s	sotaiin	sotaiin	1	E190	Vorderen Träger Ø abheben, Rest otaiin stehen lassen, Stempel s vorsetzen.
38	LR21	B2	f82r	f82r.19	qokain	q	okain	Ø	okain	okain	2	E198|E200	Vorderen Träger q abheben, Rest okain stehen lassen, Stempel Ø vorsetzen.
39	LR22	B2	f82r	f82r.26	dal	d	al	che	cheal	cheal	1	E214	Vorderen Träger d abheben, Rest al stehen lassen, Stempel che vorsetzen.
40	LR22	B2	f82r	f82r.26	daiin	d	aiin	Ø	aiin	aiin	1	E217	Vorderen Träger d abheben, Rest aiin stehen lassen, Stempel Ø vorsetzen.
41	LR23	B3	f83r	f83r.3	char	ch	ar	d	dar	dar	1	E238	Vorderen Träger ch abheben, Rest ar stehen lassen, Stempel d vorsetzen.
42	LR24	B3	f83r	f83r.6	qolchedy	q	olchedy	Ø	olchedy	olchedy	1	E242	Vorderen Träger q abheben, Rest olchedy stehen lassen, Stempel Ø vorsetzen.
43	LR25	B3	f83r	f83r.11	chor	ch	or	s	sor	sor	1	E254	Vorderen Träger ch abheben, Rest or stehen lassen, Stempel s vorsetzen.
44	LR25	B3	f83r	f83r.11	kain	Ø	kain	ch	chkain	chkain	1	E257	Vorderen Träger Ø abheben, Rest kain stehen lassen, Stempel ch vorsetzen.
45	LR25	B3	f83r	f83r.11	qcthey	q	cthey	sh	shcthey	shcthey	1	E258	Vorderen Träger q abheben, Rest cthey stehen lassen, Stempel sh vorsetzen.
46	LR26	B3	f83r	f83r.14	okchedy	Ø	okchedy	q	qokchedy	qokchedy	1	E264	Vorderen Träger Ø abheben, Rest okchedy stehen lassen, Stempel q vorsetzen.
47	LR26	B3	f83r	f83r.14	checthy	che	cthy	sh	shcthy	shcthy	1	E271	Vorderen Träger che abheben, Rest cthy stehen lassen, Stempel sh vorsetzen.
48	LR26	B3	f83r	f83r.14	chey	che	y	s	sy	sy	1	E273	Vorderen Träger che abheben, Rest y stehen lassen, Stempel s vorsetzen.
49	LR27	B3	f83r	f83r.15	dal	d	al	t	tal	tal	1	E278	Vorderen Träger d abheben, Rest al stehen lassen, Stempel t vorsetzen.
50	LR27	B3	f83r	f83r.15	checthy	che	cthy	sh	shcthy	shcthy	1	E279	Vorderen Träger che abheben, Rest cthy stehen lassen, Stempel sh vorsetzen.
51	LR27	B3	f83r	f83r.15	otchedy	Ø	otchedy	q	qotchedy	qotchedy	1	E281	Vorderen Träger Ø abheben, Rest otchedy stehen lassen, Stempel q vorsetzen.
52	LR28	B3	f83r	f83r.16	schedy	s	chedy	t	tchedy	tchedy	1	E283	Vorderen Träger s abheben, Rest chedy stehen lassen, Stempel t vorsetzen.
53	LR29	B3	f83r	f83r.20	olkeedy	Ø	olkeedy	s	solkeedy	solkeedy	1	E291	Vorderen Träger Ø abheben, Rest olkeedy stehen lassen, Stempel s vorsetzen.
54	LR29	B3	f83r	f83r.20	daiin	d	aiin	s	saiin	saiin	1	E299	Vorderen Träger d abheben, Rest aiin stehen lassen, Stempel s vorsetzen.
55	LR30	B3	f83r	f83r.24	oiiin	Ø	oiiin	s	soiiin	soiiin	1	E309	Vorderen Träger Ø abheben, Rest oiiin stehen lassen, Stempel s vorsetzen.
56	LR30	B3	f83r	f83r.24	chty	ch	ty	che	chety	chety	1	E311	Vorderen Träger ch abheben, Rest ty stehen lassen, Stempel che vorsetzen.
57	LR31	B4	f83r	f83r.25	qotal	q	otal	Ø	otal	otal	1	E320	Vorderen Träger q abheben, Rest otal stehen lassen, Stempel Ø vorsetzen.
58	LR32	B4	f83r	f83r.26	ol	Ø	ol	t	tol	tol	1	E324	Vorderen Träger Ø abheben, Rest ol stehen lassen, Stempel t vorsetzen.
59	LR33	B4	f83r	f83r.35	qokain	q	okain	Ø	okain	okain	1	E341	Vorderen Träger q abheben, Rest okain stehen lassen, Stempel Ø vorsetzen.
60	LR33	B4	f83r	f83r.35	chedy	che	dy	ch	chdy	chdy	1	E342	Vorderen Träger che abheben, Rest dy stehen lassen, Stempel ch vorsetzen.
61	LR34	B4	f83r	f83r.38	chor	ch	or	Ø	or	or	1	E348	Vorderen Träger ch abheben, Rest or stehen lassen, Stempel Ø vorsetzen.
62	LR35	B4	f83r	f83r.39	cheey	che	ey	sh	shey	shey	1	E353	Vorderen Träger che abheben, Rest ey stehen lassen, Stempel sh vorsetzen.
63	LR36	B4	f83r	f83r.41	olkain	Ø	olkain	q	qolkain	qolkain	1	E358	Vorderen Träger Ø abheben, Rest olkain stehen lassen, Stempel q vorsetzen.
64	LR37	B5	f83r	f83r.48	ol	Ø	ol	che	cheol	cheol	1	E366	Vorderen Träger Ø abheben, Rest ol stehen lassen, Stempel che vorsetzen.
65	LR37	B5	f83r	f83r.48	daiin	d	aiin	Ø	aiin	aiin	1	E369	Vorderen Träger d abheben, Rest aiin stehen lassen, Stempel Ø vorsetzen.
66	LR38	B6	f83r	f83r.54	saiin	s	aiin	d	daiin	daiin	1	E377	Vorderen Träger s abheben, Rest aiin stehen lassen, Stempel d vorsetzen.
