edition	paragraph	page	leaf	lines	groups	values
ZL3b	f82r|f82r.20-f82r.33	f82r	82	14	126	3
ZL3b	f86v3|f86v3.23-f86v3.28	f86v3	86	6	51	2
ZL3b	f86v3|f86v3.29-f86v3.36	f86v3	86	8	48	1
ZL3b	f86v5|f86v5.26-f86v5.39	f86v5	86	14	136	1
IT2a	f100r|f100r.12-f100r.15	f100r	100	4	36	2
IT2a	f103r|f103r.1-f103r.4	f103r	103	4	51	2
IT2a	f103r|f103r.24-f103r.26	f103r	103	3	31	1
IT2a	f103r|f103r.40-f103r.42	f103r	103	3	26	0
IT2a	f103v|f103v.17-f103v.19	f103v	103	3	28	1
IT2a	f104r|f104r.39-f104r.42	f104r	104	4	35	0
IT2a	f104v|f104v.41-f104v.44	f104v	104	4	38	1
IT2a	f106r|f106r.42-f106r.47	f106r	106	6	55	1
IT2a	f107r|f107r.4-f107r.7	f107r	107	4	39	1
IT2a	f107v|f107v.45-f107v.49	f107v	107	5	51	1
IT2a	f108r|f108r.8-f108r.10	f108r	108	3	35	1
IT2a	f111r|f111r.6-f111r.35	f111r	111	30	359	13
IT2a	f112r|f112r.11-f112r.14	f112r	112	4	34	0
IT2a	f112v|f112v.39-f112v.41	f112v	112	3	24	2
IT2a	f113r|f113r.37-f113r.38	f113r	113	2	17	2
IT2a	f114v|f114v.29-f114v.32	f114v	114	4	33	0
IT2a	f114v|f114v.33-f114v.35	f114v	114	3	26	0
IT2a	f115v|f115v.1-f115v.5	f115v	115	5	46	1
IT2a	f115v|f115v.13-f115v.17	f115v	115	5	48	1
IT2a	f115v|f115v.18-f115v.20	f115v	115	3	26	1
IT2a	f115v|f115v.34-f115v.36	f115v	115	3	25	0
IT2a	f116r|f116r.1-f116r.3	f116r	116	3	34	1
IT2a	f116r|f116r.7-f116r.9	f116r	116	3	27	0
IT2a	f19v|f19v.1-f19v.7	f19v	19	7	37	5
IT2a	f20r|f20r.1-f20r.4	f20r	20	4	26	0
IT2a	f20r|f20r.9-f20r.13	f20r	20	5	33	1
IT2a	f42v|f42v.9-f42v.16	f42v	42	8	57	2
IT2a	f44r|f44r.5-f44r.7	f44r	44	3	22	1
IT2a	f56v|f56v.1-f56v.6	f56v	56	6	33	4
IT2a	f75r|f75r.32-f75r.46	f75r	75	15	120	1
IT2a	f76v|f76v.16-f76v.24	f76v	76	9	86	1
IT2a	f77r|f77r.9-f77r.24	f77r	77	16	142	2
IT2a	f79r|f79r.1-f79r.6	f79r	79	6	63	0
IT2a	f82r|f82r.11-f82r.18	f82r	82	8	72	1
IT2a	f82r|f82r.20-f82r.33	f82r	82	14	126	4
IT2a	f86v3|f86v3.23-f86v3.28	f86v3	86	6	50	2
IT2a	f86v3|f86v3.29-f86v3.36	f86v3	86	8	49	1
IT2a	f86v5|f86v5.39-f86v5.39	f86v5	86	1	5	0
ZL3b	f18v|f18v.1-f18v.10	f18v	18	10	69	2
ZL3b	f2v|f2v.1-f2v.4	f2v	2	4	29	3
ZL3b	f56r|f56r.9-f56r.19	f56r	56	11	54	2
IT2a	f18v|f18v.1-f18v.10	f18v	18	10	71	2
IT2a	f2v|f2v.1-f2v.4	f2v	2	4	30	4
IT2a	f56r|f56r.9-f56r.19	f56r	56	11	47	3
ZL3b	f108v|f108v.30-f108v.53	f108v	108	24	261	6
ZL3b	f116r|f116r.31-f116r.45	f116r	116	15	167	2
ZL3b	f15r|f15r.1-f15r.15	f15r	15	15	94	7
ZL3b	f17r|f17r.7-f17r.12	f17r	17	6	29	0
ZL3b	f18r|f18r.5-f18r.14	f18r	18	10	54	2
ZL3b	f19r|f19r.1-f19r.13	f19r	19	13	78	8
ZL3b	f24r|f24r.1-f24r.20	f24r	24	20	110	3
ZL3b	f34r|f34r.10-f34r.15	f34r	34	6	59	1
ZL3b	f38r|f38r.1-f38r.6	f38r	38	6	44	3
ZL3b	f42v|f42v.1-f42v.8	f42v	42	8	59	3
ZL3b	f48r|f48r.1-f48r.9	f48r	48	9	89	2
ZL3b	f55v|f55v.7-f55v.12	f55v	55	6	62	2
ZL3b	f5r|f5r.1-f5r.4	f5r	5	4	32	1
ZL3b	f6v|f6v.6-f6v.21	f6v	6	16	71	2
ZL3b	f8v|f8v.1-f8v.11	f8v	8	11	73	4
IT2a	f108v|f108v.34-f108v.52	f108v	108	19	214	6
IT2a	f116r|f116r.31-f116r.45	f116r	116	15	157	2
IT2a	f15r|f15r.1-f15r.15	f15r	15	15	92	7
IT2a	f17r|f17r.7-f17r.12	f17r	17	6	28	0
IT2a	f18r|f18r.5-f18r.13	f18r	18	9	50	2
IT2a	f19r|f19r.1-f19r.13	f19r	19	13	76	8
IT2a	f24r|f24r.1-f24r.19	f24r	24	19	106	3
IT2a	f34r|f34r.10-f34r.15	f34r	34	6	58	1
IT2a	f38r|f38r.1-f38r.6	f38r	38	6	41	4
IT2a	f42v|f42v.1-f42v.8	f42v	42	8	56	3
IT2a	f48r|f48r.1-f48r.9	f48r	48	9	89	2
IT2a	f55v|f55v.7-f55v.12	f55v	55	6	60	3
IT2a	f5r|f5r.1-f5r.4	f5r	5	4	34	1
IT2a	f6v|f6v.6-f6v.21	f6v	6	16	70	2
IT2a	f8v|f8v.1-f8v.11	f8v	8	11	74	4
ZL3b	f53v|f53v.1-f53v.13	f53v	53	13	73	4
ZL3b	f95v1|f95v1.1-f95v1.5	f95v1	95	5	45	1
IT2a	f53v|f53v.1-f53v.13	f53v	53	13	75	6
IT2a	f95v1|f95v1.1-f95v1.5	f95v1	95	5	45	1
ZL3b	f93r|f93r.1-f93r.32	f93r	93	32	152	3
IT2a	f93r|f93r.1-f93r.32	f93r	93	32	152	4
ZL3b	f105r|f105r.28-f105r.30	f105r	105	3	33	0
ZL3b	f111r|f111r.44-f111r.47	f111r	111	4	46	0
ZL3b	f112r|f112r.15-f112r.18	f112r	112	4	38	0
ZL3b	f112r|f112r.42-f112r.45	f112r	112	4	42	0
ZL3b	f29r|f29r.5-f29r.9	f29r	29	5	35	2
ZL3b	f38v|f38v.1-f38v.8	f38v	38	8	68	12
ZL3b	f49r|f49r.4-f49r.11	f49r	49	8	35	0
ZL3b	f76v|f76v.34-f76v.36	f76v	76	3	24	1
ZL3b	f79v|f79v.12-f79v.22	f79v	79	11	96	2
ZL3b	f79v|f79v.33-f79v.36	f79v	79	4	37	1
ZL3b	f85r2|f85r2.7-f85r2.11	f85r2	85	5	27	1
IT2a	f105r|f105r.28-f105r.30	f105r	105	3	31	0
IT2a	f111r|f111r.44-f111r.47	f111r	111	4	47	0
IT2a	f112r|f112r.16-f112r.18	f112r	112	3	30	0
IT2a	f112r|f112r.37-f112r.45	f112r	112	9	87	0
IT2a	f29r|f29r.5-f29r.9	f29r	29	5	36	2
IT2a	f38v|f38v.1-f38v.8	f38v	38	8	66	12
IT2a	f49r|f49r.4-f49r.11	f49r	49	8	37	1
IT2a	f76v|f76v.34-f76v.36	f76v	76	3	25	1
IT2a	f79v|f79v.12-f79v.22	f79v	79	11	95	2
IT2a	f79v|f79v.33-f79v.36	f79v	79	4	37	1
IT2a	f85r2|f85r2.7-f85r2.11	f85r2	85	5	27	1
