edition	paragraph	closing_at	logA	logB	logC	status	signed_equations
ZL3b	f38r|f38r.1-f38r.6	ZL3b|f38r.6|G007	0	1	-1	NONTRIVIAL	1*[ZL3b|f38r.5|G007: m(ctho)/m(chor)=B]; -1*[ZL3b|f38r.6|G007: m(ctho)/m(chor)=C]
ZL3b	f8v|f8v.1-f8v.11	ZL3b|f8v.6|G006	0	-1	1	NONTRIVIAL	1*[ZL3b|f8v.6|G001: m(cthol)/m(qody)=C]; -1*[ZL3b|f8v.6|G006: m(cthol)/m(qody)=B]
IT2a	f108v|f108v.34-f108v.52	IT2a|f108v.52|G009	1	0	-1	NONTRIVIAL	1*[IT2a|f108v.48|G001: m(keol)/m(qotaiin)=A]; -1*[IT2a|f108v.52|G009: m(keol)/m(qotaiin)=C]
IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.7|G001	0	0	0	DUPLICATE_NO_RESTRICTION	1*[IT2a|f15r.5|G005: m(cthy)/m(shor)=C]; -1*[IT2a|f15r.7|G001: m(cthy)/m(shor)=C]
IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.8|G005	0	-1	1	NONTRIVIAL	1*[IT2a|f15r.5|G005: m(cthy)/m(shor)=C]; -1*[IT2a|f15r.8|G005: m(cthy)/m(shor)=B]
IT2a	f15r|f15r.1-f15r.15	IT2a|f15r.14|G004	0	0	-2	NONTRIVIAL	-1*[IT2a|f15r.5|G005: m(cthy)/m(shor)=C]; -1*[IT2a|f15r.14|G004: m(shor)/m(cthy)=C]
IT2a	f19r|f19r.1-f19r.13	IT2a|f19r.6|G006	0	0	0	DUPLICATE_NO_RESTRICTION	1*[IT2a|f19r.6|G004: m(shor)/m(chor)=C]; -1*[IT2a|f19r.6|G006: m(shor)/m(chor)=C]
IT2a	f19r|f19r.1-f19r.13	IT2a|f19r.10|G001	0	0	-2	NONTRIVIAL	-1*[IT2a|f19r.6|G004: m(shor)/m(chor)=C]; -1*[IT2a|f19r.10|G001: m(chor)/m(shor)=C]
IT2a	f19r|f19r.1-f19r.13	IT2a|f19r.12|G003	0	0	-2	NONTRIVIAL	-1*[IT2a|f19r.6|G004: m(shor)/m(chor)=C]; -1*[IT2a|f19r.12|G003: m(chor)/m(shor)=C]
IT2a	f38r|f38r.1-f38r.6	IT2a|f38r.6|G004	0	1	-1	NONTRIVIAL	1*[IT2a|f38r.5|G006: m(ctho)/m(chor)=B]; -1*[IT2a|f38r.6|G004: m(ctho)/m(chor)=C]
IT2a	f38r|f38r.1-f38r.6	IT2a|f38r.6|G007	0	1	-1	NONTRIVIAL	1*[IT2a|f38r.5|G006: m(ctho)/m(chor)=B]; -1*[IT2a|f38r.6|G007: m(ctho)/m(chor)=C]
IT2a	f42v|f42v.1-f42v.8	IT2a|f42v.2|G008	0	0	0	DUPLICATE_NO_RESTRICTION	1*[IT2a|f42v.1|G009: m(chor)/m(tcho)=B]; -1*[IT2a|f42v.2|G008: m(chor)/m(tcho)=B]
IT2a	f42v|f42v.1-f42v.8	IT2a|f42v.2|G010	0	1	-1	NONTRIVIAL	1*[IT2a|f42v.1|G009: m(chor)/m(tcho)=B]; -1*[IT2a|f42v.2|G010: m(chor)/m(tcho)=C]
IT2a	f8v|f8v.1-f8v.11	IT2a|f8v.6|G006	0	-1	1	NONTRIVIAL	1*[IT2a|f8v.6|G001: m(cthol)/m(qody)=C]; -1*[IT2a|f8v.6|G006: m(cthol)/m(qody)=B]
ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.5|G004	0	1	-1	NONTRIVIAL	1*[ZL3b|f53v.4|G006: m(cthol)/m(cthy)=B]; -1*[ZL3b|f53v.5|G004: m(cthol)/m(cthy)=C]
IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.4|G005	0	0	0	DUPLICATE_NO_RESTRICTION	1*[IT2a|f53v.4|G002: m(cthol)/m(cthy)=C]; -1*[IT2a|f53v.4|G005: m(cthol)/m(cthy)=C]
IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.4|G006	0	0	0	DUPLICATE_NO_RESTRICTION	1*[IT2a|f53v.4|G002: m(cthol)/m(cthy)=C]; -1*[IT2a|f53v.4|G006: m(cthol)/m(cthy)=C]
IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.5|G004	0	0	0	DUPLICATE_NO_RESTRICTION	1*[IT2a|f53v.4|G002: m(cthol)/m(cthy)=C]; -1*[IT2a|f53v.5|G004: m(cthol)/m(cthy)=C]
ZL3b	f93r|f93r.1-f93r.32	ZL3b|f93r.29|G001	0	-1	1	NONTRIVIAL	1*[ZL3b|f93r.22|G004: m(cthy)/m(cthol)=C]; -1*[ZL3b|f93r.29|G001: m(cthy)/m(cthol)=B]
IT2a	f93r|f93r.1-f93r.32	IT2a|f93r.28|G004	0	0	0	DUPLICATE_NO_RESTRICTION	1*[IT2a|f93r.22|G004: m(cthy)/m(cthol)=C]; -1*[IT2a|f93r.28|G004: m(cthy)/m(cthol)=C]
IT2a	f93r|f93r.1-f93r.32	IT2a|f93r.29|G001	0	-1	1	NONTRIVIAL	1*[IT2a|f93r.22|G004: m(cthy)/m(cthol)=C]; -1*[IT2a|f93r.29|G001: m(cthy)/m(cthol)=B]
ZL3b	f38v|f38v.1-f38v.8	ZL3b|f38v.7|G007	0	1	-1	NONTRIVIAL	1*[ZL3b|f38v.7|G004: m(chy)/m(chor)=B]; -1*[ZL3b|f38v.7|G007: m(chy)/m(chor)=C]
ZL3b	f38v|f38v.1-f38v.8	ZL3b|f38v.7|G008	0	0	0	DUPLICATE_NO_RESTRICTION	1*[ZL3b|f38v.7|G004: m(chy)/m(chor)=B]; -1*[ZL3b|f38v.7|G008: m(chy)/m(chor)=B]
IT2a	f38v|f38v.1-f38v.8	IT2a|f38v.7|G007	0	1	-1	NONTRIVIAL	1*[IT2a|f38v.7|G004: m(chy)/m(chor)=B]; -1*[IT2a|f38v.7|G007: m(chy)/m(chor)=C]
