occurrence_no	clause_id	instruction_id	record	page	action_component	frame_code	frame_conditioned_verb_de	trigger	member_card_nos	source_position_ids	component_values_changed	action_gloss_refined
12	I007-C01	I007	H4	f55v	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC009|PROC048	SRC_E068|SRC_E069	NO	YES
13	I008-C02	I008	H5	f56r	K	TARGET_FEED	zuführen	K plus Ziel	PROC052|PROC053|PROC009|PROC052|PROC054	SRC_E075|SRC_E076|SRC_E077|SRC_E078|SRC_E079	NO	YES
14	I008-C04	I008	H5	f56r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC008	SRC_E081	NO	YES
15	I008-C05	I008	H5	f56r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC055|PROC034|PROC056|PROC008	SRC_E082|SRC_E083|SRC_E084|SRC_E085	NO	YES
16	I009-C02	I009	H5	f56r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	PROC052|PROC059	SRC_E088|SRC_E089	NO	YES
17	I009-C03	I009	H5	f56r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC060	SRC_E090	NO	YES
18	I009-C03	I009	H5	f56r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC060	SRC_E090	NO	YES
19	I009-C04	I009	H5	f56r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC011	SRC_E091	NO	YES
20	I009-C05	I009	H5	f56r	OK	PREPARATION_START	ansetzen	OK plus Ansatz/Arbeitsgang/Gabe	PROC061	SRC_E092	NO	YES
21	I009-C06	I009	H5	f56r	K	TARGET_FEED	zuführen	K plus Ziel	PROC062	SRC_E093	NO	YES
22	I009-C07	I009	H5	f56r	OK	PREPARATION_START	ansetzen	OK plus Ansatz/Arbeitsgang/Gabe	PROC052|PROC011	SRC_E094|SRC_E095	NO	YES
23	I009-C08	I009	H5	f56r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	PROC063	SRC_E096	NO	YES
24	I009-C09	I009	H5	f56r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	PROC064|PROC065|PROC066|PROC009	SRC_E097|SRC_E098|SRC_E099|SRC_E100	NO	YES
25	I010-C01	I010	B1	f81v	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC067	SRC_E101	NO	YES
26	I011-C01	I011	B1	f81v	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC038	SRC_E102	NO	YES
27	I011-C02	I011	B1	f81v	K	PATH_FEED	einspeisen	K plus Lauf/Durchlass	PROC068	SRC_E103	NO	YES
28	I011-C03	I011	B1	f81v	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC048	SRC_E104	NO	YES
29	I011-C04	I011	B1	f81v	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	PROC003|PROC013|PROC069	SRC_E105|SRC_E106|SRC_E107	NO	YES
30	I011-C05	I011	B1	f81v	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	PROC070	SRC_E108	NO	YES
31	I011-C07	I011	B1	f81v	L	GUIDE	führen	L ohne engeren Rahmen	PROC072	SRC_E112	NO	YES
32	I011-C09	I011	B1	f81v	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC009|PROC074	SRC_E116|SRC_E117	NO	YES
33	I011-C10	I011	B1	f81v	CHD	PATH_TRANSFER	durchleiten	CHD plus Lauf/Durchlass	PROC009|PROC075|PROC076	SRC_E118|SRC_E119|SRC_E120	NO	YES
34	I012-C01	I012	B1	f81v	K	COMMIT_ADD	zugeben	K plus Schluss	PROC013|PROC077	SRC_E121|SRC_E122	NO	YES
35	I012-C01	I012	B1	f81v	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC013|PROC077	SRC_E121|SRC_E122	NO	YES
36	I013-C01	I013	B1	f81v	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC042	SRC_E123	NO	YES
37	I014-C01	I014	B1	f81v	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC079	SRC_E126	NO	YES
38	I015-C01	I015	B1	f81v	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC080	SRC_E127	NO	YES
39	I015-C02	I015	B1	f81v	L	PATH_GUIDE	durchleiten	L plus Lauf/Durchlass	PROC075|PROC072	SRC_E128|SRC_E129	NO	YES
40	I015-C04	I015	B1	f81v	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC082	SRC_E131	NO	YES
41	I015-C04	I015	B1	f81v	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC082	SRC_E131	NO	YES
42	I017-C01	I017	B1	f81v	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC067	SRC_E137	NO	YES
43	I018-C01	I018	B1	f81v	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC067	SRC_E138	NO	YES
44	I019-C01	I019	B1	f81v	OK	FLOW_START	einleiten	OK plus Lauf/Durchlass	PROC075|PROC008	SRC_E139|SRC_E140	NO	YES
45	I019-C03	I019	B1	f81v	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC085	SRC_E142	NO	YES
46	I021-C01	I021	B1	f81v	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC042	SRC_E145	NO	YES
47	I021-C03	I021	B1	f81v	L	TARGET_GUIDE	hinleiten	L plus Ziel	PROC088	SRC_E147	NO	YES
48	I021-C03	I021	B1	f81v	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	PROC088	SRC_E147	NO	YES
49	I021-C05	I021	B1	f81v	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC091	SRC_E151	NO	YES
50	I021-C05	I021	B1	f81v	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC091	SRC_E151	NO	YES
51	I022-C01	I022	B1	f81v	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC048	SRC_E152	NO	YES
52	I022-C02	I022	B1	f81v	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC092	SRC_E153	NO	YES
53	I023-C01	I023	B1	f81v	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	PROC055|PROC093|PROC094	SRC_E156|SRC_E157|SRC_E158	NO	YES
54	I024-C01	I024	B1	f81v	L	GUIDE	führen	L ohne engeren Rahmen	PROC095	SRC_E159	NO	YES
55	I028-C01	I028	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC076	SRC_E167	NO	YES
56	I029-C01	I029	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC079	SRC_E168	NO	YES
57	I030-C01	I030	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC080	SRC_E169	NO	YES
58	I030-C02	I030	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC019|PROC100	SRC_E170|SRC_E171	NO	YES
59	I031-C01	I031	B2	f82r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC048	SRC_E172	NO	YES
60	I031-C02	I031	B2	f82r	L	PATH_GUIDE	durchleiten	L plus Lauf/Durchlass	PROC101	SRC_E173	NO	YES
61	I031-C03	I031	B2	f82r	L	GUIDE	führen	L ohne engeren Rahmen	PROC102	SRC_E174	NO	YES
62	I031-C03	I031	B2	f82r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC102	SRC_E174	NO	YES
63	I031-C04	I031	B2	f82r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC092	SRC_E175	NO	YES
64	I031-C05	I031	B2	f82r	L	PATH_GUIDE	durchleiten	L plus Lauf/Durchlass	PROC103	SRC_E176	NO	YES
65	I032-C01	I032	B2	f82r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC104	SRC_E177	NO	YES
66	I032-C03	I032	B2	f82r	OK	FLOW_START	einleiten	OK plus Lauf/Durchlass	PROC075|PROC038	SRC_E179|SRC_E180_E181	NO	YES
67	I032-C05	I032	B2	f82r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC108	SRC_E184	NO	YES
68	I033-C01	I033	B2	f82r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC109|PROC048	SRC_E185|SRC_E186	NO	YES
69	I033-C03	I033	B2	f82r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC008	SRC_E188	NO	YES
70	I034-C01	I034	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC112|PROC113	SRC_E190|SRC_E191	NO	YES
71	I036-C01	I036	B2	f82r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC092	SRC_E194	NO	YES
72	I036-C02	I036	B2	f82r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC008	SRC_E195	NO	YES
73	I036-C04	I036	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC080	SRC_E198	NO	YES
74	I036-C05	I036	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC003|PROC080	SRC_E199|SRC_E200	NO	YES
75	I036-C06	I036	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E201	NO	YES
76	I037-C01	I037	B2	f82r	L	GUIDE	führen	L ohne engeren Rahmen	PROC116	SRC_E202	NO	YES
77	I037-C03	I037	B2	f82r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC117|PROC092	SRC_E204|SRC_E205	NO	YES
78	I037-C04	I037	B2	f82r	L	GUIDE	führen	L ohne engeren Rahmen	PROC118	SRC_E206	NO	YES
79	I037-C05	I037	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC009|PROC019|PROC119	SRC_E207|SRC_E208|SRC_E209	NO	YES
80	I038-C01	I038	B2	f82r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC120	SRC_E210	NO	YES
81	I038-C01	I038	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC120	SRC_E210	NO	YES
82	I039-C01	I039	B2	f82r	L	SOURCE_DRAIN	ableiten	L plus Quelle	PROC121	SRC_E211	NO	YES
83	I039-C03	I039	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E213	NO	YES
84	I040-C01	I040	B2	f82r	L	SOURCE_DRAIN	ableiten	L plus Quelle	PROC055|PROC123	SRC_E214|SRC_E215	NO	YES
85	I040-C01	I040	B2	f82r	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	PROC055|PROC123	SRC_E214|SRC_E215	NO	YES
86	I040-C03	I040	B2	f82r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC009|PROC109|PROC038	SRC_E217|SRC_E218|SRC_E219	NO	YES
87	I040-C04	I040	B2	f82r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC085	SRC_E220	NO	YES
88	I040-C05	I040	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC125	SRC_E221	NO	YES
89	I042-C01	I042	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E224	NO	YES
90	I045-C01	I045	B2	f82r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E227	NO	YES
91	I046-C01	I046	B2	f82r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC130	SRC_E228	NO	YES
92	I046-C01	I046	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC130	SRC_E228	NO	YES
93	I049-C01	I049	B3	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC019|PROC009|PROC019|PROC120	SRC_E232|SRC_E233|SRC_E234|SRC_E235	NO	YES
94	I049-C01	I049	B3	f83r	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	PROC019|PROC009|PROC019|PROC120	SRC_E232|SRC_E233|SRC_E234|SRC_E235	NO	YES
95	I050-C01	I050	B3	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC038	SRC_E236	NO	YES
96	I050-C02	I050	B3	f83r	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	PROC131|PROC003|PROC076	SRC_E237|SRC_E238|SRC_E239	NO	YES
97	I051-C01	I051	B3	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC133	SRC_E240	NO	YES
98	I051-C02	I051	B3	f83r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC048	SRC_E241	NO	YES
99	I051-C03	I051	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC079	SRC_E242	NO	YES
100	I052-C01	I052	B3	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC038	SRC_E243	NO	YES
101	I052-C02	I052	B3	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC042	SRC_E244	NO	YES
102	I052-C03	I052	B3	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E245	NO	YES
103	I053-C01	I053	B3	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC120	SRC_E246	NO	YES
104	I053-C01	I053	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC120	SRC_E246	NO	YES
105	I054-C01	I054	B3	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC008	SRC_E247	NO	YES
106	I054-C02	I054	B3	f83r	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	PROC134|PROC135	SRC_E248|SRC_E249	NO	YES
107	I055-C01	I055	B3	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC136	SRC_E250	NO	YES
108	I055-C02	I055	B3	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC008	SRC_E251	NO	YES
109	I055-C03	I055	B3	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC042	SRC_E252	NO	YES
110	I056-C01	I056	B3	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC038	SRC_E256	NO	YES
111	I056-C02	I056	B3	f83r	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	PROC069	SRC_E257	NO	YES
112	I056-C03	I056	B3	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC117|PROC067	SRC_E258|SRC_E259	NO	YES
113	I057-C01	I057	B3	f83r	OK	FLOW_START	einleiten	OK plus Lauf/Durchlass	PROC138	SRC_E260	NO	YES
114	I058-C01	I058	B3	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC120	SRC_E262	NO	YES
115	I058-C01	I058	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC120	SRC_E262	NO	YES
116	I059-C01	I059	B3	f83r	L	GUIDE	führen	L ohne engeren Rahmen	PROC140	SRC_E263	NO	YES
117	I059-C02	I059	B3	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC091	SRC_E264	NO	YES
118	I059-C02	I059	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC091	SRC_E264	NO	YES
119	I060-C01	I060	B3	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E265	NO	YES
120	I062-C01	I062	B3	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC141	SRC_E267	NO	YES
121	I063-C01	I063	B3	f83r	L	TARGET_GUIDE	hinleiten	L plus Ziel	PROC055|PROC120	SRC_E268|SRC_E269	NO	YES
122	I063-C01	I063	B3	f83r	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	PROC055|PROC120	SRC_E268|SRC_E269	NO	YES
123	I064-C01	I064	B3	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC038	SRC_E270	NO	YES
124	I064-C04	I064	B3	f83r	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	PROC019|PROC055|PROC014|PROC144	SRC_E277|SRC_E278|SRC_E279|SRC_E280	NO	YES
125	I065-C01	I065	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC145	SRC_E281	NO	YES
126	I066-C01	I066	B3	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC120	SRC_E282	NO	YES
127	I066-C01	I066	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC120	SRC_E282	NO	YES
128	I067-C01	I067	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC076	SRC_E283	NO	YES
129	I068-C01	I068	B3	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC082	SRC_E284	NO	YES
130	I068-C01	I068	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC082	SRC_E284	NO	YES
131	I069-C01	I069	B3	f83r	L	SOURCE_DRAIN	ableiten	L plus Quelle	PROC146|PROC147	SRC_E285|SRC_E286	NO	YES
132	I069-C02	I069	B3	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC042	SRC_E287	NO	YES
133	I069-C03	I069	B3	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC080	SRC_E288	NO	YES
134	I071-C01	I071	B3	f83r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC092	SRC_E293	NO	YES
135	I071-C02	I071	B3	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC067	SRC_E294	NO	YES
136	I072-C02	I072	B3	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC067	SRC_E297	NO	YES
137	I073-C01	I073	B3	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC008	SRC_E298	NO	YES
138	I073-C02	I073	B3	f83r	CHD	PATH_TRANSFER	durchleiten	CHD plus Lauf/Durchlass	PROC009|PROC150	SRC_E299|SRC_E300	NO	YES
139	I073-C03	I073	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC145	SRC_E301	NO	YES
140	I074-C01	I074	B3	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E302	NO	YES
141	I075-C01	I075	B3	f83r	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	PROC151	SRC_E303	NO	YES
142	I075-C02	I075	B3	f83r	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	PROC042|PROC152|PROC112|PROC135	SRC_E304|SRC_E305|SRC_E306|SRC_E307	NO	YES
143	I076-C01	I076	B3	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC108	SRC_E308	NO	YES
144	I078-C01	I078	B4	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E315	NO	YES
145	I079-C01	I079	B4	f83r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC154|PROC092	SRC_E316|SRC_E317	NO	YES
146	I079-C02	I079	B4	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC067	SRC_E318	NO	YES
147	I080-C01	I080	B4	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC042	SRC_E319	NO	YES
148	I080-C02	I080	B4	f83r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	PROC131|PROC065|PROC092	SRC_E320|SRC_E321|SRC_E322	NO	YES
149	I080-C03	I080	B4	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC008	SRC_E323	NO	YES
150	I081-C01	I081	B4	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC155	SRC_E326	NO	YES
151	I082-C01	I082	B4	f83r	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	PROC156|PROC042	SRC_E327|SRC_E328	NO	YES
152	I082-C02	I082	B4	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC100	SRC_E329	NO	YES
153	I085-C03	I085	B4	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	PROC067	SRC_E335	NO	YES
154	I088-C02	I088	B4	f83r	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	PROC158	SRC_E340	NO	YES
155	I088-C03	I088	B4	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC080	SRC_E341	NO	YES
156	I088-C04	I088	B4	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	PROC042	SRC_E342	NO	YES
157	I088-C05	I088	B4	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC013|PROC159	SRC_E343|SRC_E344	NO	YES
158	I088-C05	I088	B4	f83r	K	COMMIT_ADD	zugeben	K plus Schluss	PROC013|PROC159	SRC_E343|SRC_E344	NO	YES
159	I089-C01	I089	B4	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC120	SRC_E345	NO	YES
160	I089-C01	I089	B4	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC120	SRC_E345	NO	YES
161	I090-C01	I090	B4	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC160	SRC_E346	NO	YES
162	I092-C01	I092	B4	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC080	SRC_E352	NO	YES
163	I092-C03	I092	B4	f83r	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	PROC069	SRC_E354	NO	YES
164	I092-C06	I092	B4	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	PROC120	SRC_E357	NO	YES
165	I092-C06	I092	B4	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC120	SRC_E357	NO	YES
166	I093-C01	I093	B4	f83r	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	PROC070	SRC_E358	NO	YES
167	I093-C02	I093	B4	f83r	K	TARGET_FEED	zuführen	K plus Ziel	PROC055|PROC165	SRC_E359|SRC_E360	NO	YES
168	I094-C01	I094	B5	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC166	SRC_E362	NO	YES
169	I095-C01	I095	B5	f83r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC082	SRC_E363	NO	YES
170	I095-C01	I095	B5	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	PROC082	SRC_E363	NO	YES
171	I096-C02	I096	B5	f83r	L	TARGET_GUIDE	hinleiten	L plus Ziel	PROC055|PROC013|PROC167	SRC_E365|SRC_E366|SRC_E367	NO	YES
172	I096-C03	I096	B5	f83r	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	PROC168	SRC_E368	NO	YES
173	I096-C04	I096	B5	f83r	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	PROC009|PROC013|PROC169|PROC042	SRC_E369|SRC_E370|SRC_E371|SRC_E372	NO	YES
174	I097-C02	I097	B6	f83r	K	ADD	zugeben	K ohne engeren Rahmen	PROC171	SRC_E374	NO	YES
175	I097-C04	I097	B6	f83r	L	TARGET_GUIDE	hinleiten	L plus Ziel	PROC013|PROC009|PROC013|PROC156|PROC019|PROC173	SRC_E376|SRC_E377|SRC_E378|SRC_E379|SRC_E380|SRC_E381	NO	YES
