statement_ordinal	statement_id	physical_page	register	owner_de	event_count	surface_sequence	corrected_recipe_sequence	action_chain_de	arguments_de	relations_de	grades_de	end_mode	focus_attachment_count	bounded_forward_count	owner_only_count	rule_families	scope_skeleton_de	pass1026_recipe_changed	scope_result
11	P1009-S011	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	4	daram ydar chog opydy	DA+R+A_ADDR+AM_ADDR | Y+D_ADDR+AR | HO+LOCAL_CHAR_G | O+P+Y+DY	MARKIEREN > EINSETZEN	AKTIVER POSTEN×2	AUSGANG×1	NONE	LICENSED_DY_CLOSE	3	0	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[MARKIEREN×1+EINSETZEN×1] > ARG[AKTIVER POSTEN×2] > REL[AUSGANG×1] > GRAD[NONE] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
12	P1009-S012	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	4	ypod chop otchy dody	Y+P+O+D_ADDR | CH+O+P | OT+CH+Y | D_ADDR+O+DY	EINSETZEN > NEHMEN > EINSETZEN > NEHMEN	AKTIVER POSTEN×2	NONE	NONE	LICENSED_DY_CLOSE	2	0	0	NEAREST_HEAD_LEFT_TIE	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[NEHMEN×2+EINSETZEN×2] > ARG[AKTIVER POSTEN×2] > REL[NONE] > GRAD[NONE] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
13	P1009-S013	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	6	oldckhy ydair choky okshy qodar ckhody	OL+D_ADDR+CH+K+Y | Y+D_ADDR+AIR | OK+Y | OK+Y | O+D_ADDR+AR | CH+K+O+DY	NEHMEN > GEBEN > SETZEN > SETZEN > NEHMEN > GEBEN	AKTIVER POSTEN×4	AUSGANG×1+LAUF×1	NONE	LICENSED_DY_CLOSE	6	0	0	AL_AR_ORDERED_FALLBACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[SETZEN×2+NEHMEN×2+GEBEN×2] > ARG[AKTIVER POSTEN×4] > REL[AUSGANG×1+LAUF×1] > GRAD[NONE] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
14	P1009-S014	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	26	dor otchol qodcthy ods chol or chy qodam okor chor okchom tcho shol qokol qor olaiin opydg som ypchy ypaim ychekchy cthy chor shor cphor cphaldy	D_ADDR+OR | OT+CH+OL | O+D_ADDR+CH+T+Y | O+D_ADDR+S | OL | OR | Y | O+D_ADDR+AM_ADDR | OK+OR | CH+OR | OK+CH+O+AM_ADDR | T+CH+O | SH+OL | OK+OL | OR | OL+AIIN | O+P+Y+D_ADDR+LOCAL_CHAR_G | S+O+M_LOCAL | Y+P+CH+Y | Y+P+AIR | Y+CH+K+Y | CH+T+Y | CH+OR | SH+OR | CH+P+OR | CH+P+AL+DY	NEHMEN > NEHMEN > EINSTELLEN > WÄHLEN > SETZEN > NEHMEN > SETZEN > NEHMEN > EINSTELLEN > NEHMEN > HALTEN > SETZEN > EINSETZEN > WÄHLEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSETZEN > NEHMEN > EINSETZEN	WERT×1+EINHEIT×8+AKTIVER POSTEN×9	ZIELORT×1+LAUF×1	NONE	LICENSED_DY_CLOSE	20	1	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[SETZEN×3+NEHMEN×11+HALTEN×2+GEBEN×1+WÄHLEN×2+EINSTELLEN×3+EINSETZEN×5] > ARG[WERT×1+EINHEIT×8+AKTIVER POSTEN×9] > REL[ZIELORT×1+LAUF×1] > GRAD[NONE] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
15	P1009-S015	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	3	dair cthey qody	D_ADDR+AIR | CH+T+E+Y | CARRIER_Q+O+DY	NEHMEN > EINSTELLEN	AKTIVER POSTEN×1	LAUF×1	GRAD I×1	LICENSED_DY_CLOSE	3	1	0	L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[NEHMEN×1+EINSTELLEN×1] > ARG[AKTIVER POSTEN×1] > REL[LAUF×1] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
16	P1009-S016	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	11	tsho qof cho qokcheor cheteg ksheo qokchy choldshy zepchy d opchordy	T+SH+O | O+LOCAL_CHAR_F | HO | OK+CH+E+O+R | CH+E+T+E+LOCAL_CHAR_G | K+SH+E+O | OK+Y | CH+OL+D_ADDR+SH+Y | S+E+P+CH+Y | D_ADDR | O+P+CH+OR+DY	EINSTELLEN > HALTEN > SETZEN > NEHMEN > MARKIEREN > NEHMEN > EINSTELLEN > GEBEN > HALTEN > SETZEN > NEHMEN > HALTEN > WÄHLEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN	EINHEIT×1+AKTIVER POSTEN×3	NONE	GRAD I×5	LICENSED_DY_CLOSE	9	0	0	NEAREST_HEAD_LEFT_TIE	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[SETZEN×2+NEHMEN×5+HALTEN×3+GEBEN×1+WÄHLEN×1+EINSTELLEN×2+MARKIEREN×1+EINSETZEN×2] > ARG[EINHEIT×1+AKTIVER POSTEN×3] > REL[NONE] > GRAD[GRAD I×5] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
17	P1009-S017	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	23	dchchy dychear schar ykchy soy chckho o das chypcham dar chear dcheor sain y mol otchol cthar okaiin chol daiiin ychod y chotom	D_ADDR+CH+Y | D_ADDR+Y+CH+E+AR | S+AR | Y+K+Y | S+O+Y | CH+K+O | O | DA+S | CH+Y+P+CH+AM_ADDR | D_ADDR+AR | CH+E+AR | D_ADDR+CH+E+O+R | S+AIN | Y | M_LOCAL+OL | OT+CH+OL | CH+T+AR | OK+AIIN | OL | DA+IIN | Y+CH+O+D_ADDR | Y | CH+OT+O+M_LOCAL	NEHMEN > NEHMEN > WÄHLEN > GEBEN > WÄHLEN > NEHMEN > GEBEN > WÄHLEN > NEHMEN > EINSETZEN > NEHMEN > NEHMEN > NEHMEN > MARKIEREN > WÄHLEN > NEHMEN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN > NEHMEN	WERT×1+ANTEIL×1+AKTIVER POSTEN×9	AUSGANG×5	GRAD I×3	TRUE_OPEN_ARTICLE_END	19	0	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[SETZEN×1+NEHMEN×11+GEBEN×2+WÄHLEN×4+EINSTELLEN×1+MARKIEREN×1+EINSETZEN×1] > ARG[WERT×1+ANTEIL×1+AKTIVER POSTEN×9] > REL[AUSGANG×5] > GRAD[GRAD I×3] > TRUE_OPEN_ARTICLE_END	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
18	P1009-S018	f18r	HERBAL	große abgebildete Blütenpflanze	1	pdrairdy	P+D_ADDR+R+AIR+DY	EINSETZEN > MARKIEREN	NONE	LAUF×1	NONE	LICENSED_DY_CLOSE	1	0	0	L_AIR_RIGHT_FALLBACK|R_POSITIONAL_MARKING	BESITZER[große abgebildete Blütenpflanze] > HANDLUNG[MARKIEREN×1+EINSETZEN×1] > ARG[NONE] > REL[LAUF×1] > GRAD[NONE] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
19	P1009-S019	f18r	HERBAL	große abgebildete Blütenpflanze	29	darod yoar ykchol dar om chckhy octhor dal otshol qokchol chykchy okchal daiin dy chol dain qokchor chor ey or chey qokchol dy ytcharg chor cthor okeor ykchol okain	D_ADDR+AR+O+D_ADDR | Y+O+AR | Y+K+OL | D_ADDR+AR | O+AM_ADDR | CH+K+Y | O+CH+T+OR | AL | OT+SH+OL | OK+OL | Y+K+CH+Y | OK+CH+AL | AIIN | Y | OL | AIN | OK+CH+OR | CH+OR | E+Y | OR | Y | OK+OL | Y | K+CH+AR+LOCAL_CHAR_G | CH+OR | CH+T+OR | OK+E+OR | Y+K+OL | OK+AIN	GEBEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > HALTEN > SETZEN > GEBEN > NEHMEN > SETZEN > NEHMEN > SETZEN > NEHMEN > NEHMEN > SETZEN > GEBEN > NEHMEN > NEHMEN > NEHMEN > EINSTELLEN > SETZEN > GEBEN > SETZEN	WERT×1+ANTEIL×2+EINHEIT×7+AKTIVER POSTEN×10	ZIELORT×2+AUSGANG×4	GRAD I×2	VISIBLE_PARAGRAPH_BOUNDARY	28	1	2	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK	BESITZER[große abgebildete Blütenpflanze] > HANDLUNG[SETZEN×6+NEHMEN×9+HALTEN×1+GEBEN×5+EINSTELLEN×2] > ARG[WERT×1+ANTEIL×2+EINHEIT×7+AKTIVER POSTEN×10] > REL[ZIELORT×2+AUSGANG×4] > GRAD[GRAD I×2] > VISIBLE_PARAGRAPH_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
20	P1009-S020	f18r	HERBAL	große abgebildete Blütenpflanze	19	tchor shor cthaiin cthol chlol chom ychy kchor dair ytol chcthy dar dar dal oshor shaiin cthy sholdy doldy	T+CH+OR | SH+OR | CH+T+AIIN | CH+T+OL | L+OL | HO+M_LOCAL | Y+Y | K+CH+OR | D_ADDR+AIR | Y+T+OL | CH+CH+T+Y | D_ADDR+AR | D_ADDR+AR | AL | O+SH+OR | SH+AIIN | CH+T+Y | SH+OL+D_ADDR+Y | OL+DY	EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > NEHMEN > EINSTELLEN > HALTEN > HALTEN > NEHMEN > EINSTELLEN > HALTEN	WERT×2+EINHEIT×4+AKTIVER POSTEN×6	ZIELORT×1+AUSGANG×2+VERBINDUNG×1+LAUF×1	NONE	LICENSED_DY_CLOSE	17	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE	BESITZER[große abgebildete Blütenpflanze] > HANDLUNG[NEHMEN×7+HALTEN×4+GEBEN×1+EINSTELLEN×6] > ARG[WERT×2+EINHEIT×4+AKTIVER POSTEN×6] > REL[ZIELORT×1+AUSGANG×2+VERBINDUNG×1+LAUF×1] > GRAD[NONE] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
