page_ordinal	physical_page	register	visible_group_count	running_event_count	local_group_count	statement_count	focus_attachment_count	bounded_forward_count	owner_only_count	rule_families_used	unsupported_rule_families_when_page_held	exact_surface_from_other_page	root_recipe_from_other_page	new_page_recipe_known_atoms	page_replay_result
12	f71v	CELESTIAL	100	78	22	5	105	2	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	NONE	48	4	26	PASS_FIXED_SCOPE_RULES
13	f72r	CELESTIAL	384	288	96	22	352	14	7	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	184	45	59	PASS_FIXED_SCOPE_RULES
14	f75r	BIOLOGICAL	418	408	10	111	433	17	19	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	344	15	49	PASS_FIXED_SCOPE_RULES
15	f76r	BIOLOGICAL	569	560	9	118	652	29	32	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	446	47	67	PASS_FIXED_SCOPE_RULES
16	f77r	BIOLOGICAL	332	321	11	82	359	19	23	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	265	13	43	PASS_FIXED_SCOPE_RULES
17	f81v	BIOLOGICAL	255	253	2	54	282	6	11	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	192	13	48	PASS_FIXED_SCOPE_RULES
18	f82r	BIOLOGICAL	291	278	13	62	353	13	7	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	212	15	51	PASS_FIXED_SCOPE_RULES
19	f83r	BIOLOGICAL	345	341	4	91	389	10	12	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	259	16	66	PASS_FIXED_SCOPE_RULES
20	f88r	PHARMA	150	134	16	5	151	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	97	6	31	PASS_FIXED_SCOPE_RULES
21	f88v	PHARMA	145	131	14	13	176	4	2	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	83	12	36	PASS_FIXED_SCOPE_RULES
22	f89r	PHARMA	376	338	38	20	378	2	8	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	242	41	55	PASS_FIXED_SCOPE_RULES
