replay_event_id	event_id	pass1026_event_id	physical_page	register	statement_id	locus	surface	component_recipe	component_atom_count	pass1026_change	all_atoms_on_fixed_sheet	outside_surface_pages	outside_recipe_pages	outside_surface_registers	outside_recipe_registers	page_replay_result	register_replay_result
G399-E0021	P912-E0021	P1026-E0021	f10r	HERBAL	P1009-S001	f10r.3	tchy	T+Y	2	UNCHANGED	YES	NONE	f13r|f83r	NONE	BIOLOGICAL	ROOT_RECIPE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0022	P912-E0022	P1026-E0022	f10r	HERBAL	P1009-S001	f10r.3	daiin	AIIN	1	UNCHANGED	YES	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0023	P912-E0023	P1026-E0023	f10r	HERBAL	P1009-S001	f10r.3	chocthy	CH+O+CH+T+Y	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0024	P912-E0024	P1026-E0024	f10r	HERBAL	P1009-S001	f10r.3	qotchy	OT+Y	2	UNCHANGED	YES	f11r|f56r	f11r|f13r|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r	NONE	BIOLOGICAL|CELESTIAL	EXACT_SURFACE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0025	P912-E0025	P1026-E0025	f10r	HERBAL	P1009-S001	f10r.3	chol	OL	1	UNCHANGED	YES	f11r|f13r|f17r|f18r|f56r|f67r2|f72r|f76r|f77r|f88r|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0026	P912-E0026	P1026-E0026	f10r	HERBAL	P1009-S001	f10r.3	or	OR	1	UNCHANGED	YES	f17r|f18r|f55v|f67r2|f71v|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	f17r|f18r|f55v|f67r2|f71v|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0027	P912-E0027	P1026-E0027	f10r	HERBAL	P1009-S001	f10r.3	yty	Y+T+Y	3	UNCHANGED	YES	f89r	f11r|f13r|f89r	PHARMA	PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0028	P912-E0028	P1026-E0028	f10r	HERBAL	P1009-S001	f10r.3	dy	Y	1	UNCHANGED	YES	f11r|f13r|f18r|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f88v|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0029	P912-E0029	P1026-E0029	f10r	HERBAL	P1009-S001	f10r.3	dy	Y	1	UNCHANGED	YES	f11r|f13r|f18r|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f88v|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0030	P912-E0030	P1026-E0030	f10r	HERBAL	P1009-S001	f10r.4	sor	S+OR	2	UNCHANGED	YES	f67r2|f75r|f76r|f83r	f67r2|f72r|f75r|f76r|f83r	BIOLOGICAL|CELESTIAL	BIOLOGICAL|CELESTIAL	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0031	P912-E0031	P1026-E0031	f10r	HERBAL	P1009-S001	f10r.4	chaiin	CH+AIIN	2	UNCHANGED	YES	f11r|f55v	f11r|f55v|f89r	NONE	PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0032	P912-E0032	P1026-E0032	f10r	HERBAL	P1009-S001	f10r.4	chcthy	CH+CH+T+Y	4	UNCHANGED	YES	f18r|f75r|f76r|f77r|f81v	f18r|f75r|f76r|f77r|f81v	BIOLOGICAL	BIOLOGICAL	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0033	P912-E0033	P1026-E0033	f10r	HERBAL	P1009-S001	f10r.4	ctho	CH+T+O	3	UNCHANGED	YES	f56r	f56r	NONE	NONE	EXACT_SURFACE_FROM_OTHER_PAGE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0034	P912-E0034	P1026-E0034	f10r	HERBAL	P1009-S001	f10r.4	ckhy	CH+K+Y	3	UNCHANGED	YES	f81v	f13r|f18r|f55v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0035	P912-E0035	P1026-E0035	f10r	HERBAL	P1009-S001	f10r.4	or	OR	1	UNCHANGED	YES	f17r|f18r|f55v|f67r2|f71v|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	f17r|f18r|f55v|f67r2|f71v|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0036	P912-E0036	P1026-E0036	f10r	HERBAL	P1009-S001	f10r.4	aiin	AIIN	1	UNCHANGED	YES	f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0037	P912-E0037	P1026-E0037	f10r	HERBAL	P1009-S001	f10r.4	chtchor	CH+T+CH+OR	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0038	P912-E0038	P1026-E0038	f10r	HERBAL	P1009-S001	f10r.4	doiir	D_ADDR+O+IIN+R	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0039	P912-E0039	P1026-E0039	f10r	HERBAL	P1009-S001	f10r.4	ody	O+DY	2	UNCHANGED	YES	f55v	f55v	NONE	NONE	EXACT_SURFACE_FROM_OTHER_PAGE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0040	P912-E0040	P1026-E0040	f10r	HERBAL	P1009-S002	f10r.5	qokchy	OK+Y	2	UNCHANGED	YES	f13r|f17r|f18r|f55v|f83r|f89r	f13r|f17r|f18r|f55v|f56r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|PHARMA	BIOLOGICAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0041	P912-E0041	P1026-E0041	f10r	HERBAL	P1009-S002	f10r.5	qotchol	OT+CH+OL	3	UNCHANGED	YES	f13r	f13r|f17r|f88r|f89r	NONE	PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0042	P912-E0042	P1026-E0042	f10r	HERBAL	P1009-S002	f10r.5	chol	OL	1	UNCHANGED	YES	f11r|f13r|f17r|f18r|f56r|f67r2|f72r|f76r|f77r|f88r|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0043	P912-E0043	P1026-E0043	f10r	HERBAL	P1009-S002	f10r.5	cthy	CH+T+Y	3	UNCHANGED	YES	f11r|f17r|f18r|f56r	f11r|f17r|f18r|f56r|f75r|f76r|f83r	NONE	BIOLOGICAL	EXACT_SURFACE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0044	P912-E0044	P1026-E0044	f10r	HERBAL	P1009-S002	f10r.6	ycheor	Y+CH+E+O+R	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0045	P912-E0045	P1026-E0045	f10r	HERBAL	P1009-S002	f10r.6	cthy	CH+T+Y	3	UNCHANGED	YES	f11r|f17r|f18r|f56r	f11r|f17r|f18r|f56r|f75r|f76r|f83r	NONE	BIOLOGICAL	EXACT_SURFACE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0046	P912-E0046	P1026-E0046	f10r	HERBAL	P1009-S002	f10r.6	chor	CH+OR	2	UNCHANGED	YES	f13r|f17r|f18r|f56r|f88r|f88v|f89r	f13r|f17r|f18r|f56r|f88r|f88v|f89r	PHARMA	PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0047	P912-E0047	P1026-E0047	f10r	HERBAL	P1009-S002	f10r.6	cthaiin	CH+T+AIIN	3	UNCHANGED	YES	f18r	f18r	NONE	NONE	EXACT_SURFACE_FROM_OTHER_PAGE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0048	P912-E0048	P1026-E0048	f10r	HERBAL	P1009-S002	f10r.6	qoctholy	CARRIER_Q+O+CH+T+OL+Y	6	UNCHANGED	YES	NONE	f89r	NONE	PHARMA	ROOT_RECIPE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0049	P912-E0049	P1026-E0049	f10r	HERBAL	P1009-S002	f10r.6	dy	Y	1	UNCHANGED	YES	f11r|f13r|f18r|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f88v|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0050	P912-E0050	P1026-E0050	f10r	HERBAL	P1009-S002	f10r.6	chy	Y	1	UNCHANGED	YES	f11r|f17r|f56r|f72r|f75r|f76r|f77r|f81v|f88r|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0051	P912-E0051	P1026-E0051	f10r	HERBAL	P1009-S002	f10r.6	taiin	T+AIIN	2	UNCHANGED	YES	f82r|f89r	f82r|f89r	BIOLOGICAL|PHARMA	BIOLOGICAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0052	P912-E0052	P1026-E0052	f10r	HERBAL	P1009-S002	f10r.6	shy	Y	1	UNCHANGED	YES	f13r|f56r|f72r|f75r|f76r|f83r|f88r|f88v	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0053	P912-E0053	P1026-E0053	f10r	HERBAL	P1009-S002	f10r.7	dchy	D_ADDR+Y	2	UNCHANGED	YES	f13r	f13r	NONE	NONE	EXACT_SURFACE_FROM_OTHER_PAGE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0054	P912-E0054	P1026-E0054	f10r	HERBAL	P1009-S002	f10r.7	qokchol	OK+OL	2	UNCHANGED	YES	f18r	f11r|f17r|f18r|f56r|f67r2|f71v|f77r|f83r|f88r|f88v|f89r	NONE	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0055	P912-E0055	P1026-E0055	f10r	HERBAL	P1009-S002	f10r.7	y	Y	1	UNCHANGED	YES	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f76r|f77r|f81v|f88v|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0056	P912-E0056	P1026-E0056	f10r	HERBAL	P1009-S002	f10r.7	kchaiin	K+CH+AIIN	3	UNCHANGED	YES	f18r	f18r	NONE	NONE	EXACT_SURFACE_FROM_OTHER_PAGE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0057	P912-E0057	P1026-E0057	f10r	HERBAL	P1009-S002	f10r.7	yty	Y+T+Y	3	UNCHANGED	YES	f89r	f11r|f13r|f89r	PHARMA	PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0058	P912-E0058	P1026-E0058	f10r	HERBAL	P1009-S002	f10r.7	daiin	AIIN	1	UNCHANGED	YES	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0059	P912-E0059	P1026-E0059	f10r	HERBAL	P1009-S002	f10r.7	cth	CH+T	2	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0060	P912-E0060	P1026-E0060	f10r	HERBAL	P1009-S002	f10r.7	dain	AIN	1	UNCHANGED	YES	f11r|f18r|f67r2|f75r|f76r|f81v|f83r|f88v|f89r	f11r|f18r|f55v|f67r2|f75r|f76r|f77r|f81v|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0061	P912-E0061	P1026-E0061	f10r	HERBAL	P1009-S002	f10r.7	dair	D_ADDR+AIR	2	UNCHANGED	YES	f11r|f17r|f18r|f88v|f89r	f11r|f17r|f18r|f88v|f89r	PHARMA	PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0062	P912-E0062	P1026-E0062	f10r	HERBAL	P1009-S002	f10r.7	am	AM_ADDR	1	UNCHANGED	YES	f55v|f67r2|f72r|f75r	f55v|f67r2|f72r|f75r	BIOLOGICAL|CELESTIAL	BIOLOGICAL|CELESTIAL	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0063	P912-E0063	P1026-E0063	f10r	HERBAL	P1009-S002	f10r.8	qotchor	OT+CH+OR	3	UNCHANGED	YES	NONE	f13r|f56r	NONE	NONE	ROOT_RECIPE_FROM_OTHER_PAGE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0064	P912-E0064	P1026-E0064	f10r	HERBAL	P1009-S002	f10r.8	chor	CH+OR	2	UNCHANGED	YES	f13r|f17r|f18r|f56r|f88r|f88v|f89r	f13r|f17r|f18r|f56r|f88r|f88v|f89r	PHARMA	PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0065	P912-E0065	P1026-E0065	f10r	HERBAL	P1009-S002	f10r.8	otol	OT+OL	2	UNCHANGED	YES	f11r|f75r|f88v|f89r	f11r|f75r|f77r|f88v|f89r	BIOLOGICAL|PHARMA	BIOLOGICAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0066	P912-E0066	P1026-E0066	f10r	HERBAL	P1009-S002	f10r.8	chol	OL	1	UNCHANGED	YES	f11r|f13r|f17r|f18r|f56r|f67r2|f72r|f76r|f77r|f88r|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0067	P912-E0067	P1026-E0067	f10r	HERBAL	P1009-S002	f10r.8	cholor	OL+OR	2	UNCHANGED	YES	NONE	f75r|f76r|f81v	NONE	BIOLOGICAL	ROOT_RECIPE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0068	P912-E0068	P1026-E0068	f10r	HERBAL	P1009-S002	f10r.8	chol	OL	1	UNCHANGED	YES	f11r|f13r|f17r|f18r|f56r|f67r2|f72r|f76r|f77r|f88r|f89r	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0069	P912-E0069	P1026-E0069	f10r	HERBAL	P1009-S002	f10r.8	daiin	AIIN	1	UNCHANGED	YES	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0070	P912-E0070	P1026-E0070	f10r	HERBAL	P1009-S002	f10r.8	dar	D_ADDR+AR	2	UNCHANGED	YES	f13r|f17r|f18r|f67r2|f71v|f72r|f75r|f76r|f81v|f82r|f83r|f88r|f88v|f89r	f13r|f17r|f18r|f67r2|f71v|f72r|f75r|f76r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
