surface	prose_events	astro_events	prose_pages	astro_pages	prose_defaults	astro_defaults	all_occurrence_exact_default_portable	working_disposition
okain	3	1	f82r|f83r	f67r2	add one measured portion to the vessel	sevenfold governor 3: Mars	NO	REGISTER_LOCAL_HOMOGRAPH
okal	2	1	f55v|f81v	f67r2	mix the two portions together	sevenfold governor 2: Jupiter	NO	REGISTER_LOCAL_HOMOGRAPH
okchy	1	1	f56r	f67r2	use the freshly prepared remedy	its ruling quality	NO	REGISTER_LOCAL_HOMOGRAPH
okeey	1	4	f81v	f68r1|f69v	temper the working liquid and keep it lukewarm	close the consultation || favorable for a warm bath || the lunar station	NO	REGISTER_LOCAL_HOMOGRAPH
okey	1	2	f82r	f67r2|f69v	warm water	in the morning || make the ordinary bath	NO	REGISTER_LOCAL_HOMOGRAPH
oky	1	1	f10r	f68r1	apply or use this portion	the Moon	NO	REGISTER_LOCAL_HOMOGRAPH
ol	8	1	f81v|f83r	f69v	with the foregoing preparation	repeat only once	NO	REGISTER_LOCAL_HOMOGRAPH
oldy	2	1	f55v|f83r	f67r2	boil gently; close the rubric	at the affected place	NO	REGISTER_LOCAL_HOMOGRAPH
olor	1	1	f81v	f68r1	from the foregoing batch	noncentral lunar station at source locus f68r1.20	NO	REGISTER_LOCAL_HOMOGRAPH
or	2	1	f55v|f83r	f67r2	the prepared decoction or working liquid	for the sick person	NO	REGISTER_LOCAL_HOMOGRAPH
os	1	2	f10r	f67r2	reduce it to a coarse powder	for this division || the adverse condition	NO	REGISTER_LOCAL_HOMOGRAPH
otar	1	1	f81v	f67r2	then use the lower outlet	house 6: illness and service	NO	REGISTER_LOCAL_HOMOGRAPH
otchdy	1	1	f83r	f68r1	draw it off; close the rubric	noncentral lunar station at source locus f68r1.23	NO	REGISTER_LOCAL_HOMOGRAPH
otchey	2	1	f56r|f83r	f67r2	take the final indicated share	repeat once	NO	REGISTER_LOCAL_HOMOGRAPH
oteey	2	2	f82r	f69v	the prepared oil	inspect the pictured schedule || when the Moon reaches the station	NO	REGISTER_LOCAL_HOMOGRAPH
otol	1	1	f10r	f68r1	one handful	noncentral lunar station at source locus f68r1.25	NO	REGISTER_LOCAL_HOMOGRAPH
qokeeedy	1	1	f82r	f68r1	immerse fully; close the rubric	and consult its rule	NO	REGISTER_LOCAL_HOMOGRAPH
saiin	4	1	f83r	f67r2	in the stated or usual measure	favour washing	NO	REGISTER_LOCAL_HOMOGRAPH
sal	1	1	f81v	f67r2	apply it at the place indicated by the drawing	use the indicated remedy	NO	REGISTER_LOCAL_HOMOGRAPH
sar	1	2	f81v	f69v	from the same prepared batch	continue to the next station || especially after sunset	NO	REGISTER_LOCAL_HOMOGRAPH
sheey	1	1	f83r	f69v	the first opening	when the Moon reaches the station	NO	REGISTER_LOCAL_HOMOGRAPH
shey	2	1	f11r|f83r	f68r1	until the liquid runs clear	and consult its rule	NO	REGISTER_LOCAL_HOMOGRAPH
sor	1	1	f83r	f67r2	the prepared decoction or working liquid	at the affected place	NO	REGISTER_LOCAL_HOMOGRAPH
sy	1	1	f83r	f67r2	this present portion	use the indicated remedy	NO	REGISTER_LOCAL_HOMOGRAPH
tol	1	1	f83r	f67r2	with the foregoing preparation	house 5: children and pleasure	NO	REGISTER_LOCAL_HOMOGRAPH
y	1	9	f55v	f67r2|f69v	this present portion	apply the remedy || close the consultation || house 3: siblings and messages || if the condition is favourable || keep the usual measure || let it settle || when the Moon reaches the station	NO	REGISTER_LOCAL_HOMOGRAPH
