transition_serial	statement_id	unit_id	entry_boundary_class	observed_triggers	inferred_missing_slots	pre_state	owner_operation	active_operation	target_operation	previous_operation	operation_trace	post_state	compiler_state_path	backward_from_full_log	backward_from_post_state_only	irreducible_ambiguity_codes	record_local_contract
11	H4-S002	H4	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:MASS? | CLOSURE:F011:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:H4-LB01:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(H4:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(H4:I001) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:INTRODUCE(H4:T001;LOCAL_MARKED_TARGET)	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=H4:T001;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	H4:Oxx/H4:Ixxx/H4:Txxx;RECORD_LOCAL_ONLY
12	H4-S003	H4	START_NEW_CLAUSE	BOUNDARY:START_NEW_CLAUSE | CLOSURE:F012:TERMINAL | SOURCE_TO:H4-LB01:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=H4:T001;PREVIOUS_ITEM=UNSET	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H4:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H4:I001) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H4:I002) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_RESET_DISCARDS_PRIOR_TARGET	H4:Oxx/H4:Ixxx/H4:Txxx;RECORD_LOCAL_ONLY
13	H4-S004	H4	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:MASS? | EXACT_SELECTED:ANSATZ? | CLOSURE:F013:OPEN | LOCAL_PREVIOUS_CUE:TWO_SHARES	OWNER	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	CARRY	RESUME	CARRY	CARRY	OWNER:CARRY(H4:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(H4:I002) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(H4:I001) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H4:I002;ANSATZ?)	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TWO_INPUTS_ORDER_AMBIGUOUS | OPEN_RECORD_END	H4:Oxx/H4:Ixxx/H4:Txxx;RECORD_LOCAL_ONLY
14	H5-S001	H5	RECORD_START	BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | EXACT_SELECTED:ANWENDEN? | EXACT_SELECTED:ZIEL? | CLOSURE:F014:OPEN > F015:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:H5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:H5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:H5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_FROM:H5-LB02:RESUME_ACTIVE_ITEM	ACTIVE_ITEM/PREPARATION	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER:INTRODUCE(H5:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H5:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(H5:T001;LOCAL_MARKED_TARGET)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T001;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY
15	H5-S002	H5	RESUME_ACTIVE_ITEM	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:ANWENDEN? | CLOSURE:F016:TERMINAL | LOCAL_TARGET_FILLER:SHADOW_PLACE | SOURCE_TO:H5-LB02:RESUME_ACTIVE_ITEM | SOURCE_FROM:H5-LB03:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T001;PREVIOUS_ITEM=UNSET	CARRY	RESUME	INTRODUCE	CARRY	OWNER:CARRY(H5:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H5:I001) -> TARGET/STATION:CARRY(H5:T001) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:INTRODUCE(H5:T002;LOCAL_SHADOW_PLACE)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T002;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY
16	H5-S003	H5	NEXT_PARALLEL_CELL	BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F017:OPEN | LOCAL_TARGET_FILLER:SHADOW_PLACE | SOURCE_TO:H5-LB03:NEXT_PARALLEL_CELL | SOURCE_FROM:H5-LB04:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T002;PREVIOUS_ITEM=UNSET	CARRY	INTRODUCE	INTRODUCE	INTRODUCE	OWNER:CARRY(H5:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H5:I001) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H5:I002) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE) -> TARGET/STATION:INTRODUCE(H5:T003;LOCAL_SHADOW_PLACE)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T003;PREVIOUS_ITEM=H5:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_RESET_DISCARDS_PRIOR_TARGET	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY
17	H5-S004	H5	RESUME_ACTIVE_ITEM	BOUNDARY:RESUME_ACTIVE_ITEM | CLOSURE:F018:OPEN | LOCAL_TARGET_FILLER:SHADOW_PLACE | LOCAL_PREVIOUS_CUE:REMAINDER | SOURCE_TO:H5-LB04:RESUME_ACTIVE_ITEM | SOURCE_FROM:H5-LB05:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T003;PREVIOUS_ITEM=H5:I001	CARRY	RESUME	INTRODUCE	CARRY	OWNER:CARRY(H5:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H5:I002) -> TARGET/STATION:CARRY(H5:T003) -> PREVIOUS_ITEM:CARRY(H5:I001) -> TARGET/STATION:INTRODUCE(H5:T004;LOCAL_SHADOW_PLACE)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T004;PREVIOUS_ITEM=H5:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY
18	H5-S005	H5	NEXT_PARALLEL_CELL	BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F019:OPEN | SOURCE_TO:H5-LB05:NEXT_PARALLEL_CELL | SOURCE_FROM:H5-LB06:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T004;PREVIOUS_ITEM=H5:I001	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H5:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H5:I002) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H5:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY
19	H5-S006	H5	NEXT_PARALLEL_CELL	BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANTEIL? | EXACT_SELECTED:MASS? | CLOSURE:F020:OPEN | SOURCE_TO:H5-LB06:NEXT_PARALLEL_CELL	OWNER	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I002	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H5:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H5:I003) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H5:I004) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE) -> ACTIVE_ITEM/PREPARATION:CONFIRM_INTRODUCED(H5:I004;ANTEIL?)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I003	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_SLOT_OVERWRITTEN | OPEN_RECORD_END	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY
20	B1-S001	B1	RECORD_START	BOUNDARY:RECORD_START | EXACT_SELECTED:SPÜLEN? | CLOSURE:F021:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER:INTRODUCE(B1:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B1:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(B1:T001;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
21	B1-S002	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | EXACT_SELECTED:MASS? | CLOSURE:F022:OPEN > F023:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | LOCAL_PREVIOUS_CUE:RETURNING_STREAM | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_FROM:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB01:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	CARRY	RESUME	INTRODUCE	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I001) -> TARGET/STATION:CARRY(B1:T001) -> PREVIOUS_ITEM:CARRY(UNSET) -> PREVIOUS_ITEM:INTRODUCE_INFERRED(B1:I002;VORIGES?) -> ACTIVE_ITEM/PREPARATION:RESUME_FROM_PREVIOUS(B1:I002;VORIGES?) -> TARGET/STATION:INTRODUCE(B1:T002;LOCAL_LOWER_BASIN) -> TARGET/STATION:INTRODUCE(B1:T003;LOCAL_MARKED_TARGET) -> TARGET/STATION:INTRODUCE(B1:T004;LOCAL_CONNECTED_RUNS) -> TARGET/STATION:INTRODUCE(B1:T005;LOCAL_VESSEL_OR_RUN)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	INFERRED_PREVIOUS_IDENTITY | PREVIOUS_REFERENT_CLASS_AMBIGUOUS | TWO_INPUTS_ORDER_AMBIGUOUS | MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
