world	target	previous_action	patient	patient_form	object	rule	debts	prior_state	later_events	row_status
C_A|M|H|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|M|H|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|B|D|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|B|D|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|B|H|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|B|H|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|J|D|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|J|D|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|J|H|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|J|H|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|M|D|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|M|D|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|M|H|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_Q|M|H|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
