card_no	surfaces	component_recipe	semantic_recipe_de	surface_forms	direct_forms	renderer_forms	max_renderer_residue_length	card_prediction_class	events	pages	copybook_rule_de
PROC024	kaiiin	K+IIN	ZUDOSIEREN · STUFE	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC025	chodaiin	CH+O+AIIN	ABNEHMEN · GANG · MASS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC027	schoal	SH+O+AL	HALTEN · GANG · ZIEL	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC028	cfhy	CFH+Y	AUSWRINGEN · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · DIES · MASS	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC030	cphy	P+Y	EINFUELLEN · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · DIES	2	2	0	0	COMPOSED_DIRECT_ALL_FORMS	4	f11r|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC032	tchody	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	2	0	2	1	MEMORIZED_WHOLE_COMMAND	2	f11r|f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC035	kchy	K+Y	ZUDOSIEREN · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC036	qotchy	OT+Y	DANACH · DIES	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC037	okchol	OK+OL	ANSETZEN · FORTSETZEN	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f11r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · MASS	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	9	f55v|f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC039	ykain	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f55v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC040	ykan	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f55v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC041	ody	O+DY	GANG · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f55v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC042	chdy|chedy	CHD+Y	UMSETZEN · DIES	2	0	2	2	COMPOSED_WITH_BOUND_RENDERER	11	f55v|f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC043	talam	TALAM	VERWAHREN	1	1	0	0	MEMORIZED_WHOLE_COMMAND	1	f55v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC044	ykaiin	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f55v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC045	cheoar	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f55v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	2	f55v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC047	oldy	OL+DY	FORTSETZEN · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	2	f55v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIEL	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	6	f55v|f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC049	oltchy	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f55v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC050	orain	OR+AIN	ANSATZ · PORTION	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f55v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC051	chochor	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC052	cho|sho	HO	ZUTAT	2	0	2	1	COMPOSED_WITH_BOUND_RENDERER	4	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIEL · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC054	kchol	K+OL	ZUDOSIEREN · FORTSETZEN	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIEL	6	1	5	3	COMPOSED_WITH_BOUND_RENDERER	10	f56r|f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC056	choy	HO+Y	ZUTAT · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC057	cheeckhody	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC058	sh	SH	HALTEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC059	kchey	K+E+Y	ZUDOSIEREN · KURZ · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC062	kchal	K+AL	ZUDOSIEREN · ZIEL	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC063	kchoar	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC064	sotodan	OT+O+AIN	DANACH · GANG · PORTION	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC065	otchey	OT+Y	DANACH · DIES	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	2	f56r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC066	keol	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	8	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC068	kair	K+AIR	ZUDOSIEREN · LAUF	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC069	chkain|kain	K+AIN	ZUDOSIEREN · PORTION	2	1	1	2	COMPOSED_WITH_BOUND_RENDERER	3	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC070	olkain|qolkain	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	2	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC071	rol	R+OL	KUEHLEN · FORTSETZEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC072	dl	L	WEITERLEITEN	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	2	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIEL	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC075	chckhy|shckhy	CKH+Y	DURCHLASS · DIES	2	0	2	2	COMPOSED_WITH_BOUND_RENDERER	4	f81v|f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN · SCHLUSS	3	0	3	2	COMPOSED_WITH_BOUND_RENDERER	4	f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC078	cheedy|shedy|tedy	SHED+DY	ABSETZEN · SCHLUSS	3	3	0	0	COMPOSED_DIRECT_ALL_FORMS	12	f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC079	olchedy|qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	2	0	2	2	COMPOSED_WITH_BOUND_RENDERER	3	f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	7	f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC081	ral	R+AL	KUEHLEN · ZIEL	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	3	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	3	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC084	lsho	LSH+O	WASCHEN · GANG	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC085	okey|qokey	OK+E+Y	ANSETZEN · KURZ · DIES	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	2	f81v|f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	2	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC087	qolky	SOLK+Y	AUFFANGEN · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC088	lchedal	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC089	otar	OT+AR	DANACH · QUELLE	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC090	ytey	T+E+Y	EINTRAGEN · KURZ · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	2	0	2	2	COMPOSED_WITH_BOUND_RENDERER	2	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	7	f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC093	teol	E+OL	KURZ · FORTSETZEN	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC095	ly	L+Y	WEITERLEITEN · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC097	oiiin|soiiin	O+IIN	GANG · STUFE	2	0	2	2	COMPOSED_WITH_BOUND_RENDERER	2	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC098	olkeedy|solkeedy	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	3	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	3	f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	10	f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC101	lcheckhy	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC102	lched	L+CHD	WEITERLEITEN · UMSETZEN	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIEL · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC105	solkaiin	SOLK+AIIN	AUFFANGEN · MASS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC106	octheol	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC108	ldy	L+DY	WEITERLEITEN · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	2	f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
