card_no	component_parse	role_signature	clause_type	head_actions	argument_components	modifier_components	has_close	role_based_reading_de	old_component_reading_de	occurrences	sections	records	composition_status
PROC045	CH+E+O+AR	ACTION+GRADE+PROCESS+SOURCE	ACTION_CLAUSE	CH	O|AR	E	NO	den Arbeitsgang von dort kurz abziehen	abziehen · kurz · Arbeitsgang · von dort	1	HERBAL	H4	COMPOSITIONAL
PROC046	CHK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	CHK	Y	EE	NO	diesen Posten länger wärmen	wärmen · länger · dies	2	HERBAL|BIOLOGICAL	H4|B4	COMPOSITIONAL
PROC047	OL+DY	SEQUENCE+CLOSE	CLOSE_WITHOUT_ACTION	NONE	NONE	OL	YES	fortsetzen; Schritt schließen	fortsetzen · Schluss	2	HERBAL|BIOLOGICAL	H4|B4	COMPOSITIONAL
PROC048	OK+AL	ACTION+TARGET	ACTION_CLAUSE	OK	AL	NONE	NO	den laufenden Posten an bezeichnete Stelle ansetzen	ansetzen · Zielstelle	6	HERBAL|BIOLOGICAL	H4|B1|B2|B3	COMPOSITIONAL
PROC049	OL+T+Y	SEQUENCE+ACTION+ITEM	ACTION_CLAUSE	T	Y	OL	NO	fortsetzen diesen Posten eintragen	fortsetzen · eintragen · dies	1	HERBAL	H4	COMPOSITIONAL
PROC050	OR+AIN	PREPARATION+QUANTITY	ARGUMENT_OR_ADDRESS	NONE	OR|AIN	NONE	NO	Ansatz · Portion	Ansatz · Portion	1	HERBAL	H4	COMPOSITIONAL
PROC051	HO+CH+OR	MATERIAL+ACTION+PREPARATION	ACTION_CLAUSE	CH	HO|OR	NONE	NO	den Gabe und Ansatz abziehen	Gabe · abziehen · Ansatz	1	HERBAL	H5	COMPOSITIONAL
PROC052	HO	MATERIAL	ARGUMENT_OR_ADDRESS	NONE	HO	NONE	NO	Gabe	Gabe	4	HERBAL	H5	COMPOSITIONAL
PROC053	HO+AL+Y	MATERIAL+TARGET+ITEM	ARGUMENT_OR_ADDRESS	NONE	HO|AL|Y	NONE	NO	Gabe · bezeichnete Stelle · dieser Posten	Gabe · Zielstelle · dies	1	HERBAL	H5	COMPOSITIONAL
PROC054	K+OL	ACTION+SEQUENCE	ACTION_CLAUSE	K	NONE	OL	NO	fortsetzen den laufenden Posten zuführen	zuführen · fortsetzen	1	HERBAL	H5	COMPOSITIONAL
PROC055	AL	TARGET	ARGUMENT_OR_ADDRESS	NONE	AL	NONE	NO	bezeichnete Stelle	Zielstelle	10	HERBAL|BIOLOGICAL	H5|B1|B2|B3|B4|B5	COMPOSITIONAL
PROC056	HO+Y	MATERIAL+ITEM	ARGUMENT_OR_ADDRESS	NONE	HO|Y	NONE	NO	Gabe · dieser Posten	Gabe · dies	1	HERBAL	H5	COMPOSITIONAL
PROC057	CH+EE+CKH+O+DY	ACTION+GRADE+PATH_MEDIUM+PROCESS+CLOSE	ACTION_CLAUSE	CH	CKH|O	EE	YES	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	abziehen · länger · Durchlass · Arbeitsgang · Schluss	1	HERBAL	H5	COMPOSITIONAL
PROC058	SH	ACTION	ACTION_CLAUSE	SH	NONE	NONE	NO	den laufenden Posten halten	halten	1	HERBAL	H5	COMPOSITIONAL
PROC059	K+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	K	Y	E	NO	diesen Posten kurz zuführen	zuführen · kurz · dies	1	HERBAL	H5	COMPOSITIONAL
PROC060	OK+OK+Y	ACTION+ACTION+ITEM	ACTION_CLAUSE	OK|OK	Y	NONE	NO	diesen Posten ansetzen und ansetzen	ansetzen · ansetzen · dies	1	HERBAL	H5	COMPOSITIONAL
PROC061	OK+CH+E+O	ACTION+ACTION+GRADE+PROCESS	ACTION_CLAUSE	OK|CH	O	E	NO	den Arbeitsgang kurz ansetzen und abziehen	ansetzen · abziehen · kurz · Arbeitsgang	1	HERBAL	H5	COMPOSITIONAL
PROC062	K+AL	ACTION+TARGET	ACTION_CLAUSE	K	AL	NONE	NO	den laufenden Posten an bezeichnete Stelle zuführen	zuführen · Zielstelle	1	HERBAL	H5	COMPOSITIONAL
PROC063	K+HO+AR	ACTION+MATERIAL+SOURCE	ACTION_CLAUSE	K	HO|AR	NONE	NO	den Gabe von dort zuführen	zuführen · Gabe · von dort	1	HERBAL	H5	COMPOSITIONAL
PROC064	OT+O+AIN	SEQUENCE+PROCESS+QUANTITY	SEQUENCE_OR_CONTINUATION	NONE	O|AIN	OT	NO	danach · Arbeitsgang · Portion	danach · Arbeitsgang · Portion	1	HERBAL	H5	COMPOSITIONAL
PROC065	OT+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	NONE	Y	OT	NO	danach · dieser Posten	danach · dies	2	HERBAL|BIOLOGICAL	H5|B4	COMPOSITIONAL
PROC066	K+E+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	K	NONE	E|OL	NO	fortsetzen den laufenden Posten kurz zuführen	zuführen · kurz · fortsetzen	1	HERBAL	H5	COMPOSITIONAL
PROC067	OK+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	OK	NONE	E	YES	den laufenden Posten kurz ansetzen; Schritt schließen	ansetzen · kurz · Schluss	8	BIOLOGICAL	B1|B3|B4	COMPOSITIONAL
PROC068	K+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	K	AIR	NONE	NO	den laufenden Posten durch laufender Bestand zuführen	zuführen · Lauf	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC069	K+AIN	ACTION+QUANTITY	ACTION_CLAUSE	K	AIN	NONE	NO	den laufenden Posten nach Portion zuführen	zuführen · Portion	3	BIOLOGICAL	B1|B3|B4	COMPOSITIONAL
PROC070	OL+K+AIN	SEQUENCE+ACTION+QUANTITY	ACTION_CLAUSE	K	AIN	OL	NO	fortsetzen den laufenden Posten nach Portion zuführen	fortsetzen · zuführen · Portion	2	BIOLOGICAL	B1|B4	COMPOSITIONAL
PROC071	R+OL	ACTION+SEQUENCE	ACTION_CLAUSE	R	NONE	OL	NO	fortsetzen den laufenden Posten abkühlen	abkühlen · fortsetzen	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC072	L	ACTION	ACTION_CLAUSE	L	NONE	NONE	NO	den laufenden Posten führen	führen	2	BIOLOGICAL	B1	COMPOSITIONAL
PROC073	SH+E+CKH+AL	ACTION+GRADE+PATH_MEDIUM+TARGET	ACTION_CLAUSE	SH	CKH|AL	E	NO	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	halten · kurz · Durchlass · Zielstelle	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC074	OK+EE+AL	ACTION+GRADE+TARGET	ACTION_CLAUSE	OK	AL	EE	NO	den laufenden Posten an bezeichnete Stelle länger ansetzen	ansetzen · länger · Zielstelle	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC075	CKH+Y	PATH_MEDIUM+ITEM	ARGUMENT_OR_ADDRESS	NONE	CKH|Y	NONE	NO	Durchlass · dieser Posten	Durchlass · dies	4	BIOLOGICAL	B1|B2	COMPOSITIONAL
PROC076	CHD+DY	ACTION+CLOSE	ACTION_CLAUSE	CHD	NONE	NONE	YES	den laufenden Posten umsetzen; Schritt schließen	umsetzen · Schluss	4	BIOLOGICAL	B1|B2|B3	COMPOSITIONAL
PROC077	SH+K+CHD+DY	ACTION+ACTION+ACTION+CLOSE	ACTION_CLAUSE	SH|K|CHD	NONE	NONE	YES	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	halten · zuführen · umsetzen · Schluss	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC078	SHED+DY	ACTION+CLOSE	ACTION_CLAUSE	SHED	NONE	NONE	YES	den laufenden Posten absetzen; Schritt schließen	absetzen · Schluss	12	BIOLOGICAL	B1|B2|B3|B4	COMPOSITIONAL
PROC079	OL+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	CHD	NONE	OL	YES	fortsetzen den laufenden Posten umsetzen; Schritt schließen	fortsetzen · umsetzen · Schluss	3	BIOLOGICAL	B1|B2|B3	COMPOSITIONAL
PROC080	OK+AIN	ACTION+QUANTITY	ACTION_CLAUSE	OK	AIN	NONE	NO	den laufenden Posten nach Portion ansetzen	ansetzen · Portion	7	BIOLOGICAL	B1|B2|B3|B4	COMPOSITIONAL
PROC081	R+AL	ACTION+TARGET	ACTION_CLAUSE	R	AL	NONE	NO	den laufenden Posten an bezeichnete Stelle abkühlen	abkühlen · Zielstelle	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC082	OK+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	OK|CHD	NONE	NONE	YES	den laufenden Posten ansetzen und umsetzen; Schritt schließen	ansetzen · umsetzen · Schluss	3	BIOLOGICAL	B1|B3|B5	COMPOSITIONAL
PROC083	CHK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	CHK	Y	E	NO	diesen Posten kurz wärmen	wärmen · kurz · dies	3	BIOLOGICAL	B1|B4	COMPOSITIONAL
PROC084	LSH+O	ACTION+PROCESS	ACTION_CLAUSE	LSH	O	NONE	NO	den Arbeitsgang waschen	Waschgang · Arbeitsgang	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC085	OK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	OK	Y	E	NO	diesen Posten kurz ansetzen	ansetzen · kurz · dies	2	BIOLOGICAL	B1|B2	COMPOSITIONAL
PROC086	LSH+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	LSH	NONE	E	YES	den laufenden Posten kurz waschen; Schritt schließen	Waschgang · kurz · Schluss	2	BIOLOGICAL	B1	COMPOSITIONAL
PROC087	SOLK+Y	ACTION+ITEM	ACTION_CLAUSE	SOLK	Y	NONE	NO	diesen Posten auffangen	auffangen · dies	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC088	L+CHD+AL	ACTION+ACTION+TARGET	ACTION_CLAUSE	L|CHD	AL	NONE	NO	den laufenden Posten an bezeichnete Stelle führen und umsetzen	führen · umsetzen · Zielstelle	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC089	OT+AR	SEQUENCE+SOURCE	SEQUENCE_OR_CONTINUATION	NONE	AR	OT	NO	danach · von dort	danach · von dort	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC090	T+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	T	Y	E	NO	diesen Posten kurz eintragen	eintragen · kurz · dies	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC091	OK+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	OK|CHD	NONE	NONE	YES	den laufenden Posten ansetzen und umsetzen; Schritt schließen	ansetzen · umsetzen · Schluss	2	BIOLOGICAL	B1|B3	COMPOSITIONAL
PROC092	OK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	OK	Y	EE	NO	diesen Posten länger ansetzen	ansetzen · länger · dies	7	BIOLOGICAL	B1|B2|B3|B4	COMPOSITIONAL
PROC093	E+OL	GRADE+SEQUENCE	STATE_OR_GRADE_PHRASE	NONE	NONE	E|OL	NO	kurz · fortsetzen	kurz · fortsetzen	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC094	CHD+DY	ACTION+CLOSE	ACTION_CLAUSE	CHD	NONE	NONE	YES	den laufenden Posten umsetzen; Schritt schließen	umsetzen · Schluss	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC095	L+Y	ACTION+ITEM	ACTION_CLAUSE	L	Y	NONE	NO	diesen Posten führen	führen · dies	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC096	SH+E+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	SH	NONE	E|OL	NO	fortsetzen den laufenden Posten kurz halten	halten · kurz · fortsetzen	1	BIOLOGICAL	B1	COMPOSITIONAL
PROC097	O+IIN	PROCESS+STATE	STATE_OR_GRADE_PHRASE	NONE	O	IIN	NO	Arbeitsgang · Sollstufe	Arbeitsgang · Sollstufe	2	BIOLOGICAL	B1|B3	COMPOSITIONAL
PROC098	SOLK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	SOLK	NONE	EE	YES	den laufenden Posten länger auffangen; Schritt schließen	auffangen · länger · Schluss	3	BIOLOGICAL	B1|B3	COMPOSITIONAL
PROC099	SH+CKH+E+DY	ACTION+PATH_MEDIUM+GRADE+CLOSE	ACTION_CLAUSE	SH	CKH	E	YES	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	halten · Durchlass · kurz · Schluss	3	BIOLOGICAL	B1|B4	COMPOSITIONAL
PROC100	OK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	OK	NONE	EE	YES	den laufenden Posten länger ansetzen; Schritt schließen	ansetzen · länger · Schluss	10	BIOLOGICAL	B2|B3|B4	COMPOSITIONAL
PROC101	L+CKH+Y	ACTION+PATH_MEDIUM+ITEM	ACTION_CLAUSE	L	CKH|Y	NONE	NO	diesen Posten durch Durchlass führen	führen · Durchlass · dies	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC102	L+CHD	ACTION+ACTION	ACTION_CLAUSE	L|CHD	NONE	NONE	NO	den laufenden Posten führen und umsetzen	führen · umsetzen	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC103	L+CKH+E+DY	ACTION+PATH_MEDIUM+GRADE+CLOSE	ACTION_CLAUSE	L	CKH	E	YES	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	führen · Durchlass · kurz · Schluss	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC104	OK+AL+Y	ACTION+TARGET+ITEM	ACTION_CLAUSE	OK	AL|Y	NONE	NO	diesen Posten an bezeichnete Stelle ansetzen	ansetzen · Zielstelle · dies	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC105	SOLK+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	SOLK	AIIN	NONE	NO	den laufenden Posten nach vorgeschriebenes Maß auffangen	auffangen · Maß	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC106	O+CTH+E+OL	PROCESS+STATE+GRADE+SEQUENCE	STATE_OR_GRADE_PHRASE	NONE	O	CTH|E|OL	NO	Arbeitsgang · bereit · kurz · fortsetzen	Arbeitsgang · bereit · kurz · fortsetzen	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC107	CHK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	CHK	Y	EE	NO	diesen Posten länger wärmen	wärmen · länger · dies	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC108	L+DY	ACTION+CLOSE	ACTION_CLAUSE	L	NONE	NONE	YES	den laufenden Posten führen; Schritt schließen	führen · Schluss	2	BIOLOGICAL	B2|B3	COMPOSITIONAL
PROC109	OT+EE+Y	SEQUENCE+GRADE+ITEM	STATE_OR_GRADE_PHRASE	NONE	Y	OT|EE	NO	danach · länger · dieser Posten	danach · länger · dies	2	BIOLOGICAL	B2	COMPOSITIONAL
PROC110	SH+E+CKH+Y	ACTION+GRADE+PATH_MEDIUM+ITEM	ACTION_CLAUSE	SH	CKH|Y	E	NO	diesen Posten durch Durchlass kurz halten	halten · kurz · Durchlass · dies	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC111	SH+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	SH	NONE	E	YES	den laufenden Posten kurz halten; Schritt schließen	halten · kurz · Schluss	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC112	OT+AIIN	SEQUENCE+QUANTITY	SEQUENCE_OR_CONTINUATION	NONE	AIIN	OT	NO	danach · vorgeschriebenes Maß	danach · Maß	3	BIOLOGICAL	B2|B3	COMPOSITIONAL
PROC113	OK+AR	ACTION+SOURCE	ACTION_CLAUSE	OK	AR	NONE	NO	den laufenden Posten von dort ansetzen	ansetzen · von dort	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC114	OL+SH+E+DY	SEQUENCE+ACTION+GRADE+CLOSE	ACTION_CLAUSE	SH	NONE	OL|E	YES	fortsetzen den laufenden Posten kurz halten; Schritt schließen	fortsetzen · halten · kurz · Schluss	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC115	LS	SEQUENCE	SEQUENCE_OR_CONTINUATION	NONE	NONE	LS	NO	weiter	fortsetzen	1	BIOLOGICAL	B2	LEARNED_WHOLE_CARD
PROC116	L+CH+Y	ACTION+ACTION+ITEM	ACTION_CLAUSE	L|CH	Y	NONE	NO	diesen Posten führen und abziehen	führen · abziehen · dies	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC117	CTH+E+Y	STATE+GRADE+ITEM	STATE_OR_GRADE_PHRASE	NONE	Y	CTH|E	NO	bereit · kurz · dieser Posten	bereit · kurz · dies	2	BIOLOGICAL	B2|B3	COMPOSITIONAL
PROC118	L+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	L	Y	EE	NO	diesen Posten länger führen	führen · länger · dies	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC119	OK+EEE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	OK	NONE	EEE	YES	den laufenden Posten vollständig ansetzen; Schritt schließen	ansetzen · vollständig · Schluss	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC120	L+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	L|CHD	NONE	NONE	YES	den laufenden Posten führen und umsetzen; Schritt schließen	führen · umsetzen · Schluss	8	BIOLOGICAL	B2|B3|B4	COMPOSITIONAL
PROC121	L+AR	ACTION+SOURCE	ACTION_CLAUSE	L	AR	NONE	NO	den laufenden Posten von dort führen	führen · von dort	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC122	SH+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	SH	Y	E	NO	diesen Posten kurz halten	halten · kurz · dies	1	BIOLOGICAL	B2	COMPOSITIONAL
