page	record	locus	field_ordinal	visible_source_field	closure	boundary_reading	complete_field_translation	editorial_sentence_rendering
f56r	1	f56r.7	1	sho kchol otchor choky dal	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	then take the following ingredient or plant part; steep it in white wine; gathered before flowering; apply or use this portion; apply it at the place indicated by the drawing	then take the following ingredient or plant part; steep it in white wine; gathered before flowering; apply or use this portion; apply it at the place indicated by the drawing; [continue]
f56r	1	f56r.8	1	schol choy choky cheeckhody	DY	COMMIT_LOCAL_STEP	of this pictured simple; which grows on damp shaded heath; apply or use this portion; leave the plaster uncovered until dry	of this pictured simple; which grows on damp shaded heath; apply or use this portion; leave the plaster uncovered until dry. [step committed]
f56r	1	f56r.12	1	sh cho kchey qokokchy	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	its small seed or bud-head; then take the following ingredient or plant part; the dried narrow leaf; dry it in shade	its small seed or bud-head; then take the following ingredient or plant part; the dried narrow leaf; dry it in shade; [continue]
f56r	1	f56r.13	1	okchy chokcheo kchal	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	use the freshly prepared remedy; drink it for pain of the stomach; keep the remainder dry in shade	use the freshly prepared remedy; drink it for pain of the stomach; keep the remainder dry in shade; [continue]
f56r	1	f56r.18	1	sho chokchy kchoar sotodan	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	then take the following ingredient or plant part; use the freshly prepared remedy; mix it with honey; use it while freshly mixed	then take the following ingredient or plant part; use the freshly prepared remedy; mix it with honey; use it while freshly mixed; [continue]
f56r	1	f56r.19	1	otchey keol daiin	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	take the final indicated share; the pale opened flower; in the stated or usual measure	take the final indicated share; the pale opened flower; in the stated or usual measure; [continue]
f81v	1	f81v.2	1	qokedy	DY	COMMIT_LOCAL_STEP	rinse the indicated place once; end this instruction	rinse the indicated place once; end this instruction. [step committed]
f81v	1	f81v.2	2	okaiin kair okal sar ol kain olkain al ol rol dl	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	begin the next measured entry; the returning flow; mix the two portions together; from the same prepared batch; with the foregoing preparation; one measured portion; the lower basin; apply it at the place indicated by the drawing; with the foregoing preparation; before it cools; the prepared oil	begin the next measured entry; the returning flow; mix the two portions together; from the same prepared batch; with the foregoing preparation; one measured portion; the lower basin; apply it at the place indicated by the drawing; with the foregoing preparation; before it cools; the prepared oil; [continue]
f81v	1	f81v.7	1	olor ol sheckhal daiin qokeedal daiin chckhy schedy	DY	COMMIT_LOCAL_STEP	from the foregoing batch; with the foregoing preparation; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the connected channels; wash the used vessel or channel through once; end this instruction	from the foregoing batch; with the foregoing preparation; a moderate quantity; in the stated or usual measure; the immersed part; in the stated or usual measure; through the connected channels; wash the used vessel or channel through once; end this instruction. [step committed]
f81v	1	f81v.7	2	qol	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	with the foregoing preparation	with the foregoing preparation; [continue]
f81v	1	f81v.17	1	sshkchdy	DY	COMMIT_LOCAL_STEP	keep it warm; close the rubric	keep it warm; close the rubric. [step committed]
f81v	1	f81v.17	2	chedy ol shedy	DY	COMMIT_LOCAL_STEP	stir until evenly mixed; with the foregoing preparation; let it stand until ready; end this instruction	stir until evenly mixed; with the foregoing preparation; let it stand until ready; end this instruction. [step committed]
f81v	1	f81v.17	3	qolchedy	DY	COMMIT_LOCAL_STEP	set the mixed liquid aside in a covered receiving vessel; end this instruction	set the mixed liquid aside in a covered receiving vessel; end this instruction. [step committed]
f81v	1	f81v.17	4	qokain shckhy dl ral	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	add one measured portion to the vessel; through the connected channels; the prepared oil; and let it cool	add one measured portion to the vessel; through the connected channels; the prepared oil; and let it cool; [continue]
f81v	1	f81v.18	1	qokchdy	DY	COMMIT_LOCAL_STEP	heat it once; end this instruction	heat it once; end this instruction. [step committed]
f81v	1	f81v.18	2	chey ol cheky ol shedy	DY	COMMIT_LOCAL_STEP	this present portion; with the foregoing preparation; over a gentle heat; with the foregoing preparation; let it stand until ready; end this instruction	this present portion; with the foregoing preparation; over a gentle heat; with the foregoing preparation; let it stand until ready; end this instruction. [step committed]
f81v	1	f81v.18	3	qokedy	DY	COMMIT_LOCAL_STEP	rinse the indicated place once; end this instruction	rinse the indicated place once; end this instruction. [step committed]
f81v	1	f81v.18	4	qokedy	DY	COMMIT_LOCAL_STEP	rinse the indicated place once; end this instruction	rinse the indicated place once; end this instruction. [step committed]
f81v	1	f81v.18	5	chckhy qoky	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	through the connected channels; apply or use this portion	through the connected channels; apply or use this portion; [continue]
f81v	1	f81v.21	1	lsho qokey lshedy	DY	COMMIT_LOCAL_STEP	begin the rinsing; warm water; wash once; close this pass	begin the rinsing; warm water; wash once; close this pass. [step committed]
f81v	1	f81v.21	2	lshedy	DY	COMMIT_LOCAL_STEP	wash once; close this pass	wash once; close this pass. [step committed]
f81v	1	f81v.21	3	chedy qolky lchedal qol otar	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	stir until evenly mixed; the affected place; the lower basin; with the foregoing preparation; then use the lower outlet	stir until evenly mixed; the affected place; the lower basin; with the foregoing preparation; then use the lower outlet; [continue]
f81v	1	f81v.24	1	ytey okchedy	DY	COMMIT_LOCAL_STEP	then fill the vessel; let it cool; close the rubric	then fill the vessel; let it cool; close the rubric. [step committed]
f81v	1	f81v.24	2	qokal okeey qol cheedy	DY	COMMIT_LOCAL_STEP	mix the two portions together; temper the working liquid and keep it lukewarm; with the foregoing preparation; let it stand until ready; end this instruction	mix the two portions together; temper the working liquid and keep it lukewarm; with the foregoing preparation; let it stand until ready; end this instruction. [step committed]
f81v	1	f81v.24	3	sal teol dchdy	DY	COMMIT_LOCAL_STEP	apply it at the place indicated by the drawing; the first opening; strain it clear; close the rubric	apply it at the place indicated by the drawing; the first opening; strain it clear; close the rubric. [step committed]
f81v	1	f81v.24	4	ly	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	then fill the vessel	then fill the vessel; [continue]
f81v	1	f81v.27	1	dsheol oiiin olkeedy	DY	COMMIT_LOCAL_STEP	apply at the marked place; until clear; let the liquid settle; end this instruction	apply at the marked place; until clear; let the liquid settle; end this instruction. [step committed]
f81v	1	f81v.27	2	tedy	DY	COMMIT_LOCAL_STEP	let it stand until ready; end this instruction	let it stand until ready; end this instruction. [step committed]
f81v	1	f81v.27	3	cheky shckhedy	DY	COMMIT_LOCAL_STEP	over a gentle heat; strain it once through cloth; end this instruction	over a gentle heat; strain it once through cloth; end this instruction. [step committed]
f81v	1	f81v.27	4	chal	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	apply it at the place indicated by the drawing	apply it at the place indicated by the drawing; [continue]
f82r	1	f82r.2	1	dchedy	DY	COMMIT_LOCAL_STEP	wash the used vessel or channel through once; end this instruction	wash the used vessel or channel through once; end this instruction. [step committed]
f82r	1	f82r.2	2	qolchedy	DY	COMMIT_LOCAL_STEP	set the mixed liquid aside in a covered receiving vessel; end this instruction	set the mixed liquid aside in a covered receiving vessel; end this instruction. [step committed]
f82r	1	f82r.2	3	qokain dy qokeedy	DY	COMMIT_LOCAL_STEP	add one measured portion to the vessel; this present portion; bathe or immerse in the tempered warm liquid; end this instruction	add one measured portion to the vessel; this present portion; bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f82r	1	f82r.2	4	qokal lcheckhy lched	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	mix the two portions together; the second opening; and proceed to the next basin	mix the two portions together; the second opening; and proceed to the next basin; [continue]
f82r	1	f82r.3	1	qokeey lcheckhedy	DY	COMMIT_LOCAL_STEP	temper the working liquid and keep it lukewarm; strain it clear; close the rubric	temper the working liquid and keep it lukewarm; strain it clear; close the rubric. [step committed]
f82r	1	f82r.3	2	qokaly solkaiin chckhy qokaiin	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	continue at the second conduit; through a cloth; through the connected channels; begin the next measured entry	continue at the second conduit; through a cloth; through the connected channels; begin the next measured entry; [continue]
f82r	1	f82r.4	1	qokaiin octheol chkeey ldy	DY	COMMIT_LOCAL_STEP	begin the next measured entry; under the same setting; the broad vessel; draw it off; close the rubric	begin the next measured entry; under the same setting; the broad vessel; draw it off; close the rubric. [step committed]
f82r	1	f82r.4	2	oteey qokal sheckhy qoky	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	the prepared oil; mix the two portions together; over the local place; apply or use this portion	the prepared oil; mix the two portions together; over the local place; apply or use this portion; [continue]
f82r	1	f82r.7	1	dshedy	DY	COMMIT_LOCAL_STEP	add clean water; close the rubric	add clean water; close the rubric. [step committed]
f82r	1	f82r.7	2	sotaiin qokar shedy	DY	COMMIT_LOCAL_STEP	for the same interval as before; over the local place; let it stand until ready; end this instruction	for the same interval as before; over the local place; let it stand until ready; end this instruction. [step committed]
f82r	1	f82r.7	3	solshedy	DY	COMMIT_LOCAL_STEP	keep it warm; close the rubric	keep it warm; close the rubric. [step committed]
f82r	1	f82r.7	4	qokeey qoky ls cheey	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	temper the working liquid and keep it lukewarm; apply or use this portion; the first opening; until the liquid runs clear	temper the working liquid and keep it lukewarm; apply or use this portion; the first opening; until the liquid runs clear; [continue]
f82r	1	f82r.19	1	okain char okain qokeedy	DY	COMMIT_LOCAL_STEP	add one measured portion to the vessel; from the same prepared batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction	add one measured portion to the vessel; from the same prepared batch; add one measured portion to the vessel; bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f82r	1	f82r.19	2	lchy	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	draw off the clear liquid	draw off the clear liquid; [continue]
f82r	1	f82r.23	1	cheey qcthey qokeey lcheey daiin chey qokeeedy	DY	COMMIT_LOCAL_STEP	until the liquid runs clear; under the same setting; temper the working liquid and keep it lukewarm; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric	until the liquid runs clear; under the same setting; temper the working liquid and keep it lukewarm; the immersed part; in the stated or usual measure; this present portion; immerse fully; close the rubric. [step committed]
f82r	1	f82r.23	2	lchedy	DY	COMMIT_LOCAL_STEP	let the spent liquid drain into the lower receiving vessel; end this instruction	let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed]
f82r	1	f82r.23	3	lar	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	close the lower outlet	close the lower outlet; [continue]
f82r	1	f82r.26	1	tshey qokeedy	DY	COMMIT_LOCAL_STEP	begin the rinsing; bathe or immerse in the tempered warm liquid; end this instruction	begin the rinsing; bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f82r	1	f82r.26	2	cheal lchedar ches aiin oteey qokaiin okey	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	apply it at the place indicated by the drawing; cool water; in equal portions; in the stated or usual measure; the prepared oil; begin the next measured entry; warm water	apply it at the place indicated by the drawing; cool water; in equal portions; in the stated or usual measure; the prepared oil; begin the next measured entry; warm water; [continue]
f82r	1	f82r.27	1	pchedy	DY	COMMIT_LOCAL_STEP	draw it off; close the rubric	draw it off; close the rubric. [step committed]
f82r	1	f82r.27	2	rsheal daldy	DY	COMMIT_LOCAL_STEP	pour in the warmed water; repeat at the second opening; close the rubric	pour in the warmed water; repeat at the second opening; close the rubric. [step committed]
f82r	1	f82r.27	3	qokeedy	DY	COMMIT_LOCAL_STEP	bathe or immerse in the tempered warm liquid; end this instruction	bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f82r	1	f82r.27	4	rshedy	DY	COMMIT_LOCAL_STEP	drink the stated portion; close the rubric	drink the stated portion; close the rubric. [step committed]
f82r	1	f82r.27	5	qoteedy	DY	COMMIT_LOCAL_STEP	bind upon the place; close the rubric	bind upon the place; close the rubric. [step committed]
f82r	1	f82r.27	6	qokeedy	DY	COMMIT_LOCAL_STEP	bathe or immerse in the tempered warm liquid; end this instruction	bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f82r	1	f82r.27	7	lochedy	DY	COMMIT_LOCAL_STEP	mix in equal shares; close the rubric	mix in equal shares; close the rubric. [step committed]
f83r	1	f83r.3	1	olkeedy	DY	COMMIT_LOCAL_STEP	let the liquid settle; end this instruction	let the liquid settle; end this instruction. [step committed]
f83r	1	f83r.3	2	qotal chkeedy	DY	COMMIT_LOCAL_STEP	toward the lower outlet; immerse fully; close the rubric	toward the lower outlet; immerse fully; close the rubric. [step committed]
f83r	1	f83r.3	3	chey daiin chey lchedy	DY	COMMIT_LOCAL_STEP	this present portion; in the stated or usual measure; this present portion; let the spent liquid drain into the lower receiving vessel; end this instruction	this present portion; in the stated or usual measure; this present portion; let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed]
f83r	1	f83r.3	4	qokaiin qotal dar	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	begin the next measured entry; toward the lower outlet; from the same prepared batch	begin the next measured entry; toward the lower outlet; from the same prepared batch; [continue]
f83r	1	f83r.6	1	schedy	DY	COMMIT_LOCAL_STEP	wash the used vessel or channel through once; end this instruction	wash the used vessel or channel through once; end this instruction. [step committed]
f83r	1	f83r.6	2	chedchy qokal olchedy	DY	COMMIT_LOCAL_STEP	pour in the warmed water; mix the two portions together; set the mixed liquid aside in a covered receiving vessel; end this instruction	pour in the warmed water; mix the two portions together; set the mixed liquid aside in a covered receiving vessel; end this instruction. [step committed]
f83r	1	f83r.6	3	qokaiin chedy qokeedy	DY	COMMIT_LOCAL_STEP	begin the next measured entry; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction	begin the next measured entry; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f83r	1	f83r.6	4	lchedy	DY	COMMIT_LOCAL_STEP	let the spent liquid drain into the lower receiving vessel; end this instruction	let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed]
f83r	1	f83r.6	5	qoky	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	apply or use this portion	apply or use this portion; [continue]
f83r	1	f83r.8	1	pchedal otedy	DY	COMMIT_LOCAL_STEP	then fill the vessel; steep until clear; close the rubric	then fill the vessel; steep until clear; close the rubric. [step committed]
f83r	1	f83r.8	2	shecthedchy qoky chedy chary	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	apply at the marked place; apply or use this portion; stir until evenly mixed; and let it cool	apply at the marked place; apply or use this portion; stir until evenly mixed; and let it cool; [continue]
f83r	1	f83r.11	1	sor shedy	DY	COMMIT_LOCAL_STEP	the prepared decoction or working liquid; let it stand until ready; end this instruction	the prepared decoction or working liquid; let it stand until ready; end this instruction. [step committed]
f83r	1	f83r.11	2	qokaiin chkain shcthey qokedy	DY	COMMIT_LOCAL_STEP	begin the next measured entry; one measured portion; under the same setting; rinse the indicated place once; end this instruction	begin the next measured entry; one measured portion; under the same setting; rinse the indicated place once; end this instruction. [step committed]
f83r	1	f83r.11	3	okair sheedy	DY	COMMIT_LOCAL_STEP	next open the upper channel; wash once; close the rubric	next open the upper channel; wash once; close the rubric. [step committed]
f83r	1	f83r.11	4	lchedy	DY	COMMIT_LOCAL_STEP	let the spent liquid drain into the lower receiving vessel; end this instruction	let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed]
f83r	1	f83r.11	5	lo	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	close the lower outlet	close the lower outlet; [continue]
f83r	1	f83r.14	1	qokchedy	DY	COMMIT_LOCAL_STEP	let it cool; close the rubric	let it cool; close the rubric. [step committed]
f83r	1	f83r.14	2	qokeedy	DY	COMMIT_LOCAL_STEP	bathe or immerse in the tempered warm liquid; end this instruction	bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f83r	1	f83r.14	3	shedy	DY	COMMIT_LOCAL_STEP	let it stand until ready; end this instruction	let it stand until ready; end this instruction. [step committed]
f83r	1	f83r.14	4	qokshedy	DY	COMMIT_LOCAL_STEP	boil gently; close the rubric	boil gently; close the rubric. [step committed]
f83r	1	f83r.14	5	dal lchedy	DY	COMMIT_LOCAL_STEP	apply it at the place indicated by the drawing; let the spent liquid drain into the lower receiving vessel; end this instruction	apply it at the place indicated by the drawing; let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed]
f83r	1	f83r.14	6	qokaiin shcthy dal sy	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	begin the next measured entry; when the preparation is ready; apply it at the place indicated by the drawing; this present portion	begin the next measured entry; when the preparation is ready; apply it at the place indicated by the drawing; this present portion; [continue]
f83r	1	f83r.15	1	saiin shedal shecthy chey tal shcthy dalchdy	DY	COMMIT_LOCAL_STEP	in the stated or usual measure; for one interval; warm water; this present portion; apply it at the place indicated by the drawing; when the preparation is ready; retain the residue; close the rubric	in the stated or usual measure; for one interval; warm water; this present portion; apply it at the place indicated by the drawing; when the preparation is ready; retain the residue; close the rubric. [step committed]
f83r	1	f83r.15	2	qotchedy	DY	COMMIT_LOCAL_STEP	mix in equal shares; close the rubric	mix in equal shares; close the rubric. [step committed]
f83r	1	f83r.15	3	lchedy	DY	COMMIT_LOCAL_STEP	let the spent liquid drain into the lower receiving vessel; end this instruction	let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed]
f83r	1	f83r.16	1	tchedy	DY	COMMIT_LOCAL_STEP	wash the used vessel or channel through once; end this instruction	wash the used vessel or channel through once; end this instruction. [step committed]
f83r	1	f83r.16	2	qokchdy	DY	COMMIT_LOCAL_STEP	heat it once; end this instruction	heat it once; end this instruction. [step committed]
f83r	1	f83r.16	3	cheedar chldaiin chedy qokain checthy chealror	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	place the person at the basin; after settling; stir until evenly mixed; add one measured portion to the vessel; when the preparation is ready; until the flow clears	place the person at the basin; after settling; stir until evenly mixed; add one measured portion to the vessel; when the preparation is ready; until the flow clears; [continue]
f83r	1	f83r.20	1	solkeedy	DY	COMMIT_LOCAL_STEP	let the liquid settle; end this instruction	let the liquid settle; end this instruction. [step committed]
f83r	1	f83r.20	2	qoteedy	DY	COMMIT_LOCAL_STEP	bind upon the place; close the rubric	bind upon the place; close the rubric. [step committed]
f83r	1	f83r.20	3	qokeey qokedy	DY	COMMIT_LOCAL_STEP	temper the working liquid and keep it lukewarm; rinse the indicated place once; end this instruction	temper the working liquid and keep it lukewarm; rinse the indicated place once; end this instruction. [step committed]
f83r	1	f83r.20	4	sol cheeety qokedy	DY	COMMIT_LOCAL_STEP	with the foregoing preparation; after the first rinse; rinse the indicated place once; end this instruction	with the foregoing preparation; after the first rinse; rinse the indicated place once; end this instruction. [step committed]
f83r	1	f83r.20	5	qoky saiin	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	apply or use this portion; in the stated or usual measure	apply or use this portion; in the stated or usual measure; [continue]
f83r	1	f83r.22	1	schedair otchedy	DY	COMMIT_LOCAL_STEP	draw off the clear liquid; mix in equal shares; close the rubric	draw off the clear liquid; mix in equal shares; close the rubric. [step committed]
f83r	1	f83r.22	2	qokeedy	DY	COMMIT_LOCAL_STEP	bathe or immerse in the tempered warm liquid; end this instruction	bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f83r	1	f83r.22	3	chedain chedy qotedaiin otaiin otedy	DY	COMMIT_LOCAL_STEP	begin the rinsing; stir until evenly mixed; the broad vessel; for the same interval as before; steep until clear; close the rubric	begin the rinsing; stir until evenly mixed; the broad vessel; for the same interval as before; steep until clear; close the rubric. [step committed]
f83r	1	f83r.22	4	ldy	DY	COMMIT_LOCAL_STEP	draw it off; close the rubric	draw it off; close the rubric. [step committed]
f83r	1	f83r.24	1	soiiin checthy chety otaiin olsaly shedy	DY	COMMIT_LOCAL_STEP	until clear; when the preparation is ready; work it until evenly homogeneous; for the same interval as before; the lower basin; let it stand until ready; end this instruction	until clear; when the preparation is ready; work it until evenly homogeneous; for the same interval as before; the lower basin; let it stand until ready; end this instruction. [step committed]
f83r	2	f83r.25	1	qokeedy	DY	COMMIT_LOCAL_STEP	bathe or immerse in the tempered warm liquid; end this instruction	bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f83r	2	f83r.25	2	qolchey qokeey qokedy	DY	COMMIT_LOCAL_STEP	then fill the vessel; temper the working liquid and keep it lukewarm; rinse the indicated place once; end this instruction	then fill the vessel; temper the working liquid and keep it lukewarm; rinse the indicated place once; end this instruction. [step committed]
f83r	2	f83r.25	3	chedy otal	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	stir until evenly mixed; toward the lower outlet	stir until evenly mixed; toward the lower outlet; [continue]
f83r	2	f83r.26	1	otchey qokeey qoky tol shedy	DY	COMMIT_LOCAL_STEP	take the final indicated share; temper the working liquid and keep it lukewarm; apply or use this portion; with the foregoing preparation; let it stand until ready; end this instruction	take the final indicated share; temper the working liquid and keep it lukewarm; apply or use this portion; with the foregoing preparation; let it stand until ready; end this instruction. [step committed]
f83r	2	f83r.26	2	qokylddy	DY	COMMIT_LOCAL_STEP	bind upon the place; close the rubric	bind upon the place; close the rubric. [step committed]
f83r	2	f83r.27	1	dain chedy qokeedy	DY	COMMIT_LOCAL_STEP	through a cloth; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction	through a cloth; stir until evenly mixed; bathe or immerse in the tempered warm liquid; end this instruction. [step committed]
f83r	2	f83r.27	2	shckhedy	DY	COMMIT_LOCAL_STEP	strain it once through cloth; end this instruction	strain it once through cloth; end this instruction. [step committed]
f83r	2	f83r.27	3	shckhedy	DY	COMMIT_LOCAL_STEP	strain it once through cloth; end this instruction	strain it once through cloth; end this instruction. [step committed]
f83r	2	f83r.28	1	saiin cheeky sheey qokedy	DY	COMMIT_LOCAL_STEP	in the stated or usual measure; while still warm; the first opening; rinse the indicated place once; end this instruction	in the stated or usual measure; while still warm; the first opening; rinse the indicated place once; end this instruction. [step committed]
f83r	2	f83r.28	2	shedy	DY	COMMIT_LOCAL_STEP	let it stand until ready; end this instruction	let it stand until ready; end this instruction. [step committed]
f83r	2	f83r.28	3	oldy	DY	COMMIT_LOCAL_STEP	boil gently; close the rubric	boil gently; close the rubric. [step committed]
f83r	2	f83r.35	1	saiin cheky okeeol okain chdy	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	in the stated or usual measure; over a gentle heat; the broad vessel; add one measured portion to the vessel; stir until evenly mixed	in the stated or usual measure; over a gentle heat; the broad vessel; add one measured portion to the vessel; stir until evenly mixed; [continue]
f83r	2	f83r.37	1	sol lkedy	DY	COMMIT_LOCAL_STEP	with the foregoing preparation; wash twice; close the rubric	with the foregoing preparation; wash twice; close the rubric. [step committed]
f83r	2	f83r.37	2	lchedy	DY	COMMIT_LOCAL_STEP	let the spent liquid drain into the lower receiving vessel; end this instruction	let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed]
